V4	Cdk9as_3MBPP1_18Cr1_pr_counts	Cdk9as_3MBPP1_18Cr1gb_counts	Cdk9as_3MBPP1_18Cr1term_counts	Cdk9as_3MBPP1_18Cr1pr_map	Cdk9as_3MBPP1_18Cr1gb_map	Cdk9as_3MBPP1_18Cr1term_map	Cdk9as_3MBPP1_18Cr1pr_density	Cdk9as_3MBPP1_18Cr1pr_densityRPKM	Cdk9as_3MBPP1_18Cr1gb_density	Cdk9as_3MBPP1_18Cr1gb_densityRPKM	Cdk9as_3MBPP1_18Cr1pause_index_CI_low	Cdk9as_3MBPP1_18Cr1pause_index_CI_high	Cdk9as_3MBPP1_18Cr1pause_index_scaled	Cdk9as_3MBPP1_18Cr1pause_index_CI_low_scaled	Cdk9as_3MBPP1_18Cr1pause_index_CI_high_scaled	Cdk9as_3MBPP1_18Cr1_ExpPR	Cdk9as_3MBPP1_18Cr1_ExpGB	Cdk9as_3MBPP1_18Cr1Fexact_Pval
SPAC1002.01	7	72	84	100	481	300	0.07	21.1782488492647	0.14968814968815	45.2876126268803	0.0410009462205246	0.218884020981055	0.467638888888889	0.197214551320723	1.05283214091888	13	94	1
SPAC1002.02	23	157	12	100	837	300	0.23	69.5856747904412	0.187574671445639	56.7500438527831	0.0921699297263509	0.230898163415948	1.22617834394904	0.771462311809557	1.93261762779148	19	104	1
SPAC1002.03c	4	316	29	100	2955	300	0.04	12.1018564852941	0.106937394247039	32.3535249522246	0.00402790611738951	0.0350757013695688	0.374050632911392	0.11902462576886	1.03648697547076	10	94	1
SPAC1002.04c	22	171	38	100	641	300	0.22	66.5602106691177	0.266770670826833	80.7105093207994	0.0803577894071613	0.204115472217046	0.824678362573099	0.515093430099904	1.30838017691127	25	97	1
SPAC1002.05c	14	149	59	100	2086	300	0.14	42.3564976985294	0.0714285714285714	21.6104580094538	0.0520971169058986	0.166375221275044	1.96	1.08674585865704	3.47058711579742	7	107	1
SPAC1002.06c	1	17	27	100	311	300	0.01	3.02546412132353	0.0546623794212219	16.5379067725081	0.0029153350293855	0.415929044001673	0.182941176470588	0.00906669194138891	1.2935393268452	5	96	1
SPAC1002.07c	15	182	12	100	1084	300	0.15	45.381961819853	0.16789667896679	50.7965378303397	0.0468317213640882	0.142643534340443	0.893406593406593	0.507655859586716	1.54625591225041	16	99	1
SPAC1002.08c	10	288	21	100	1783	300	0.1	30.2546412132353	0.161525518788559	48.8689661772954	0.0174409417066864	0.0669787150396522	0.619097222222222	0.310971990630219	1.194230489157	15	95	1
SPAC1002.09c	30	883	9	100	2132	300	0.3	90.763923639706	0.414165103189493	125.304166000407	0.0231836402709418	0.0494897593442405	0.724348810872027	0.49427521057648	1.05512166921921	38	92	1
SPAC1002.10c	15	131	155	100	1806	300	0.15	45.381961819853	0.0725359911406423	21.9455038700655	0.0645206762689769	0.199914075290607	2.06793893129771	1.16524341341772	3.61044819974836	7	108	1
SPAC1002.11	3	212	5	100	1871	300	0.03	9.07639236397059	0.113308391234634	34.2810472325275	0.00362364318016959	0.0455480535334539	0.264764150943396	0.0677983639009731	0.852204081610923	10	93	1
SPAC1002.12c	42	579	11	100	1692	300	0.42	127.069493095588	0.342198581560284	103.530953087844	0.052332592189625	0.100189927406242	1.22735751295337	0.885467459848455	1.69521357171362	36	106	1
SPAC1002.13c	98	4916	172	100	1829	300	0.98	296.495483889706	2.68780754510662	813.186529274275	0.0162344866956172	0.0244538065841226	0.364609438567941	0.296928761662838	0.447260122423602	144	54	1
SPAC1002.14	5	251	20	100	1485	300	0.05	15.1273206066177	0.169023569023569	51.137474373886	0.00726484608821317	0.0499289190804132	0.295816733067729	0.107882964409966	0.741444448344135	15	90	1
SPAC1002.15c	5	154	3	100	2754	300	0.05	15.1273206066177	0.055918663761801	16.9179910923683	0.0117711176327482	0.0819100145989674	0.894155844155844	0.324176579605884	2.25580180205556	5	100	1
SPAC1002.16c	9	43	9	100	1906	300	0.09	27.2291770919118	0.0225603357817419	6.82554864726715	0.095169569218974	0.445492685559469	3.9893023255814	1.81393198931364	8.49109058676349	2	107	1
SPAC1002.17c	14	4025	723	100	990	300	0.14	42.3564976985294	4.06565656565657	1230.04980690174	0.00197757777208258	0.0060004715760525	0.0344347826086957	0.0195780199436176	0.0594046686029198	91	23	1
SPAC1002.18	3	2356	99	100	1505	300	0.03	9.07639236397059	1.56544850498339	473.62082856068	0.000328606305714772	0.00406142257735867	0.0191638370118846	0.00494552490100732	0.061124409789248	62	41	1
SPAC1002.19	56	11600	760	100	1563	300	0.56	169.425990794118	7.42162507997441	2245.38604013775	0.00367802588079266	0.0063212957881939	0.0754551724137931	0.0574875445167892	0.0988018531694706	137	19	1
SPAC1002.20	0	2	63	100	548	300	0	0	0.00364963503649635	1.1041839858845	0.0514242900386907	4.05388820080272	0	0.281805109412025	22.2153073403989	0	100	1
SPAC1006.01	66	1323	43	100	1664	300	0.66	199.680632007353	0.795072115384615	240.546215896096	0.0386407767518328	0.0642880924080334	0.830113378684807	0.642982525150498	1.06975385766968	73	93	1
SPAC1006.02	14	137	4	100	1217	300	0.14	42.3564976985294	0.112571898110107	34.0582238801416	0.0565342474645058	0.181369721526874	1.2436496350365	0.688021791643036	2.20726951098206	11	103	1
SPAC1006.03c	36	478	13	100	2770	300	0.36	108.916708367647	0.172563176895307	52.2083700358357	0.0528429600445236	0.106860135567894	2.08619246861925	1.4637499932333	2.96002575523066	20	116	1
SPAC1006.04c	1	97	39	100	3993	300	0.01	3.02546412132353	0.0242925118958177	7.34961231576215	0.000533168944236847	0.0679594044258826	0.411649484536082	0.0212894359433773	2.71361901872549	2	99	1
SPAC1006.05c	58	650	2	100	2032	300	0.58	175.476919036765	0.31988188976378	96.7791180541484	0.0675558809239466	0.117605149713872	1.81316923076923	1.37273550037459	2.38973664218587	38	120	1
SPAC1006.06	22	971	15	100	4139	300	0.22	66.5602106691177	0.234597728920029	70.9767011791532	0.014480535640513	0.035108183585718	0.937775489186406	0.599349370160833	1.45312771861287	23	99	1
SPAC1006.07	176	1851	122	100	1302	300	1.76	532.481685352942	1.42165898617512	430.117825543	0.0812065405027661	0.111287379976416	1.23799027552674	1.05730915734601	1.44896168729293	162	114	1
SPAC1006.08	1	98	149	100	1457	300	0.01	3.02546412132353	0.0672614962251201	20.3497243575639	0.000527778249978962	0.0672557567881182	0.148673469387755	0.00768972910219348	0.979916376402882	6	95	1
SPAC1006.09	111	484	32	100	4844	300	1.11	335.826517466912	0.0999174236168456	30.2296580247851	0.185563330405465	0.283234005568152	11.109173553719	8.98868772484074	13.7198552297213	19	192	1.17010704204653e-50
SPAC1039.01	0	2568	59	100	2977	300	0	0	0.862613369163588	260.980579897844	3.5396481654699e-05	0.00186563388926639	0	0.00105375325886039	0.0555399208834604	46	54	1
SPAC1039.02	1	1930	288	100	2733	300	0.01	3.02546412132353	0.7061836809367	213.653338973817	2.70340244181055e-05	0.00336781300727188	0.014160621761658	0.000738839887346824	0.0920423294887404	41	60	1
SPAC1039.03	6	519	23	100	1499	300	0.06	18.1527847279412	0.346230820547031	104.750892526145	0.00467590896176651	0.0266846370040105	0.173294797687861	0.07009187533688	0.400002708690117	27	79	1
SPAC1039.04	15	290	2	100	1844	300	0.15	45.381961819853	0.157266811279826	47.5805095002074	0.0296312056150113	0.0887676875014547	0.953793103448276	0.546399431540809	1.63687615752682	15	100	1
SPAC1039.05c	2	443	10	100	3153	300	0.02	6.05092824264706	0.140501110053917	42.5081067474255	0.000779453833365161	0.0182839931045817	0.14234762979684	0.0245761793660035	0.576494302587462	12	90	1
SPAC1039.06	2	997	16	100	1966	300	0.02	6.05092824264706	0.507121057985758	153.427656610354	0.000346960418247628	0.0081056951310096	0.0394383149448345	0.00682124182274837	0.159357966275649	34	68	1
SPAC1039.07c	20	387	32	100	1430	300	0.2	60.5092824264706	0.270629370629371	81.8779451015529	0.0320536759616915	0.0824086289383396	0.739018087855297	0.458367566252188	1.17844339381826	25	95	1
SPAC1039.08	6	270	8	100	995	300	0.06	18.1527847279412	0.271356783919598	82.0980213826486	0.00894678067296574	0.0515510685138513	0.221111111111111	0.0890204676960091	0.51293313171282	22	84	1
SPAC1039.09	0	1325	98	100	3060	300	0	0	0.433006535947712	131.004573880839	6.86079577586936e-05	0.00361700626993439	0	0.00209940350741602	0.110680391859992	30	70	1
SPAC1039.10	0	556	139	100	888	300	0	0	0.626126126126126	189.432213001789	0.000163537119410464	0.00862782071557021	0	0.00145220962036492	0.0766150479542634	38	62	1
SPAC1039.11c	0	415	7	100	3471	300	0	0	0.119562085854221	36.1730801022548	0.000219130104675367	0.0115656056310318	0	0.00760600593328198	0.401442171453113	10	90	1
SPAC105.01c	27	420	5	100	3151	300	0.27	81.6875312757354	0.133291018724215	40.3267194844774	0.0426651493190016	0.0961905090270707	2.02564285714286	1.34437885504174	3.030962939443	14	113	1
SPAC105.02c	36	695	15	100	1418	300	0.36	108.916708367647	0.490126939351199	148.286146990117	0.0364882820576937	0.0731995527717936	0.734503597122302	0.517403839578096	1.03796965830403	44	92	1
SPAC105.03c	16	460	2	100	2487	294	0.16	48.4074259411765	0.184961801367109	55.9595293851558	0.0203971408444745	0.0583971725868223	0.86504347826087	0.50727689280208	1.45233768223427	18	98	1
SPAC1071.01c	64	438	17	100	2319	300	0.64	193.629703764706	0.188874514877102	57.143306819306	0.111388470484912	0.191333971098625	3.38849315068493	2.5830986305451	4.43703478977712	26	138	3.73678482842057e-08
SPAC1071.02	6	200	13	100	3405	300	0.06	18.1527847279412	0.0587371512481645	17.7707143690075	0.0120377981913337	0.0698476070078659	1.0215	0.409887028414913	2.37831101861783	5	101	1
SPAC1071.03c	11	183	3	100	1677	300	0.11	33.2801053345588	0.10912343470483	33.0149036495054	0.0310191198715916	0.11338212509631	1.00803278688525	0.520190640246591	1.90141823786512	10	101	1
SPAC1071.04c	3	60	32	100	331	300	0.03	9.07639236397059	0.181268882175227	54.8422499333571	0.0125342590362304	0.165041493362126	0.1655	0.0414883974099226	0.546287343028636	15	88	1
SPAC1071.05	14	332	12	100	1458	300	0.14	42.3564976985294	0.227709190672154	68.892598647422	0.0237159658855808	0.0735706958351682	0.614819277108434	0.345778782611768	1.07266074527675	21	93	1
SPAC1071.06	32	249	5	100	1678	300	0.32	96.814851882353	0.148390941597139	44.8951469731561	0.0873364749233645	0.188130953267915	2.15646586345382	1.46550604921406	3.15683739583561	17	115	1
SPAC1071.07c	121	540	103	100	468	300	1.21	366.081158680147	1.15384615384615	349.092013998869	0.183053708904857	0.274109736093418	1.04866666666667	0.856691357674731	1.2828335649172	118	103	1
SPAC1071.08	17	350	200	100	320	300	0.17	51.4328900625	1.09375	330.910138269761	0.0288728253358103	0.0805650270136314	0.155428571428571	0.0923930410745931	0.25780808644362	61	56	1
SPAC1071.09c	54	138	333	100	2232	300	0.54	163.375062551471	0.0618279569892473	18.7058265565702	0.282128447504096	0.541739094337551	8.73391304347826	6.29710694829143	12.0916165856141	8	146	5.2805850176058e-21
SPAC1071.10c	184	7429	156	100	4273	300	1.84	556.68539832353	1.73859115375614	526.004515733969	0.0213365937667014	0.0287394690067932	1.05832817337461	0.911712651651149	1.22803751066027	180	104	1
SPAC1071.11	7	286	5	100	2136	300	0.07	21.1782488492647	0.133895131086142	40.5094915121035	0.010620030117285	0.0534328384872962	0.522797202797203	0.226843843305208	1.14132543008865	12	95	1
SPAC1071.12c	0	52	7	100	736	300	0	0	0.0706521739130435	21.3755617267423	0.00175540185204023	0.0937274199558428	0	0.0129197576310161	0.689833810875003	6	94	1
SPAC1071.13	0	486	44	100	3378	300	0	0	0.143872113676732	43.5279917987933	0.00018710262442124	0.00987282888147004	0	0.00632032665294948	0.333504159616058	12	88	1
SPAC1093.01	67	1480	27	100	5223	300	0.67	202.706096128677	0.283362052460272	85.7301723063149	0.0351544449523306	0.0581928828991267	2.36446621621622	1.83611665986023	3.03941427382139	36	131	0.00120218496331722
SPAC1093.02	49	500	4	100	992	300	0.49	148.247741944853	0.504032258064516	152.493151276388	0.072241385330146	0.132574763136195	0.97216	0.716634542475048	1.31514165031105	49	100	1
SPAC1093.03	6	211	14	100	3353	300	0.06	18.1527847279412	0.0629287205487623	19.0388586221075	0.0114179033243247	0.0661578947826625	0.95345971563981	0.382842298464608	2.21827421206267	6	100	1
SPAC1093.04c	9	252	3	100	4949	300	0.09	27.2291770919118	0.0509193776520509	15.4054750166403	0.0172114705131498	0.0714198555499456	1.7675	0.851795675695785	3.53456865116681	5	104	1
SPAC1093.05	18	319	6	100	2479	300	0.18	54.4583541838236	0.128680919725696	38.9319505729006	0.0340062030619307	0.0924293863700528	1.39880877742947	0.843013773905262	2.29132448811361	13	105	1
SPAC1093.06c	5	713	38	100	12942	300	0.05	15.1273206066177	0.055091948694174	16.667871414802	0.00257315361280873	0.0174586724641637	0.907573632538569	0.333017540569705	2.25950139031207	5	100	1
SPAC1093.07	0	255	15	100	1791	300	0	0	0.142378559463987	43.076122330402	0.000356743458837867	0.0188482859603479	0	0.00638927534778619	0.337572801549832	12	88	1
SPAC10F6.01c	80	1894	79	100	4905	300	0.8	242.037129705883	0.386136595310907	116.824241504317	0.0335449625681697	0.0531126279199619	2.07180570221753	1.64538041396873	2.60517439947413	50	130	0.013501979794282
SPAC10F6.02c	1	342	15	100	3591	300	0.01	3.02546412132353	0.0952380952380952	28.8139440126051	0.000152228970144069	0.0190713374481175	0.105	0.00546654231787351	0.684851727761898	8	93	1
SPAC10F6.03c	139	1395	36	100	2113	300	1.39	420.539512863971	0.660198769522007	199.740769013077	0.0833649427565623	0.119027658144144	2.10542652329749	1.76150124044616	2.51505441658577	95	144	0.000146222749434448
SPAC10F6.04	0	379	4	100	2665	300	0	0	0.142213883677298	43.0263002619744	0.000239956787065877	0.0126668140461121	0	0.00639484837530561	0.337570594328888	12	88	1
SPAC10F6.05c	2	339	33	100	2025	300	0.02	6.05092824264706	0.167407407407407	50.6485104754902	0.00101756903174249	0.023923303214751	0.119469026548673	0.0206057728927853	0.484446890098709	14	88	1
SPAC10F6.06	137	1782	192	100	890	300	1.37	414.488584621324	2.00224719101124	605.772703842532	0.0643582110766588	0.0917830998248201	0.684231200897868	0.572788078582264	0.816869588440899	158	79	1
SPAC10F6.07c	7	21	7	100	366	300	0.07	21.1782488492647	0.0573770491803279	17.3592203682498	0.129042770053757	0.825511699749734	1.22	0.472296538396749	3.02137282108403	5	102	1
SPAC10F6.08c	24	297	38	100	983	300	0.24	72.6111389117648	0.302136317395727	91.4102588029592	0.0520598217589268	0.124403330422387	0.794343434343434	0.511748047890251	1.22288473805207	28	96	1
SPAC10F6.09c	30	387	56	100	3689	300	0.3	90.763923639706	0.10490647872052	31.7390787463325	0.0524698680871611	0.113854900257615	2.85968992248062	1.93561343373537	4.2001072705034	12	118	0.0400545312026526
SPAC10F6.10	1	201	5	100	1670	300	0.01	3.02546412132353	0.120359281437126	36.4142687656305	0.000258537563140382	0.0325455909692719	0.0830845771144278	0.00431757730444438	0.54351136918684	10	91	1
SPAC10F6.11c	0	232	1	100	2545	300	0	0	0.0911591355599214	27.579869396741	0.000392144189851533	0.0207241763654203	0	0.00998006963172151	0.527430288499947	8	92	1
SPAC10F6.12c	3	54	6	100	987	300	0.03	9.07639236397059	0.0547112462006079	16.5526912412838	0.0138817681280433	0.184093203713225	0.548333333333333	0.137013051423787	1.81699992064953	5	98	1
SPAC10F6.13c	161	1575	80	100	1199	300	1.61	487.099723533089	1.31359466221852	397.423352050422	0.0866175842432273	0.120582615191613	1.22564444444444	1.03854483507629	1.44578555614744	148	113	1
SPAC10F6.14c	9	254	146	100	1579	300	0.09	27.2291770919118	0.160861304623179	48.6680105646724	0.0170776268058121	0.0708501152070026	0.559488188976378	0.269655727263773	1.11872331911857	15	94	1
