V4	Cdk9as_DMSOr2_pr_counts	Cdk9as_DMSOr2gb_counts	Cdk9as_DMSOr2term_counts	Cdk9as_DMSOr2pr_map	Cdk9as_DMSOr2gb_map	Cdk9as_DMSOr2term_map	Cdk9as_DMSOr2pr_density	Cdk9as_DMSOr2pr_densityRPKM	Cdk9as_DMSOr2gb_density	Cdk9as_DMSOr2gb_densityRPKM	Cdk9as_DMSOr2pause_index_CI_low	Cdk9as_DMSOr2pause_index_CI_high	Cdk9as_DMSOr2pause_index_scaled	Cdk9as_DMSOr2pause_index_CI_low_scaled	Cdk9as_DMSOr2pause_index_CI_high_scaled	Cdk9as_DMSOr2_ExpPR	Cdk9as_DMSOr2_ExpGB	Cdk9as_DMSOr2Fexact_Pval
SPAC1002.01	90	144	181	100	481	300	0.9	96.1723716651829	0.299376299376299	31.9908097015162	0.476197387253486	0.819839058879601	3.00625	2.29050943268927	3.94342587321088	43	147	1.65942163559442e-06
SPAC1002.02	86	281	98	100	837	300	0.86	91.8980440356193	0.335722819593787	35.8747330916188	0.238579313292765	0.392209400428799	2.56163701067616	1.99690885226045	3.28279268158905	46	140	6.11462296812208e-05
SPAC1002.03c	43	1100	217	100	2955	300	0.43	45.9490220178096	0.372250423011844	39.7780067049074	0.0284608775895665	0.053503587147437	1.15513636363636	0.841018932771689	1.58103100020676	38	105	1
SPAC1002.04c	117	196	37	100	641	300	1.17	125.024083164738	0.305772230889236	32.6742673710797	0.47168108976055	0.755154520118891	3.82637755102041	3.02347578536512	4.84054047396209	50	167	1.6178693133861e-13
SPAC1002.05c	22	514	364	100	2086	300	0.22	23.5088019626003	0.2464046021093	26.3303499711857	0.0272336255021232	0.0666262895301054	0.89284046692607	0.568093427974291	1.389824399598	24	98	1
SPAC1002.06c	20	43	37	100	311	300	0.2	21.3716381478184	0.138263665594855	14.7746051504211	0.264388969200382	0.81224604627984	1.44651162790698	0.822249694213187	2.5260852039303	14	106	1
SPAC1002.07c	60	272	66	100	1084	300	0.6	64.1149144434553	0.250922509225092	26.8131253515065	0.165098334464605	0.294179438928358	2.39117647058824	1.78966594559632	3.1889051179834	32	128	0.00912739900342636
SPAC1002.08c	182	486	185	100	1783	300	1.82	194.481907145148	0.272574312955693	29.1267979243964	0.314664312852072	0.445546739028221	6.67707818930041	5.61046469815245	7.94409835687317	60	222	1.35784350811385e-43
SPAC1002.09c	23	1791	116	100	2132	300	0.23	24.5773838699912	0.840056285178236	89.7668947531492	0.0083113070944781	0.0196622919851688	0.273791178112786	0.177197067254273	0.419200065123799	56	67	1
SPAC1002.10c	37	262	169	100	1806	300	0.37	39.5375305734641	0.145071982281285	15.5021295535117	0.0985226710530441	0.201593728936879	2.55045801526718	1.77931943921798	3.64078274460004	17	120	0.0784927979425736
SPAC1002.11	16	604	208	100	1871	300	0.16	17.0973105182547	0.322822020309995	34.4961770210645	0.0155679281041109	0.0443753301873197	0.495629139072848	0.291275934827915	0.830262427804752	28	88	1
SPAC1002.12c	202	460	108	100	1692	300	2.02	215.853545292966	0.271867612293144	29.0512811702024	0.370877552667695	0.519822380969204	7.43008695652174	6.2752481911374	8.79539468599893	64	238	3.20014081261467e-51
SPAC1002.13c	1402	10516	1707	100	1829	300	14.02	1498.15183416207	5.74958993985785	614.390778464895	0.126043421454851	0.141015599219827	2.43843476607075	2.30533417840923	2.57917530973063	1279	223	4.2251098161265e-17
SPAC1002.14	21	662	220	100	1485	300	0.21	22.4402200552094	0.445791245791246	47.6364459725784	0.020007211412665	0.0497780648090686	0.47107250755287	0.297107089478076	0.739204262414668	37	84	1
SPAC1002.15c	12	583	17	100	2754	300	0.12	12.8229828886911	0.211692084241104	22.6210331157918	0.0110829669292195	0.037313375711571	0.566861063464837	0.305224909230704	1.02761036709667	19	93	1
SPAC1002.16c	4	281	23	100	1906	300	0.04	4.27432762956369	0.147429171038825	15.754014479373	0.0045258435577651	0.0394815460868069	0.271316725978648	0.0862625782110029	0.752518268414539	13	91	1
SPAC1002.17c	5	654	158	100	990	300	0.05	5.34290953695461	0.660606060606061	70.5911684276427	0.00280444475331356	0.0190399872493499	0.0756880733944954	0.0277640030578043	0.188495873768564	41	64	1
SPAC1002.18	16	549	110	100	1505	300	0.16	17.0973105182547	0.364784053156146	38.9801639307386	0.0171156723175109	0.0488559354138262	0.438615664845173	0.257590868378539	0.735281827978084	31	85	1
SPAC1002.19	4	651	43	100	1563	300	0.04	4.27432762956369	0.416506717850288	44.5071543001593	0.00196190889578015	0.0169601174724995	0.096036866359447	0.0306646360410438	0.265086636095167	30	74	1
