Cdk9as_3MBPP1_18Cr2_pr_counts	Cdk9as_3MBPP1_18Cr2gb_counts	Cdk9as_3MBPP1_18Cr2term_counts	Cdk9as_3MBPP1_18Cr2pr_map	Cdk9as_3MBPP1_18Cr2gb_map	Cdk9as_3MBPP1_18Cr2term_map	Cdk9as_3MBPP1_18Cr2pr_density	Cdk9as_3MBPP1_18Cr2pr_densityRPKM	Cdk9as_3MBPP1_18Cr2gb_density	Cdk9as_3MBPP1_18Cr2gb_densityRPKM	Cdk9as_3MBPP1_18Cr2pause_index_CI_low	Cdk9as_3MBPP1_18Cr2pause_index_CI_high	Cdk9as_3MBPP1_18Cr2pause_index_scaled	Cdk9as_3MBPP1_18Cr2pause_index_CI_low_scaled	Cdk9as_3MBPP1_18Cr2pause_index_CI_high_scaled	Cdk9as_3MBPP1_18Cr2_ExpPR	Cdk9as_3MBPP1_18Cr2_ExpGB	Cdk9as_3MBPP1_18Cr2Fexact_Pval
SPAC212.08c	0	3	3	0	437	300	NA	NA	0.0068649885583524	1.56678594458348	0.0327971598819604	2.22593021867193	NA	NA	NA	0	0	1
SPAC212.07c	0	7	3	100	690	300	0	0	0.0101449275362319	2.31536145144003	0.0134151780994594	0.782741335671289	0	0.0925647288862702	5.40091521613189	1	99	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	51	0	0	598	35	NA	NA	0.0852842809364548	19.4643023115563	0.00178997256498559	0.0955981914009031	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	2	0	0	34	0	NA	NA	0.0588235294117647	13.4252050545682	0.0514242900386907	4.05388820080272	NA	NA	NA	0	0	1
SPAC977.02	0	3	1	0	166	0	NA	NA	0.0180722891566265	4.12461119146373	0.0327971598819604	2.22593021867193	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	1	0	0	0	34	0	NA	NA	0	0	0.0577765545925511	8.27870929775896	NA	NA	NA	0	1	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	512	15	100	2712	300	0	0	0.188790560471976	43.0873837739535	0.000177597193368068	0.00937058673125631	0	0.00481643588414202	0.254130312151671	15	85	1
