baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	207.936705975806	0.329277153411537	0.46371710513716	0.71008196541325	0.477653309220236	0.737400704460843
SPAC1002.02	584.397325682072	0.284156966785815	0.391052097237113	0.726647341347762	0.467442019369342	0.728850645444984
SPAC1002.03c	1796.69765707357	0.553887408335773	0.306703836154898	1.80593570422783	0.0709283832371452	0.268046261014887
SPAC1002.04c	474.632554033729	-0.0354995412366928	0.377365016721095	-0.0940721573640991	0.925051837482624	0.971380818234699
SPAC1002.05c	809.46388764662	0.115866857626834	0.349385909991095	0.331630023745911	0.740168645713157	0.891361387684814
SPAC1002.06c	115.926003189914	-0.939848350654829	0.493776139456275	-1.9033895637196	0.0569897317912688	0.235552690273713
SPAC1002.07c	764.158307518747	0.982241192944385	0.364694009756217	2.69332965902284	0.00707422837859226	0.064925919628275
SPAC1002.08c	864.409974531431	-0.136361655068746	0.387471643388242	-0.351926798762183	0.72489316074649	0.884593263554345
SPAC1002.09c	4044.68922057487	0.30053390255424	0.306359595666409	0.980984133695905	0.326600565845098	0.603427195306968
SPAC1002.10c	630.262478903617	0.149525620791379	0.358514955171601	0.417069409893403	0.676627639062196	0.861106791532542
SPAC1002.11	700.585395294898	0.751890150133724	0.374292839019192	2.00882857418272	0.0445553168060214	0.203447207383192
SPAC1002.12c	1210.00962322381	-0.294978902691323	0.327631692214278	-0.900336901774449	0.367940988689752	0.64509653777888
SPAC1002.13c	8656.83680042116	0.392433950165572	0.318798341798681	1.23097864296105	0.218330852140827	0.491168290799378
SPAC1002.14	813.083956749187	0.267337816007175	0.380869285288731	0.7019148729846	0.482732253043042	0.739631559400073
SPAC1002.15c	753.604204348614	-0.553683522761004	0.341832465512696	-1.61975113139287	0.10528574768668	0.327759597817499
SPAC1002.16c	604.656098696085	0.987527494825786	0.359867684707718	2.74414051827924	0.00606695619836047	0.0588631599877019
SPAC1002.17c	272.171560440174	0.129387791180469	0.435974171884502	0.29677856975148	0.766635567610398	0.904264047756346
SPAC1002.18	381.681806809215	0.32045980948067	0.400089269359864	0.800970768332278	0.423148568829663	0.692932630987052
SPAC1002.19	409.788356962726	-0.563678949077489	0.418099571752207	-1.34819307925903	0.177596289976856	0.440621035718336
SPAC1002.20	25.6485087393775	-0.578930933034207	0.523208583994184	-1.10650121336817	0.268509639127797	0.546851070597395
SPAC1006.01	4050.94407982485	0.684595151781302	0.300487482494873	2.27828176434266	0.0227097954324448	0.134800831552449
SPAC1006.02	716.702795690592	-0.873516304860938	0.358301424038372	-2.43793701687155	0.0147713474131236	0.103601355140714
SPAC1006.03c	3447.11189006981	0.492900084055459	0.310821442831276	1.58579819836632	0.1127850945291	0.341477911732403
SPAC1006.04c	564.829246426115	-0.770092582739308	0.394368940265246	-1.95272118088548	0.0508526424842402	0.220794918780833
SPAC1006.05c	3180.45807729867	0.699660303200058	0.301325911706385	2.32193872487745	0.0202362352642618	0.127007966853129
SPAC1006.06	4823.2246923864	0.741032617605932	0.323090825827852	2.29357369002104	0.0218149980853438	0.131723973583799
