baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	461.957014288491	0.334053554463808	0.484541695860511	0.689421689232652	0.490557938323808	0.792335137781574
SPAC1002.02	198.602504345429	0.747225036315174	0.524467151063078	1.4247318155209	0.154234738653081	0.476572619339967
SPAC1002.03c	372.015413009139	-1.27468855400544	0.462540516172803	-2.75584194126948	0.00585412785500494	0.0830068704042625
SPAC1002.04c	45.8862505118442	0.553804802260155	0.724201653668292	0.764710767304897	0.444443793142368	0.760511001566552
SPAC1002.05c	733.729539200494	-1.06630428974292	0.455783471930457	-2.33949749258484	0.0193097011913731	0.166562415794765
SPAC1002.06c	78.4457886489859	-0.351304785632315	0.657397084943782	-0.534387501371956	0.593073464495033	0.852410420894005
SPAC1002.07c	123.575825724711	0.407065100805744	0.595174355034836	0.683942608350319	0.494011407086119	0.794559767212999
SPAC1002.08c	279.452718066796	-0.495908024782563	0.520603272544683	-0.952564171098251	0.340810937884619	0.682983832972521
SPAC1002.09c	272.794927113915	-1.53234619670246	0.510805698200688	-2.99986120378091	0.00270102656702868	0.0531008566505731
SPAC1002.10c	352.930322804373	-0.714915000214777	0.464275091045522	-1.53985215662729	0.123596395098565	0.433805748185491
SPAC1002.11	164.888318478891	-0.257974008657078	0.560759305840455	-0.46004409729845	0.645484568637183	0.867828352739753
SPAC1002.12c	136.095261735989	-0.873878089536848	0.587698872503455	-1.48694872565322	0.13702835371705	0.456916631545814
SPAC1002.13c	3909.7700701534	-0.368652309195876	0.379677914905299	-0.970960634588996	0.331567881816565	0.67990213582455
SPAC1002.14	387.626615011499	-1.17392326467596	0.492401362176979	-2.38407802018636	0.0171219719255085	0.156094904794571
SPAC1002.15c	36.4574988099002	-0.816795596138608	0.746891803001555	-1.09359293120654	0.274133550855577	0.62244562099844
SPAC1002.16c	26.8150839168798	-0.0586405490562997	0.76207310238313	-0.0769487190571625	0.938664340205503	0.986479335493777
SPAC1002.17c	32.9280170860267	0.863405038126117	0.751547269372726	1.14883663784282	0.250623348756728	0.596673492638139
SPAC1002.18	40.8139495034436	-0.828007563346815	0.735121324574119	-1.12635497797116	0.260015295474514	0.608189061567941
SPAC1002.19	31.8077088288419	-1.49904663761297	0.765871745372674	-1.95730766498447	0.0503113068719337	0.279855588603682
SPAC1002.20	158.723994928425	-0.229511171946884	0.559418587953155	-0.410267332708119	0.681609852823581	0.881063904613428
SPAC1006.01	719.125710704889	-0.683489650147163	0.405513722230148	-1.68549080506639	0.0918939173561462	0.376447260186845
SPAC1006.02	120.544037382917	-0.457182446165638	0.635058783150905	-0.719905713133016	0.471583050190652	0.779949924981175
SPAC1006.03c	170.000982608554	-0.606728461251236	0.549126652159051	-1.10489712867825	0.269204166746428	0.618743507736697
SPAC1006.04c	281.105909046929	0.221817735957954	0.515087656769249	0.430640752195941	0.666729604851458	0.879963578319097
SPAC1006.05c	151.949929966569	-0.857379480260505	0.597822672686917	-1.43417023045815	0.151523690145345	0.47298328194764
SPAC1006.06	90.7546645013586	-0.610616638880412	0.639667985185076	-0.954583710647549	0.33978825797813	0.682983832972521
SPAC1006.07	2792.58355825765	-1.51159102023962	0.411874095091447	-3.67003178460158	0.000242520310953132	0.0100929394344067
SPAC1006.08	180.888924597758	-1.07362500059839	0.548636859306094	-1.95689549906707	0.0503597558548958	0.279855588603682
SPAC1006.09	190.424046560207	-1.06710728383359	0.577005271095188	-1.84938914302838	0.0644016420141499	0.31997294058002
SPAC1039.01	108.197694759026	-2.05362658410856	0.647719698860105	-3.17054829075393	0.00152151540311041	0.0363857918602038
SPAC1039.02	449.824383389949	-0.325368590459169	0.512082257471934	-0.635383448091837	0.525178360562129	0.812291570945723
SPAC1039.03	49.4302209535286	-1.37332894078952	0.722241139282348	-1.90148257430215	0.0572388328324841	0.300199410493773
SPAC1039.04	102.306507156996	0.823032459310515	0.622892577536788	1.32130721891915	0.186398947926607	0.519609413157955
SPAC1039.05c	80.4554291420397	-0.6897881892508	0.656305457631764	-1.05101699403789	0.293250784860372	0.641448559785026
SPAC1039.06	56.5164980485299	-0.469445161526537	0.690386944691258	-0.679973984352316	0.496520933791939	0.794954450330387
SPAC1039.07c	140.866784831157	-0.728855759409292	0.582219425595029	-1.25185750830007	0.210621790480817	0.551332960241144
SPAC1039.08	28.6431902209221	0.057381460446479	0.761502962098266	0.0753529051132888	0.939933928898817	0.986882799130835
SPAC1039.09	19.9416259852031	-0.361595592422539	0.766671918452368	-0.471643194069856	0.637181490237909	0.864119283213966
SPAC1039.10	37.5364175027804	-0.506622895147628	0.750150446414652	-0.675361719197841	0.49944598036339	0.797097625686826
SPAC1039.11c	160.556024025253	-0.703990177862898	0.564450012375249	-1.24721438998726	0.212318897924557	0.552971324050026
SPAC105.01c	65.5767708015889	-0.833304101490693	0.678650909451101	-1.2278832753126	0.219490788680987	0.562911750562803
SPAC105.02c	520.10570478403	0.00812246495460198	0.495951858915375	0.0163775269889409	0.986933208210535	0.99425677735435
SPAC105.03c	125.805978659413	-1.89262587524349	0.635461875152234	-2.97834685171331	0.0028980781928784	0.054615955907587
SPAC1071.01c	100.847286761694	-0.16921471950324	0.643161864442598	-0.263098185477603	0.792474902472911	0.934665375404653
SPAC1071.02	76.4330451237614	-0.440939909941824	0.665073682162214	-0.662994073841998	0.507334349524357	0.801811458396913
SPAC1071.03c	85.8693082528315	0.0179478511328589	0.644976043502874	0.0278271593397235	0.977800004326193	0.993049135380834
SPAC1071.04c	139.171566941395	0.698462405492749	0.575841067953354	1.21294302258645	0.22515160533826	0.571031823924801
SPAC1071.05	226.812465306735	-0.29306227052706	0.543149132496936	-0.53956133406641	0.589499588075949	0.849012007756145
SPAC1071.06	91.8348157556151	-0.910604295118289	0.628267033737721	-1.44939053972142	0.147228549110632	0.468520590223473
SPAC1071.07c	566.25667557335	-0.0406975929430635	0.424839421989215	-0.0957952365919956	0.923683200610906	0.981413400649087
SPAC1071.08	746.72650263134	0.384618370824206	0.447518852378631	0.859446185964905	0.390094397706739	0.720701929922886
SPAC1071.09c	799.545044794617	-0.891667615667101	0.476386622951781	-1.87173101155142	0.0612438268841491	0.312155042990477
SPAC1071.10c	4107.84672122536	-1.28840384020006	0.403330602883526	-3.19441131168549	0.00140116329628496	0.0340030399265601
SPAC1071.11	73.5713810182023	-1.15731951829938	0.700979602563243	-1.6510031305725	0.0987379356586407	0.387752101492787
SPAC1071.12c	99.7820370260094	0.52785086868117	0.623624709081968	0.846423916490118	0.397316301124999	0.726712378399007
SPAC1071.13	202.734592041853	-1.13337997064104	0.521844752334631	-2.17187193235253	0.0298653240829387	0.212667428682836
SPAC1093.01	289.063234343221	-1.53807633678679	0.487567173636685	-3.15459370513919	0.00160721756293599	0.0378700638266794
SPAC1093.02	443.404521481933	-0.326410701103416	0.438402210313665	-0.744546203062888	0.456546100150994	0.769288858642519
SPAC1093.03	66.3685805384317	-0.300537073254906	0.672288839598432	-0.447035642350424	0.654849325439706	0.873996111358408
SPAC1093.04c	16.1962463329705	-1.09367310436124	0.754045297943255	-1.45040769744782	0.146944861848499	0.46823512786735
SPAC1093.05	328.846297850328	-0.731626081308791	0.464679183944274	-1.57447569546504	0.115377516104207	0.417535008871746
SPAC1093.06c	19.4944973829222	-0.879889013523479	0.763592359185865	-1.1523020142077	0.249196989578897	0.595489748773732
SPAC1093.07	30.0957432168499	-0.0969081229946007	0.760597658687579	-0.12741049342936	0.898615511372384	0.971585155197832
SPAC10F6.01c	844.864960396514	-0.939044119696679	0.406499592923234	-2.3100739485218	0.0208840604516153	0.174062729433622
SPAC10F6.02c	124.812966394449	-0.262518414193111	0.599839026228712	-0.43764810676559	0.66164139258344	0.877424993869784
SPAC10F6.03c	517.772017722483	-0.960745510493158	0.44793188390697	-2.14484734177282	0.0319650546234947	0.222195265815594
SPAC10F6.04	5.93965736646863	-0.413050501067714	0.646748436516496	-0.638657131190728	0.523046006339243	0.810297765198987
SPAC10F6.05c	375.542460282394	1.38361636848486	0.500006656289616	2.76719589845507	0.00565407682624318	0.0815922882556215
SPAC10F6.06	3907.58938949847	-0.634092691989966	0.376212171778107	-1.6854656482618	0.0918987670648477	0.376447260186845
SPAC10F6.07c	74.9144849885903	-0.967053539178142	0.66676400682539	-1.45036854011136	0.146955775163445	0.46823512786735
SPAC10F6.08c	83.5537102252463	1.378569708941	0.657665649329834	2.09615586635211	0.0360683665298649	0.234444382444122
SPAC10F6.09c	496.239722171501	-0.994306784121716	0.46059710496413	-2.15873433290283	0.0308707835831428	0.216585491115956
SPAC10F6.10	202.682867502087	-0.14832762681542	0.525619154740979	-0.282196007275486	0.777793219696782	0.927685838169472
SPAC10F6.11c	38.0947132941465	-1.49444756962539	0.744368622498018	-2.00767136665459	0.0446782252749495	0.264434872810355
SPAC10F6.12c	47.5586484960536	0.248203700736173	0.718482341731667	0.345455533587588	0.729751933975793	0.901847309072668
SPAC10F6.13c	458.167579971207	0.0268053666005756	0.44709557508658	0.059954443958397	0.952191917835225	0.988532689570436
SPAC10F6.14c	283.646046081925	-0.810144131593902	0.522395088823284	-1.55082647009332	0.120943275329783	0.428009636437648
SPAC10F6.15	0	NA	NA	NA	NA	NA
SPAC10F6.16	908.663266404926	0.306835245151488	0.454266683887387	0.675451790841769	0.499388770466721	0.797097625686826
SPAC10F6.17c	139.874415752424	-0.951849568437379	0.611011805885925	-1.55782516682679	0.119274698420614	0.42468419009873
SPAC110.01	552.70020862099	-0.626852834071587	0.482042828468545	-1.30040900320643	0.193460825828573	0.529807920976517
SPAC110.02	328.856322934479	-1.29859287155863	0.517780080260052	-2.50800083098295	0.0121416381612916	0.12756681799298
SPAC110.03	312.520060016914	-0.330752257550721	0.482952883231245	-0.684854090398611	0.493435998727361	0.794421609443677
