baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	179.690203909708	0.025980180768005	0.440697766509244	0.0589523767587782	0.952990039937844	0.981113810646869
SPAC1002.02	724.710261634675	0.756724078814044	0.342966624233492	2.20640734504494	0.0273554912176264	0.102309219620652
SPAC1002.03c	1838.75266108099	0.62288427546383	0.260669520486856	2.38955545819266	0.0168687768605998	0.0726620308086266
SPAC1002.04c	473.852427425818	-0.0371177201134043	0.342734873008069	-0.108298638500467	0.913758802584599	0.962920968741644
SPAC1002.05c	957.204523249118	0.519179463998084	0.304605900761162	1.70443009377276	0.0883007657301855	0.234933994370485
SPAC1002.06c	114.081823120987	-0.999225344244346	0.482905418072124	-2.06919472602626	0.0385278174321463	0.130122251327437
SPAC1002.07c	962.12812390541	1.4515156361632	0.305096468649038	4.75756288688126	1.9594422365548e-06	8.09400370023022e-05
SPAC1002.08c	903.05874261685	-0.0316522813907003	0.314016248352572	-0.10079822797947	0.919710633545269	0.966033467410874
SPAC1002.09c	4489.7855872843	0.559770638129772	0.22812182214014	2.45382328125493	0.0141346424857871	0.0637281859725531
SPAC1002.10c	660.633965126019	0.274695550411928	0.332358756392922	0.826503123892956	0.408518746723205	0.645219314677532
SPAC1002.11	825.358683398758	1.10185712963102	0.306886854353449	3.59043443536353	0.000330127266307521	0.00376520372404543
SPAC1002.12c	1358.40760912774	0.0232634545544167	0.280395596059907	0.0829665475539296	0.933878139062676	0.972355910182564
SPAC1002.13c	9214.51052298333	0.55970894032345	0.229261811784442	2.44135268742316	0.0146323567638084	0.0649457484870146
SPAC1002.14	975.44308287848	0.667615593522413	0.339074207174488	1.96893653187503	0.0489603798053918	0.155446429286095
SPAC1002.15c	731.000523126474	-0.658270063373411	0.314337120433727	-2.09415312599772	0.0362463418218043	0.124088176135122
SPAC1002.16c	627.752739278881	1.05829997777282	0.358679078800598	2.9505483880234	0.00317210352947439	0.0202989425461102
SPAC1002.17c	355.350982493075	0.580217749473672	0.469727315523972	1.2352225010088	0.216747707259286	0.432614155216009
SPAC1002.18	522.492083016516	0.956213099720979	0.355734370409484	2.68799750392487	0.0071881933979893	0.0377204546063868
SPAC1002.19	724.760235804187	0.255425942582581	0.481479508180686	0.530502208801638	0.595763777978679	0.798138380433018
SPAC1002.20	27.7463375224101	-0.453543101570828	0.516967734874183	-0.877314135825535	0.380316036331793	0.618565506845552
SPAC1006.01	4006.83767414731	0.6705759476408	0.277358874718495	2.41771945578234	0.0156181129962234	0.0686983755274154
SPAC1006.02	779.625181776745	-0.583871696749357	0.329245313887918	-1.77336372644052	0.0761684555952935	0.211382225605543
SPAC1006.03c	3448.2261980459	0.513745758198325	0.24712910092702	2.07885577324234	0.0376306087784632	0.127896436164777
SPAC1006.04c	632.755080645084	-0.434043406232791	0.352072404262563	-1.23282427414873	0.217641332816008	0.433399489699122
SPAC1006.05c	2589.13564462724	0.246147471224867	0.242466304493264	1.01518217856826	0.310018994131148	0.545415841204573
SPAC1006.06	4086.90755137584	0.407071744101717	0.237833040233029	1.71158617702093	0.086972957491631	0.232360587925402
SPAC1006.07	6120.7830424847	1.34948237815539	0.242991195383435	5.5536266490065	2.79802769779135e-08	2.95581811222418e-06
SPAC1006.08	750.563895577998	0.228093067510335	0.301765087507473	0.755863010510409	0.449731333365834	0.683205017866048
SPAC1006.09	5251.34389295448	-0.44659559462161	0.233582678266344	-1.91193798245766	0.0558841491529957	0.171158487234745
SPAC1039.01	858.480382856845	0.886267026972471	0.312525231980798	2.83582551512808	0.00457074099226656	0.0269230849672447
SPAC1039.02	1171.74019798326	1.05943301716604	0.358015418841878	2.95918265362182	0.00308456215988458	0.0198769185582962
SPAC1039.03	734.58497265232	0.540442436163787	0.322138285069521	1.67767217127624	0.093411115009643	0.244890653019585
SPAC1039.04	1025.40646720276	0.757509852735429	0.289189499349788	2.61942378419206	0.00880784520970774	0.0442383121834425
SPAC1039.05c	725.379633310656	0.210075374185836	0.328699546159272	0.639110630484547	0.522750964832265	0.74376456480046
SPAC1039.06	741.570250804847	1.13335978321279	0.330701395724734	3.42713940087561	0.000609975847303638	0.00598277680369048
SPAC1039.07c	570.972202653383	0.869388139492223	0.339466428055945	2.56104305945961	0.01043584208916	0.0505628318966521
SPAC1039.08	316.992118381684	-0.0877376241184718	0.376486729889765	-0.233043072047084	0.815727959729519	0.924761803696013
SPAC1039.09	397.357390909265	0.100296494523036	0.371957479751001	0.269645053488849	0.787433336022677	0.909801181642534
SPAC1039.10	402.815732686806	-0.128065705524219	0.435126212588129	-0.294318526026012	0.768514517533983	0.899798125426007
SPAC1039.11c	977.492489561153	0.702954512646083	0.287899442089004	2.44166681097202	0.0146196325075142	0.0649457484870146
SPAC105.01c	1948.56736763393	-0.00302319694186748	0.27075490533765	-0.0111658067213864	0.991091160327102	0.995461100125511
SPAC105.02c	1968.41386155739	1.80081047610426	0.283885903932809	6.34343041044574	2.24704498014679e-10	4.13163733441093e-08
SPAC105.03c	1325.85411168118	0.389290494266871	0.27807045783337	1.39997070274955	0.161522091853586	0.356332885965254
SPAC1071.01c	2554.77939707252	-0.0610853430344748	0.246359586104828	-0.247951963226966	0.804171574105538	0.919950581135468
SPAC1071.02	1125.76093446796	-0.0552870790707178	0.291871351041375	-0.189422767508554	0.849761481584268	0.940458147598589
SPAC1071.03c	1243.91090462895	0.348864586239876	0.27619802816728	1.26309586116446	0.206554731247328	0.41856562520685
SPAC1071.04c	72.926203426349	1.39167014490391	0.525216348948071	2.64970834912358	0.00805612820382079	0.041398476989969
SPAC1071.05	903.772302798201	0.75476125168095	0.293156638485233	2.57460058070276	0.0100355903158799	0.0490345196051561
SPAC1071.06	950.099668995234	0.113353696060793	0.288619663290758	0.392744190636101	0.694508428451522	0.85653195543493
SPAC1071.07c	930.441889476269	1.43695849444095	0.298888444195481	4.80767497823081	1.52695752686361e-06	6.63266729283029e-05
SPAC1071.08	346.4615952598	1.30209358882274	0.385875759464394	3.37438555515921	0.000739806705634999	0.0069292360626627
SPAC1071.09c	991.830870085974	-0.0708574650377947	0.301901705444486	-0.234703758739859	0.814438670168607	0.924474685673156
SPAC1071.10c	52649.9372477086	-0.230278234788131	0.22586186136422	-1.01955342702498	0.30794030242475	0.543364542394602
SPAC1071.11	2272.6574433232	-0.125770210318347	0.268406116873572	-0.468581758803912	0.639368618352529	0.823619402475456
SPAC1071.12c	190.052195257254	1.21780151662453	0.441056425515866	2.76110140601664	0.00576067866938528	0.0321400981346483
SPAC1071.13	1958.29140243836	-0.1073624824099	0.256169176278246	-0.419107731733052	0.675137400345507	0.845437280387616
SPAC1093.01	6205.4972917363	-0.892211986383055	0.245410383949421	-3.63559182796006	0.000277343175468737	0.00330351094772743
SPAC1093.02	1419.66720643193	1.00691317824962	0.277289203163674	3.63127437621609	0.000282025153625645	0.0033224316087087
SPAC1093.03	1266.57106310985	0.107318392202631	0.290828556585957	0.369009128479143	0.712120920671944	0.866408964816981
SPAC1093.04c	1427.05445811448	-0.227222665440596	0.270633724864116	-0.839594790171416	0.401135621320222	0.638085220232324
SPAC1093.05	1840.84820424539	0.451800781841636	0.281568430865876	1.60458606972473	0.108584929094848	0.271525527003181
SPAC1093.06c	4686.07244761161	-0.089225763517026	0.229066520809548	-0.389519006102208	0.696892253796184	0.857508818686769
SPAC1093.07	303.918002539525	-1.00042343222634	0.383855825554542	-2.60624788169116	0.00915401871951445	0.0456562925926527
SPAC10F6.01c	12607.4322131777	-0.211416785385522	0.218078908797506	-0.969450858642322	0.33232028745062	0.569540407535053
SPAC10F6.02c	1599.85001722536	0.313409662640007	0.273266881787254	1.14689954593182	0.251423140386765	0.476190486071777
SPAC10F6.03c	5395.9163880222	0.169650733248398	0.302352940971146	0.561101647311537	0.5747282452353	0.784778786838977
SPAC10F6.04	1140.46257841936	0.30866322883331	0.307969484525807	1.00225263976583	0.316221589962277	0.552830148051252
SPAC10F6.05c	774.425932056735	0.729048840838865	0.302922016191651	2.40672120833111	0.0160964524742206	0.0702791957581599
SPAC10F6.06	2540.47492090629	0.0421913523577996	0.293930582860866	0.143541893283596	0.885862227737201	0.954810375067125
SPAC10F6.07c	130.473178605811	-0.0837427363690506	0.480286421162607	-0.174359991619872	0.861582554710608	0.944567238791257
SPAC10F6.08c	943.423087842299	0.547912023921557	0.302084988972302	1.81376779357877	0.0697134828342046	0.198863959001157
SPAC10F6.09c	4159.17137832563	-0.166886376582471	0.231257025260236	-0.721648894318656	0.470510370032516	0.702495093718613
SPAC10F6.10	1000.04762414225	0.894694125103785	0.295893310644175	3.0237051427624	0.00249699673566037	0.0170091405545406
SPAC10F6.11c	1383.17991449382	-0.121856904247325	0.268321220180022	-0.454145610121962	0.649724027164194	0.830662361247359
SPAC10F6.12c	355.869816756201	-0.302335436353433	0.397463479603749	-0.760662178710976	0.446858870596424	0.680907676075516
SPAC10F6.13c	3400.6829512423	0.686667591549549	0.259649810144189	2.6445911559428	0.00817896733914376	0.0418960775305583
SPAC10F6.14c	1095.97891885693	-0.34371218500697	0.305248177000217	-1.12600896878321	0.260161723067374	0.485936853172799
SPAC10F6.15	69.1762766416621	-1.75028509180911	0.525877321898173	-3.32831445457924	0.000873731843947811	0.00787458461874083
SPAC10F6.16	1385.46885810886	1.2158453531197	0.320574448390006	3.792708243673	0.000149013196008717	0.00206503448404337
SPAC10F6.17c	963.907377238879	0.480310052022409	0.288193445969239	1.66662378600267	0.0955892361420189	0.249383416072538
SPAC110.01	8155.77842193059	-0.214992886846724	0.255566241700706	-0.841241336946619	0.400212747181908	0.637885466940443
SPAC110.02	3146.66059280153	-0.407369632819763	0.236553718143191	-1.72210200717781	0.0850510415814741	0.228552507068815
SPAC110.03	4033.15731607922	0.128448271159076	0.249652168168355	0.514508934977308	0.606896215110142	0.804865036050577
SPAC110.04c	9304.36967493696	0.438680738693431	0.223473448794094	1.96301055476898	0.0496449476242931	0.157282223446876
SPAC110.05	295.284302331769	-1.24368503887827	0.414259132728686	-3.00219099742287	0.00268043942707485	0.0177338312813863
SPAC1142.01	1811.18219831442	-0.00644049756748034	0.260334337232533	-0.0247393318758702	0.980262882371822	0.992117797079318
SPAC1142.02c	1807.57946143771	0.426995288333789	0.262546254412758	1.62636214060207	0.103872639702	0.263214821171721
SPAC1142.03c	1022.09501696386	1.50039613570549	0.29688771090744	5.05374955103232	4.33219621556703e-07	2.53787931028308e-05
SPAC1142.04	2308.73434661695	0.497961373547195	0.245483111450955	2.02849544558866	0.0425097076658359	0.139761508264616
SPAC1142.05	1770.30667853218	0.0613048258386511	0.306599593151853	0.199950773608131	0.841519080553079	0.937864118153414
SPAC1142.06	2342.97220776447	-0.679770561285375	0.271860654663888	-2.5004374469921	0.0124040036298631	0.057753901293958
SPAC1142.07c	502.337040940981	0.731465613215989	0.35431573288366	2.06444576215351	0.0389754713827647	0.130988426577204
SPAC1142.08	1610.12613373643	0.780301953266656	0.266016777698486	2.93328097580026	0.00335400207033441	0.0210449750158081
SPAC1142.09	0	NA	NA	NA	NA	NA
SPAC11D3.01c	6.52911593295668	-0.0700379198514811	0.362015321051532	-0.193466728557356	0.846593460547206	0.939367864600667
SPAC11D3.02c	518.034021263763	0.478985030046328	0.334349326875715	1.43258858787647	0.151975445004917	0.34118476307996
SPAC11D3.03c	96.1213111457753	-0.85615415510403	0.498628555942211	-1.71701789819525	0.0859759017971903	0.230461194334898
SPAC11D3.04c	506.067149258632	-0.430437708662921	0.348868001357181	-1.2338125221815	0.217272772180661	0.432895532527211
SPAC11D3.05	2970.65457674278	0.489500835393703	0.258171143754861	1.8960323306252	0.0579557695225474	0.17525433073829
SPAC11D3.06	680.747225797042	0.404929382713875	0.354705768934958	1.14159232292646	0.253623516607278	0.478019871604942
SPAC11D3.07c	2445.65892847112	-0.57299051970914	0.253560089282722	-2.25978197645391	0.0238347855550226	0.0929889277088045
SPAC11D3.08c	1637.82878690227	-0.0767460698157794	0.284719494670107	-0.269549754240404	0.787506660111728	0.909801181642534
SPAC11D3.09	100.395245981144	0.727431476584601	0.499714565274257	1.45569396438418	0.145477239125605	0.331256299973639
SPAC11D3.10	379.681552128278	-0.353280837134371	0.362516329128896	-0.974523928296643	0.329796464160279	0.567024657163511
SPAC11D3.11c	763.387921782607	0.626192911355593	0.30366037554023	2.06214890646024	0.0391935613769941	0.13147065490544
SPAC11D3.13	487.497985628678	1.59017135221442	0.36184906535093	4.39457084315592	1.10991804221082e-05	0.00028609247456026
SPAC11D3.14c	2611.85316744718	-0.592835408063502	0.264840691073908	-2.23846043317438	0.0251910448712665	0.0966256506847864
SPAC11D3.15	3053.54526342731	-0.175576875542468	0.260096854643243	-0.675044209140073	0.499647677776511	0.727458119202855
SPAC11D3.16c	984.859220976246	0.0606287552462302	0.327805917398656	0.18495320562654	0.853265738754945	0.941122780242892
SPAC11D3.17	1214.20327809731	0.210122582244139	0.278143867335422	0.755445677293132	0.449981615016257	0.683242584157578
SPAC11D3.18c	847.370258137725	-0.675289809741221	0.297210293914395	-2.27209428330138	0.0230808163270229	0.0910237334218698
SPAC11D3.19	204.923044989986	0.415284565536513	0.439432692588553	0.945047040287805	0.344634861032773	0.582762316918404
SPAC11E3.01c	2922.51644199626	0.0239849472753661	0.237156249246726	0.101135632527285	0.919442792381802	0.966033467410874
SPAC11E3.02c	2155.54848673847	-0.0585801345072313	0.246771721153779	-0.237385929932897	0.812357404104466	0.923902420058098
SPAC11E3.03	154.478033534262	0.582114146475744	0.487301335267018	1.19456710734596	0.232256206957256	0.451480843931389
SPAC11E3.04c	872.439348996909	1.03563947077055	0.313380204540502	3.30473800120551	0.000950652224103929	0.00841483919248039
SPAC11E3.05	1032.32086805808	-0.705084383204966	0.293257812631632	-2.40431576870089	0.0162027708530541	0.0705001049136263
SPAC11E3.06	198.398898313365	-0.477467400440943	0.427816560475191	-1.11605637685134	0.264398003352758	0.491569744260003
SPAC11E3.07	1794.01151667451	1.107645697539	0.259805278597122	4.26336871798752	2.01367828629008e-05	0.00045281625947161
SPAC11E3.08c	532.692387772071	0.0304674565428155	0.330141088051782	0.0922861698996905	0.926470676297323	0.969499356619024
SPAC11E3.09	942.720055614836	-0.0918643515062306	0.314270449980662	-0.292309860859917	0.770049720028604	0.900090766527176
