baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	135.197054033543	-1.00150894364779	0.686125204351336	-1.45965916613516	0.144383769660709	0.932152891451344
SPAC1002.02	107.377496533199	-0.178267661939965	0.724126733043658	-0.246182959149524	0.805540606323341	0.994174348632238
SPAC1002.03c	119.630388617719	-0.557734951298166	0.733359687504863	-0.760520329656745	0.446943622025882	0.994174348632238
SPAC1002.04c	214.723121976585	-0.76656416901797	0.653351310272306	-1.1732802199455	0.240683451693233	0.994174348632238
SPAC1002.05c	19.4395250018521	0.309623590427804	0.954070255966826	0.324529130314456	0.745537471804526	0.994174348632238
SPAC1002.06c	49.8629721037717	-0.285219893456909	0.841016675183392	-0.339137025308938	0.734506507280098	0.994174348632238
SPAC1002.07c	111.66902815049	-0.403399291676168	0.718641989002276	-0.561335543775038	0.574568815380516	0.994174348632238
SPAC1002.08c	321.278457514883	-2.36066830528662	0.624036176011856	-3.7829029726664	0.000155009851114214	0.0279111677369897
SPAC1002.09c	19.7599669556792	0.69096031396478	0.956029459584472	0.722739563135532	0.469839904194002	0.994174348632238
SPAC1002.10c	38.1175174171359	0.0147404112172898	0.872917004740041	0.0168863833987053	0.986527255693466	0.998598774042281
SPAC1002.11	35.8839074406422	-0.137968530136924	0.882797298204402	-0.156285627989064	0.875807884339339	0.994174348632238
SPAC1002.12c	195.63524980976	-0.367587846454475	0.632097483876899	-0.581536639253673	0.560878831971407	0.994174348632238
SPAC1002.13c	1130.79076971729	-1.49425161736939	0.530779312565128	-2.81520319649993	0.00487464014108092	0.228071745813408
SPAC1002.14	37.5445456435228	-0.57098832318681	0.873493433896923	-0.653683589399699	0.513315678122238	0.994174348632238
SPAC1002.15c	13.4525852182494	-0.20109678750174	0.957994179887752	-0.209914414642167	0.833734471616781	0.994174348632238
SPAC1002.16c	5.68794884704544	0.797032522266911	0.858910073692014	0.927958056005651	0.353429327398578	0.994174348632238
SPAC1002.17c	13.218437236846	-1.20645126511063	0.954540992158171	-1.26390723397106	0.206263325032968	0.976870496458991
SPAC1002.18	3.68514150943396	-0.601217997710693	0.749069054895434	-0.802620257480294	0.422194256033482	0.994174348632238
SPAC1002.19	4.30126026925889	0.544443113218089	0.779380018679396	0.698559239612801	0.484827524204699	0.994174348632238
SPAC1002.20	3.53731871241599	0.393525775961412	0.739947152805243	0.531829569813873	0.594844040718562	0.994174348632238
SPAC1006.01	23.2076463531503	0.0313114284872249	0.930778493480129	0.0336400429388449	0.973164190678188	0.998598774042281
SPAC1006.02	474.244719896874	-1.04486238372472	0.552543119114939	-1.89100605469194	0.0586235359949141	0.732119010460344
SPAC1006.03c	220.879397998399	-0.278306405402687	0.646142611895854	-0.430719782721194	0.666672132724932	0.994174348632238
SPAC1006.04c	49.3333610560805	-2.59016979547667	0.918294893174748	-2.82062964166323	0.00479295025318546	0.226029447654191
SPAC1006.05c	281.136888004119	-0.366294524744055	0.636363552826936	-0.575605757301553	0.564881688689401	0.994174348632238
SPAC1006.06	17.0206683429626	-0.0276034683580169	0.953253444719578	-0.0289571136730978	0.976898794568956	0.998598774042281
SPAC1006.07	439.050859581068	-0.501193743678169	0.582209321361311	-0.860848023707844	0.389321751362351	0.994174348632238
SPAC1006.08	32.6977638823886	-1.5782327446458	0.905997858141646	-1.74198286504013	0.081511442611865	0.793860793278683
SPAC1006.09	127.259892141416	0.0142028958575102	0.717858279538263	0.0197850972292827	0.98421480624603	0.998598774042281
SPAC1039.01	7.69072497269502	-0.529938802549366	0.890296588922485	-0.595238495960929	0.551684061293677	0.994174348632238
SPAC1039.02	5.52771226415094	-0.870880300078428	0.817139610317601	-1.06576683969578	0.286529054396759	0.994174348632238
SPAC1039.03	77.2921505909522	-1.47068063591528	0.771844328212022	-1.90541095161263	0.0567266727353778	0.725800458770391
SPAC1039.04	5.11166294287296	-0.0426709654814847	0.835392215246383	-0.0510789599217173	0.95926260165345	0.998598774042281
SPAC1039.05c	1.76865935620799	0.0917864960284023	0.641101727429475	0.143169940278315	0.886155969404577	0.994174348632238
SPAC1039.06	23.2384107654475	-0.0994616410529475	0.935098213602689	-0.106364913980263	0.915292829708657	0.994174348632238
SPAC1039.07c	17.2547851124042	-1.21583625355872	0.955798228459578	-1.27206372365665	0.203350478958378	0.975543903989732
SPAC1039.08	8.44559808618265	-0.865568879612239	0.909732375992387	-0.951454408411076	0.341373751926389	0.994174348632238
SPAC1039.09	1.84257075471698	-0.282351051565093	0.640560696811308	-0.440787349224871	0.659366952908209	0.994174348632238
SPAC1039.10	0	NA	NA	NA	NA	NA
SPAC1039.11c	0	NA	NA	NA	NA	NA
SPAC105.01c	81.6332749278255	-0.527844863613251	0.765396046532169	-0.689636255641498	0.490422961534415	0.994174348632238
SPAC105.02c	118.441958292894	-0.745437133907951	0.706159236386475	-1.05562187039069	0.291141004917333	0.994174348632238
SPAC105.03c	10.2142574423906	-0.60117235820847	0.941761718459847	-0.638348688871773	0.523246724254407	0.994174348632238
SPAC1071.01c	78.2904850808706	-1.27042952877319	0.84671320124743	-1.50042485094305	0.133504386254819	0.915505104131377
SPAC1071.02	22.8688225609407	-0.165400945903415	0.936622777763624	-0.176592914276913	0.859828160200071	0.994174348632238
SPAC1071.03c	109.558293295436	0.404655575393385	0.731120190575426	0.553473396863656	0.579939292283593	0.994174348632238
SPAC1071.04c	15.3259203852636	-0.555180786009331	0.957075669219254	-0.580080346690064	0.561860436474766	0.994174348632238
SPAC1071.05	56.447586384893	-1.23310407044726	0.827579700921381	-1.49001246535457	0.136220958362703	0.91875701996729
SPAC1071.06	250.970342193632	-0.802918121832488	0.606111140937345	-1.32470444379356	0.185269198707377	0.975543903989732
SPAC1071.07c	885.048077251315	0.502790688929862	0.533276734024064	0.94283259863194	0.345766534782546	0.994174348632238
SPAC1071.08	96.6761460326778	-0.938618847054417	0.754335406880365	-1.24429907239298	0.213389512327185	0.988277850544142
SPAC1071.09c	1545.63921703896	-1.78830477370554	0.512795110235074	-3.48736705559799	0.000487801374111053	0.0527002866357796
SPAC1071.10c	666.05721057505	-0.462302013835559	0.567643840468986	-0.814422672945073	0.415402854249801	0.994174348632238
SPAC1071.11	97.7729121172625	-0.83815139019244	0.724946717963594	-1.15615585176638	0.247617414207825	0.994174348632238
SPAC1071.12c	5.37988946713297	0.172443786957544	0.843085875240841	0.204538816295888	0.837932462073038	0.994174348632238
SPAC1071.13	11.0678383141784	0.830065384409667	0.945676178677222	0.877748010498406	0.380080483795275	0.994174348632238
SPAC1093.01	93.8693505428609	-0.589855234904685	0.733241579288175	-0.804448699536804	0.421137885468072	0.994174348632238
SPAC1093.02	105.395542428168	0.283658488813737	0.716259677073878	0.39602744352797	0.692084782863439	0.994174348632238
SPAC1093.03	117.419072394856	-1.42166080878448	0.715393557549509	-1.98724295708533	0.0468954795891696	0.665042815558105
SPAC1093.04c	86.578702023336	-0.83940552127303	0.753208943056385	-1.11443913274167	0.265090843087439	0.994174348632238
SPAC1093.05	256.618597278332	-0.642329099922855	0.689804157687807	-0.931176034189057	0.351762512744874	0.994174348632238
SPAC1093.06c	5.76186024555442	0.273809799285496	0.882343139524491	0.310321219738906	0.756316696101056	0.994174348632238
SPAC1093.07	0	NA	NA	NA	NA	NA
SPAC10F6.01c	103.972272701365	-0.79449956005591	0.711538134019046	-1.11659449026051	0.264167748500407	0.994174348632238
SPAC10F6.02c	20.9399578338001	0.297607256104821	0.941562667256529	0.316078012068991	0.751943295680926	0.994174348632238
SPAC10F6.03c	275.406314151184	-0.267808969214672	0.643331402683195	-0.416284621110828	0.677201744674708	0.994174348632238
SPAC10F6.04	0	NA	NA	NA	NA	NA
SPAC10F6.05c	1.84257075471698	-0.282351051565093	0.640560696811308	-0.440787349224871	0.659366952908209	0.994174348632238
SPAC10F6.06	206.588054664513	-0.282792323816747	0.666202693475751	-0.424483909456065	0.67121293760115	0.994174348632238
SPAC10F6.07c	35.3474856040841	0.737797188841459	0.889441623407415	0.829506028754297	0.406818126796576	0.994174348632238
SPAC10F6.08c	256.418508850303	-2.00863770156726	0.623073133024238	-3.22375913051787	0.00126519770798023	0.105241131492419
SPAC10F6.09c	15.0269294487064	-0.556875289219362	0.957483900357733	-0.581602770564919	0.560834276305967	0.994174348632238
SPAC10F6.10	5.83577164406341	-0.225496177408489	0.863889738818957	-0.261024257235385	0.794073800963933	0.994174348632238
SPAC10F6.11c	7.64757798648321	-0.280224729198343	0.926337276946083	-0.302508315461706	0.762264595405049	0.994174348632238
SPAC10F6.12c	75.4369835226105	-0.432118124178466	0.781158960404205	-0.553175660885806	0.580143131543391	0.994174348632238
SPAC10F6.13c	199.455416285356	-0.722920089267411	0.691080431516167	-1.04607228956171	0.295527657875173	0.994174348632238
SPAC10F6.14c	79.7141388526528	0.0862755191675625	0.777647063959501	0.110944312871547	0.911660505887971	0.994174348632238
SPAC10F6.15	17.5073149321902	-0.380751585766979	0.957606684122039	-0.39760748549501	0.69091954188072	0.994174348632238
SPAC10F6.16	163.11929363136	-1.26161135210159	0.65547906449401	-1.92471647141847	0.0542648386981549	0.705561644517366
SPAC10F6.17c	83.1527498067687	-0.244736091422004	0.744922134631237	-0.328539158717786	0.74250404148009	0.994174348632238
SPAC110.01	13.218437236846	-1.20645126511063	0.954540992158171	-1.26390723397106	0.206263325032968	0.976870496458991
SPAC110.02	242.938749513949	-1.91553409961216	0.671119854373548	-2.85423547989085	0.00431405412627094	0.212881228892578
SPAC110.03	116.694749953956	-0.712779347345516	0.73669649946422	-0.967534592418862	0.333276856957875	0.994174348632238
SPAC110.04c	41.6641183126173	-1.01576378177575	0.89192786837672	-1.13884072668836	0.254769591621748	0.994174348632238
SPAC110.05	2.15063013462945	0.20359513852948	0.650082855103371	0.313183368752444	0.754141353132676	0.994174348632238
SPAC1142.01	399.198038718044	-0.928935210754001	0.621896669628884	-1.49371311364047	0.135250619502332	0.915505104131377
SPAC1142.02c	397.280651404534	-0.913740988581528	0.644282742665837	-1.418229805133	0.156123682794475	0.942771263378831
SPAC1142.03c	10.1062675010251	0.559414460312392	0.93973786575906	0.595287771936839	0.551651128260362	0.994174348632238
SPAC1142.04	5.87891863027522	-0.575074448808994	0.877163964393962	-0.655606559494629	0.512077303925352	0.994174348632238
SPAC1142.05	159.692083421491	-0.575245576774152	0.750120155695386	-0.76687124376878	0.443158072442127	0.994174348632238
SPAC1142.06	335.603702472916	-0.182014215920682	0.614404338998125	-0.296245004092065	0.767042982134045	0.994174348632238
SPAC1142.07c	13.1013788521252	-0.469821474732251	0.957717807290864	-0.490563578494227	0.6237351518301	0.994174348632238
SPAC1142.08	112.303881581714	-0.654880294041569	0.726745595227662	-0.901113537312076	0.36752795595165	0.994174348632238
SPAC1142.09	51.2405610262411	-1.30381047797387	0.839882389198654	-1.55237268305846	0.12057307579756	0.880749375684152
SPAC11D3.01c	85.1123165222827	-1.76370654312258	0.760307985250216	-2.31972644946264	0.0203556800782743	0.474833985526901
SPAC11D3.02c	140.383288583538	-0.836278892220265	0.68313504478548	-1.22417799907027	0.220885086856684	0.994174348632238
SPAC11D3.03c	5.37988946713297	0.172443786957544	0.843085875240841	0.204538816295888	0.837932462073038	0.994174348632238
SPAC11D3.04c	0	NA	NA	NA	NA	NA
SPAC11D3.05	31.1973622624025	-0.206979036952414	0.899833904384068	-0.230019157917916	0.818076882951296	0.994174348632238
SPAC11D3.06	25.9652955922875	-0.859640153220417	0.927326407771696	-0.927009245089953	0.353921734203447	0.994174348632238
SPAC11D3.07c	85.7193980507142	-0.881492913501348	0.743395439999952	-1.18576583345925	0.235714787817218	0.994174348632238
SPAC11D3.08c	44.1599555489031	-0.767175531737067	0.857753442513876	-0.894400994169902	0.371107380747423	0.994174348632238
SPAC11D3.09	0	NA	NA	NA	NA	NA
SPAC11D3.10	1.07531506731472	0.0848751047539575	0.640899857138014	0.132431149435691	0.894643277961246	0.994174348632238
SPAC11D3.11c	7.83857898167488	1.07664365822169	0.902252406649057	1.19328432962603	0.232758037483339	0.994174348632238
SPAC11D3.13	1.07531506731472	0.0848751047539575	0.640899857138014	0.132431149435691	0.894643277961246	0.994174348632238
SPAC11D3.14c	5.80500723176623	0.027799483931952	0.875227523136956	0.0317625796687862	0.974661388667391	0.998598774042281
SPAC11D3.15	39.7259714024113	0.48486351328328	0.868322073175054	0.558391325364282	0.576577195031654	0.994174348632238
SPAC11D3.16c	93.9921944523395	-0.0322606572427098	0.730097675281704	-0.0441867688871386	0.964755528651572	0.998598774042281
SPAC11D3.17	31.8442454345246	0.199334072208594	0.903046347826502	0.220735151289147	0.825298659701526	0.994174348632238
SPAC11D3.18c	29.6936152998952	0.0703459434996324	0.909875788396223	0.0773137876584522	0.938373922772726	0.995550880173865
SPAC11D3.19	28.4396818113034	-0.700143065855223	0.917731364156731	-0.762906328801957	0.445519261562665	0.994174348632238
SPAC11E3.01c	41.6888834604466	-1.17466321462208	0.86672009867064	-1.35529707505774	0.175322926541904	0.964400006047113
SPAC11E3.02c	42.9642679663082	-0.316252225438369	0.859387866875638	-0.367997079814642	0.712875411617641	0.994174348632238
SPAC11E3.03	0	NA	NA	NA	NA	NA
SPAC11E3.04c	11.9056912695303	0.468669699825104	0.952210154626297	0.492191453271193	0.622584005818102	0.994174348632238
SPAC11E3.05	53.4775475572179	0.308170568908496	0.82746934546522	0.372425360041871	0.709576175155091	0.994174348632238
SPAC11E3.06	13.2492016491431	-1.38845786583168	0.953878506767192	-1.45559193962482	0.145505457574175	0.932152891451344
SPAC11E3.07	906.597538964264	0.306526252680275	0.591987312123107	0.517791929663064	0.604603449673314	0.994174348632238
SPAC11E3.08c	64.0985097138974	-0.592570985025143	0.790752971473089	-0.749375603257293	0.453630851260158	0.994174348632238
SPAC11E3.09	5.80500723176623	0.027799483931952	0.875227523136956	0.0317625796687862	0.974661388667391	0.998598774042281
SPAC11E3.10	20.0987595359269	-0.775830527540298	0.945607916795933	-0.82045688679204	0.41195569726976	0.994174348632238
SPAC11E3.11c	32.1555877330346	-1.01569233980924	0.899855026614813	-1.12872886161474	0.259012230183291	0.994174348632238
SPAC11E3.12	67.996103235793	-0.22609310258212	0.81622607338701	-0.276998138081922	0.781781535826633	0.994174348632238
SPAC11E3.13c	1131.57274415851	-0.997583091990339	0.525810267118627	-1.89723015006338	0.057797569243435	0.73127024144535
SPAC11E3.14	55.825499572562	-0.689629580966084	0.882990541795396	-0.781015818769532	0.434793190943247	0.994174348632238
SPAC11E3.15	427.178020073054	-0.349574820702011	0.653722734466374	-0.534744781344287	0.592826350963104	0.994174348632238
SPAC11G7.01	206.059581506299	0.082329740556311	0.635035424552529	0.129645902217697	0.896846584973656	0.994174348632238
SPAC11G7.02	201.600524836382	0.0308089448495364	0.636879413738348	0.0483748480245175	0.961417504199685	0.998598774042281
SPAC11G7.03	28.8955952001957	0.400509541148244	0.909103332728741	0.440554474644907	0.659535567104738	0.994174348632238
SPAC11G7.04	187.772164877387	-1.68983219584783	0.707588836665373	-2.38815553367325	0.0169331738794511	0.431832271209006
SPAC11G7.05c	18.2561887812099	-0.625347489974278	0.951641417282778	-0.657125129925338	0.511100461654402	0.994174348632238
SPAC11G7.06c	4.03634787555824	-0.194901238607397	0.789891057455128	-0.246744455159842	0.805105999779747	0.994174348632238
SPAC11H11.01	0	NA	NA	NA	NA	NA
SPAC11H11.02c	5.06851595666115	0.175007763216328	0.839772732838936	0.208398958876286	0.834917469180194	0.994174348632238
SPAC11H11.03c	60.6966312245848	-1.01656801930318	0.808788773999313	-1.25690174243695	0.208789217519845	0.976870496458991
SPAC11H11.04	0	NA	NA	NA	NA	NA
SPAC11H11.05c	2.9178858220317	-0.167133822585191	0.742530419326934	-0.225086835818375	0.821911721729144	0.994174348632238
SPAC11H11.06	279.42406644865	-0.0302791176003718	0.64397680209384	-0.0470189570523684	0.962498118694421	0.998598774042281
SPAC1250.01	169.694455424147	-1.6648526310939	0.691556864353346	-2.4073980274213	0.0160666484104817	0.422321465481795
SPAC1250.02	5.06851595666115	0.175007763216328	0.839772732838936	0.208398958876286	0.834917469180194	0.994174348632238
SPAC1250.03	23.2815577516593	-0.246082948809282	0.931215254838371	-0.264260005976807	0.791579575743892	0.994174348632238
SPAC1250.04c	4.30126026925889	0.544443113218089	0.779380018679396	0.698559239612801	0.484827524204699	0.994174348632238
SPAC1250.05	41.3775411619366	-0.118571072429956	0.857078639523662	-0.138343282590561	0.889969119796852	0.994174348632238
SPAC1250.07	184.265507439946	0.76641641873392	0.648055315561843	1.18264043258323	0.236951681121734	0.994174348632238
SPAC1296.01c	17.0206683429626	-0.0276034683580169	0.953253444719578	-0.0289571136730978	0.976898794568956	0.998598774042281
SPAC1296.02	40.0034488977748	-1.72210144577693	0.927773950957653	-1.85616490309883	0.0634300569937811	0.744048334839764
SPAC1296.03c	21.7162507525957	-1.26416494124726	0.952506025828498	-1.32719889110169	0.184442899127253	0.975543903989732
SPAC1296.04	0	NA	NA	NA	NA	NA
SPAC1296.05c	0	NA	NA	NA	NA	NA
SPAC1296.06	14.4416063131405	0.288782056533997	0.958015650785447	0.301437723170006	0.763080732271757	0.994174348632238
SPAC12B10.01c	139.375532817247	-0.560142670300263	0.679180430083261	-0.824733230655063	0.40952306114933	0.994174348632238
SPAC12B10.02c	20.5978199110311	0.465281717675021	0.945738191045293	0.491977295704598	0.622735393982974	0.994174348632238
SPAC12B10.03	15.9420391450885	0.270816784367314	0.956880840284201	0.283020385575783	0.777161210180265	0.994174348632238
SPAC12B10.04	172.067297435168	-0.807598432887626	0.644181577079191	-1.25368135572798	0.209957847268939	0.978617927907522
SPAC12B10.05	81.2422044940868	-1.28311258397187	0.769642298267379	-1.66715445195828	0.0954836970168808	0.83726979450344
SPAC12B10.06c	4.61263377973071	0.629153780126843	0.822699273102703	0.764743328086425	0.44442440011743	0.994174348632238
SPAC12B10.07	63.5837214223574	-1.85287129077587	0.822563051296033	-2.25255837574576	0.0242870081065237	0.494223980030699
SPAC12B10.08c	1.84257075471698	-0.282351051565093	0.640560696811308	-0.440787349224871	0.659366952908209	0.994174348632238
SPAC12B10.09	2.84397442352272	0.338007699022421	0.740553854876922	0.456425547982054	0.64808399773769	0.994174348632238
SPAC12B10.10	138.968458303439	-1.57735200545768	0.694486160922708	-2.27125044991823	0.0231318209442233	0.491607167103879
SPAC12B10.11	19.787417237417	0.927352618902807	0.950378775790092	0.97577160025681	0.329177661309874	0.994174348632238
SPAC12B10.12c	11.2895725097054	-0.433433992083481	0.949811516760534	-0.456336846242682	0.648147771780004	0.994174348632238
SPAC12B10.13	26.7881120517781	0.132740383368406	0.92088732704011	0.144144000542451	0.885386760091887	0.994174348632238
SPAC12B10.14c	21.161692029327	-0.570375723600213	0.94502227141097	-0.603557969854627	0.546137563515175	0.994174348632238
SPAC12B10.15c	88.1409086315503	-1.12990042644492	0.788505147908052	-1.43296518664794	0.15186778650244	0.940304972757433
SPAC12B10.16c	0	NA	NA	NA	NA	NA
SPAC12G12.01c	51.3667190662791	-0.476838050650375	0.82625681529242	-0.577106344934193	0.563867618399339	0.994174348632238
SPAC12G12.02	0	NA	NA	NA	NA	NA
SPAC12G12.03	35.7203567271884	-0.527160576703222	0.891443255422891	-0.591356290483282	0.554281720557131	0.994174348632238
SPAC12G12.04	130.406046784207	-1.57039944249597	0.709580114484923	-2.21313902466942	0.026888062351489	0.522120478733816
SPAC12G12.05c	180.527334232523	-0.668061158594445	0.702651036931541	-0.950772322932661	0.341719965314373	0.994174348632238
SPAC12G12.06c	159.689429499544	-0.364363244736981	0.676009280425698	-0.538991483234569	0.589892731205679	0.994174348632238
SPAC12G12.07c	61.0203560970093	-2.13790281467447	0.831472957703358	-2.57122350747239	0.0101339900232093	0.320146575388519
SPAC12G12.08	6.52911593295668	-0.166316428665148	0.898301070856169	-0.185145530892701	0.853114890402343	0.994174348632238
SPAC12G12.09	1.84257075471698	-0.282351051565093	0.640560696811308	-0.440787349224871	0.659366952908209	0.994174348632238
SPAC12G12.10	35.2520607643814	-1.51023481977286	0.920607445980247	-1.64047643364951	0.100906144514532	0.852432959228614
SPAC12G12.11c	10.9166701746392	-0.0425451986448229	0.945561000557128	-0.0449946630833495	0.964111562890341	0.998598774042281
SPAC12G12.12	17.7879240303649	-0.308675018097663	0.952487266293352	-0.32407259290603	0.745883075855355	0.994174348632238
SPAC12G12.13c	44.8592991022643	-0.729041927587788	0.864407989192983	-0.843400265502434	0.399004623494506	0.994174348632238
SPAC12G12.14c	2.96103280824352	-0.353849409631036	0.703617312025087	-0.502900374370577	0.615034317912499	0.994174348632238
SPAC12G12.15	51.5884844737679	-0.128678675741295	0.836157221631041	-0.153892919193222	0.877694167261449	0.994174348632238
SPAC12G12.16c	169.161196402362	-0.391605749883894	0.649816436645883	-0.602640573244379	0.54674782293586	0.994174348632238
SPAC12G12.17	1.84257075471698	-0.282351051565093	0.640560696811308	-0.440787349224871	0.659366952908209	0.994174348632238
SPAC1327.01c	109.92178859959	-0.81367452209472	0.720930689837459	-1.12864458895233	0.25904779295345	0.994174348632238
SPAC139.01c	158.863714166435	-0.205395755724843	0.672671961122081	-0.305343120563882	0.760104837552306	0.994174348632238
SPAC139.02c	8.72289305379794	-0.102478681643088	0.939997600439851	-0.109020152386703	0.913186506310965	0.994174348632238
SPAC139.03	75.0027661026601	-1.1849332078232	0.767567192364251	-1.54375176481082	0.122648480665007	0.887670246177189
SPAC139.04c	0	NA	NA	NA	NA	NA
SPAC139.05	2.84397442352272	0.338007699022421	0.740553854876922	0.456425547982054	0.64808399773769	0.994174348632238
SPAC139.06	36.891034210282	-0.451686100540036	0.901653750894322	-0.500952943512987	0.616404240645029	0.994174348632238
SPAC1399.01c	21.5991923678749	-0.733170923045004	0.944060814186472	-0.776614082512048	0.437386490520918	0.994174348632238
SPAC1399.02	38.3301831693076	-0.771620734395809	0.885324338340651	-0.871568419594163	0.383443865237273	0.994174348632238
SPAC1399.03	25.5060992847977	-0.318901932329465	0.929209833202165	-0.343196897982119	0.731450338177186	0.994174348632238
SPAC1399.04c	20.6750766520613	1.52686429821066	0.955427325574093	1.59809569743382	0.110021681041261	0.872753479139498
SPAC1399.05c	34.3460507233165	-0.630902700443856	0.898541826163187	-0.702140603891349	0.482591482559859	0.994174348632238
SPAC1399.06	1.07531506731472	0.0848751047539575	0.640899857138014	0.132431149435691	0.894643277961246	0.994174348632238
SPAC13A11.01c	588.638111278561	-1.75698851141167	0.571761344491976	-3.0729403593606	0.00211960845131012	0.143121743382781
SPAC13A11.02c	591.78911233943	-0.131230917800472	0.552251636420241	-0.237628843711765	0.812168977168048	0.994174348632238
SPAC13A11.03	33.4342863694556	-0.295101742962057	0.89066113570845	-0.331328864739705	0.740396090546482	0.994174348632238
SPAC13A11.04c	30.5869978153735	-0.210496610364938	0.907946889226356	-0.231838021433498	0.816663824634946	0.994174348632238
