baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	438.700363625001	0.226659478164575	0.534549180438746	0.424019877794104	0.671551316608997	0.874054489144813
SPAC1002.02	180.974688070886	0.58952578682386	0.592592996932475	0.994824086473361	0.319821829341388	0.643673034411032
SPAC1002.03c	294.270744074218	-3.09042367454096	0.590136640647067	-5.23679341644065	1.63390399122161e-07	2.22523818038501e-05
SPAC1002.04c	48.218061817327	0.719826947961145	0.85241958177847	0.84445144544816	0.398417184865451	0.707877787876032
SPAC1002.05c	734.017311457033	-1.09590535162209	0.521051735814001	-2.10325631083455	0.0354433702840379	0.175082498617227
SPAC1002.06c	61.3809070701228	-1.21341701218215	0.802170735281548	-1.51266676632907	0.130364325371073	0.385652059209954
SPAC1002.07c	113.470923313193	0.254889452682061	0.71459325510337	0.356691657613239	0.721322651541147	0.900999876926802
SPAC1002.08c	271.645034800715	-0.580256641994648	0.59647486774517	-0.972809875775939	0.330647803466487	0.652978820810351
SPAC1002.09c	254.804331764193	-2.06764264608207	0.590698384901906	-3.50033570250143	0.000464672578637898	0.0084384068061415
SPAC1002.10c	389.659252618991	-0.410074650263509	0.50420735199177	-0.813305574866355	0.416042881545134	0.722867912580639
SPAC1002.11	137.378203628798	-0.827431115069913	0.677323229496951	-1.22161927870752	0.221851634697272	0.529877728991506
SPAC1002.12c	141.378308942897	-0.765969095745496	0.631238000386225	-1.21343945592128	0.224961848896392	0.532931456249373
SPAC1002.13c	4055.2217812739	-0.264916962955125	0.415331317130373	-0.637844901235722	0.523574647542541	0.80137070431149
SPAC1002.14	390.842017522883	-1.16009146516873	0.550945356396807	-2.10563797607034	0.0352358112565922	0.174569990598643
SPAC1002.15c	29.0035539295994	-1.91739581947211	0.966122642796628	-1.98462983324958	0.0471856706274257	0.212401883042301
SPAC1002.16c	31.4746572300178	0.181558700058537	0.913046501943778	0.19884934630604	0.842380593920173	0.947974363868324
SPAC1002.17c	58.8457458710108	1.84877723758394	0.871418951697401	2.12157106978541	0.0338737739547267	0.169926353514268
SPAC1002.18	62.3573318513891	0.139430672474667	0.77976612184205	0.178810887738093	0.858086195891082	0.95490433586558
SPAC1002.19	40.1791372334713	-0.883361404127105	0.941254142980241	-0.938494040865697	0.347990577975384	0.667193811112921
