baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	241.174443936419	0.595547529887769	0.424477340755179	1.40301371288334	0.160612749822553	0.581805064623321
SPAC1002.02	482.18471639228	-0.162825533488877	0.404721627683312	-0.402314881023074	0.687452304315034	0.924186181754199
SPAC1002.03c	1487.38984602546	0.105093401303668	0.364925715589202	0.287985737409562	0.773357656295406	0.946001558087115
SPAC1002.04c	509.720965538338	0.134529223240325	0.358805543385639	0.374936301069728	0.707707840763725	0.931994763863255
SPAC1002.05c	667.995083016079	-0.383575719774517	0.360772550811362	-1.0632064964806	0.287688316944657	0.716561116087886
SPAC1002.06c	119.564420474558	-0.809518704702678	0.455406325510987	-1.77757457319979	0.0754737529375688	0.425528171697772
SPAC1002.07c	686.342710496652	0.768129186143495	0.351014638032179	2.18831097885176	0.0286469577196478	0.264238557225738
SPAC1002.08c	926.824610006676	0.0364956945319141	0.357915111915065	0.101967459090061	0.918782504303884	0.980644601945256
SPAC1002.09c	3470.18897335585	-0.0850577351742997	0.304505823466855	-0.279330405592582	0.779991274266658	0.948689195374512
SPAC1002.10c	533.523911917064	-0.273003347532276	0.358004891283344	-0.762568764224528	0.445720618913721	0.818163062136744
SPAC1002.11	682.957638041145	0.685977935699062	0.364290216928709	1.88305341132262	0.0596931300211944	0.383104271284473
SPAC1002.12c	1254.44911506405	-0.185154586924188	0.333030071699347	-0.55596957349648	0.578231654984043	0.882844363902437
SPAC1002.13c	7636.9700110138	0.0897039378486275	0.336641325404185	0.266467397432343	0.789879265054112	0.949233536086887
SPAC1002.14	785.226704755255	0.184602119905939	0.370205182603399	0.498648124285454	0.618027296076408	0.902476173538856
SPAC1002.15c	804.245870851113	-0.323515453762805	0.372136674366265	-0.869345796981014	0.3846580206053	0.789336325367779
SPAC1002.16c	444.170467662633	0.350285656271916	0.368760813039364	0.949899349078948	0.34216339761811	0.758720346021501
SPAC1002.17c	199.527332441865	-0.574026483991463	0.460062620098735	-1.24771380875992	0.212135882528438	0.642036289750757
SPAC1002.18	353.808770581942	0.149868850406916	0.40275125733716	0.372112681653168	0.709808954661725	0.933040191267069
SPAC1002.19	313.991527636461	-1.49268255402293	0.436985286870868	-3.41586455853381	0.000635798616757012	0.0265219272559773
SPAC1002.20	32.8756376474536	-0.18719475688012	0.489764385041235	-0.382213902434656	0.702302710626101	0.930360443947627
SPAC1006.01	2846.03132320155	-0.155073298934968	0.328354501353464	-0.472274015723136	0.636731214856943	0.908451905398278
SPAC1006.02	824.363469234583	-0.387309125151114	0.358436593801789	-1.08055129372558	0.27989675830529	0.710537384765186
SPAC1006.03c	2498.05264525264	-0.301526375333916	0.360681155208965	-0.835991487160517	0.403159692143047	0.796221921013117
SPAC1006.04c	704.572335926838	-0.113720234468397	0.381394146905228	-0.298169847102178	0.765573534176861	0.944691591527617
SPAC1006.05c	2236.40116483731	-0.134083605046271	0.328659463704177	-0.407971228137091	0.683294798281241	0.922184129761324
SPAC1006.06	3084.4934933032	-0.321012779897681	0.347606596598528	-0.923494499353352	0.355749565619716	0.767424018899612
SPAC1006.07	5358.23740197987	0.988723480244109	0.347934496044131	2.84169431742319	0.00448744955918323	0.0948230354564666
SPAC1006.08	706.664258330298	0.0748954504288543	0.34739943769622	0.215588864868417	0.829308236249358	0.958911240507271
SPAC1006.09	5141.6141270681	-0.48236924675595	0.311239529121924	-1.54983285097758	0.121181639975682	0.511915552920968
SPAC1039.01	632.67010571346	0.221162530952303	0.373316839782481	0.592425809350487	0.553565487739483	0.87188971939127
SPAC1039.02	735.956341051558	0.111249291267331	0.378982269126875	0.293547483167576	0.769103710814002	0.945227101892472
SPAC1039.03	525.444954258294	-0.266628467844477	0.381320813307972	-0.699223484633492	0.484412376173463	0.837685640013054
SPAC1039.04	712.902174761855	-0.095191997326785	0.353194671001177	-0.269517082624578	0.787531798377021	0.949233536086887
SPAC1039.05c	665.470560605056	0.00988911128398293	0.372078648274394	0.0265780133577836	0.978796309862982	0.994327877387909
SPAC1039.06	396.535955365165	-0.21160126288296	0.379324730577886	-0.557836718319404	0.576955886892973	0.882761183824516
SPAC1039.07c	444.38326585186	0.334209174175179	0.374600489973034	0.892174952038203	0.37229916562909	0.778609364839739
SPAC1039.08	273.544634656605	-0.464719671286669	0.394171159626742	-1.17897938481023	0.238406384811952	0.672137842387263
SPAC1039.09	313.089127806243	-0.486996810436321	0.391909070186612	-1.2426270466372	0.214005298461371	0.643654158082815
SPAC1039.10	280.561544315321	-1.26739372927452	0.400451650051859	-3.16491074293337	0.00155130531865373	0.0482247124539184
SPAC1039.11c	852.367264285509	0.369558712891238	0.37286006316015	0.991145873224041	0.321614355987236	0.74399360260226
SPAC105.01c	1750.87949071467	-0.290595425491554	0.322812284342621	-0.900199402520649	0.368014144076499	0.775213290266246
SPAC105.02c	1228.05369592506	0.87877423160813	0.343913738168264	2.55521700380046	0.0106121615291526	0.157743072293105
SPAC105.03c	1013.71229154431	-0.278614590573747	0.361325160867473	-0.771091030319745	0.440652976845811	0.817127546195354
SPAC1071.01c	2067.00395479244	-0.688099590469845	0.318700397799947	-2.15907979789149	0.0308439766618914	0.275133368004662
SPAC1071.02	1222.50226739025	0.147990325458957	0.328705302469124	0.450221898908545	0.652550447486359	0.910831047915645
SPAC1071.03c	1014.51864207222	-0.167958246625679	0.331469892205369	-0.50670739809339	0.612360138893863	0.899482203109431
SPAC1071.04c	86.6514664622682	1.54650559489054	0.488554552506385	3.16547166934921	0.00154831738874106	0.0482247124539184
SPAC1071.05	865.564507287323	0.630862436342183	0.3363814286333	1.87543776987138	0.0607325231243876	0.385752941573959
SPAC1071.06	810.805310056303	-0.308181852309958	0.336413676141724	-0.916080035284079	0.359624918336982	0.767991339545116
SPAC1071.07c	1082.11591359462	1.57237586052421	0.354846993776412	4.4311376117081	9.3737241737885e-06	0.00224483335213765
SPAC1071.08	335.072068065015	1.18999829696619	0.397967388113401	2.99019048421901	0.00278803523968761	0.0693362917685387
SPAC1071.09c	854.082582118125	-0.471976054023748	0.35271870654954	-1.3381089385387	0.180860927383241	0.605617170616281
SPAC1071.10c	47129.0406569818	-0.535902760994974	0.333741323263667	-1.60574290218054	0.108330410695527	0.492093057898178
SPAC1071.11	2599.42065300053	0.212552958898899	0.338301894453046	0.628293729311055	0.529811538737532	0.859997366811075
SPAC1071.12c	187.873534504035	1.14426273820693	0.434764485002262	2.6319140078817	0.00849053499309023	0.139339592043963
SPAC1071.13	1887.28131063735	-0.197093890175135	0.340181634011665	-0.579378398095344	0.562333876733699	0.875875933503856
SPAC1093.01	7140.72879531041	-0.369995743391427	0.318206676357625	-1.16275292406372	0.244929762094277	0.676801641752818
SPAC1093.02	1439.67009527309	0.965888799886079	0.339816056627332	2.84238717108458	0.00447770772121482	0.0948230354564666
SPAC1093.03	1087.25575867371	-0.29768069324683	0.341515533299244	-0.871646130912574	0.383401456265384	0.788308800308873
SPAC1093.04c	1387.66615874437	-0.290794944857005	0.338057066018594	-0.860194843083123	0.389681646884343	0.791355450153477
SPAC1093.05	1478.17892849476	-0.0938374448955666	0.350292742135602	-0.267882926501632	0.788789436223242	0.949233536086887
SPAC1093.06c	4690.79027109524	-0.0797624732928952	0.302698241263986	-0.263504911557559	0.792161438408992	0.949755597481836
SPAC1093.07	310.996963389986	-0.886954036621609	0.390619385338892	-2.27063497079673	0.0231690846322063	0.240467578221262
SPAC10F6.01c	12232.3877965442	-0.279710881440688	0.319912631965376	-0.874335219970186	0.381935724359834	0.787498850035296
SPAC10F6.02c	1297.53004604394	-0.221847880510705	0.3485051029059	-0.636569963139409	0.524404995514131	0.856695983070837
SPAC10F6.03c	5032.84738795375	-0.00784652955224983	0.341278181547097	-0.0229915944719337	0.98165697781811	0.994977362250492
SPAC10F6.04	1115.74344671914	0.242219293929701	0.328468428555654	0.737420320713292	0.460866781688372	0.823588025878042
SPAC10F6.05c	809.047766053099	0.764692176211014	0.358084576830672	2.13550715582094	0.0327196063051947	0.284441539482696
SPAC10F6.06	2683.12745486015	0.17091684933121	0.328036346466823	0.521030218669675	0.602345720534591	0.892476496099144
SPAC10F6.07c	97.5223521544186	-0.775329458625257	0.473969439539566	-1.63582162465674	0.101876924835358	0.480741101134376
SPAC10F6.08c	938.667241151385	0.497068665036902	0.355504890736721	1.39820485734195	0.162051558569066	0.584141769807047
SPAC10F6.09c	3274.79769598069	-0.916396803353258	0.322703065158426	-2.8397523987055	0.00451485624393548	0.0950914021931168
SPAC10F6.10	683.04198424833	0.0362301137805147	0.35559614809925	0.101885563086591	0.91884750931313	0.980644601945256
SPAC10F6.11c	1448.92183135728	0.00855349843459648	0.331122398149487	0.0258318328279773	0.979391471390285	0.994463764762811
SPAC10F6.12c	408.313423314941	0.0352887620378577	0.390670769073893	0.090328647115093	0.928026056090907	0.982569380177525
SPAC10F6.13c	2510.41522262614	-0.045310548783305	0.349507066688528	-0.129641295132051	0.896850230134137	0.980560295577838
SPAC10F6.14c	1249.84911679975	0.0192311011990964	0.337087784106706	0.0570507212240261	0.954504791209264	0.986441752737838
SPAC10F6.15	88.4354908505565	-0.852030704936083	0.476275817625456	-1.78894387118794	0.073623855450559	0.422110965451841
SPAC10F6.16	1442.58461555773	1.20481412783374	0.364751218657811	3.30311200128993	0.000956181892067406	0.0332581092574694
SPAC10F6.17c	902.392702176744	0.305271243293462	0.351703899160282	0.86797798950287	0.385406382173975	0.789652527428173
SPAC110.01	7766.52860365049	-0.324940476180499	0.364232080392256	-0.892124811824807	0.372326037130293	0.778609364839739
SPAC110.02	3010.97358100577	-0.509067574093924	0.329571036105811	-1.54463687133746	0.12243412242087	0.514197549126212
SPAC110.03	3248.65816518747	-0.469831452582343	0.320047432826256	-1.4680056903859	0.142102677216672	0.54987187964273
SPAC110.04c	6909.60981883231	-0.338390092146614	0.330366637583363	-1.02428651579936	0.305699965019294	0.731010428171408
SPAC110.05	350.715612054132	-0.621161428821092	0.390382143409827	-1.59116250399033	0.111573008942236	0.496941228481137
SPAC1142.01	1391.71518359551	-0.791800046732839	0.329682343912422	-2.40170594923693	0.0163188202266744	0.205286948610265
SPAC1142.02c	1587.36014061257	0.0983435095275683	0.342822175386452	0.286864492988847	0.7742160788261	0.946866117966628
SPAC1142.03c	599.390140789896	0.421811837078412	0.374536708582552	1.12622295068159	0.260071161357546	0.694969365630816
SPAC1142.04	1859.62239028429	-0.0393349325006343	0.334650251103183	-0.117540424281666	0.906431812096186	0.980644601945256
SPAC1142.05	2027.70887764661	0.369334491157339	0.334781347916999	1.10321107629003	0.26993551236706	0.700725082096166
SPAC1142.06	2310.99390195592	-0.674045460292653	0.338620009765796	-1.99056594664577	0.0465286271571178	0.337554702920595
SPAC1142.07c	383.714130357034	0.137161912287367	0.385623986165808	0.355688227931941	0.722074062009916	0.935124874530402
SPAC1142.08	1287.07754616838	0.251472830776614	0.346095802273692	0.726598904478333	0.467471699545535	0.827675796621421
SPAC1142.09	0	NA	NA	NA	NA	NA
SPAC11D3.01c	7.72179431692599	0.0115824707498305	0.352018072622612	0.0329030571173194	0.973751894890261	0.992686028675264
SPAC11D3.02c	441.256389034633	0.102754826835495	0.384331890438708	0.267359616497611	0.789192289369688	0.949233536086887
SPAC11D3.03c	131.589628347069	-0.0803476746815479	0.449261995901129	-0.17884369346752	0.858060435908496	0.968045318099393
SPAC11D3.04c	649.805732653906	0.218027614286028	0.381379067279113	0.571682173962799	0.567537313261141	0.879193162812677
SPAC11D3.05	3045.06989653093	0.505247465321807	0.333405174354417	1.51541578891249	0.129667141442226	0.527376646317715
SPAC11D3.06	690.494964128936	0.415915709967187	0.354121151686773	1.17450117844153	0.240194340200122	0.673475445115321
SPAC11D3.07c	2525.09819384084	-0.436444044844059	0.322906923078083	-1.35160943805012	0.176500289475366	0.601186118871176
SPAC11D3.08c	1455.37825882426	-0.394046518424703	0.338004385259455	-1.16580297655674	0.243694113495179	0.675840224252367
SPAC11D3.09	88.766384456936	0.524161041990191	0.476978433122357	1.09891979509214	0.271803051512705	0.702765289094023
SPAC11D3.10	444.571529117775	0.0569640258939253	0.365282993272061	0.155944916525306	0.876076440115624	0.974354597958393
SPAC11D3.11c	513.515867776421	-0.33683496744373	0.364866498855907	-0.923173183890345	0.355916961131526	0.767424018899612
SPAC11D3.13	555.810336002338	1.70802959781928	0.374534695932476	4.56040419317311	5.1055252303065e-06	0.00150056027905281
SPAC11D3.14c	2711.89222337277	-0.434872379866269	0.333335890094401	-1.30460713289263	0.192026658189479	0.620085462446754
SPAC11D3.15	2479.95136463182	-0.798443782782972	0.340299422987269	-2.34629778614947	0.018960951766361	0.222883479163148
SPAC11D3.16c	1244.79547582615	0.558855112762382	0.363619265474091	1.53692382617225	0.124311964118775	0.516249942191393
SPAC11D3.17	1127.80230732914	0.0227925042641569	0.329696114688269	0.0691318558173104	0.944884664402126	0.985023528208157
SPAC11D3.18c	984.999315820648	-0.18568929221195	0.337368788930261	-0.550404478140196	0.5820419778552	0.885158699011374
SPAC11D3.19	170.935219517976	0.0680946037264054	0.432750621042961	0.157352989031633	0.874966661142762	0.973806114195103
SPAC11E3.01c	2452.69611478354	-0.467796800515657	0.312879598275565	-1.49513360121247	0.134879578113101	0.534721859030845
SPAC11E3.02c	2010.69924200015	-0.234689285724342	0.334482533870751	-0.701648851461492	0.482898178224763	0.837685640013054
SPAC11E3.03	164.955485346324	0.702547660425804	0.436011362896006	1.61130585166279	0.107113075981104	0.489119455715974
SPAC11E3.04c	854.665941564432	0.90487431017961	0.377914097243116	2.39439152119667	0.016647967236589	0.207011069522663
SPAC11E3.05	1192.70387272312	-0.227572505210476	0.348491735864018	-0.653021239216059	0.51374258604082	0.852861929690594
SPAC11E3.06	211.32310246752	-0.30372687218117	0.413002729039002	-0.735411295920244	0.462089044464964	0.823588025878042
SPAC11E3.07	1472.49296942161	0.650265512574769	0.340714622058567	1.90853421155195	0.0563222057587479	0.371611614730677
SPAC11E3.08c	568.104750166863	0.185055301426009	0.354575478090929	0.521906654183663	0.601735325046366	0.892075465480792
SPAC11E3.09	969.399357910731	-0.0201544554562075	0.353215351063403	-0.0570599646802715	0.95449742799278	0.986441752737838
SPAC11E3.10	1401.72852073854	-0.0756182374625574	0.322561606678948	-0.234430372049274	0.814650882011001	0.955474805565597
SPAC11E3.11c	2123.33867840084	-0.435676114766416	0.345382604717315	-1.26143039289139	0.207153823874769	0.634881783842984
SPAC11E3.12	336.222525492869	0.0199474176891962	0.39390127620349	0.0506406526057847	0.959611868271224	0.987988732080586
SPAC11E3.13c	5978.3329487076	0.0264603534192626	0.326071082049465	0.0811490342932298	0.935323430512544	0.982569380177525
SPAC11E3.14	1234.72344931577	-0.282161677048323	0.323302769377805	-0.872747479371556	0.38280073227308	0.788308800308873
SPAC11E3.15	1899.33871813619	-0.382608021905459	0.381014919158192	-1.00418120831275	0.315291278094901	0.738176895337241
SPAC11G7.01	4741.5432706697	0.143614834609463	0.310976080046303	0.461819554057274	0.644210727072743	0.909037863773921
SPAC11G7.02	2908.78407643629	-0.198994958186396	0.310123209155083	-0.641664191237249	0.521091244310448	0.854317403930256
SPAC11G7.03	780.148377839703	0.100694438032715	0.373069816960641	0.269907758427261	0.787231218265216	0.949233536086887
SPAC11G7.04	999.984699500514	0.554919666172783	0.361556696458825	1.53480677196081	0.124831298871656	0.517128838849375
SPAC11G7.05c	983.911396171648	0.241588752078844	0.342737858357849	0.704879096917865	0.480885479549734	0.837437519732986
SPAC11G7.06c	453.2480639876	-0.233975086075958	0.375513032052672	-0.623081134619954	0.533231206258629	0.861245985653173
SPAC11H11.01	144.068929943198	1.08901223295726	0.456276008487196	2.3867400711423	0.0169985049129734	0.20935682431864
SPAC11H11.02c	558.228509045999	-0.207996194521054	0.371091365731787	-0.560498609583352	0.575139387791809	0.881603972974363
SPAC11H11.03c	259.783565440592	0.46541586858871	0.400628666979169	1.16171384363993	0.245351720539002	0.677388652863017
SPAC11H11.04	38.0201087405682	0.451969404947746	0.492572880769797	0.917568592573356	0.358844767026264	0.767991339545116
SPAC11H11.05c	12.1599853162441	0.656955338920713	0.405148989553221	1.62151543224919	0.104907143038221	0.487305737704838
SPAC11H11.06	3378.53971480743	-0.460949122134257	0.325237628750567	-1.41726873334134	0.15640437291934	0.573630558874902
SPAC1250.01	2268.26084392649	-0.151147310284425	0.348409525002842	-0.433820832777726	0.664418552203778	0.912972293665438
SPAC1250.02	453.396277551722	-0.376551418047316	0.373325946450648	-1.00863982701265	0.313147399529147	0.734774594554309
SPAC1250.03	1204.2165983705	1.26549390379282	0.369222636745856	3.4274548141096	0.000609267690975054	0.0260895688069185
SPAC1250.04c	103.064173651288	0.975235183692092	0.469521912018128	2.0770813006368	0.0377940561409501	0.301838349476731
SPAC1250.05	1459.16167082696	0.988997145077511	0.321775745136375	3.07356026681984	0.00211520959205666	0.0589523500958551
SPAC1250.07	22.3007106701511	0.390169244091312	0.461688280633432	0.845092371753521	0.398059267070945	0.794889197307205
SPAC1296.01c	941.333949424963	0.310459300933276	0.368384599199867	0.842758632167565	0.399363448268611	0.795538127869985
SPAC1296.02	827.673777550987	0.784634246811964	0.356542211345999	2.2006770077794	0.0277588976329523	0.260885221067833
SPAC1296.03c	193.83451483299	0.726727487055396	0.426465846790009	1.70406960492955	0.0883680842843016	0.454830574913902
SPAC1296.04	522.903289730583	0.582605418111088	0.360416627445228	1.61647763656416	0.105991084711677	0.488436835406546
SPAC1296.05c	257.856440511556	1.01908060993751	0.423066312141643	2.40879640068417	0.0160052239689121	0.202921133692129
SPAC1296.06	1079.56836081361	-0.356664232923049	0.329741757967745	-1.08164715054967	0.279409344865259	0.710537384765186
SPAC12B10.01c	4127.11310787169	-0.582917833074513	0.317818045914762	-1.83412440095	0.0666355300861459	0.404188871985947
SPAC12B10.02c	377.382888155525	0.832942532609905	0.38308264067459	2.17431552404237	0.0296814473437007	0.269930011989267
SPAC12B10.03	842.175056691123	-0.0489879214009099	0.335388145592024	-0.146063365818839	0.883871366042385	0.975744735255408
SPAC12B10.04	798.034369838428	-0.0184121559197334	0.34784842474424	-0.0529315489448347	0.957786447199661	0.987726434463702
SPAC12B10.05	1086.35208679962	-0.949783184821501	0.329132594328356	-2.88571597340481	0.00390524413390617	0.0859946403010905
SPAC12B10.06c	123.62628637278	0.867843505931743	0.472565670388017	1.83645059366917	0.0662910427717968	0.402855152784246
SPAC12B10.07	2153.39674218086	0.182453181685643	0.330416857530057	0.552190899246252	0.580817568926527	0.884940096225961
SPAC12B10.08c	350.459439326615	-0.0733316651801702	0.38371229299377	-0.191111065553901	0.848438578363826	0.963403288631725
SPAC12B10.09	254.402407590515	1.20189266260114	0.412602726650881	2.9129537566486	0.00358027616584054	0.0812283006607892
SPAC12B10.10	273.460024734959	1.23880379428637	0.416536216976963	2.97406022284705	0.0029388738979008	0.0719801463023734
SPAC12B10.11	589.884966063348	-0.516719531377946	0.359641838987138	-1.43676145365397	0.150785786560818	0.565724341352432
SPAC12B10.12c	1201.16001664767	-0.199873173634071	0.335340213479364	-0.596031032366391	0.551154495885017	0.870961495019586
SPAC12B10.13	900.602028701178	0.583993276327077	0.337853628634286	1.7285393046917	0.0838915806430568	0.441475802696187
SPAC12B10.14c	1225.50353320313	-0.387270284517312	0.370178318339293	-1.04617225086196	0.295481512079344	0.721519432441479
SPAC12B10.15c	219.425348871198	-0.0338139088170474	0.409976617597078	-0.082477652055463	0.934266888853973	0.982569380177525
SPAC12B10.16c	501.456083412432	1.09525682379677	0.369593529526464	2.96340908673389	0.00304251921913046	0.0736813830370695
SPAC12G12.01c	2217.1937473726	-0.117485869654956	0.317221276457534	-0.370359362294173	0.71111474856762	0.933256449376711
SPAC12G12.02	1909.84136201985	0.282506139617357	0.327135586375792	0.863575078294395	0.387821359509481	0.790558925153941
SPAC12G12.03	3625.83833761388	-0.291367840976705	0.362412909007859	-0.803966508186348	0.421416317710979	0.806279620155853
SPAC12G12.04	11834.5098295617	-0.0314017814542672	0.349438263006355	-0.0898636033275387	0.928395604428391	0.982569380177525
SPAC12G12.05c	352.788033321774	0.607980982799168	0.392364635186261	1.54953053429637	0.121254237226942	0.511915552920968
SPAC12G12.06c	1333.89186716919	0.605741958720487	0.34937513211832	1.73378670384401	0.0829559356739401	0.438946874032485
SPAC12G12.07c	861.576136756845	0.339284592475628	0.383208790495959	0.885377895524048	0.375952850200815	0.781721013875528
SPAC12G12.08	389.650767083235	0.105944138124411	0.401174584539119	0.264084870296862	0.791714521932373	0.949755597481836
SPAC12G12.09	781.080908889692	0.263754082332606	0.359344040840705	0.733987634010959	0.462956274788376	0.823741131750588
SPAC12G12.10	1482.08910762648	-0.297783240386131	0.319341786188159	-0.932490683228892	0.351082999345538	0.765633279517116
SPAC12G12.11c	601.390109370437	1.04116503421718	0.387633836513228	2.6859498220859	0.00723239493768389	0.127077895834413
SPAC12G12.12	598.067919125438	0.681240644615804	0.365518009198848	1.86376765979046	0.062354339160298	0.391060288080007
SPAC12G12.13c	2353.2291582993	-0.687853629169526	0.357989441418206	-1.92143552179789	0.0546768238836454	0.365227627305424
SPAC12G12.14c	757.042998974668	0.189302383850466	0.355845383983485	0.531979315654833	0.594740321550257	0.892075465480792
SPAC12G12.15	1771.73210796418	-0.0956709089854969	0.339781905652317	-0.281565637822376	0.778276591585856	0.948084295882126
SPAC12G12.16c	324.871192941959	0.13436330218865	0.401069060465196	0.335012882900524	0.737615368071365	0.939373924241141
