baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	417.36803237199	0.104009639001505	0.516964085659657	0.201193161936553	0.840547538158718	0.96401989518869
SPAC1002.02	123.65988009474	-0.318904124771198	0.590931397700634	-0.539663531184976	0.589429094517112	0.862367865411036
SPAC1002.03c	504.99239904783	-0.177787400129202	0.451557932751495	-0.393720024019695	0.693787756006905	0.901420229043073
SPAC1002.04c	42.6393731112231	0.46184450808073	0.738081032645231	0.625736860389856	0.531487551847702	0.832116059638276
SPAC1002.05c	1043.09018947798	0.0541941075331052	0.461404241501766	0.117454723339161	0.906499721167949	0.981421406611852
SPAC1002.06c	75.3853546616061	-0.45982776384196	0.654759273698801	-0.702285224987112	0.482501305565068	0.801461904505415
SPAC1002.07c	72.199938014352	-0.978243321628978	0.653867462234538	-1.49608808838096	0.134630701562037	0.438849568353895
SPAC1002.08c	275.800111175621	-0.526058233862565	0.527877613677811	-0.996553406001498	0.318981331923804	0.667507830956347
SPAC1002.09c	319.273822130079	-0.847350264025198	0.50045933958642	-1.69314507093713	0.0904278570377566	0.358812763517411
SPAC1002.10c	324.090401723321	-1.03849070491312	0.487081462857802	-2.13206780405908	0.0330012729286005	0.202199776348588
SPAC1002.11	121.003594243555	-1.27903100228959	0.610645835311839	-2.09455453280285	0.0362106105924425	0.211152139455978
SPAC1002.12c	114.095310324163	-1.58771464285338	0.603923192677252	-2.62900094267764	0.00856361235383179	0.0962094102448877
SPAC1002.13c	2762.47292713903	-1.87803835077112	0.416512481604668	-4.50896055632171	6.51460181598585e-06	0.00116086585137637
SPAC1002.14	382.459138505448	-1.20050526617972	0.512220866552949	-2.34372581159894	0.0190922011111645	0.147384440587389
SPAC1002.15c	50.3032941740502	-0.0587967601945475	0.694518720918573	-0.0846582797894672	0.932533064748055	0.986014234650904
SPAC1002.16c	18.4724769432576	-0.921583529192757	0.773029086885087	-1.19217186626996	0.233193862396103	0.582101794756333
SPAC1002.17c	20.6237169417546	0.271179821526829	0.770986817820173	0.351730814663656	0.725040148668074	0.921381250734092
SPAC1002.18	32.5732196845725	-1.79668078686269	0.757810654598188	-2.37088351286818	0.0177456229194647	0.141375824085992
SPAC1002.19	31.5193556345276	-1.5631512172046	0.77022611187236	-2.02947055820362	0.0424103848087501	0.233931744237431
SPAC1002.20	198.015453862794	0.290807890567542	0.532896421211528	0.545711847541399	0.585264026721125	0.860218168917983
SPAC1006.01	623.783397927397	-1.19810835805427	0.498587184695735	-2.40300672546451	0.0162608883684693	0.134251736015097
