baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	113.562232040952	-1.9040941642709	0.681305346013535	-2.79477355551687	0.00519360798611451	0.190801756806951
SPAC1002.02	133.998162315133	0.346880449819087	0.684031178539157	0.507112045038499	0.612076204030975	0.995733810981442
SPAC1002.03c	116.300699012853	-0.689252762112041	0.6671521152505	-1.03312684821998	0.301544540481429	0.995733810981442
SPAC1002.04c	203.586558456095	-0.979341410038927	0.622723986135465	-1.57267333817761	0.115794476464652	0.826386791346006
SPAC1002.05c	18.2981738680988	0.241758722185563	0.916349723357796	0.263828008044443	0.791912451669022	0.995733810981442
SPAC1002.06c	51.5148620635966	-0.219876526365404	0.809588558836859	-0.271590456615768	0.785936938249562	0.995733810981442
SPAC1002.07c	88.3093957977567	-1.18144842956912	0.738284090972427	-1.60026261437244	0.109540336826973	0.802224687286691
SPAC1002.08c	333.651753407915	-2.01958130370905	0.593897454393173	-3.40055558206189	0.000672490626070454	0.0762769690485364
SPAC1002.09c	12.4788001260255	0.122036618085647	0.914483883224836	0.133448626404762	0.893838590962542	0.995733810981442
SPAC1002.10c	38.8846177804575	0.0403555342773522	0.833727176244921	0.0484037649571556	0.961394458822052	0.995733810981442
SPAC1002.11	26.7437516128661	-0.779438040503194	0.891311627829934	-0.874484317455705	0.381854557033384	0.995733810981442
SPAC1002.12c	192.238079156978	-0.416930553646277	0.60782766878421	-0.685935463385913	0.492753805857201	0.995733810981442
SPAC1002.13c	1174.95632203277	-1.29271405505659	0.518193652592041	-2.49465436056645	0.0126079875113119	0.327130966483158
SPAC1002.14	43.5530774793043	-0.188894970038823	0.822492924027546	-0.229661513820508	0.818354803062579	0.995733810981442
SPAC1002.15c	15.550596960003	0.0328781373471714	0.918452602056021	0.0357973152600051	0.971443973808788	0.995733810981442
SPAC1002.16c	5.60038241895283	0.774577070023138	0.820756194585344	0.943735880561296	0.345304633689389	0.995733810981442
SPAC1002.17c	12.6790039598985	-1.34477314169473	0.914142231791227	-1.47107648561395	0.141270433407911	0.879209533943675
SPAC1002.18	5.87071967928013	-0.267236254711421	0.845942925161638	-0.315903409985205	0.75207582357697	0.995733810981442
SPAC1002.19	6.01098653218885	0.823227851983142	0.82716608625292	0.995238883296561	0.319620094607259	0.995733810981442
SPAC1002.20	0.95635209058567	0.0386678344534177	0.596009571120739	0.0648778749990651	0.948271236666462	0.995733810981442
SPAC1006.01	39.1788159867273	0.881123417178793	0.844200337175948	1.04373734334952	0.296606927442613	0.995733810981442
SPAC1006.02	492.470978818093	-0.891817622889778	0.522884704971174	-1.70557221202128	0.0880877567734386	0.731927726960923
SPAC1006.03c	223.9042135837	-0.244462750449439	0.620798118643583	-0.39378784037487	0.693737682555265	0.995733810981442
SPAC1006.04c	50.0517871932081	-2.46563542349453	0.87896289849417	-2.80516439057738	0.00502909232913034	0.189376758018814
SPAC1006.05c	354.996838551936	0.253917452090216	0.571928344030053	0.443967246492812	0.65706626455481	0.995733810981442
SPAC1006.06	43.320265665372	1.35164853779472	0.84608772849381	1.59752764669085	0.110148140067126	0.805391436777223
SPAC1006.07	504.885478714817	-0.0972112826276805	0.54935238923642	-0.176956147879507	0.859542834828071	0.995733810981442
SPAC1006.08	35.2162459243606	-1.28564069625763	0.850826019618702	-1.51105004620544	0.130775700544135	0.863005033711295
SPAC1006.09	124.183652668674	-0.0532259190940083	0.687549067435077	-0.0774139935824061	0.938294208920973	0.995733810981442
SPAC1039.01	5.92206561648703	-0.888283173637526	0.778508029085157	-1.14100708078935	0.253866976402806	0.990560509916592
SPAC1039.02	10.3094727170793	-0.105128559881088	0.89263916829348	-0.117772739103606	0.906247730235734	0.995733810981442
SPAC1039.03	79.9370071002284	-1.33425854922068	0.728174790480371	-1.83233279518023	0.0669018539207089	0.691395660158269
SPAC1039.04	6.64871104602501	0.11609749816495	0.833350838952304	0.139314071263082	0.889201971051695	0.995733810981442
SPAC1039.05c	2.18557816984617	0.220194499875186	0.662092604050291	0.332573568301724	0.739456198088242	0.995733810981442
SPAC1039.06	15.3158168422603	-1.00860645550909	0.919011917762611	-1.09749007168982	0.272427218478919	0.993675438868875
SPAC1039.07c	20.96754519842	-0.661923204728151	0.903107160690449	-0.732939825460018	0.463595131552271	0.995733810981442
SPAC1039.08	13.1083955623819	-0.179483089874131	0.908603757480518	-0.197537252511284	0.843407132421697	0.995733810981442
SPAC1039.09	1.84257075471698	-0.304009213560553	0.59583333401072	-0.51022525294814	0.609893662303748	0.995733810981442
SPAC1039.10	0	NA	NA	NA	NA	NA
SPAC1039.11c	0.95635209058567	0.0386678344534177	0.596009571120739	0.0648778749990651	0.948271236666462	0.995733810981442
SPAC105.01c	85.8636768130734	-0.397992460634254	0.730151548690902	-0.545081992016342	0.585697127394705	0.995733810981442
SPAC105.02c	115.376855838127	-0.824097546278524	0.69106692390059	-1.19250034660474	0.233065114921277	0.982188058322359
SPAC105.03c	13.6541435397316	-0.157747401002891	0.918432154412797	-0.171757271612237	0.863628358541357	0.995733810981442
SPAC1071.01c	88.0852245596816	-0.856693480182693	0.794695472288774	-1.07801479944935	0.281027151650977	0.995733810981442
SPAC1071.02	18.5792264663534	-0.549659715159955	0.913920140307498	-0.601430793477224	0.547553093832089	0.995733810981442
SPAC1071.03c	90.7724025205356	-0.0114111563558402	0.719503022460199	-0.0158597754277973	0.987346260521655	0.99730417419624
SPAC1071.04c	22.3532888914891	0.111582021108997	0.903986445308012	0.123433290054452	0.901763996974045	0.995733810981442
SPAC1071.05	63.723843821732	-0.806018224343483	0.769981016044413	-1.04680272311674	0.295190574200957	0.995733810981442
SPAC1071.06	265.745267470102	-0.613663513337554	0.586580833519277	-1.04617041381286	0.295482360084937	0.995733810981442
SPAC1071.07c	695.7714739241	-0.0865002095456333	0.520026844560362	-0.166337969761468	0.86789098669244	0.995733810981442
SPAC1071.08	84.2923746452984	-1.51225626659649	0.749275642411172	-2.01829097464058	0.0435609661293058	0.577261119894066
SPAC1071.09c	1645.46609322891	-1.42915636014498	0.48716970911048	-2.93359035551382	0.00335066111884203	0.154104833900941
SPAC1071.10c	666.237319603089	-0.471896307435064	0.520099712868479	-0.907318915506487	0.364238174187776	0.995733810981442
SPAC1071.11	90.6164533312641	-1.09674042215809	0.729855376930235	-1.50268184194377	0.132921107344628	0.866720423973359
SPAC1071.12c	6.75947507175897	0.353386980654072	0.83679979108899	0.422307682694547	0.672800451201903	0.995733810981442
SPAC1071.13	7.17007918499499	0.452953556649808	0.872546537890785	0.519116788595296	0.603679301518829	0.995733810981442
SPAC1093.01	150.455931860725	0.573387143636296	0.649093426409057	0.883366123130246	0.377038488172639	0.995733810981442
SPAC1093.02	153.319667015287	0.968070145010904	0.708354205311292	1.36664699348468	0.171735979840687	0.892326072121643
SPAC1093.03	116.54458906679	-1.4517321318717	0.670393072189745	-2.16549393496836	0.030349879365985	0.495008708330699
SPAC1093.04c	87.7225552548499	-0.797313063275115	0.723912730078527	-1.10139389756086	0.270725260218515	0.993675438868875
SPAC1093.05	224.161213112413	-1.1184480293424	0.694856996209422	-1.60960893456315	0.107483256488296	0.798572185727866
SPAC1093.06c	3.75527493588832	-0.0400221886373174	0.754165161725454	-0.0530682013284074	0.957677567401092	0.995733810981442
SPAC1093.07	0	NA	NA	NA	NA	NA
SPAC10F6.01c	187.538510421545	0.688555497454936	0.615974531933039	1.11783111437112	0.263639130055855	0.990894113406229
SPAC10F6.02c	20.1001140235361	0.243189939787363	0.906468207899554	0.268282922300029	0.788481550570399	0.995733810981442
SPAC10F6.03c	266.376930274469	-0.38908939280188	0.569009330784248	-0.683801427765007	0.494100564900627	0.995733810981442
SPAC10F6.04	0.95635209058567	0.0386678344534177	0.596009571120739	0.0648778749990651	0.948271236666462	0.995733810981442
SPAC10F6.05c	1.84257075471698	-0.304009213560553	0.59583333401072	-0.51022525294814	0.609893662303748	0.995733810981442
SPAC10F6.06	339.609052979913	0.828718542959619	0.616964934045018	1.34321822396984	0.179201322332702	0.904123644703101
SPAC10F6.07c	18.6899904920873	-0.367746423721727	0.910130433188661	-0.404059034080774	0.686169308576791	0.995733810981442
SPAC10F6.08c	288.289594140789	-1.33543581261408	0.575818435399337	-2.31919600088514	0.0203844112177111	0.429426844708774
SPAC10F6.09c	29.8501247307134	0.592463438102825	0.880368139479181	0.672972375457978	0.50096486558075	0.995733810981442
SPAC10F6.10	20.7617490154148	1.07917984493042	0.915809904539273	1.17838848387793	0.238641766669376	0.985921528510495
SPAC10F6.11c	13.6836463669064	0.442132450064081	0.918479085388744	0.481374543087118	0.630250326141936	0.995733810981442
SPAC10F6.12c	94.2381402726716	0.1181779643016	0.721991799694662	0.16368325007511	0.869980504197715	0.995733810981442
SPAC10F6.13c	265.541061900711	0.0671521976942342	0.640868295312885	0.104783148402511	0.916547882057152	0.995733810981442
SPAC10F6.14c	89.0914797624819	0.337690180596094	0.731145849375312	0.461864320073231	0.644178622163992	0.995733810981442
