baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	470.773868839636	0.0778403809807408	0.300647280703716	0.258909313260849	0.795705212203571	0.982548457853949
SPAC1002.02	986.242599427526	0.0310833222743728	0.27498581839958	0.113036092025683	0.910001941273253	0.994562925703099
SPAC1002.03c	3130.22130577804	-0.165291174662585	0.233260432550269	-0.708612141611132	0.478565199605773	0.975529210577054
SPAC1002.04c	756.682005941321	-0.315649920972355	0.293519436944605	-1.07539699673084	0.282197025832886	0.958645155948205
SPAC1002.05c	1844.71586182445	-0.303771264695184	0.262223172545969	-1.15844553990335	0.2466822639932	0.958634390531313
SPAC1002.06c	206.530651109583	-0.379879055796547	0.315678909487692	-1.20337166779068	0.228832526655855	0.958634390531313
SPAC1002.07c	741.023478802359	-0.786101080037578	0.287780021681673	-2.73160407537644	0.00630268310080039	0.235401945571279
SPAC1002.08c	1805.97232781541	-0.189852710911888	0.264472673788297	-0.717853788795813	0.472847443700468	0.975529210577054
SPAC1002.09c	5066.13424361953	-0.158198404753321	0.223982324524792	-0.706298611236221	0.480002456898854	0.975529210577054
SPAC1002.10c	880.561407097312	-0.0796446150892952	0.281841753762224	-0.282586288320103	0.777493992431821	0.982548457853949
SPAC1002.11	1279.65949731982	-0.0300112348462977	0.259567134278107	-0.115620318919663	0.907953458737096	0.994562925703099
SPAC1002.12c	2807.88623556115	-0.0121278702774104	0.236339554593369	-0.0513154486487752	0.959074158081457	0.996923880790324
SPAC1002.13c	30311.8360062624	-0.0439363581422838	0.209133943565243	-0.210087168984967	0.833599639681176	0.987463428139949
SPAC1002.14	1504.09314700195	-0.303401188623839	0.258229984710342	-1.17492625406831	0.240024220962138	0.958634390531313
SPAC1002.15c	1449.07038653984	0.00132439413552506	0.258462667990867	0.00512412158328357	0.995911560392465	0.998717449076828
SPAC1002.16c	501.659367778113	0.154701322093818	0.298941096419981	0.517497674111955	0.604808792146368	0.976824165566468
SPAC1002.17c	11712.0834788434	3.67570953307778	0.230950231527709	15.9155914621232	4.93979760904363e-57	1.07061880180006e-53
SPAC1002.18	3377.31262390852	2.64589025202444	0.248200041337444	10.6603135026363	1.56070458298485e-26	1.69128353309458e-23
SPAC1002.19	38768.9162984457	5.02704426778354	0.22802573949868	22.0459509476238	1.04462818305744e-107	6.79217244623949e-104
SPAC1002.20	44.5705679093497	0.169375203322263	0.248824860766299	0.680700484672806	0.496061029602775	0.976824165566468
SPAC1006.01	5360.74925499652	0.0820319781103889	0.230100672065586	0.356504730620723	0.721462609997233	0.982548457853949
SPAC1006.02	1722.46600155425	0.00709076192922236	0.288745266869482	0.0245571538058406	0.980408195292903	0.997290609251657
SPAC1006.03c	4306.24053974309	-0.223786231214528	0.250126448108195	-0.894692396214443	0.370951544515305	0.958645155948205
SPAC1006.04c	1174.21364874649	-0.0612124816576411	0.275267581827424	-0.222374466514613	0.824022386993134	0.986579573296877
SPAC1006.05c	4340.24650857482	0.0414705429427233	0.235824663596705	0.175853289941056	0.860409202603353	0.990584043803709
SPAC1006.06	7241.93735297319	-0.124149797799398	0.224708817663329	-0.552491883008373	0.580611394105345	0.976824165566468
SPAC1006.07	9904.53961841507	-0.626364728769661	0.229865938794672	-2.7249131909411	0.00643183954672038	0.236724407971375
SPAC1006.08	790.169415452698	-0.698332349752089	0.28897431923799	-2.41658965264995	0.0156666676241373	0.377276566267188
SPAC1006.09	9925.70526469225	-0.19683807572599	0.243730024743451	-0.807607006700057	0.419316851911771	0.973713632546548
SPAC1039.01	7689.63913791328	3.22173952280173	0.248549749179637	12.9621515750283	2.00542510045616e-38	3.25981850079149e-35
SPAC1039.02	9515.05409593001	2.31889151769635	0.247555183734441	9.36717011017586	7.45032482985414e-21	5.38244578263463e-18
SPAC1039.03	1350.60202236088	0.30615292937045	0.257524967264863	1.18882814595438	0.234507299918819	0.958634390531313
SPAC1039.04	1558.96799640644	0.466774937172043	0.252680613821439	1.84729224024245	0.0647047969775276	0.743304929236545
SPAC1039.05c	2767.59164411224	0.651130682248369	0.236093286593418	2.75793815081958	0.0058167202319196	0.225120922309174
SPAC1039.06	2113.42171225249	1.41215266076327	0.247134924912273	5.71409589828127	1.10288793962527e-08	2.24093043232609e-06
SPAC1039.07c	1470.5854558973	0.955229174627207	0.25950743306187	3.68093184598481	0.000232383119478553	0.0182042776246934
SPAC1039.08	933.690744066496	0.980390589074872	0.274597662088844	3.57028017506455	0.000356599606614582	0.0244064278127159
SPAC1039.09	12879.464848131	4.34090613935845	0.228823311477098	18.9705590367392	2.98713013740041e-80	9.71116007668872e-77
SPAC1039.10	797.251823351499	2.27783921781598	0.304240265698336	7.48697485057591	7.04792007419063e-14	2.86409852014922e-11
SPAC1039.11c	1981.69267906904	-0.0339420342087263	0.2578326582196	-0.131643657723986	0.895266152134828	0.991487058623854
SPAC105.01c	3413.56394234868	-0.117053249302596	0.244747697216286	-0.478260881037647	0.632464535430292	0.976824165566468
SPAC105.02c	2177.43139253344	-0.0125075253448525	0.24390280545419	-0.0512807768715953	0.959101785782142	0.996923880790324
SPAC105.03c	2786.44445884586	-0.0177685060256714	0.237054695976408	-0.0749553007270513	0.940250276647085	0.994562925703099
SPAC1071.01c	4226.80110840618	-0.0095357091616723	0.245028186041173	-0.0389167847003119	0.968956734450322	0.996923880790324
SPAC1071.02	2211.55185338626	-0.359439434881173	0.250830888047911	-1.43299510550119	0.151859236073731	0.927920097664097
SPAC1071.03c	1954.6538009261	-0.162577897401523	0.264485137650642	-0.614695777787982	0.538755648715397	0.976824165566468
SPAC1071.04c	263.543488450104	-0.288602440308567	0.314568972888351	-0.917453611710775	0.3589049904297	0.958645155948205
SPAC1071.05	1349.68166281209	0.030654185851198	0.258054237404373	0.118789701574102	0.905441967864291	0.993925839198804
SPAC1071.06	1707.56943922908	-0.246208748861873	0.254296380606663	-0.96819604067704	0.332946471914536	0.958645155948205
SPAC1071.07c	1284.0820315652	-0.545790688302412	0.263224632039398	-2.07347877770314	0.0381277441690668	0.584466720873496
SPAC1071.08	747.934400334604	-0.519925514094516	0.286133296893129	-1.81707448849866	0.0692057084671777	0.770853477713191
SPAC1071.09c	1536.88205681029	-0.204780003569232	0.287453428398586	-0.712393672637926	0.476221032586898	0.975529210577054
SPAC1071.10c	87375.6549643066	-0.491638117888871	0.206018010577332	-2.38638416374925	0.0170149666688851	0.392309621564151
SPAC1071.11	3623.62691310929	-0.0281136509356743	0.236880863647504	-0.118682659725141	0.905526774973676	0.993925839198804
SPAC1071.12c	178.88325538788	0.0209159447156181	0.314978191495094	0.0664044218945358	0.947055849812881	0.995384752794977
SPAC1071.13	4055.70331539666	-0.0736976339513647	0.226311139685477	-0.325647398770508	0.744691146202893	0.982548457853949
SPAC1093.01	16840.2032209229	0.762576865361965	0.222008972589173	3.43489209678526	0.000592789814452155	0.0360216763884852
SPAC1093.02	1883.4737119013	-0.025463068567638	0.24615578951941	-0.103442899382345	0.917611465959374	0.994562925703099
SPAC1093.03	2661.04002793082	-0.578901613474113	0.241525866868155	-2.3968514055272	0.0165366283756718	0.385380493543434
SPAC1093.04c	2764.07738794376	0.0224630170607978	0.245148911381337	0.0916300910096878	0.926991942846462	0.994562925703099
SPAC1093.05	2803.32346548545	-0.217902670935256	0.244348481907339	-0.891770103232679	0.372516169421221	0.958645155948205
SPAC1093.06c	9178.57387049064	0.0694686866638953	0.229052114086153	0.303287690406411	0.761670626321706	0.982548457853949
SPAC1093.07	1374.26973763778	1.07263836069883	0.267729910313325	4.00641960191716	6.16460953330925e-05	0.00598243152023533
SPAC10F6.01c	26780.0761336771	-0.223128085704724	0.211968097420396	-1.05264937705316	0.292501717934789	0.958645155948205
SPAC10F6.02c	2768.7678364852	-0.189483333784541	0.245933099474802	-0.770466985489908	0.441022931599092	0.975529210577054
SPAC10F6.03c	7930.4898281444	0.018329607381914	0.250447066898604	0.0731875506025986	0.941656872999531	0.994562925703099
SPAC10F6.04	1953.55326070506	0.174404299305855	0.250437547787199	0.696398366965521	0.486179385459823	0.975529210577054
SPAC10F6.05c	1347.24241684687	-0.246727139181689	0.26295371737955	-0.938291124538698	0.348094819654339	0.958645155948205
SPAC10F6.06	6904.63032792366	0.0400844819478294	0.216855263876338	0.184844403734131	0.853351078781645	0.989056468449595
SPAC10F6.07c	572.78959309516	-0.018560170924168	0.301944932226419	-0.0614687280469085	0.95098591869877	0.995384752794977
SPAC10F6.08c	1361.72366782208	-0.32153702674373	0.259306981668597	-1.23998599912233	0.214980572762623	0.958634390531313
SPAC10F6.09c	5286.07539539179	-0.329169127285751	0.235511792555576	-1.39767577544158	0.162210451937008	0.931311090955938
SPAC10F6.10	1113.84070837343	-0.348590980507316	0.279669312310027	-1.2464398672418	0.212602952601547	0.958634390531313
SPAC10F6.11c	2601.8169841306	-0.318719226829202	0.24628989243356	-1.29408163558795	0.195637224159413	0.95724956544837
SPAC10F6.12c	1031.35418144756	0.0486802831324695	0.298123257059779	0.163289116094382	0.870290802989929	0.990584043803709
SPAC10F6.13c	4982.12112572342	0.16421104038411	0.224923315353757	0.730075671016324	0.465343931605888	0.975529210577054
SPAC10F6.14c	1445.76729874572	-0.179020787566889	0.255539930517273	-0.700558958455177	0.48357829879422	0.975529210577054
SPAC10F6.15	135.460687592978	0.242685203834011	0.307416189266395	0.789435339801538	0.42985760769611	0.975529210577054
SPAC10F6.16	1997.08126403649	0.0464890299992331	0.260912964111224	0.178178306155057	0.858582946281792	0.990584043803709
SPAC10F6.17c	1348.82421218185	-0.276490466959213	0.257143006505866	-1.07524008028158	0.282267255242333	0.958645155948205
SPAC110.01	17016.73364184	0.766416302454155	0.21026079114342	3.64507475828614	0.00026731408451512	0.0197508656536058
SPAC110.02	3621.30768143802	-0.324206016731681	0.25361916616881	-1.27831828181269	0.201137224309295	0.958634390531313
SPAC110.03	4834.7776266185	-0.181207463541513	0.248651289865689	-0.728761405739715	0.466147623496474	0.975529210577054
SPAC110.04c	10658.0437135102	-0.323175263871517	0.220967113928012	-1.46254914646169	0.143590787014122	0.916232993175462
SPAC110.05	921.591656525027	0.976394536431079	0.275628600003056	3.54242824010373	0.000396461275253306	0.0263039919560918
SPAC1142.01	2344.21452739692	-0.263018822258493	0.248084354731373	-1.06019915098351	0.289054007288703	0.958645155948205
SPAC1142.02c	3039.98765458186	-0.243815976145503	0.2477360464234	-0.984176423518132	0.325028775836701	0.958645155948205
SPAC1142.03c	1982.23749154684	-0.16460438294624	0.248175479376753	-0.663258043702035	0.50716530274274	0.976824165566468
SPAC1142.04	3178.92413109949	-0.332869084069496	0.234799260440459	-1.41767518111031	0.15628561932499	0.928723199278013
SPAC1142.05	3692.56171622645	-0.292597929047944	0.244205465434149	-1.19816290158684	0.230853604843936	0.958634390531313
SPAC1142.06	3534.55534129485	-0.0443083479044505	0.286060790144919	-0.154891370753761	0.87690695668668	0.990584043803709
SPAC1142.07c	813.370349258007	-0.149330295537974	0.288367029870073	-0.517848020299881	0.604564311089414	0.976824165566468
SPAC1142.08	3103.73325551718	-0.301456675187818	0.24174269773085	-1.24701460692497	0.212392141713479	0.958634390531313
SPAC1142.09	3.51864883884588	-0.0294415555847734	0.0852273986248235	-0.345447075234303	0.729758291854932	0.982548457853949
SPAC11D3.01c	101.049135288303	0.042747907046072	0.298834723735414	0.143048660850808	0.886251750536449	0.991487058623854
SPAC11D3.02c	1055.4475945232	0.188252905944519	0.266946819982411	0.705207523943995	0.480681099697973	0.975529210577054
SPAC11D3.03c	817.0782731789	1.8209825730751	0.291810444193216	6.24029266022218	4.36752966030507e-10	1.13590711405214e-07
SPAC11D3.04c	698.184268004096	-0.265504864098082	0.285629341032163	-0.929543383528604	0.352607552930822	0.958645155948205
SPAC11D3.05	5410.70004464845	0.0632896205658968	0.228843049959511	0.276563437592248	0.782115342533095	0.982548457853949
SPAC11D3.06	2185.40887163605	0.476254298040905	0.273435257542795	1.74174428828501	0.0815531991221977	0.815119435817116
SPAC11D3.07c	6479.17912433759	0.70920753207489	0.227763025349107	3.11379571371535	0.00184697322380484	0.0883016169204341
SPAC11D3.08c	5494.71255840388	0.314289728689972	0.220621191003749	1.42456727415922	0.154282325550693	0.928723199278013
SPAC11D3.09	979.316508024295	0.513691123909329	0.287625426700556	1.78597257482429	0.0741036987676801	0.787291257169046
SPAC11D3.10	1373.57333007873	0.236198370962519	0.269553582265167	0.876257584772753	0.380890017778298	0.958645155948205
SPAC11D3.11c	1626.05962882832	-0.0515153149054499	0.25184964387059	-0.204547896569274	0.837925367047176	0.987463428139949
SPAC11D3.13	283.494689252905	-0.643479565678059	0.315393952521358	-2.04024065944791	0.0413263618920792	0.603836589755344
SPAC11D3.14c	7273.10583957269	1.0671704015163	0.249564983179056	4.27612234666204	1.90176735887491e-05	0.00217586100917937
SPAC11D3.15	6785.17933093056	1.02510721806545	0.233231332482896	4.39523801177369	1.10651445640727e-05	0.00135746358406794
SPAC11D3.16c	2218.70823517778	0.848184749239974	0.258840905172355	3.2768574529408	0.00104969349707608	0.057353841327636
SPAC11D3.17	3851.33484526761	1.13285360509325	0.233362298433804	4.85448426200946	1.20700454647313e-06	0.000166977522578048
SPAC11D3.18c	1789.64239232626	0.883663196481996	0.257195743475798	3.4357613564672	0.000590891215848168	0.0360216763884852
SPAC11D3.19	1417.4453383933	0.661948159618038	0.278904291183607	2.37338822148945	0.0176257270923266	0.394802205270081
SPAC11E3.01c	5080.71364703904	-0.0158785690043556	0.232093927398028	-0.0684144095555106	0.94545575153929	0.995361608890619
SPAC11E3.02c	4408.30413777681	0.0381253391013897	0.22888990095066	0.166566278997202	0.867711328431239	0.990584043803709
SPAC11E3.03	251.108344392118	-0.0285224347774613	0.315728744046194	-0.0903384164898467	0.928018292996322	0.994562925703099
SPAC11E3.04c	831.600359527057	-0.0151218890127511	0.280750034269742	-0.0538624654208309	0.957044741487525	0.996923880790324
SPAC11E3.05	3337.95054187787	-0.107873836761767	0.23620099801075	-0.456703560400948	0.647884131399574	0.980116943313176
SPAC11E3.06	846.420233692857	-0.729700329374832	0.286692167348745	-2.54523985124153	0.0109202700224731	0.312791170423438
SPAC11E3.07	2450.64098431301	-0.156610582964149	0.246085978070825	-0.63640595938008	0.524511857647938	0.976824165566468
SPAC11E3.08c	909.759579742133	-0.253707180709768	0.278620846653941	-0.910582189942459	0.362515558066398	0.958645155948205
SPAC11E3.09	736.896530604587	-0.247256358139359	0.293818068624432	-0.841528770837475	0.400051774104354	0.963863071256602
SPAC11E3.10	1767.31077167035	0.238039105831712	0.259802862014492	0.916229728902807	0.359546415918997	0.958645155948205
SPAC11E3.11c	4821.32315789983	-0.035822829375995	0.232391877322225	-0.154148371228675	0.877492749306102	0.990584043803709
SPAC11E3.12	765.018560088801	-0.11188060597592	0.28003165790963	-0.399528420504604	0.689503886821833	0.982548457853949
SPAC11E3.13c	18310.8692528127	-0.786878428401493	0.226927346180147	-3.46753461690257	0.000525256083921159	0.0328386063236094
SPAC11E3.14	3651.25937169343	-0.282471726482227	0.237030497995446	-1.19171047131519	0.233374790762508	0.958634390531313
