baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	214.301315480146	0.189181575833315	0.249333186678333	0.75875008198319	0.448002071666755	0.554612418186654
SPAC1002.02	714.993819103053	1.18082077911105	0.181318792845852	6.51240150332857	7.39587106842761e-11	9.8229242680259e-10
SPAC1002.03c	1636.64856016012	0.0990359441098046	0.159000403836787	0.622865991028954	0.533372588377331	0.634008514085878
SPAC1002.04c	408.417281056579	0.914273029618552	0.220791789489204	4.14088328073112	3.45970984914796e-05	0.000142145149610195
SPAC1002.05c	722.049134313652	-0.000966066495692758	0.184166400153163	-0.00524561752246513	0.995814621961452	0.996535183165054
SPAC1002.06c	50.5234999553926	-0.525501549868762	0.393143230628269	-1.33666691660689	0.181331385533786	0.268816550581749
SPAC1002.07c	713.106666153089	1.29380975119004	0.185861142921076	6.96116321494614	3.37474509024836e-12	5.84118112961073e-11
SPAC1002.08c	778.950320600558	0.342310953595913	0.1822750207817	1.87799157628888	0.0603823174620636	0.107163382067933
SPAC1002.09c	3486.75369915707	0.827106884312581	0.154852619669341	5.34125212785366	9.23067676458761e-08	6.52261068229491e-07
SPAC1002.10c	405.6145753571	0.163225874320461	0.215959325952801	0.755817668907407	0.449758521655058	0.556300507212955
SPAC1002.11	1113.7920240975	0.510719981369986	0.166255393468627	3.07190022960886	0.0021270080557186	0.005814549427509
SPAC1002.12c	730.204410290184	0.349462411699744	0.183832797293655	1.90097967742672	0.0573046745674978	0.102315177526825
SPAC1002.13c	14926.2615000172	0.0778022649329239	0.16584562383301	0.469124618031905	0.638980563376911	0.725485957162759
SPAC1002.14	1060.91137100815	0.409393110100401	0.175742798693614	2.32950148252804	0.0198325145549267	0.0407289380635731
SPAC1002.15c	623.083489886519	-0.730434618262997	0.204231611301628	-3.57650127523219	0.000348223618667314	0.00114514366361136
SPAC1002.16c	484.391027547241	0.627700110424937	0.208596681719269	3.00915673850315	0.00261973925876405	0.00696741442420778
SPAC1002.17c	1181.27250857319	0.718358969868535	0.19175809502886	3.74617285262674	0.000179552894838091	0.000628580010546688
SPAC1002.18	919.64948169278	0.731327561950276	0.239014632821004	3.05976062351781	0.00221513961909646	0.00602429111620549
SPAC1002.19	738.796972742505	0.0336798947397704	0.462611049785706	0.0728039132557941	0.9419621568954	0.958456803795382
