baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	96.6961016881259	-0.862405908397839	0.370424927781226	-2.32815300407422	0.0199039806385686	0.0878895156258696
SPAC1002.02	95.0690655774693	-0.401482226021677	0.377773280520387	-1.06275972050916	0.287890930275904	0.501623594910002
SPAC1002.03c	32.277759986484	-1.12645373565461	0.538486121393582	-2.09189000589168	0.036448356316168	0.130749930844241
SPAC1002.04c	133.890574263592	-0.889373593233262	0.344111171468875	-2.58455309496892	0.00975052904568843	0.05227343948878
SPAC1002.05c	53.7047903083877	1.2930279626816	0.450438072694344	2.87060095730189	0.00409692347532295	0.0281502985057089
SPAC1002.06c	17.0486324332527	-1.19523477249332	0.608926425259043	-1.96285581133197	0.0496629305693159	0.160263880768508
SPAC1002.07c	49.0301954080256	-0.856968241317621	0.50368555612546	-1.7013953068453	0.0888687819872561	0.236808283082595
SPAC1002.08c	125.485486305007	-2.25458893008918	0.416709993893575	-5.4104508246207	6.28662848920547e-08	5.08572125216494e-06
SPAC1002.09c	31.4857664556889	-0.209122815339519	0.532667193435568	-0.39259563554258	0.694618163598291	0.841091202825693
SPAC1002.10c	30.0307623755401	-0.677787478319416	0.550847433023888	-1.2304450155984	0.218530505093513	0.424939133171053
SPAC1002.11	22.0104837034936	-0.968988759225539	0.57089657083745	-1.69731052650067	0.0896379681518016	0.237484184035865
SPAC1002.12c	258.50124945601	-0.666227741848063	0.295490210175861	-2.25465250253658	0.0241551491824357	0.0990305439248507
SPAC1002.13c	1396.97733585203	-1.35434293481897	0.261080971607527	-5.18744405798712	2.13199939375735e-07	1.43116129517116e-05
SPAC1002.14	24.0655027701776	-0.527519682999244	0.545965045877216	-0.966215121247671	0.333936547899883	0.544762052029024
SPAC1002.15c	12.8040977422464	-0.707083146798899	0.633307289842905	-1.11649298553676	0.264211171056204	0.478522528520278
SPAC1002.16c	28.6499126144026	1.03147206980759	0.570998608469889	1.80643534766509	0.0708503643989882	0.202769230667829
SPAC1002.17c	7.82120125484146	-1.21420031366627	0.682448029787913	-1.7791835578214	0.0752096731139792	0.211485310761679
SPAC1002.18	18.4006641015731	-0.925131909705598	0.589708689180306	-1.56879477389341	0.116695766548908	0.282234682607746
SPAC1002.19	4.04313405746076	0.022049009012007	0.682956113005502	0.0322846645518339	0.974245038745246	0.98738936628373
SPAC1002.20	1.19398231402108	-0.25138608789751	0.51695948424786	-0.486278123445707	0.626769987697014	0.790035681655645
SPAC1006.01	125.711577087644	-0.208477614317244	0.373992532830242	-0.557437905884268	0.577228272892402	0.75206322270132
SPAC1006.02	119.518444829694	-1.73030600749242	0.4002277756481	-4.32330316078261	1.53710282785857e-05	0.000444913708430624
SPAC1006.03c	158.197438119513	-0.447911521941261	0.334852857935488	-1.337636849519	0.181014846043579	0.378088528024114
SPAC1006.04c	20.5381677199436	-2.43380789524145	0.623675190655519	-3.9023644546184	9.52575833158973e-05	0.00176543067123167
SPAC1006.05c	166.624969942381	0.120562754134021	0.325145332289781	0.370796509010227	0.710789101718033	0.85170513327778
SPAC1006.06	77.1003310084772	-0.0895339367704619	0.402083217807852	-0.222675139884223	0.823788351092641	0.905266352040755
SPAC1006.07	986.438577097169	-0.33671009061201	0.251344173354606	-1.3396375420924	0.180363212278089	0.377476573623463
SPAC1006.08	26.8700875924966	-0.664726792932171	0.535473764155646	-1.24138069393621	0.214465147657609	0.420402324237189
SPAC1006.09	314.909669685483	-0.633896635862131	0.340431157849521	-1.86204059542143	0.0625973683138646	0.186844557266076
SPAC1039.01	4.53115702193555	-1.64655165333679	0.67539911420269	-2.43789430384514	0.0147730928348547	0.0713768880458906
SPAC1039.02	7.05494123794304	-0.461530135764126	0.681974780493153	-0.676755429915432	0.498561141055585	0.689290271704807
SPAC1039.03	22.6903833558378	-0.962918629801533	0.560933354472978	-1.71663642770225	0.0860456222983287	0.231336973456521
SPAC1039.04	13.6577549344791	-0.58242396394793	0.62513148070846	-0.931682345109016	0.351500713118802	0.564627743838481
SPAC1039.05c	2.97244434184163	-0.0825614039392267	0.664931201507565	-0.124165332822463	0.901184370185088	0.952029696277901
SPAC1039.06	10.7390133834966	-0.841809147084104	0.662328370068036	-1.27098458276464	0.203734133445484	0.406566218229287
SPAC1039.07c	19.9992554060551	0.0822364550514451	0.574719665756074	0.143089683460298	0.886219352506433	0.945383837264366
SPAC1039.08	7.05804613822074	-0.548105319853721	0.68271243613773	-0.802834825969314	0.422070210106355	0.627388227507915
SPAC1039.09	0	NA	NA	NA	NA	NA
SPAC1039.10	0.455232441684724	-0.130940124103063	0.365313664346901	-0.358432045888989	0.720020013417972	0.851804562494094
SPAC1039.11c	0	NA	NA	NA	NA	NA
SPAC105.01c	108.750811826876	-1.2910177568955	0.365503469050739	-3.53216280066628	0.00041217551881135	0.00546392336911684
SPAC105.02c	99.3117873058204	-0.39971028633161	0.374510936186427	-1.06728601947324	0.285842699252901	0.499216006721784
SPAC105.03c	22.9321836388038	-0.914491617667648	0.56243427212903	-1.62595286771189	0.103959682218211	0.262079742228092
SPAC1071.01c	168.077875612686	-0.464543998423539	0.38724608641711	-1.1996092787447	0.230291121257497	0.439811433152181
SPAC1071.02	46.8985439280212	-0.696212884240026	0.477963712163082	-1.45662289107521	0.145220505305609	0.327788741716413
SPAC1071.03c	75.0844052504754	-0.612124398777937	0.402934775184663	-1.51916497774957	0.128720974389665	0.301383802745374
SPAC1071.04c	24.0938964550674	-1.30937792766346	0.571091432427242	-2.29276408875259	0.0218615905512081	0.0925195415010888
SPAC1071.05	66.4309693251556	-0.631515311130813	0.407891887925002	-1.5482418989586	0.12156406716122	0.28989768094758
SPAC1071.06	165.765940701324	-1.08234874215514	0.328390216751989	-3.29592261566235	0.000980990326767551	0.0101810015820777
SPAC1071.07c	1168.87728789146	-0.526986753833686	0.254984357820485	-2.06674149872636	0.0387585185738533	0.136096968392328
SPAC1071.08	218.746787068796	-1.08077076904578	0.329969368084346	-3.27536696912275	0.0010552480058796	0.0106708572389427
SPAC1071.09c	265.332934509276	-1.23275846866964	0.348898072121464	-3.53329114481455	0.000410420225791413	0.0054521086836712
SPAC1071.10c	2383.70734622326	-1.28155013368562	0.250514380673147	-5.1156749175118	3.12621082078828e-07	1.89676829607443e-05
SPAC1071.11	69.172791782625	-0.723668267906986	0.407139246388193	-1.77744659677685	0.0754947899368955	0.212003615710641
SPAC1071.12c	9.67595835515037	-0.88279532935596	0.662176653037442	-1.33317193426637	0.182475387294506	0.379005824169957
SPAC1071.13	10.2287862133301	-1.31643472689334	0.672987872385303	-1.95610468020388	0.050452823943889	0.162013902842717
SPAC1093.01	318.849913388902	-0.524379017056936	0.292994216013506	-1.78972480819473	0.0734981621894606	0.20844386599224
SPAC1093.02	225.190197038396	-0.404803672804673	0.309851885475565	-1.30644250295064	0.19140211990758	0.391617177891319
SPAC1093.03	29.2489163508003	-0.394388535489713	0.517665281524615	-0.761860123839423	0.446143491700297	0.648655629637989
SPAC1093.04c	40.3979013169751	-0.422393661068909	0.48650678711003	-0.868217406745816	0.385275326836664	0.5990141079699
