baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	253.744808166831	0.290555528616886	0.352132991411589	0.8251300948887	0.409297735482788	0.520014014683652
SPAC1002.02	115.596043741293	-0.211643937390876	0.408438035098471	-0.518178815887826	0.604333513677994	0.70362849099262
SPAC1002.03c	193.898839981364	-2.11080671431827	0.387770033145469	-5.44344981275645	5.22584619831205e-08	1.54890263348144e-06
SPAC1002.04c	76.3178162203148	0.641966391042238	0.435819763250422	1.47300890224513	0.140748635365194	0.22147864052254
SPAC1002.05c	387.796818301046	-0.610852572549828	0.329767021279475	-1.85237617206159	0.0639718244792481	0.115956747471321
SPAC1002.06c	53.3279262679743	-0.125943286584458	0.480630620855338	-0.262037583790078	0.793292466575379	0.852950372791251
SPAC1002.07c	63.3403339320454	-0.81404983724305	0.487484089690152	-1.66990031974267	0.0949390870802193	0.160840343779549
SPAC1002.08c	124.581186019149	-1.72269220741363	0.456101110488706	-3.77699630147314	0.000158731087729362	0.000983133101575657
SPAC1002.09c	105.899826799424	-1.70077617241415	0.443498147591948	-3.8349115585912	0.000125609483794881	0.000809298571469273
SPAC1002.10c	360.374288589605	0.939767418548016	0.321778327561821	2.92054292676832	0.00349422055327658	0.0110963726082771
SPAC1002.11	184.766471758265	-1.78666658519788	0.367410969995865	-4.86285585108684	1.15704110436258e-06	1.95582130427539e-05
SPAC1002.12c	89.8436031337934	-1.61719565687139	0.432460511245745	-3.73952214090693	0.000184370409110965	0.00110586315001038
SPAC1002.13c	1494.90012252654	-1.1962536624868	0.352090282238142	-3.39757648203905	0.000679855810809902	0.00306029408319492
SPAC1002.14	188.558108288051	-1.22424624804111	0.382653386986117	-3.19936080452236	0.00137732679156418	0.00528694748908523
SPAC1002.15c	15.7215473556064	-1.15190576647519	0.698936678157546	-1.64808315613326	0.0993356082568579	0.166870453725483
SPAC1002.16c	25.9989855477678	-0.834348973218384	0.614793774733637	-1.35712007425558	0.174743061001806	0.264414214272337
SPAC1002.17c	141.27270637679	-0.64612962662554	0.430282847531235	-1.50163928293385	0.133190292400438	0.211792794701431
SPAC1002.18	96.8768048305074	-0.738046069231541	0.449979035619159	-1.64017878792066	0.100967998421677	0.168869692799563
SPAC1002.19	46.3302881855582	-0.0769526078114239	0.540155255139482	-0.142463869562007	0.886713616150486	0.921937863596477
SPAC1002.20	227.631144865367	0.484552689782815	0.360098847051939	1.34561022272011	0.178428253082785	0.268469585248113
SPAC1006.01	284.841047647463	-1.24076468618076	0.379379729049235	-3.27050865182028	0.001073542582679	0.00430677682581543
SPAC1006.02	60.6880386320401	-1.87925831580001	0.514042565545016	-3.65584183443548	0.000256339374341381	0.00141849861794536
SPAC1006.03c	123.690294362889	-1.42289681325449	0.397166428569306	-3.58262106487733	0.000340163881069554	0.00177065256778065
SPAC1006.04c	180.180411678445	-0.499194236019241	0.362387307795326	-1.37751578292357	0.16835283855812	0.256192521852231
SPAC1006.05c	39.0946598158662	-2.12930221484477	0.585232676892552	-3.63838572061777	0.000274352318157736	0.00149272497666544
SPAC1006.06	33.0394902163871	-1.60614061454917	0.589537118412141	-2.72440965019328	0.00644165524947164	0.0179839932147615
SPAC1006.07	1889.23084169177	-1.69420557459951	0.342790436509748	-4.94239451908201	7.71688584084506e-07	1.3991705584616e-05
SPAC1006.08	412.719118044409	-0.574385337656587	0.380420630658304	-1.50986905379615	0.131076840487419	0.209110485651381
SPAC1006.09	117.725836083865	-1.39987787491067	0.409992005410694	-3.41440285770547	0.000639219834189195	0.00292195488994512
SPAC1039.01	78.6659490345289	-1.92498911407029	0.483588996243355	-3.98063051273726	6.87327148253149e-05	0.000505259401960497
SPAC1039.02	308.54823424386	-1.22360020089251	0.35220292653769	-3.47413411047159	0.000512504808534543	0.00246055378121133
