baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	106.613526180567	0.110266115905488	0.292538200123693	0.376928947600228	0.70622640829155	0.999745855941478
SPAC1002.02	61.1432607149554	-0.0282628525748193	0.301880909783256	-0.0936225235146914	0.92540901701991	0.999745855941478
SPAC1002.03c	45.8682225305144	-0.385235267366518	0.30051853574419	-1.28190185145332	0.19987707840955	0.999745855941478
SPAC1002.04c	186.283253175053	-0.160250283544193	0.283210266040199	-0.565835009389973	0.57150594494455	0.999745855941478
SPAC1002.05c	36.8205411484065	0.183407990849956	0.299387064583963	0.612611607334554	0.540133181441463	0.999745855941478
SPAC1002.06c	31.1863795009266	-0.116789123878014	0.29725176141612	-0.392896322368707	0.694396057936973	0.999745855941478
SPAC1002.07c	59.8426304409554	0.0938378788866501	0.300824011795518	0.311936132779306	0.755089061618365	0.999745855941478
SPAC1002.08c	99.6280825308282	-0.268913658038891	0.296629276023836	-0.906564792401955	0.364636987135079	0.999745855941478
SPAC1002.09c	145.757766827393	-0.0707384074935172	0.291292204212691	-0.242843462579817	0.808126664878704	0.999745855941478
SPAC1002.10c	99.1579286854503	0.0600031843930888	0.292874798694319	0.204876570673176	0.837668560828403	0.999745855941478
SPAC1002.11	32.2198546709104	0.00053784927579547	0.296700896999663	0.00181276592431765	0.998553622848799	0.999745855941478
SPAC1002.12c	242.603619738028	-0.0943051295642995	0.279635606520134	-0.33724292388176	0.735933781992879	0.999745855941478
SPAC1002.13c	938.282145150535	0.0522831774781402	0.248965348609138	0.210001824632318	0.833666248939505	0.999745855941478
SPAC1002.14	77.0399370442038	0.0078375714524185	0.300352655438935	0.0260945635421957	0.979181913252545	0.999745855941478
SPAC1002.15c	18.776135660265	0.0565031643370466	0.279933710588565	0.201844801822002	0.840038055525189	0.999745855941478
SPAC1002.16c	79.5309202689082	1.02302237800068	0.297973976759628	3.43326081400035	0.000596368126743322	0.252329604835408
SPAC1002.17c	120.716626019713	0.208083681513323	0.297182613791766	0.700187937841902	0.483809943506078	0.999745855941478
SPAC1002.18	69.8541329958306	-0.21612937019991	0.300470955199307	-0.7193020372187	0.471954840964323	0.999745855941478
SPAC1002.19	497.806775897322	-0.200873219954772	0.273707196047198	-0.733898205292832	0.463010780985558	0.999745855941478
SPAC1002.20	4.3598931865653	0.128594293872972	0.176760740328004	0.727504838655615	0.466916752291943	0.999745855941478
SPAC1006.01	387.916208646713	0.0950006006573096	0.266633135607074	0.356297053781448	0.721618115491204	0.999745855941478
SPAC1006.02	196.893952137522	-0.0940032835549929	0.284390254968377	-0.330543265504809	0.740989506782205	0.999745855941478
SPAC1006.03c	243.212746621373	-0.0759389404744312	0.277771974170259	-0.273385897555974	0.784556592155397	0.999745855941478
SPAC1006.04c	58.0868134006316	-0.426697613763859	0.301928115940495	-1.41324239524601	0.15758446500055	0.999745855941478
SPAC1006.05c	423.789037053021	-0.144441762972291	0.267855171212019	-0.539253217769536	0.589712144151575	0.999745855941478
SPAC1006.06	104.920719566816	0.0660456778875964	0.295293484315485	0.223661141866018	0.823020984254321	0.999745855941478
SPAC1006.07	2042.94401663585	0.0338758227442311	0.253744048856326	0.133503910325842	0.893794871962187	0.999745855941478
SPAC1006.08	31.1343228850262	0.368678690559263	0.297770820379593	1.23812900837389	0.215668229341577	0.999745855941478
SPAC1006.09	603.771814600382	0.100841316945069	0.269298008201857	0.374459943533938	0.708062152804395	0.999745855941478
SPAC1039.01	9.0212240095538	-0.185247635535255	0.229112671576452	-0.808543823703093	0.418777588768302	0.999745855941478
SPAC1039.02	10.2404654580366	-0.213392089168821	0.241563261834707	-0.88337973062658	0.377031138501087	0.999745855941478
SPAC1039.03	56.3603965343647	0.25653716157688	0.30192891566989	0.849660791871161	0.39551370289823	0.999745855941478
SPAC1039.04	41.855021771341	-0.248781523190331	0.299585333896008	-0.830419566789234	0.406301606530486	0.999745855941478
