baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	137.275857449679	0.164840005817465	0.278033886905353	0.592877392220823	0.55326320899629	0.997501645918426
SPAC1002.02	142.390161521058	-0.177797693039252	0.270630216244208	-0.656976502870667	0.511196025153505	0.997501645918426
SPAC1002.03c	140.516538398262	-0.456712545535267	0.272614528376488	-1.67530523136513	0.093874359564224	0.997501645918426
SPAC1002.04c	59.9315560661147	-0.0134114456042461	0.300276502009607	-0.0446636533810995	0.964375405171025	0.997501645918426
SPAC1002.05c	356.888871595408	-0.233907962192211	0.245085561230966	-0.954393074065178	0.339884710752824	0.997501645918426
SPAC1002.06c	47.4586287148806	0.281291793975571	0.300642042842968	0.9356369166321	0.349460160489418	0.997501645918426
SPAC1002.07c	96.4678103449146	0.212832567056541	0.287076294418333	0.741379804583926	0.458463186032808	0.997501645918426
SPAC1002.08c	137.046965413619	-0.109156891105067	0.271596877988743	-0.401907753555219	0.687751916287115	0.997501645918426
SPAC1002.09c	287.176687171879	0.0888150280736987	0.253442903440709	0.350434069638396	0.726012961519851	0.997501645918426
SPAC1002.10c	464.060219538215	0.123364070222741	0.257983127242085	0.478186583524043	0.632517410775442	0.997501645918426
SPAC1002.11	190.910881642055	-0.260385474151444	0.26328253013946	-0.988996398710994	0.322664903654587	0.997501645918426
SPAC1002.12c	52.7602017470114	-0.330751437519461	0.299867100695526	-1.10299341525729	0.270030024698975	0.997501645918426
SPAC1002.13c	1271.85138863884	-0.313252667869652	0.229438055568405	-1.36530388166691	0.172157559486302	0.997501645918426
SPAC1002.14	265.228533536639	-0.0899900885170576	0.257740517591667	-0.349149948785418	0.72697673950698	0.997501645918426
SPAC1002.15c	21.2954410697497	-0.145171104294465	0.287478962800794	-0.5049799222876	0.613572937906495	0.997501645918426
SPAC1002.16c	31.7836184394862	0.161215378609478	0.298942620475574	0.539285359688784	0.589689969184616	0.997501645918426
SPAC1002.17c	399.360692846799	-0.0525812845285525	0.246290779539008	-0.213492704140086	0.830942679203518	0.997501645918426
SPAC1002.18	97.5935873601561	-0.170796577205032	0.290149508021777	-0.588650238870001	0.556095925140351	0.997501645918426
SPAC1002.19	262.516409665965	0.0177182508414997	0.269121443911054	0.0658373802696886	0.947507295630643	0.997501645918426
SPAC1002.20	253.024629443465	0.21355731984037	0.2646490296092	0.806945410514914	0.419697934675853	0.997501645918426
SPAC1006.01	380.095523120021	-0.23092992127679	0.255683449200737	-0.903186819478046	0.366426752002156	0.997501645918426
SPAC1006.02	76.4066647683681	0.0779526125063204	0.298333796112922	0.261293267883115	0.793866357745447	0.997501645918426
SPAC1006.03c	183.808696703216	-0.466499185487288	0.264556830530694	-1.76332315650857	0.0778460019073758	0.98576285365465
