baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	145.622417012883	-0.0975522798777183	0.420359016867649	-0.232068960015749	0.816484453106666	0.999906582649254
SPAC1002.02	539.376991554568	0.181119294505245	0.409106755292	0.442718904448231	0.657969066897146	0.999906582649254
SPAC1002.03c	1397.94545096301	0.135452484921206	0.403296431160931	0.335863336383344	0.736973925938294	0.999906582649254
SPAC1002.04c	327.097100364033	0.404987724649656	0.411461496878792	0.984266396058333	0.324984547429897	0.999906582649254
SPAC1002.05c	782.525149521554	0.0733590135076382	0.407575256323383	0.179988879033993	0.857161298865498	0.999906582649254
SPAC1002.06c	88.0967431997684	-0.976799153318952	0.427690065736738	-2.2838948845733	0.022377709347185	0.999906582649254
SPAC1002.07c	574.244097994013	0.456762227893509	0.412204973659092	1.1080948971549	0.267820834520372	0.999906582649254
SPAC1002.08c	677.391694820986	-0.0719747604920817	0.414859416264926	-0.173491929242168	0.862264771221999	0.999906582649254
SPAC1002.09c	2757.29658554676	0.16604960685851	0.41099365984852	0.404019874466459	0.686198104409402	0.999906582649254
SPAC1002.10c	436.155337625593	-0.0587995037359817	0.410544909114523	-0.143223073604304	0.886114007575778	0.999906582649254
SPAC1002.11	638.379243201577	0.501179397558003	0.409987210370228	1.22242690718432	0.221546229140479	0.999906582649254
SPAC1002.12c	631.948634455842	-0.198368351071504	0.40028973541814	-0.495561923076269	0.620203522979204	0.999906582649254
SPAC1002.13c	8248.68414294156	-0.0418540563538336	0.407025062125572	-0.102829187311618	0.918098539923247	0.999906582649254
SPAC1002.14	774.846696785077	0.0232353456008171	0.412921514259727	0.0562706102695394	0.95512623133343	0.999906582649254
SPAC1002.15c	521.567191426099	-0.499209061346336	0.403908760592159	-1.23594511942365	0.216478964056993	0.999906582649254
SPAC1002.16c	399.856235480328	0.597293951653632	0.410413935315227	1.45534520214297	0.145573718616594	0.999906582649254
SPAC1002.17c	169.441408560638	0.0431949403028781	0.40938451431834	0.105511905780807	0.915969623276163	0.999906582649254
SPAC1002.18	343.716965386697	0.107661012440032	0.422708493371422	0.254693279478142	0.798960007311639	0.999906582649254
SPAC1002.19	446.709530552599	-0.300517029659526	0.38524014474602	-0.780077138268261	0.435345472176748	0.999906582649254
SPAC1002.20	28.9670727943956	-0.219506430384637	0.427687548655178	-0.513240170481589	0.607783329501165	0.999906582649254
SPAC1006.01	3206.87660419215	0.205638363140138	0.399716887128282	0.514460033494011	0.606930396086221	0.999906582649254
SPAC1006.02	658.899721146395	-0.524032322569054	0.406010418951944	-1.29068688414885	0.196812274484026	0.999906582649254
