baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	65.9627770823046	-1.40377422519372	0.651968033095751	-2.15313351872201	0.031308186652226	0.495712955326911
SPAC1002.02	65.0536855378219	-0.270915876740474	0.632137557804605	-0.428571081397784	0.668235394493744	0.983289429346847
SPAC1002.03c	120.430984772793	-0.934557468541227	0.581871674518398	-1.60612298117921	0.108246891418098	0.765910046504906
SPAC1002.04c	133.401867219516	-0.807179835868761	0.574583952309667	-1.40480748309124	0.160078533294973	0.855662748303054
SPAC1002.05c	22.0245817657237	0.268347187734462	0.761203984524658	0.352529930465399	0.724440876064117	0.983289429346847
SPAC1002.06c	64.0123859299243	-0.196775834522004	0.692815373472743	-0.284023481661014	0.776392385586779	0.983289429346847
SPAC1002.07c	106.004526252587	-0.701535567065515	0.591036596070661	-1.18695791720762	0.23524422026424	0.928244972345365
SPAC1002.08c	127.293195062873	-0.985013290397272	0.593760106667382	-1.65894151415104	0.0971275781740844	0.735495066608102
SPAC1002.09c	27.7673270370127	0.314997149766735	0.743787082078498	0.423504464323959	0.671927242070353	0.983289429346847
SPAC1002.10c	30.7464194542624	-0.241931257915753	0.744563286199347	-0.32493041545293	0.74523373663411	0.983289429346847
SPAC1002.11	30.9436261831365	-1.11983124192156	0.718949866454537	-1.55759294795331	0.119329771457292	0.783998729433109
SPAC1002.12c	102.960985517301	-0.358005972540965	0.589936325734042	-0.606855277297101	0.543946960094212	0.983289429346847
SPAC1002.13c	805.690025566185	-0.474092461479176	0.582353037114935	-0.814098032059559	0.415588793180235	0.979602155353411
SPAC1002.14	26.824190278538	-0.879043182266547	0.736444954271324	-1.19363053160751	0.232622525415708	0.927193074120433
SPAC1002.15c	15.3499498357251	-0.521403856917482	0.779414806668624	-0.668968375320027	0.503515651597843	0.98089183446367
SPAC1002.16c	5.21459719591392	-0.467751347905136	0.767619319761863	-0.609353276895435	0.54229030042354	0.983289429346847
SPAC1002.17c	0	NA	NA	NA	NA	NA
SPAC1002.18	9.22458216946036	0.843015107036096	0.797637929807014	1.0568894426072	0.290562047251699	0.942644594643735
SPAC1002.19	18.4290729956991	-1.23767367849749	0.790385016799159	-1.56591237459147	0.117369132441237	0.783998729433109
SPAC1002.20	2.65491402648285	0.163614875695273	0.662781057742285	0.246861122212236	0.8050157052382	0.983289429346847
SPAC1006.01	100.985674538579	-0.237057453923889	0.679282522143719	-0.348982118921255	0.727102733704098	0.983289429346847
SPAC1006.02	345.668799617045	-1.38926684800799	0.531112539701283	-2.61576736408702	0.00890271909122447	0.286322391865423
SPAC1006.03c	205.832649314617	-0.571767400216027	0.575468546118651	-0.993568465335617	0.320433003030304	0.960839277379246
SPAC1006.04c	25.1314329702028	-1.27147591548487	0.742836325293359	-1.71165016059593	0.0869611584692442	0.717886196212819
SPAC1006.05c	152.573682819718	0.672357047831006	0.581673819286733	1.15590048157139	0.247721865653072	0.93241498990057
SPAC1006.06	38.2010751521837	-0.701603950094927	0.716743944213817	-0.978876704517543	0.32764090381624	0.966391363311575
SPAC1006.07	484.498339177851	-0.492458736647065	0.53482529474265	-0.920784303749187	0.357163051451428	0.969673886383021
SPAC1006.08	24.4485851884299	-0.926671613677003	0.738675692790738	-1.25450400320608	0.209658871595482	0.892727333402853
SPAC1006.09	235.172744846662	-0.118714352169467	0.577123506869314	-0.205700081103002	0.837025195203131	0.993402985789065
SPAC1039.01	1.54394891205914	0.393022130706418	0.582145878651508	0.675126536353433	0.499595375482613	0.98089183446367
SPAC1039.02	3.5463517955193	-0.0911472314334631	0.724165257437929	-0.125865236556555	0.899838600991695	0.994017093302486
SPAC1039.03	38.3143011237713	-1.11141040200947	0.692148467406418	-1.60573988724427	0.108331073407128	0.765910046504906
SPAC1039.04	10.8085340709269	-0.370959584592184	0.799872274713862	-0.463773525247999	0.642810013203093	0.983289429346847
SPAC1039.05c	2.71949550314291	-0.299724588528462	0.666411179508664	-0.449759244359382	0.652884047777913	0.983289429346847
SPAC1039.06	14.0804433950561	-0.559105820034372	0.789329694009192	-0.708329895958357	0.478740415843333	0.98089183446367
SPAC1039.07c	7.93409269905682	-0.575241733988937	0.792203792914929	-0.726128477461998	0.467760012738502	0.98089183446367
SPAC1039.08	6.53415229760115	-0.102104856606337	0.793358265922764	-0.128699556041781	0.897595386716209	0.994017093302486
SPAC1039.09	2.00240288346015	-0.501327990225636	0.586336578753755	-0.855017422401307	0.392541502692545	0.969673886383021
SPAC1039.10	1.77800907308825	-0.497263892750866	0.598576997415474	-0.830743404604493	0.406118600580831	0.969673886383021
SPAC1039.11c	1.65371258475277	0.375103303355025	0.561871883216312	0.667595789288883	0.504391646250496	0.98089183446367
SPAC105.01c	102.495986155047	-0.77799552010781	0.61920896002481	-1.25643453233725	0.208958468092901	0.892459446431408
SPAC105.02c	66.9108754825241	-0.433797214548811	0.629037576670749	-0.689620510184354	0.49043286581338	0.98089183446367
SPAC105.03c	14.1598704289995	0.221144525991464	0.789140481658533	0.280234674473531	0.779297465595902	0.983289429346847
SPAC1071.01c	169.519992432399	-0.887019618289415	0.590692834926078	-1.50165968815319	0.133185019799505	0.806830989510046
SPAC1071.02	20.8389895030292	-0.486367358341723	0.760718515107912	-0.639352597159712	0.522593579030267	0.982507268521671
SPAC1071.03c	74.4531253362137	0.476176181407321	0.622720649596171	0.764670613887812	0.44446770896479	0.98089183446367
SPAC1071.04c	27.4880846799501	0.428817058877534	0.733550557645213	0.584577374263185	0.558831924871441	0.983289429346847
SPAC1071.05	39.6887713514614	-0.878285415613026	0.684553609756422	-1.28300457859763	0.199490471991332	0.886474989953461
