baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	256.693157924473	0.20973247530092	0.573065338990414	0.3659835293309	0.714377365926945	0.89700375397503
SPAC1002.02	241.073765240966	0.299392065701157	0.572236548694013	0.523196336173292	0.600837630814112	0.842186426060014
SPAC1002.03c	197.894022819099	-1.82426262331223	0.61118208524288	-2.98481036561679	0.00283754176617488	0.0640671451038788
SPAC1002.04c	81.9283361045674	1.27279454215776	0.685515093049785	1.8566980582371	0.063354123930712	0.320479877494937
SPAC1002.05c	474.716279084421	-1.12005589926695	0.531421025555465	-2.10766199567701	0.0350602368591452	0.240234543338474
SPAC1002.06c	43.1156265443177	-0.826757260757914	0.692421310868085	-1.19400897658885	0.232474456686896	0.590885677046685
SPAC1002.07c	127.774974455023	-0.05721250395926	0.65213460350225	-0.0877311273654299	0.930090378941691	0.978156023274289
SPAC1002.08c	236.822644180978	-1.20286831975282	0.562970198799896	-2.13664652643606	0.0326267523391527	0.230995441524966
SPAC1002.09c	210.139417302949	-1.5940278389977	0.615841012071087	-2.58837558355678	0.00964297750569267	0.126824978781522
SPAC1002.10c	254.311187026529	0.0779600355174867	0.604720225211522	0.128919179923604	0.897421599931267	0.970404203873889
SPAC1002.11	120.430131068144	-0.729122381295056	0.609923254793013	-1.19543299188108	0.231917902020051	0.590885677046685
SPAC1002.12c	117.75820867638	-1.93525294914745	0.608532265506339	-3.18019776245913	0.001471745750933	0.0412853353508478
SPAC1002.13c	3044.8542800649	-0.400158095803539	0.53095646912266	-0.753655184698569	0.451056298503612	0.763009692920448
SPAC1002.14	289.46483317115	-0.839355802259993	0.596116517320105	-1.40803983428171	0.159119274983708	0.493109948299584
SPAC1002.15c	13.1828681535685	-0.535578875434033	0.825843992512042	-0.648523062818336	0.516646699118365	0.798252410654985
SPAC1002.16c	31.6413861015049	-0.586773410393091	0.729259597194077	-0.804615273697843	0.421041725473907	0.742812518668913
SPAC1002.17c	79.9428949339585	-0.299311605279252	0.727730497507065	-0.411294574440102	0.680856547460739	0.885933820792287
SPAC1002.18	52.0587084859759	-0.18362048740927	0.711516659458411	-0.258069132982828	0.796353553186499	0.926786986168545
SPAC1002.19	113.744438005814	-0.800452037018678	0.851484266481243	-0.940066738198868	0.34718332888653	0.698775583646615
SPAC1002.20	169.302589913145	-0.323041739564708	0.577327677375597	-0.55954660104498	0.575788736560173	0.827716147263075
SPAC1006.01	510.668425893693	-1.17541648141153	0.54983360432258	-2.13776763037192	0.0325356074050431	0.230995441524966
SPAC1006.02	100.18413732038	-1.84832512967296	0.639624356570331	-2.88970410630341	0.00385604591956544	0.0768836232577971
SPAC1006.03c	265.557857490188	-1.25013557993665	0.600033140464009	-2.08344422271395	0.0372107508649808	0.246802114232421
SPAC1006.04c	226.492427203308	-0.562745820953218	0.589090513291983	-0.9552790416	0.33943660332258	0.692553271262695
SPAC1006.05c	89.5463529412887	-2.06810907178224	0.653854008279556	-3.16295234959852	0.0015617789244787	0.0432492625240256
SPAC1006.06	59.6956587761759	-1.57823061504015	0.664975779898159	-2.37336556119661	0.0176268086084688	0.168624383538156
SPAC1006.07	1890.3362053823	-0.67791927131018	0.546679582229193	-1.24006693014916	0.214950639416846	0.573342582083664
SPAC1006.08	366.602991721734	-0.290211117271601	0.568953656727345	-0.510078657268701	0.609996356895539	0.848964001864926
SPAC1006.09	88.6087747103936	-1.64386330898835	0.636895296813056	-2.58105738449324	0.00984982074733522	0.127606041659459
SPAC1039.01	143.503458789529	-1.60054767206314	0.637108850930156	-2.51220442115409	0.0119979566396404	0.14128279220581
SPAC1039.02	262.412274417787	-0.46934025806895	0.61800906481928	-0.759439116327841	0.447589921629724	0.760656357765699
SPAC1039.03	45.6866263928261	-0.308881030189481	0.693947623503361	-0.445107122970045	0.656242341511238	0.872873162336101
SPAC1039.04	65.4384040474649	-1.33767710034432	0.666667149640756	-2.00651419687493	0.0448014156048213	0.269149802434729
SPAC1039.05c	76.9780511881571	-0.364345948021894	0.627504646826411	-0.580626693148114	0.56149207790132	0.820413071182711
SPAC1039.06	66.620154690312	-1.32202235383714	0.661610617705893	-1.99818793480249	0.0456962890878473	0.269713904616007
SPAC1039.07c	126.62255564669	-0.949887267238563	0.631485371499706	-1.50421103973112	0.132527036096874	0.458257840932628
SPAC1039.08	12.8548481429541	-0.480481446692728	0.827380565126317	-0.580726049105797	0.561425102523482	0.820413071182711
SPAC1039.09	33.495872275202	-2.01833494891675	0.778441327387875	-2.5927900766644	0.00952008600229355	0.126673834281031
SPAC1039.10	65.1213879742864	-1.32670758413957	0.672593956851345	-1.97252379481725	0.0485498427128244	0.275736403735761
