baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	137.427835838093	-0.257172532230647	0.273342841554587	-0.94084238960869	0.346785634253864	0.797548821033242
SPAC1002.02	103.857453183104	-0.209781523601221	0.282248513479364	-0.743251119430816	0.457329659305944	0.870056218213062
SPAC1002.03c	46.2511344069855	0.17357448327744	0.327771254495027	0.529559810071977	0.596417165662866	0.937657019867417
SPAC1002.04c	176.031650388726	-0.189833367836017	0.250054731246641	-0.75916727065954	0.447752502003207	0.864837024417152
SPAC1002.05c	35.5043511017423	-0.332216810902141	0.338396870225117	-0.981737244440634	0.32622931181936	0.780932164074838
SPAC1002.06c	40.4569879968241	0.37911417492596	0.334586108204625	1.13308402718891	0.25717896834828	0.718819666546314
SPAC1002.07c	72.2082220022106	0.266332214626059	0.300310509728476	0.886856123906094	0.3751563665834	0.818276777577061
SPAC1002.08c	240.880432754722	-0.0373441803653962	0.223138632451595	-0.167358650338136	0.867087858501142	0.980243063792047
SPAC1002.09c	25.3210540053008	-0.0768285871982918	0.345938892385695	-0.222087163049114	0.824246030747773	0.980232666139722
SPAC1002.10c	45.3114537885167	-0.310188231852054	0.328662784669933	-0.943788729118106	0.345277621305917	0.797548821033242
SPAC1002.11	29.6103210768612	0.0107036548895226	0.343473424632239	0.031162978332263	0.975139564575988	0.997157390776443
SPAC1002.12c	304.568317011142	-0.430927594808415	0.207597147543084	-2.07578764885959	0.0379135951970723	0.266108143280336
SPAC1002.13c	1881.08337829762	-0.650795526059614	0.166742987946938	-3.90298587108632	9.50132510755505e-05	0.00536177888271734
SPAC1002.14	44.9287805236184	-0.0531805049954936	0.326729461640681	-0.162766175809326	0.870702540860104	0.980243063792047
SPAC1002.15c	24.2568935652145	-0.425384532096198	0.346251296268774	-1.22854278577486	0.2192432782149	0.666447017790602
SPAC1002.16c	22.7968320768359	0.817711045880785	0.346948279116306	2.35686727705794	0.0184298325838032	0.174273156101686
SPAC1002.17c	16.2043760013226	-0.266805861157039	0.343706771748799	-0.776260123708113	0.437595412711971	0.8620359753392
SPAC1002.18	31.7741392253927	0.0490318207260408	0.34380088132774	0.14261691400174	0.88659273859444	0.98338868805049
