baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	246.728211495483	-0.0224835529648416	0.193612832605533	-0.116126357237124	0.907552400071754	0.999675864106748
SPAC1002.02	151.296142268143	0.101213674966488	0.205662986989079	0.492133642753437	0.622624870549892	0.999675864106748
SPAC1002.03c	364.557290653128	0.0015157437115478	0.173269320939517	0.00874790588044666	0.993020269980386	0.999675864106748
SPAC1002.04c	70.9683240729256	-0.095703600773083	0.22018525951551	-0.434650352996685	0.663816240053347	0.999675864106748
SPAC1002.05c	527.988908809992	-0.0105343086155362	0.164510703425375	-0.0640341837716035	0.94894300793701	0.999675864106748
SPAC1002.06c	52.1903930928256	0.171333433425044	0.222444544594488	0.770229873415781	0.441163546254821	0.999675864106748
SPAC1002.07c	102.517092354076	0.271028451594355	0.213437844361431	1.26982378596085	0.204147405967152	0.999675864106748
SPAC1002.08c	237.252772954518	-0.0705019008387033	0.187925665958594	-0.375158446181785	0.707542632116185	0.999675864106748
SPAC1002.09c	172.974132731626	-0.192629194336374	0.199532363799388	-0.965403259242924	0.334342869648632	0.999675864106748
SPAC1002.10c	226.522346942807	-0.0870567547128401	0.198730532421556	-0.438064315795076	0.661339661182901	0.999675864106748
SPAC1002.11	328.420902241699	0.0533340960476092	0.17407077325845	0.30639317014133	0.759305307913556	0.999675864106748
SPAC1002.12c	142.119524046651	-0.0228275241555951	0.207902776170456	-0.109799034799224	0.912568756536009	0.999675864106748
SPAC1002.13c	2737.50143120471	-0.10796351577476	0.138270065079112	-0.780816264988289	0.434910566360764	0.999675864106748
SPAC1002.14	349.462844000002	-0.0991703378133031	0.176408388393366	-0.5621633909617	0.57400470159645	0.999675864106748
SPAC1002.15c	27.5023299491293	-0.109681478440452	0.213587260513642	-0.513520694898593	0.607587138303914	0.999675864106748
SPAC1002.16c	47.7141218084955	-0.116645222843477	0.222411490700466	-0.524456818647781	0.5999608462593	0.999675864106748
SPAC1002.17c	250.791489198617	0.496854657856386	0.195102322592395	2.54663630475793	0.0108766725209886	0.3699777035019
SPAC1002.18	187.575363780123	0.466052470425861	0.195912813004178	2.37887692631886	0.0173654728347297	0.502256727219165
SPAC1002.19	97.1322115982526	0.681944032190157	0.218779702137278	3.11703519809281	0.00182679759914032	0.105032778775351
SPAC1002.20	221.69734040835	-0.103368968310211	0.197039846282501	-0.524609464838944	0.599854705736211	0.999675864106748
SPAC1006.01	475.55375976504	-0.0995254063758998	0.16449268289944	-0.605044580838547	0.545149375603084	0.999675864106748
SPAC1006.02	97.1361189010715	-0.114067037255442	0.216435383265068	-0.527025828839383	0.598175652132384	0.999675864106748
SPAC1006.03c	231.422679427389	0.123562834143481	0.187904874530272	0.657581845347895	0.510806863406894	0.999675864106748
SPAC1006.04c	251.479742136776	-0.386482522578579	0.190249994384167	-2.0314456451345	0.042209808093029	0.831021585395179
SPAC1006.05c	82.4363973140454	-0.109240124648074	0.217554841733422	-0.502126837434078	0.615578303138259	0.999675864106748
SPAC1006.06	53.3373273038704	0.0495053080096629	0.222418697248655	0.22257709725868	0.823864663061461	0.999675864106748
SPAC1006.07	3456.18989292594	-0.208893129807202	0.128332599141236	-1.62774798613176	0.103578333593026	0.999675864106748
SPAC1006.08	489.833972194175	-0.374906620353753	0.18453502351916	-2.03162853968926	0.0421912752036849	0.831021585395179
SPAC1006.09	200.706234408077	-0.165692725995405	0.193678307161225	-0.855504823560217	0.392271735221554	0.999675864106748
SPAC1039.01	163.803917884938	0.0256556759365263	0.198004650919847	0.12957107733248	0.896905787249623	0.999675864106748
SPAC1039.02	565.520095466143	0.188706164175453	0.181256393533932	1.04110073303498	0.29782879939167	0.999675864106748
SPAC1039.03	135.114560883681	-0.0950593343552405	0.204749303370825	-0.464271832872011	0.64245300180057	0.999675864106748
SPAC1039.04	60.6293792001656	0.295698752514565	0.221962293271259	1.33220263746866	0.1827936101162	0.999675864106748
SPAC1039.05c	96.9426445391432	0.0260629577107853	0.213231492943816	0.122228463305149	0.902718084997274	0.999675864106748
SPAC1039.06	113.679189350689	-0.124702131932666	0.208691271043677	-0.597543593026306	0.550144511314996	0.999675864106748
SPAC1039.07c	104.957095776293	-0.123643974716736	0.212759356466998	-0.581144710953826	0.561142927019065	0.999675864106748
SPAC1039.08	19.1214372193507	-0.0233780673689426	0.199616279331692	-0.117115034140559	0.906768896201141	0.999675864106748
SPAC1039.09	12.0450750168209	-0.0255289797202288	0.175312889815507	-0.145619524879743	0.884221753662845	0.999675864106748
SPAC1039.10	17.7596826799589	-0.0743419121447205	0.196986739471165	-0.377395515780911	0.705879698834953	0.999675864106748
SPAC1039.11c	148.154414912157	0.118884546351632	0.203174610615295	0.58513485514554	0.558457043920133	0.999675864106748
SPAC105.01c	77.9498932306962	0.135257859885946	0.218327159222426	0.619519167325164	0.535574398925754	0.999675864106748
SPAC105.02c	466.065180222499	0.0187535182116821	0.167657942099511	0.111855829654352	0.910937719568456	0.999675864106748
SPAC105.03c	53.6506882115814	-0.0189118488471457	0.222328923051404	-0.0850624767465506	0.932211721366647	0.999675864106748
SPAC1071.01c	94.8873535173916	-0.123263215155114	0.214749678285723	-0.573985563746052	0.565977570306668	0.999675864106748
SPAC1071.02	75.2787425183999	-0.0762832911342047	0.219634741443425	-0.347318874203945	0.728351772766308	0.999675864106748
SPAC1071.03c	119.87929502312	-0.251673938926994	0.215659647922229	-1.16699596494636	0.243211999063492	0.999675864106748
SPAC1071.04c	185.937481838186	0.15497180034966	0.194096480532917	0.798426637743068	0.424622950239571	0.999675864106748
SPAC1071.05	354.134754201801	-0.0807388989248723	0.172307774282532	-0.468573744052229	0.639374348320247	0.999675864106748
SPAC1071.06	134.566214454316	0.0200573166072813	0.203808888270406	0.0984123743448811	0.92160484907224	0.999675864106748
SPAC1071.07c	727.748356715401	-0.0186485537659191	0.153221321766709	-0.121709913156297	0.903128762046359	0.999675864106748
SPAC1071.08	1236.3179379143	-0.0594759751244762	0.150030313534366	-0.396426386930484	0.691790503269246	0.999675864106748
SPAC1071.09c	1326.94716104489	-0.587897276531776	0.154845039601317	-3.796681366387	0.000146646083713304	0.0127034614118045
SPAC1071.10c	2619.12042210231	0.0979564395615198	0.141227819925352	0.693605832146216	0.487929435253276	0.999675864106748
SPAC1071.11	102.600276935771	0.0198850240048773	0.212701054364475	0.0934881308618393	0.925515778598129	0.999675864106748
SPAC1071.12c	63.1152017684683	0.133365121059547	0.222063942248378	0.600570807260452	0.54812588661091	0.999675864106748
SPAC1071.13	225.721308253718	0.110994228665546	0.186389299136114	0.595496786457097	0.551511446542916	0.999675864106748
SPAC1093.01	122.063349733092	0.0532532172730289	0.206935215345968	0.257342459493888	0.796914417910988	0.999675864106748
