baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	186.38766283785	-0.904531238849379	0.30501377900361	-2.96554221846703	0.00302149870860778	0.0215811870481043
SPAC1002.02	149.24547010487	0.104969377146684	0.29730990586904	0.353063840371741	0.724040580603578	0.859402394688722
SPAC1002.03c	267.112221515469	-1.01711402347272	0.263718205456039	-3.85682141933986	0.000114871020304001	0.00188481064549185
SPAC1002.04c	67.2832637992156	-0.276553413412319	0.379189294766459	-0.729328114557262	0.465800978520413	0.680320083874882
SPAC1002.05c	460.835174239539	-0.408283842536837	0.252966610641056	-1.61398313201171	0.106531085111327	0.277370055986761
SPAC1002.06c	42.8154566936063	-0.1747556495374	0.402661158617339	-0.434001755067405	0.664287166573555	0.821311095453614
SPAC1002.07c	85.561979685331	-0.0555390102098809	0.339119924623139	-0.163773951859658	0.869909098179691	0.937555900983208
SPAC1002.08c	194.033243383911	-0.704385395545368	0.280263124800862	-2.51330029965898	0.0119607473553049	0.0604909225717826
SPAC1002.09c	231.105490601207	0.491251792508823	0.278397177360122	1.76457174302943	0.0776357679719545	0.224886300417366
SPAC1002.10c	336.249303752978	0.797415720118178	0.30819033150164	2.58741316196655	0.00966995661462047	0.0510041274393828
SPAC1002.11	266.77682179201	-0.549588116764443	0.265051878401535	-2.07351149548111	0.0381247024093397	0.137739496114497
SPAC1002.12c	103.251052488437	-1.0444727259875	0.322604445055994	-3.23762657952903	0.00120528457807683	0.0111332044474981
SPAC1002.13c	2143.1080307511	-0.941706417205072	0.22236810841161	-4.23489871785907	2.28654740092364e-05	0.00051717256144502
SPAC1002.14	319.348593138029	-0.383933342376969	0.264257932530415	-1.4528734812257	0.146258885104604	0.340504066322869
SPAC1002.15c	27.1000039298512	-0.258576819926003	0.448193017929811	-0.576931834235975	0.563985504531778	0.757172625004123
SPAC1002.16c	39.8015423078749	-0.698833044408463	0.41412752862785	-1.68748271027512	0.0915105717257846	0.251731361580136
SPAC1002.17c	300.763165405898	0.994186242294833	0.274258486572202	3.62499718685315	0.000288964597222833	0.00381808394788952
SPAC1002.18	125.216130503033	-0.449106169288169	0.308661919365432	-1.45500996757706	0.145666502062052	0.339246190358316
SPAC1002.19	158.084784420122	1.83453518713953	0.333485467060866	5.50109485522108	3.77440070341969e-08	3.66961883314565e-06
SPAC1002.20	230.340227590374	-0.0203349648713933	0.29495759712796	-0.0689419939320008	0.945035791695742	0.974313520875183
SPAC1006.01	454.706002231056	-0.239226755415952	0.242869116292638	-0.985002782847462	0.324622704030931	0.550962035971205
SPAC1006.02	86.5001775734988	-0.4929807990687	0.348715896689348	-1.41370325743386	0.157449048529918	0.355871999349023
SPAC1006.03c	221.721918505734	0.0390676840851714	0.274362287735577	0.142394512043228	0.886768396972459	0.94726292848124
SPAC1006.04c	284.657482823002	-0.096082262800422	0.283663764835592	-0.338718845024532	0.734821542742088	0.863593663687833
SPAC1006.05c	89.7403754307143	0.0554144393859602	0.335896496054585	0.164974746795081	0.868963858818032	0.937280727307888
SPAC1006.06	63.9902397710271	0.485898747644442	0.362908302917904	1.3389022619148	0.180602493219969	0.385478494992782
SPAC1006.07	2986.71394203499	-0.700760582984141	0.211556470355373	-3.31240439872627	0.000924977335617398	0.00928397898954042
SPAC1006.08	605.322490318031	0.152496954761999	0.275935887319187	0.55265357559526	0.580500648330624	0.768488939157326
SPAC1006.09	200.445051083319	-0.213585797171351	0.272461796500571	-0.783910991979764	0.433092339522166	0.652141354518583
SPAC1039.01	160.655947980984	-0.0168354631554174	0.294308248666086	-0.057203504256921	0.954383086740091	0.979196421115423
SPAC1039.02	484.052360443503	-0.187159706063063	0.2792272875611	-0.670277277331317	0.502681049444175	0.714013160941857
SPAC1039.03	108.650960927931	-0.80748191625727	0.3139610670377	-2.57191735228849	0.0101137032349478	0.0527889926862578
SPAC1039.04	41.8899541713385	-0.400724953876092	0.40406268241447	-0.991739577338759	0.321324579358562	0.547853677486431
