baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	204.930616172226	-0.0399691821751844	0.136797955869246	-0.292176750165681	0.770151487105426	0.957720402145058
SPAC1002.02	450.689160310189	-0.0858430591035342	0.132016602779713	-0.650244418474959	0.515534353330851	0.921298305417615
SPAC1002.03c	1659.83310414625	-0.100441601994067	0.123975230004384	-0.810174758219971	0.417839742698412	0.907757794819738
SPAC1002.04c	294.522882779803	-0.0999165948947595	0.135472909728077	-0.737539299150753	0.460794453589896	0.909602960903309
SPAC1002.05c	778.87958079035	-0.139780247155656	0.12910636383248	-1.08267511380791	0.278952653870807	0.907757794819738
SPAC1002.06c	60.9470494320244	0.00278059141475472	0.118772390404222	0.023411092470998	0.981322356919549	0.996519534465478
SPAC1002.07c	431.176516037494	-0.114411274312042	0.132902091982837	-0.860868874259831	0.389310266263595	0.907757794819738
SPAC1002.08c	688.440848994734	-0.0125623201423686	0.130740891942107	-0.0960856236771832	0.923452569117457	0.985409934729176
SPAC1002.09c	2635.64841166445	-0.111278597913416	0.124866024602716	-0.891183957104981	0.372830489592422	0.907757794819738
SPAC1002.10c	425.72655198235	-0.187102569447072	0.133481386786455	-1.40171280769206	0.161001024476712	0.907757794819738
SPAC1002.11	947.440159335299	-0.0714766832534891	0.126784541408429	-0.563764970551346	0.572914094374251	0.93424667277709
SPAC1002.12c	713.429754650322	-0.192646071905764	0.131677258376271	-1.46301703332304	0.143462718166526	0.907757794819738
SPAC1002.13c	15264.3591593923	-0.104564786162267	0.120577511964717	-0.867199732839603	0.385832582632814	0.907757794819738
SPAC1002.14	979.808967642358	-0.147275914201089	0.127231196684699	-1.15754561804574	0.247049512853999	0.907757794819738
SPAC1002.15c	837.658699111723	-0.121362730286178	0.129360456525883	-0.938174876198702	0.348154547409956	0.907757794819738
SPAC1002.16c	398.413894394446	-0.0954235285451676	0.134299510192096	-0.710527748080975	0.47737693006063	0.911812322248745
SPAC1002.17c	1098.81061077338	-0.382942812212425	0.128844342999433	-2.97213523929499	0.0029573638508509	0.907757794819738
SPAC1002.18	792.653005520499	-0.250413054316421	0.133936474313381	-1.86964048143086	0.0615337597735769	0.907757794819738
SPAC1002.19	840.410398476379	-0.0843336184420067	0.112641453655297	-0.748690785721593	0.454043598628593	0.909602960903309
SPAC1002.20	27.3999282301203	-0.155797387829276	0.0988894003916476	-1.57547105364423	0.115147754838501	0.907757794819738
SPAC1006.01	2231.01733643605	-0.14271671210996	0.124811991388977	-1.14345352975888	0.252850338243876	0.907757794819738
SPAC1006.02	615.584644626087	-0.11704261780063	0.132492354524861	-0.883391484892574	0.37702478986615	0.907757794819738
SPAC1006.03c	2600.95665630737	-0.0902138150978332	0.124056612086875	-0.727198764985277	0.467104202668014	0.909602960903309
SPAC1006.04c	527.95571622286	-0.191604112902416	0.131106355152141	-1.4614403144689	0.143894643921509	0.907757794819738
SPAC1006.05c	1667.175212142	-0.147414401117099	0.125154312322823	-1.17786114102771	0.238851968994881	0.907757794819738
SPAC1006.06	3476.14462418691	-0.146357904705079	0.124361031670918	-1.17687914565045	0.239243746870959	0.907757794819738
SPAC1006.07	6787.44381551568	-0.0891607004188366	0.118888798234448	-0.749950388454698	0.453284585096339	0.909602960903309
SPAC1006.08	499.219087471556	0.0293816797113834	0.1352804179525	0.217190929449227	0.828059553229146	0.968001086681481
SPAC1006.09	5050.00871089229	-0.15064308667824	0.123866153894671	-1.21617634795004	0.223917751624878	0.907757794819738
SPAC1039.01	1192.27044343539	-0.0277718960047714	0.128851085945804	-0.21553482301618	0.82935036514998	0.968271073783868
SPAC1039.02	1744.01925515423	0.00032062195146147	0.125391890222568	0.00255695923310807	0.997959843928405	0.999650259432441
SPAC1039.03	644.697003218821	0.0875450402719632	0.130408558937644	0.671313608440561	0.502020767233925	0.921298305417615
SPAC1039.04	911.697974795399	-0.173891950580923	0.127750258950685	-1.36118667789198	0.173454703123331	0.907757794819738
SPAC1039.05c	739.408770707474	0.0112348400705369	0.129836413023271	0.0865307336280406	0.93104452578623	0.987536410421794
SPAC1039.06	494.567324912516	-0.144387957801572	0.131048617208535	-1.10178925102132	0.270553304524304	0.907757794819738
SPAC1039.07c	418.133167854772	-0.00848659338282769	0.132787235892192	-0.0639112134973414	0.949040923455155	0.99117559768476
SPAC1039.08	202.934649180648	-0.172868684523678	0.136565753980473	-1.26582748225735	0.205574853620978	0.907757794819738
SPAC1039.09	184.77025867036	-0.205835572154362	0.136828463926908	-1.50433298925519	0.13249564894217	0.907757794819738
SPAC1039.10	64.593180230443	-0.165902990508376	0.122911819074836	-1.34977247718841	0.17708897581484	0.907757794819738
SPAC1039.11c	845.705457106298	-0.040887069925649	0.127539458507796	-0.320583687621268	0.748525901045874	0.950628663197514
SPAC105.01c	1588.82868504648	-0.0404703238968577	0.123806799300921	-0.326882886282295	0.74375646544417	0.949995596522307
SPAC105.02c	1116.4956652574	-0.121248701322353	0.128183925640392	-0.945896302649564	0.344201479505051	0.907757794819738
SPAC105.03c	1301.19482807224	-0.0867727404486062	0.128827248870201	-0.673558903179196	0.500591788420775	0.921298305417615
SPAC1071.01c	1952.75289620267	-0.150103197505628	0.125844111044021	-1.19277093111748	0.232959097519732	0.907757794819738
SPAC1071.02	1506.54504052433	-0.0867275673098534	0.126247509604447	-0.686964579195142	0.492105049597649	0.921298305417615
SPAC1071.03c	1620.28526218362	-0.0724679787544401	0.123570235863843	-0.586451731259051	0.557571989319406	0.93424667277709
SPAC1071.04c	97.3174336673678	0.0669379955895773	0.132800619654935	0.504048819678004	0.614227070930083	0.937247811799149
SPAC1071.05	657.195545945145	-0.0655787246792532	0.128481646602918	-0.510413171166222	0.609762031290361	0.936654591829371
SPAC1071.06	619.375802928914	-0.130049643079967	0.129653584555689	-1.00305474411398	0.315834448506967	0.907757794819738
