baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	139.469008723019	-0.163687029315934	0.21964213024208	-0.745244225848319	0.456124091444986	0.99990229546239
SPAC1002.02	111.131334049843	-0.0292563231273016	0.221987868145929	-0.131792441504367	0.895148465207802	0.99990229546239
SPAC1002.03c	44.4856504825431	0.0657314988657347	0.220982994391671	0.29745048503249	0.766122605300923	0.99990229546239
SPAC1002.04c	182.799035681225	-0.073347088682797	0.211205870715162	-0.347277698458083	0.728382703490112	0.99990229546239
SPAC1002.05c	35.1456510911562	-0.212441679419669	0.218345276320464	-0.97296210387382	0.330572136997775	0.99990229546239
SPAC1002.06c	28.9408126751666	-0.101374026113349	0.21233198529755	-0.477431725471268	0.6330547274101	0.99990229546239
SPAC1002.07c	64.142783390371	0.0257277385787195	0.224860368995478	0.114416509648425	0.908907627132231	0.99990229546239
SPAC1002.08c	229.163339552851	-0.123490640332297	0.212150377331318	-0.582090128170923	0.560505974228313	0.99990229546239
SPAC1002.09c	30.501633208958	0.135107996825006	0.215716909762865	0.626320843245568	0.531104517677361	0.99990229546239
SPAC1002.10c	45.6210902757633	-0.169912363565889	0.220134955587819	-0.771855442549673	0.440200050114279	0.99990229546239
SPAC1002.11	30.3215632303576	0.0222635015797413	0.214794054982499	0.103650455230501	0.917446745781992	0.99990229546239
SPAC1002.12c	337.490119798201	-0.113180604459907	0.190519752760232	-0.594062310181263	0.552470438159871	0.99990229546239
SPAC1002.13c	2175.9104644479	-0.167060280573273	0.160232914480197	-1.04260901148322	0.297129413923444	0.99990229546239
SPAC1002.14	37.761280139235	-0.258482733001348	0.220650046219421	-1.17146013531447	0.241413872679835	0.99990229546239
SPAC1002.15c	23.9779684866744	-0.256038212896729	0.20823455470493	-1.22956640534294	0.218859516705168	0.99990229546239
SPAC1002.16c	13.7068213124984	0.109296124363106	0.174867470898402	0.625022617423265	0.531956213891271	0.99990229546239
SPAC1002.17c	16.1819081772528	-0.140542643940317	0.188054055781888	-0.747352368211209	0.45485088923243	0.99990229546239
SPAC1002.18	28.1308727934164	-0.0883115875883787	0.213732543058633	-0.413187371116209	0.67946934004648	0.99990229546239
SPAC1002.19	10.08687109367	-0.280115579942578	0.161346046491622	-1.73611678769658	0.0825431865929943	0.99990229546239
SPAC1002.20	0.910464883369448	0.0395875091273403	0.0548091621145474	0.722279042409097	0.470122935258471	0.99990229546239
SPAC1006.01	149.756228603206	-0.171833634042921	0.214606775777889	-0.800690627870779	0.423310769596317	0.99990229546239
SPAC1006.02	188.534770811522	0.00670982360334822	0.21805766194738	0.0307708683264126	0.975452273121856	0.99990229546239
SPAC1006.03c	222.340169791456	-0.348401935080701	0.206787213155606	-1.68483306953091	0.0920207826990482	0.99990229546239
SPAC1006.04c	34.4134279646979	0.101670541544312	0.212996931751065	0.47733336207461	0.633124757874295	0.99990229546239
SPAC1006.05c	189.110987971893	-0.322526100934392	0.205434922691895	-1.56996725146925	0.116422730256732	0.99990229546239
SPAC1006.06	66.2526323811291	0.310845356580355	0.22511405581511	1.38083495255248	0.167329713880705	0.99990229546239
SPAC1006.07	1082.47207372569	0.0512098280215525	0.166922911638552	0.306787291923354	0.759005281711935	0.99990229546239
SPAC1006.08	38.6146166527413	-0.117445158961904	0.219880823481008	-0.534130976510775	0.59325091962052	0.99990229546239
SPAC1006.09	403.792003770333	-0.079063007652388	0.205603071599133	-0.384541957653912	0.700576804185475	0.99990229546239
SPAC1039.01	8.61133007015055	0.0238360879959574	0.158080521633688	0.150784472050209	0.88014573571677	0.99990229546239
SPAC1039.02	11.6100946920311	-0.115331724578349	0.174186012147226	-0.662118175602227	0.507895488296026	0.99990229546239
SPAC1039.03	28.2417555368378	0.119100882791358	0.21347276549747	0.557920737635121	0.576898510036137	0.99990229546239
SPAC1039.04	18.5981231825718	-0.0462181945143101	0.197647690212872	-0.233841308565417	0.815108178886488	0.99990229546239
SPAC1039.05c	2.95938183081954	0.00925751702830097	0.100254285312631	0.0923403623040405	0.92642762085958	0.99990229546239
SPAC1039.06	12.3150737339243	0.148299214302465	0.177537506914768	0.835312024369366	0.403542048936143	0.99990229546239
SPAC1039.07c	22.5891729068627	-0.12538637796884	0.205305711805511	-0.610730100327751	0.541378275397072	0.99990229546239
SPAC1039.08	11.2779733233176	-0.0849617185187417	0.1653629687491	-0.513789267097951	0.607399332644413	0.99990229546239
SPAC1039.09	0.458883994126285	-0.0157028253041947	0.0429580298597324	-0.365538767850109	0.714709273379122	0.99990229546239
SPAC1039.10	0.995936654851953	-0.00334719994400229	0.0599284896397551	-0.0558532338145536	0.955458726643474	0.99990229546239
SPAC1039.11c	0	NA	NA	NA	NA	NA
SPAC105.01c	155.056501242414	0.0356536850849662	0.210568610309226	0.169320987741752	0.86554416849272	0.99990229546239
SPAC105.02c	131.306547624364	-0.236378343294693	0.216996426680531	-1.0893190588926	0.27601321098776	0.99990229546239
SPAC105.03c	37.3460648792553	-0.169428515504034	0.219886074592924	-0.770528628598687	0.44098637957163	0.99990229546239
SPAC1071.01c	177.27379202106	0.186181900132569	0.221622637753167	0.840085209796707	0.400860612152472	0.99990229546239
SPAC1071.02	56.2709746606248	0.081518125503662	0.223979720770198	0.36395315264858	0.715892992430437	0.99990229546239
SPAC1071.03c	90.8363090112208	0.028976395365916	0.222816253073907	0.130046147739073	0.896529916054844	0.99990229546239
SPAC1071.04c	46.0906991908822	-0.241827925107472	0.223029311960937	-1.08428763457705	0.278237286189033	0.99990229546239
SPAC1071.05	85.1582926123303	-0.0604605385915471	0.223259168241253	-0.270808760365056	0.78653812177147	0.99990229546239
SPAC1071.06	226.282937360297	0.0223259035895523	0.202022113331348	0.110512177213661	0.912003193002863	0.99990229546239
SPAC1071.07c	1361.44185528923	0.0475764814451924	0.168217089957196	0.282827871159219	0.777308788151831	0.99990229546239
SPAC1071.08	259.429353334954	0.337543692375053	0.205771794479115	1.64037881493672	0.100926427379861	0.99990229546239
SPAC1071.09c	386.354205054178	-0.033413638144803	0.201333459061341	-0.16596167522569	0.868187110589068	0.99990229546239
SPAC1071.10c	4132.65338798546	-0.429669183734894	0.164555395256538	-2.61109143863105	0.00902537583109243	0.99990229546239
SPAC1071.11	98.0242034558288	-0.175334780114068	0.221038486781149	-0.793231905752537	0.427642721701121	0.99990229546239
SPAC1071.12c	10.3183599316706	0.162359289727298	0.164789394996781	0.985253266634478	0.324499681904282	0.99990229546239
SPAC1071.13	21.8993920993213	-0.18624512415629	0.204597951132143	-0.910298090111376	0.362665325510262	0.99990229546239
SPAC1093.01	379.082723096603	-0.00478800750394532	0.188406741272782	-0.0254131432431766	0.979725427702188	0.99990229546239
