baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	237.846339039596	-0.0773208270572565	0.215539199173524	-0.358732088426328	0.719795520906451	0.998712433238922
SPAC1002.02	133.821773878062	-0.110200770348625	0.217738778881606	-0.50611457873816	0.612776216716264	0.998712433238922
SPAC1002.03c	341.833916188947	-0.126097693209372	0.206232087097973	-0.611435858424241	0.540911069539169	0.998712433238922
SPAC1002.04c	66.7953147111378	-0.169768363862597	0.219043365454096	-0.775044537462492	0.438313342732567	0.998712433238922
SPAC1002.05c	500.518278459846	-0.112236369093155	0.206996537461778	-0.542213751347795	0.587671263200725	0.998712433238922
SPAC1002.06c	50.9764984898481	0.119236423712431	0.216884411611488	0.549769450125456	0.582477514926934	0.998712433238922
SPAC1002.07c	84.8158737739127	-0.0404744751718507	0.219219810173778	-0.184629642456884	0.853519534317787	0.998712433238922
SPAC1002.08c	219.496861477136	-0.170624379894899	0.218932429946551	-0.779347216566109	0.435775207877333	0.998712433238922
SPAC1002.09c	176.939016780846	-0.115751834046595	0.213078777364424	-0.543234926905118	0.586968061677576	0.998712433238922
SPAC1002.10c	239.331200985812	0.0297316617438793	0.21300780820157	0.13958014964289	0.888991725356811	0.998712433238922
SPAC1002.11	305.438990562387	-0.0956321765929855	0.20717062503468	-0.461610696868714	0.644360522257706	0.998712433238922
SPAC1002.12c	140.425350756517	-0.0314393934342476	0.216682687105659	-0.145094164440175	0.884636525636659	0.998712433238922
SPAC1002.13c	2477.44630997351	-0.300980079176656	0.203706647215961	-1.47751722042516	0.139537045702211	0.998712433238922
SPAC1002.14	316.006785290902	-0.279613810001685	0.211871800491403	-1.31973112680954	0.186924803708001	0.998712433238922
SPAC1002.15c	26.6039552765553	-0.129370523882277	0.202924286790921	-0.63753100197204	0.523779022799971	0.998712433238922
SPAC1002.16c	43.1192161286883	-0.233212495936784	0.215162397603304	-1.08389058002021	0.278413316771902	0.998712433238922
SPAC1002.17c	183.619843825141	-0.0768494419401461	0.218181350307781	-0.352227364216682	0.72466775658654	0.998712433238922
SPAC1002.18	134.654727282453	-0.131418769617619	0.218964502029788	-0.600182990390568	0.548384288395035	0.998712433238922
SPAC1002.19	53.5280756946647	-0.122093572214778	0.214633183301364	-0.568847604721716	0.569459565196773	0.998712433238922
SPAC1002.20	210.002377997067	-0.181638424915323	0.213998483815834	-0.84878370012958	0.396001661720737	0.998712433238922
SPAC1006.01	449.836429838414	-0.177057903525243	0.212746028573453	-0.832250099860787	0.40526779031183	0.998712433238922
SPAC1006.02	100.434824041135	-0.0353469347328243	0.218770435402935	-0.161570893561197	0.871643779678907	0.998712433238922
SPAC1006.03c	200.304329190686	-0.156084872285159	0.214049103386156	-0.729201243153885	0.465878570895468	0.998712433238922
SPAC1006.04c	253.511055694625	-0.298462019966285	0.211373833825348	-1.41201025010927	0.15794694311173	0.998712433238922
SPAC1006.05c	76.7270976838152	-0.182171387008704	0.218261193245113	-0.834648543335514	0.403915621726575	0.998712433238922
SPAC1006.06	51.5414898978811	0.00707451300564158	0.2169162192017	0.0326140342648298	0.97398237805968	0.998712433238922
SPAC1006.07	3323.77754542875	-0.246660420193033	0.201878827671128	-1.22182411617159	0.221774146665036	0.998712433238922
SPAC1006.08	533.838908772808	-0.116330635938983	0.215073357928684	-0.540888174431893	0.588584662309287	0.998712433238922
SPAC1006.09	194.988008868295	-0.197258759970921	0.212444178822582	-0.928520428585888	0.353137676018703	0.998712433238922
SPAC1039.01	144.577728201709	-0.186859696896414	0.217677787124596	-0.858423357590721	0.390658734457731	0.998712433238922
SPAC1039.02	476.947684922035	-0.150825626099152	0.213838118713263	-0.705326192573716	0.480607263953188	0.998712433238922
SPAC1039.03	125.839552222242	-0.195910674339824	0.218327983072263	-0.897322787409167	0.369546700372014	0.998712433238922
SPAC1039.04	50.2776938848279	0.0315556669489181	0.213819320166518	0.147580989988852	0.882673458591755	0.998712433238922
SPAC1039.05c	78.9365580663698	-0.26588060268936	0.217636835688794	-1.22167096322587	0.221832081114498	0.998712433238922
SPAC1039.06	107.987022178791	-0.174570963865812	0.219145960219499	-0.796596769070985	0.425685254456511	0.998712433238922
SPAC1039.07c	105.372069887415	-0.0844746884741722	0.219219416829567	-0.385343094584762	0.699983237164472	0.998712433238922
SPAC1039.08	12.460648671009	-0.296894887669911	0.166708958865501	-1.78091741253956	0.0749259435844111	0.998712433238922
SPAC1039.09	11.9490069822221	-0.0234799626311366	0.167204488468752	-0.14042662877154	0.888322919587026	0.998712433238922
SPAC1039.10	17.2858179428222	-0.078887115659023	0.184150049128684	-0.42838498296515	0.668370856021986	0.998712433238922
SPAC1039.11c	135.96159511413	-0.0375468891464315	0.218290993778105	-0.172003839904629	0.863434510184925	0.998712433238922
SPAC105.01c	80.2645460359631	0.151061917022336	0.219176247075001	0.689225767108987	0.490681204037277	0.998712433238922
SPAC105.02c	417.172312151276	-0.173462001848263	0.217299280210931	-0.798263122086202	0.424717813844249	0.998712433238922
SPAC105.03c	42.7307506759078	-0.301341773832515	0.213343674491616	-1.41247109646252	0.157811295356078	0.998712433238922
SPAC1071.01c	94.7589981521873	-0.100388448681803	0.21899148860866	-0.458412558951998	0.646656070503111	0.998712433238922
SPAC1071.02	70.7107186532608	-0.15250048804556	0.218756130262178	-0.697125551923	0.485724224607044	0.998712433238922
SPAC1071.03c	109.904100818201	-0.326350981089979	0.218682066591566	-1.49235365376123	0.135606458064811	0.998712433238922
SPAC1071.04c	189.358811836421	0.159507658511383	0.212160004725876	0.751827182118877	0.452154993190236	0.998712433238922
SPAC1071.05	359.653847808835	-0.0318509960837691	0.208500802329354	-0.152761983301418	0.878585978713326	0.998712433238922
SPAC1071.06	116.400766427871	-0.211584755139353	0.219080738627577	-0.965784379150887	0.334152086586957	0.998712433238922
SPAC1071.07c	689.278965478956	-0.123563432917732	0.204479258751629	-0.604283454821297	0.545655204408715	0.998712433238922
SPAC1071.08	1235.643718675	-0.0470793430298757	0.20289224676625	-0.232041114336494	0.816506080520913	0.998712433238922
SPAC1071.09c	1696.16826390335	0.0765707684102475	0.193918071787699	0.394861436607501	0.692945151331816	0.998712433238922
SPAC1071.10c	2332.15658833279	-0.14318347970067	0.212717854438457	-0.673114535113441	0.50087442747876	0.998712433238922
SPAC1071.11	90.955731056629	-0.172372910424764	0.218840500605878	-0.78766457738643	0.430892930510643	0.998712433238922
SPAC1071.12c	50.728725115544	-0.149835470065339	0.214933052762422	-0.697126236005037	0.485723796533831	0.998712433238922
SPAC1071.13	207.616778407533	-0.060084636469618	0.211114074500048	-0.284607440844046	0.775944909955111	0.998712433238922
SPAC1093.01	119.059257127324	0.00309596412269019	0.216789309975611	0.0142809814886098	0.988605812659086	0.999720258557321
SPAC1093.02	159.502513971085	-0.439374105288256	0.217514537035275	-2.01997581990118	0.0433858957293663	0.998712433238922
SPAC1093.03	89.7118287662623	-0.115470492451997	0.219087126658781	-0.527052840634666	0.598156894569027	0.998712433238922
SPAC1093.04c	7.6239278263484	-0.0981139435461883	0.145265857933142	-0.675409521150832	0.499415618046135	0.998712433238922
SPAC1093.05	229.548675418469	-0.354558988543239	0.213518298699649	-1.66055551539397	0.0968027494987242	0.998712433238922
SPAC1093.06c	66.9905226519919	-0.104898763885611	0.218391379037499	-0.48032465543248	0.630996559889258	0.998712433238922
SPAC1093.07	29.6323744474018	0.227547268341125	0.206130194163833	1.10390071315932	0.269636209489846	0.998712433238922
SPAC10F6.01c	914.987595962268	-0.0967533530590245	0.200127943546634	-0.483457488966197	0.628770937264083	0.998712433238922
SPAC10F6.02c	110.113408239161	-0.123908028777266	0.218047691187907	-0.568261136369868	0.569857664033173	0.998712433238922
SPAC10F6.03c	1029.32786395074	-0.239298338529849	0.204009208498452	-1.17297812334616	0.2408045786777	0.998712433238922
SPAC10F6.04	10.212317680799	-0.102895028012976	0.155377658661411	-0.66222537332216	0.507826795255152	0.998712433238922
SPAC10F6.05c	150.469272238802	-0.0826765553268192	0.217296549155345	-0.38047799492533	0.703590628045883	0.998712433238922
SPAC10F6.06	2154.65545971157	-0.341811555610381	0.198426555876608	-1.72260993041142	0.0849590879956256	0.998712433238922
SPAC10F6.07c	92.5521079110598	-0.20666241876768	0.218868238815587	-0.944232109172353	0.345051050359916	0.998712433238922
SPAC10F6.08c	58.847118279486	0.0425781333786373	0.218337838885193	0.195010327096925	0.845384862978192	0.998712433238922
SPAC10F6.09c	429.26771382208	-0.0922759118811867	0.205609430098415	-0.448792216568173	0.653581554052809	0.998712433238922
SPAC10F6.10	100.646875958694	-0.287549794170371	0.218968719342207	-1.31320032849525	0.189115453335163	0.998712433238922
SPAC10F6.11c	21.0179897403323	0.0101709497903377	0.195229775991889	0.0520973285896733	0.958451141554078	0.998712433238922
SPAC10F6.12c	86.5616520358497	-0.149564873560441	0.219178795327832	-0.682387515346696	0.494993947989664	0.998712433238922
SPAC10F6.13c	457.831813002689	-0.0619511490215429	0.207635073561079	-0.298365531213199	0.76542419373874	0.998712433238922
SPAC10F6.14c	589.815697039481	-0.0742049035849819	0.201955903864741	-0.36743121723582	0.713297389560021	0.998712433238922
SPAC10F6.15	1.54029242046074	-0.0826188239938992	0.071286843699024	-1.15896313691092	0.246471211319423	0.998712433238922
SPAC10F6.16	553.686502542698	-0.128703137279278	0.213183953537306	-0.603718690566245	0.546030685602712	0.998712433238922
SPAC10F6.17c	100.854674517351	-0.189616038096484	0.218438871601089	-0.868050803900684	0.385366521195644	0.998712433238922
SPAC110.01	589.919826120116	-0.189364646089088	0.214198855105348	-0.884060029153536	0.376663808752508	0.998712433238922
SPAC110.02	990.112585584447	-0.121786694890148	0.198401145370848	-0.613840684551021	0.539320609550613	0.998712433238922
SPAC110.03	378.141413061117	-0.0915584904891405	0.206170552410085	-0.444091017940454	0.656976780145503	0.998712433238922
SPAC110.04c	394.942481900716	-0.206768303878528	0.216268423541012	-0.956072553232982	0.339035580343381	0.998712433238922
