baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	125.325476547645	-0.568439013135001	0.380036229321241	-1.4957495345911	0.134718936684203	0.39598076424005
SPAC1002.02	86.5173599315048	-0.811803417200461	0.407291877483676	-1.99317359878604	0.0462424410209859	0.200834188483127
SPAC1002.03c	51.5240117595378	0.442781498573364	0.457992680828032	0.966787280907704	0.333650384081331	0.652501347639018
SPAC1002.04c	194.476339020783	0.0654963708819094	0.348593251303439	0.18788766172899	0.850964715002262	0.950890008411242
SPAC1002.05c	36.124999067541	-0.388012946926291	0.484608090135972	-0.800673688335293	0.423320578720149	0.730018456541973
SPAC1002.06c	33.0795841998077	0.0694027507105969	0.502220579324948	0.138191769847193	0.890088859402019	0.961114652953013
SPAC1002.07c	59.5085975165253	-0.156356042157843	0.420993238624069	-0.371397988881865	0.710341123271198	0.901448644711991
SPAC1002.08c	178.920116095948	-1.01286416801875	0.350767818557246	-2.88756298164635	0.00388238871146022	0.0363398404573429
SPAC1002.09c	88.553278207211	2.14237235022676	0.437096587822108	4.90137056640367	9.51703438986038e-07	7.25758479491081e-05
SPAC1002.10c	73.7673807498534	0.741745245309175	0.414077909591934	1.79131807837842	0.073242266662439	0.274626281978283
SPAC1002.11	30.513520847157	0.0693882303534341	0.508369597108833	0.136491699637536	0.891432585873515	0.961135739061776
SPAC1002.12c	303.421672363626	-0.459046083336598	0.320379129552603	-1.43282143246234	0.151908874737397	0.423160538647572
SPAC1002.13c	1619.79203110775	-1.27933400017479	0.269242305414407	-4.7516084004915	2.01804921369417e-06	0.000135804090769967
SPAC1002.14	61.1164815585298	0.610472200900059	0.446550451008422	1.36708450192237	0.171598820453471	0.453849457887946
SPAC1002.15c	24.3172320772467	-0.604091571376575	0.532152171540854	-1.13518576768637	0.256297491439604	0.570511790659257
SPAC1002.16c	23.5406552970856	1.28752380846108	0.549140710295224	2.34461547709492	0.0190467113925659	0.110195136590655
SPAC1002.17c	62.3693035983392	1.98070069715734	0.479405825929159	4.13157410700725	3.60287497759867e-05	0.0012317208412721
SPAC1002.18	54.6203340875487	1.14968860381164	0.45193325224033	2.54393452597787	0.0109611628462024	0.0753491549201846
SPAC1002.19	280.521671174649	4.333699060199	0.420796116761784	10.2988095364301	7.13386469860992e-25	4.56067970182132e-21
SPAC1002.20	1.04744028230182	0.392117794557103	0.437535153622587	0.896197234234896	0.370147432594972	0.683916918086606
SPAC1006.01	266.508846765271	1.08966522282061	0.323364213068373	3.36977679898737	0.000752290924828326	0.0117589141379645
SPAC1006.02	196.0121556875	0.10387017996609	0.331024278216397	0.313784174761309	0.753684964505991	0.921485052254862
SPAC1006.03c	256.813783316707	-0.0415927829174658	0.335138662481042	-0.124106191179356	0.901231196208345	0.962704225871225
SPAC1006.04c	52.3514451148556	1.03087908625847	0.472487112616054	2.1818141886468	0.0291232489793839	0.148051382311958
SPAC1006.05c	336.435583406491	0.979938738775833	0.319953796363687	3.06275077812157	0.00219312627311156	0.0243837500243516
SPAC1006.06	76.7384670362813	0.823245157905581	0.419439238344053	1.96272804889632	0.0496777821326816	0.211163604504145
SPAC1006.07	1535.14816415802	0.872361394698616	0.289449091165619	3.01386814235827	0.00257939884771735	0.0270025303329958
SPAC1006.08	32.3763763536578	-0.762161974017609	0.504798192670581	-1.50983498967275	0.131085534432489	0.389600103034356
SPAC1006.09	495.725071368161	0.412685492711905	0.325521982491379	1.26776535812857	0.204881756664777	0.501468858873619
SPAC1039.01	10.2877631982297	0.3480770594103	0.623686759049832	0.558095958202777	0.576778860426093	0.843620856699653
SPAC1039.02	14.5416253503544	0.0575485291130482	0.586687041961647	0.0980906769657448	0.921860290528463	0.973589554910286
SPAC1039.03	34.8254881554571	0.695177950610183	0.491412293743419	1.4146531526807	0.157170216265241	0.43087015119369
SPAC1039.04	34.2707851224737	1.03096625588275	0.510638438588376	2.01897502807032	0.0434898150752878	0.191745095018148
SPAC1039.05c	6.00263034178414	0.746405599997589	0.628736683422233	1.18715134598936	0.235167928217934	0.541776059494506
SPAC1039.06	29.7638294039714	1.86798069074818	0.534963389325014	3.49179164036831	0.000479792361631743	0.00846737329273544
SPAC1039.07c	37.7222843415201	0.757362680726052	0.496080391701355	1.52669344202177	0.126837258907232	0.384663470680235
SPAC1039.08	12.2940864235935	-0.147300973190578	0.610873281516051	-0.241131798766857	0.809452967932796	0.949977419858917
SPAC1039.09	1.53897570246463	0.224734739104899	0.505238094041606	0.444809569498518	0.65645737819259	0.875596081532491
SPAC1039.10	1.2172301173441	0.0588194252878703	0.454565351267176	0.129397071562761	0.89704346475618	0.961769557752711
SPAC1039.11c	1.04744028230182	0.392117794557103	0.437535153622587	0.896197234234896	0.370147432594972	0.683916918086606
SPAC105.01c	125.372419714999	-0.573607092042932	0.353789525770393	-1.62132299082025	0.104948386820231	0.340567440888668
SPAC105.02c	92.5936785114797	-1.78160222626727	0.408283184647777	-4.36364340550602	1.27914022214134e-05	0.000560105715078738
SPAC105.03c	42.3108558637242	-0.0397728929633702	0.487239014701038	-0.0816291219777918	0.934941642577655	0.97807490949564
SPAC1071.01c	356.439249337859	1.69223210495473	0.317612411122088	5.32797852255291	9.93118640107656e-08	1.25332710265325e-05
SPAC1071.02	48.1276772002379	-0.247121642422371	0.451140895662938	-0.547770430032137	0.583849544953863	0.848553856353661
SPAC1071.03c	75.0882794743917	-0.496589764735706	0.404982015280788	-1.22620201885114	0.220122661769469	0.520623076837667
SPAC1071.04c	33.3174760968767	-1.79414369605947	0.510185634792111	-3.51664879155319	0.000437031633445964	0.00780431070564259
SPAC1071.05	80.596907754319	-0.239704163030132	0.442065126274869	-0.542237215249337	0.587655101124155	0.850742541097536
SPAC1071.06	311.616410463514	0.76710771695123	0.346060670397192	2.21668563512514	0.0266445810850564	0.138712383450135
SPAC1071.07c	986.27836444115	-0.987928381044721	0.330028622451982	-2.99346272970146	0.00275831195628145	0.0282142213384117
SPAC1071.08	167.995457576157	-0.794847829951137	0.35570362603105	-2.23457893533465	0.0254450050326794	0.134589566679669
SPAC1071.09c	406.735893354695	0.0901033360386392	0.30975616253139	0.290884724624351	0.771139484391906	0.932103369959814
SPAC1071.10c	3341.35896426445	-1.34269279506945	0.272157398793187	-4.93351568255461	8.07625542565266e-07	6.61942319694839e-05
SPAC1071.11	94.6176823065453	-0.362974939016265	0.407325806294416	-0.891116971739095	0.372866420873241	0.685769570955878
SPAC1071.12c	10.0475185279704	0.582043317825124	0.621119101003284	0.937088099343521	0.348713242472488	0.666256379176878
SPAC1071.13	16.2737226428276	-1.47657134677301	0.590174677049951	-2.50192257342149	0.0123520935185652	0.082515082407719
SPAC1093.01	365.402010679357	-0.107436052791403	0.301650041359203	-0.356161240049256	0.721719817125718	0.908518758054322
SPAC1093.02	303.144096988059	0.511732370001542	0.316589082772928	1.61639297703952	0.106009375813776	0.343148323836695
SPAC1093.03	45.165782577441	-0.0207305016498739	0.454146202022293	-0.0456471980995589	0.96359144971191	0.98759695879706
SPAC1093.04c	52.7950898186324	-0.24655003857082	0.438886899388173	-0.561762128043742	0.574278098456512	0.842828256068062
SPAC1093.05	254.882262657909	-0.770847675723348	0.357854663473539	-2.15408028566979	0.0312338762900304	0.155784358828814
SPAC1093.06c	16.4304978077902	1.27462149550461	0.587595841446258	2.16921462951026	0.030066392973886	0.151469227960641
SPAC1093.07	0	NA	NA	NA	NA	NA
SPAC10F6.01c	636.9717739971	1.71718632741163	0.314749693776058	5.45572040693834	4.87746886873169e-08	7.2515484832097e-06
SPAC10F6.02c	43.2874956239506	0.490150959180796	0.462991761861701	1.05866021721399	0.289754551956838	0.60754373586752
SPAC10F6.03c	775.81449022825	-0.813723124171551	0.323894517077224	-2.51230904281576	0.0119943999069967	0.080546427106544
SPAC10F6.04	1.25603094034101	-0.222066679847484	0.460163385749627	-0.482582245186081	0.629392388210612	0.866454944215056
SPAC10F6.05c	11.2747333074227	0.728848808838296	0.614277830647026	1.18651328840989	0.235419656864734	0.541965382188061
SPAC10F6.06	776.176849409816	-0.183192071331361	0.309237934903615	-0.592398443575365	0.553583808332581	0.833308520525122
SPAC10F6.07c	55.2255998993322	0.0658143930782129	0.438739339429329	0.150007959541121	0.880758335514352	0.958579766361458
SPAC10F6.08c	194.787485968404	-1.2924679622653	0.340958320942891	-3.79069194935934	0.000150228182197924	0.0035244216800157
SPAC10F6.09c	173.035907292179	1.947358362244	0.367180640613313	5.30354312523467	1.13576356996228e-07	1.34461787088312e-05
SPAC10F6.10	46.5076997999887	0.0429730716952428	0.48685373050017	0.0882669044172556	0.929664542706237	0.976560207282447
SPAC10F6.11c	35.2798851574774	0.017530137355401	0.496380594850058	0.0353159199559287	0.971827828960277	0.990335839020473
SPAC10F6.12c	86.2546263844965	0.492043656348992	0.387284613214029	1.27049626956666	0.203907910822437	0.499889419228777
