baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	213.178391518403	-0.437780751770217	0.268664124852398	-1.62947230863343	0.103213072344974	0.284931164062695
SPAC1002.02	156.717199167807	0.21575186583777	0.285121527924281	0.756701422752851	0.449228762249566	0.689220318296235
SPAC1002.03c	354.636755152567	-0.0751105102276897	0.219997776608955	-0.341414860574697	0.732791289351452	0.878215320792675
SPAC1002.04c	80.0960189990618	0.156313805801234	0.33474752704507	0.466960300442153	0.640528281602583	0.826094773655205
SPAC1002.05c	508.121354464647	-0.11746824767452	0.205551662332919	-0.57147797464301	0.567675686315479	0.776606852325237
SPAC1002.06c	64.9762512134633	0.689694722204592	0.359444957130272	1.91877701584955	0.0550125598266959	0.188217616576975
SPAC1002.07c	98.4855633527118	0.276321462551654	0.316949743904091	0.871814752547233	0.38330944518375	0.632034790529129
SPAC1002.08c	182.325190595256	-0.923757676383463	0.271429489881035	-3.40330623908381	0.000665756149428645	0.00721679665980651
SPAC1002.09c	251.727030831222	0.68307851485561	0.236327252325551	2.89039248810222	0.00384761114629025	0.0276517822049412
SPAC1002.10c	448.494001678955	1.38554926974163	0.226041838141278	6.12961423927039	8.8092402729463e-10	7.34555111990291e-08
SPAC1002.11	275.654448567213	-0.443738919314739	0.230692230190493	-1.92351046651343	0.0544159733139283	0.186864567282888
SPAC1002.12c	113.837822691115	-0.662952305776529	0.303380380527577	-2.18521812328028	0.0288728573145348	0.12249775862605
SPAC1002.13c	2327.91753945121	-0.64159673500484	0.153799612898276	-4.17164076628201	3.02414142747534e-05	0.000546361551230545
SPAC1002.14	338.11138105036	-0.216019427937586	0.21953038573036	-0.984006962038111	0.325112089791679	0.575776363034966
SPAC1002.15c	27.7737801800772	-0.181979163004137	0.426768880469752	-0.426411510613964	0.66980801536959	0.842934359997264
SPAC1002.16c	41.7254311320352	-0.512842822616721	0.398399166596043	-1.2872587736528	0.198004107805663	0.430000918632624
SPAC1002.17c	282.061396612325	0.875857739107538	0.236480559919658	3.70371982967691	0.000212460901865428	0.00282586033892176
SPAC1002.18	121.797705030365	-0.511154294832242	0.306537778117452	-1.66750831813099	0.0954133717969789	0.269730603147702
SPAC1002.19	142.109480904245	1.60708148246648	0.328370769092044	4.89410639963511	9.87534037040628e-07	2.93284081137545e-05
SPAC1002.20	329.574650381347	0.810266944368188	0.239189380599103	3.38755400569496	0.000705188323332491	0.0075312723398268
SPAC1006.01	546.745754157778	0.262601747230951	0.200883001241485	1.30723727546899	0.191132139510965	0.42072796815355
SPAC1006.02	96.4504983504963	-0.170419001693433	0.331666147635108	-0.513826939856774	0.607372991121311	0.806001273579328
SPAC1006.03c	266.188936008598	0.483764915176373	0.236252360460159	2.04766172170354	0.0405931569975527	0.153409583446881
SPAC1006.04c	270.925137889177	-0.228121313316763	0.257872292209859	-0.884629020674758	0.376356749246986	0.625384324913968
SPAC1006.05c	101.106769151812	0.329545760688404	0.312355604456182	1.05503392923636	0.291409807448769	0.543439489441011
SPAC1006.06	66.3370346325906	0.502774458996912	0.375609355184769	1.33855680657791	0.180714995516188	0.406490490391816
SPAC1006.07	3161.85023024174	-0.509953149590559	0.153411580931829	-3.32408509509569	0.000887091234036744	0.00900790301995436
SPAC1006.08	651.641475495171	0.336302156032525	0.220532911044206	1.52495223701606	0.127271011292695	0.325893959625075
SPAC1006.09	256.060476185626	0.411053676808431	0.240599137375687	1.70845864740814	0.0875512731360637	0.254158565952495
SPAC1039.01	147.782440801459	-0.238133310704924	0.278339534013105	-0.855549721132004	0.392246890907807	0.639545290867743
SPAC1039.02	446.903751482672	-0.426119002125912	0.240616210078546	-1.77094885663277	0.076569206825583	0.234148454868506
SPAC1039.03	111.292778669288	-0.702324226102341	0.305471342394457	-2.29914931003716	0.0214964622705684	0.100042688769963
SPAC1039.04	50.1591467605084	0.0486822524741131	0.381259916831119	0.127687832696237	0.898396019369919	0.959204643011755
SPAC1039.05c	106.291545315479	0.247202575281799	0.310591546720073	0.795908896724079	0.426084989777924	0.671982728786522
SPAC1039.06	104.919726157446	-0.386669171968653	0.311095446462346	-1.24292777784343	0.213894448491481	0.449925450513774
SPAC1039.07c	120.415071589104	0.175229467158221	0.301285163972898	0.581606690643368	0.560831635225023	0.771031705688608
SPAC1039.08	21.1926875671905	0.12675201784169	0.440766768084786	0.287571629758866	0.773674664077034	0.896090031332677
SPAC1039.09	29.2743966478733	1.1628602799774	0.431816994290976	2.69294700151105	0.00708235261722085	0.0441649873918745
SPAC1039.10	34.8016686641134	0.925947226171521	0.416353454472589	2.22394510295214	0.0261521379901731	0.114387024538054
SPAC1039.11c	107.679505642839	-0.742055990335809	0.317894660534388	-2.33428264912784	0.0195809266565265	0.0940578633486326
SPAC105.01c	68.7696459415421	-0.107071234366656	0.3490321165442	-0.306766137817855	0.759021384407284	0.889189986818045
SPAC105.02c	347.634126660607	-0.911243054341766	0.230024946393336	-3.96149664907894	7.4481427566822e-05	0.00117569820908498
SPAC105.03c	79.525919781949	0.783194720149185	0.336968779742901	2.32423526223036	0.0201128883541964	0.0958345976964785
SPAC1071.01c	143.627757210813	0.776077948765271	0.284074380852277	2.73195332305887	0.00629600600847786	0.0405877615344103
SPAC1071.02	107.716000006001	0.678996261454588	0.308181180759849	2.20323726380845	0.0275780301493414	0.118472594512098
SPAC1071.03c	123.877771885402	-0.256470132532801	0.318889646700002	-0.804259828397871	0.421246932659104	0.667349131127121
SPAC1071.04c	175.014377658326	0.0281622748415564	0.273783116556299	0.102863446058279	0.918071349580235	0.966515013415731
SPAC1071.05	310.066084351923	-0.491286612572045	0.224007983643589	-2.19316563892524	0.028295447223527	0.12067776310939
SPAC1071.06	93.9449114253884	-1.06417161231939	0.329969923166705	-3.22505639940329	0.00125947854155405	0.0119760942021456
SPAC1071.07c	821.340030826981	0.297482388776585	0.177983214445945	1.6714069902751	0.0946413161354625	0.268329171815627
SPAC1071.08	1233.69000370171	-0.0717629551677592	0.174447395610707	-0.41137303836799	0.680799020719839	0.846321150227958
