baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	208.745712715218	-0.0227440874835959	0.159893376704869	-0.142245338439359	0.886886220964757	0.964350607798621
SPAC1002.02	486.499508284398	0.0634569154764513	0.140977819638513	0.45011985317381	0.652624022305116	0.881642880614961
SPAC1002.03c	1617.09834031161	-0.183752573528699	0.126618037986365	-1.45123535675451	0.146714334678078	0.54653185586651
SPAC1002.04c	293.610601502425	-0.134159830220432	0.152082060675196	-0.882154210856989	0.377693419679074	0.718154785582821
SPAC1002.05c	764.374039177697	-0.216416527092821	0.133786421409801	-1.61762699691261	0.105743007388004	0.49120428247452
SPAC1002.06c	62.4447697452737	0.0265478561806193	0.158593291496441	0.167395833267103	0.867058603491348	0.96104492897557
SPAC1002.07c	395.483847521357	-0.343949566311313	0.146419568626159	-2.34906829420793	0.0188204544681653	0.312368750606428
SPAC1002.08c	657.534016691576	-0.123275226833879	0.136927506857656	-0.900295562688008	0.367962981870596	0.712602933394615
SPAC1002.09c	2652.77564124772	-0.115589786244763	0.125226463195716	-0.923046002378172	0.355983232521652	0.704434189791472
SPAC1002.10c	426.184525981894	-0.22497278706412	0.147272152037267	-1.52759896526256	0.126612138844402	0.516471303755643
SPAC1002.11	965.414952505215	-0.0396236008744936	0.129220035930884	-0.306636665042308	0.759119942525173	0.930186995272092
SPAC1002.12c	697.095202576405	-0.291771934604678	0.141050174344641	-2.06856840808835	0.038586605056461	0.368554815186159
SPAC1002.13c	14370.5570233356	-0.285306238420317	0.114835628155617	-2.48447492300639	0.012974264583803	0.277111731796568
SPAC1002.14	998.544734309564	-0.13173422509965	0.126244180417702	-1.04348750701841	0.296722563893833	0.67257802295685
SPAC1002.15c	810.539037146628	-0.23493975458591	0.128886661601535	-1.82283994066235	0.0683276364796893	0.433404118746276
SPAC1002.16c	390.253239645085	-0.168158709756934	0.143963851840195	-1.16806203506972	0.242781742768521	0.636363300725826
SPAC1002.17c	1740.37547708732	0.579356940219563	0.131239545158588	4.41449975706239	1.0124382975474e-05	0.00200002583688227
SPAC1002.18	904.749540577597	-0.00592948915193934	0.126982526255406	-0.0466953157004693	0.962756063804714	0.985537150550802
SPAC1002.19	1327.23855422593	0.658503862545343	0.134709342706584	4.88833104901759	1.01694418334853e-06	0.000363561257481365
SPAC1002.20	37.9917220092567	0.0263076358053878	0.14908496465047	0.176460690499985	0.859932028480041	0.959439488737182
SPAC1006.01	2224.27863721805	-0.179249686329862	0.121461776248669	-1.47577033586997	0.14000555671125	0.536614748341992
SPAC1006.02	626.971002901156	-0.103467761085862	0.140201184710258	-0.737994912808263	0.460517540500523	0.777763463665782
SPAC1006.03c	2647.97666911229	-0.0631616200543802	0.122061103530723	-0.517459028530594	0.604835762794524	0.857252819008179
SPAC1006.04c	585.885564093724	0.0101611289935732	0.13665457740681	0.0743563017528813	0.940726878653117	0.979079965615263
SPAC1006.05c	1680.16322107536	-0.157882025763826	0.122102828824773	-1.29302512712788	0.196002368726041	0.600099890489142
SPAC1006.06	3536.26433021794	-0.132438018495842	0.116800752328395	-1.1338798411459	0.256844954169511	0.64078540230809
SPAC1006.07	6640.18514289712	-0.162641746481968	0.110617310773186	-1.47031007484403	0.141477793652508	0.537512357100241
SPAC1006.08	452.62422889627	-0.16944297361701	0.151196320669641	-1.12068185830552	0.262423307094855	0.646769797591716
SPAC1006.09	5445.06584905839	0.0109580725974445	0.113516170781071	0.0965331416840898	0.923097153568163	0.975195983389343
SPAC1039.01	1319.57821367705	0.199712503975154	0.122151529094	1.6349570525758	0.102058051073323	0.4841322484088
SPAC1039.02	1578.1017358463	-0.259075539677393	0.119002920929099	-2.17705193834485	0.0294766924431491	0.354936468526388
SPAC1039.03	608.41396764035	-0.0270572974374204	0.140140369868013	-0.193072827358051	0.846901932878748	0.954356733005455
SPAC1039.04	894.359238411529	-0.258111018860477	0.130564658408719	-1.97688273385962	0.0480548869356557	0.388190592234869
SPAC1039.05c	761.147550521512	0.0750655228262334	0.135260504368653	0.554970005299124	0.578915176857776	0.847126383375049
SPAC1039.06	534.346429099925	0.00259018344728964	0.138516716525846	0.018699428576235	0.985080884106053	0.995363224791165
SPAC1039.07c	423.706194949957	0.0165412255135253	0.143289949827843	0.115438839453841	0.908097295291419	0.969968093043574
SPAC1039.08	207.260830632324	-0.190920810305636	0.160265083026576	-1.19128138643884	0.233543138570105	0.631467324901914
SPAC1039.09	280.029589381612	0.499705566961669	0.152478651997891	3.27721658352923	0.00104835919419547	0.074285365075655
SPAC1039.10	134.402171845316	0.698819478333061	0.164378006762226	4.25129548713843	2.1253753564349e-05	0.00337934681673148
SPAC1039.11c	865.871332262094	0.00281060477901683	0.135795956235723	0.0206972641669684	0.983487151432118	0.995039611613796
SPAC105.01c	1463.47185314326	-0.257252968029969	0.124846725091241	-2.06055038962346	0.0393459538586179	0.368722780466384
SPAC105.02c	1076.83589795025	-0.244277275764437	0.12608821519352	-1.93735215768993	0.0527023105869581	0.407413900585228
SPAC105.03c	1318.56451315146	-0.074325032014125	0.13356235978272	-0.556481872101073	0.577881483573297	0.846563908182995
SPAC1071.01c	1878.39462741686	-0.279509257398685	0.127347408898956	-2.19485625828839	0.0281739103979438	0.352343610061538
SPAC1071.02	1544.12580008809	-0.0445797134259748	0.129169426673985	-0.345125890652833	0.729999729983519	0.916047784362379
SPAC1071.03c	1581.87466314086	-0.147199662721308	0.121772511876435	-1.20880862563363	0.226736376987125	0.627640951838246
SPAC1071.04c	89.772832174335	-0.0209180885414644	0.165098609421079	-0.126700573765061	0.899177391700063	0.967602742900745
SPAC1071.05	627.811791964075	-0.18891615481743	0.137382792697455	-1.37510783634645	0.169098015268449	0.572403229206891
SPAC1071.06	618.862136948912	-0.15824868232427	0.136309102286894	-1.16095462202663	0.245660353817452	0.638473906922147
SPAC1071.07c	850.055802514593	0.380120079535386	0.129273730453037	2.94042786731119	0.0032775930530753	0.143076867147245
SPAC1071.08	600.849912029181	0.277806405652493	0.134668188900181	2.06289553547356	0.0391225543961991	0.368554815186159
SPAC1071.09c	533.018904399933	-0.310356445784311	0.14644429272561	-2.11927989823285	0.0340668194438726	0.362614030761365
SPAC1071.10c	69149.5919383634	-0.436622973880571	0.114195051497644	-3.8234841891514	0.000131579032863553	0.0155957039134091
SPAC1071.11	2586.18361198885	-0.17949334470643	0.115436275839849	-1.55491281575518	0.119966834715278	0.510707109480275
SPAC1071.12c	170.02789142763	0.059686742809767	0.163158955058554	0.365819594691244	0.714499697415525	0.908027411048337
SPAC1071.13	2585.51400892003	-0.0968435503819092	0.117748798111783	-0.822458928964797	0.410815752524889	0.749314987750748
SPAC1093.01	9846.61598200143	-0.132676393959045	0.114809921357927	-1.15561784547712	0.247837505340095	0.639457509735421
SPAC1093.02	831.758596911152	0.036872742747005	0.142977572964355	0.257891793674506	0.796490418397478	0.943156899601951
SPAC1093.03	1198.78663235388	-0.152306906872894	0.129454161883882	-1.17653155878844	0.239382529030009	0.634093071243593
SPAC1093.04c	1137.14453053994	-0.141051330909133	0.124179676351475	-1.13586486173393	0.256013126216268	0.640677032787556
SPAC1093.05	1837.25300043061	-0.210078440530868	0.132249860404191	-1.58849650115934	0.112174111604328	0.499452368156938
SPAC1093.06c	5453.29356995732	-0.0630296737712952	0.115633250920315	-0.545082606167754	0.585696705020025	0.850179652644298
SPAC1093.07	586.211483687253	-0.258619320089352	0.145502040598344	-1.77742744380655	0.0754979387490171	0.443743173592204
SPAC10F6.01c	19998.89591812	-0.244763719573562	0.113971541641409	-2.14758628380817	0.0317466360077515	0.361044503709964
SPAC10F6.02c	1116.75073293849	-0.255260462750887	0.127263184475103	-2.0057683123655	0.0448809729532796	0.384405893580363
SPAC10F6.03c	4124.89084370597	-0.17935785881188	0.112830875409239	-1.5896168328159	0.111921200458685	0.499393775352612
SPAC10F6.04	904.710850953267	-0.0392511134794393	0.133633844143951	-0.293721352782142	0.768970836491587	0.93425975276273
SPAC10F6.05c	636.027034224682	-0.00554316776665104	0.1368908823561	-0.0404933306823998	0.967699824026832	0.988201375947949
SPAC10F6.06	2301.35850357945	-0.0102682565089365	0.122055301008632	-0.0841279028774861	0.932954739989303	0.977483187265878
SPAC10F6.07c	232.456437415453	-0.30476257910719	0.155250994375324	-1.96303141460348	0.0496425238923682	0.393803185102072
SPAC10F6.08c	527.261323310071	-0.299739631774218	0.142309256233143	-2.10625534633643	0.0351821778579498	0.363103343993502
SPAC10F6.09c	2180.33050290186	-0.216739606854359	0.126913299644542	-1.70777694269554	0.087677738956181	0.460573070310511
SPAC10F6.10	696.787105735781	-0.0701172651941746	0.135929727944955	-0.515834661440422	0.605969891666409	0.857459892288543
SPAC10F6.11c	1019.87022411442	-0.12075700673197	0.134330134726975	-0.898956939017502	0.368675597503699	0.712962391019464
SPAC10F6.12c	307.989019351752	0.201442439019523	0.149428581537269	1.34808506476575	0.177631024516969	0.581875452635004
SPAC10F6.13c	1635.11228000697	0.0549355681688821	0.125122440152125	0.439054482170351	0.660622059665003	0.885662707744958
SPAC10F6.14c	818.611763976811	-0.0254058069578533	0.134631519844353	-0.188706233036847	0.850323066106077	0.954758699933564
SPAC10F6.15	49.4975053069782	0.35005766732562	0.157591323636729	2.22130038156512	0.026330623045037	0.345385942574851
SPAC10F6.16	983.415682104161	-0.0601982852496127	0.132289352777667	-0.455050115414694	0.649073184995593	0.880204282951013
SPAC10F6.17c	665.075602535691	-0.0843257809701777	0.136282025528445	-0.618759375223531	0.536074888495706	0.821831424743726
SPAC110.01	13419.5124243816	-0.00985184306127011	0.11744661410809	-0.0838835852024065	0.933148990668919	0.977483187265878
SPAC110.02	1847.2653906063	-0.284191086096477	0.129512980847811	-2.19430580808287	0.0282134321908457	0.352343610061538
SPAC110.03	3221.35588416843	-0.180748568922305	0.113797748854943	-1.58833167387787	0.112211358817916	0.499452368156938
SPAC110.04c	8342.64364753838	-0.335946087236703	0.112896761328894	-2.97569286560857	0.00292327469839128	0.137099480279228
SPAC110.05	527.329776071142	0.332709305763014	0.139133669481938	2.39129253905149	0.0167891694561331	0.300682955177284
SPAC1142.01	1149.0800902761	-0.213784635509417	0.136620849865936	-1.56480241280303	0.117629245845377	0.50807280674709
SPAC1142.02c	1180.59315424328	-0.286919605909642	0.130058426013391	-2.20608241007084	0.0273782300813095	0.349761942157383
SPAC1142.03c	567.338724941427	-0.0145302642572259	0.139584218495716	-0.104096755448553	0.917092565648136	0.973037603246353
SPAC1142.04	1912.11295864454	-0.216837023893016	0.126291752961819	-1.71695315654199	0.0859877312660851	0.456682335578569
SPAC1142.05	629.945804384453	-0.240768174387224	0.143935729211898	-1.67274780004603	0.0943769549245159	0.475458554214002
SPAC1142.06	1339.43279732315	-0.0499189395450296	0.12931878605152	-0.386014600578931	0.699485855589957	0.900153726619206
SPAC1142.07c	329.206895882807	0.114440451900982	0.150688307539404	0.759451438334435	0.447582553109514	0.771902291989661
