baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	259.051252433614	0.077973156053442	0.189113303303864	0.412309206656689	0.680112801377341	0.958518829104799
SPAC1002.02	144.92127907077	0.0220480082741804	0.198915074770852	0.110841314061187	0.911742183299024	0.992314528439693
SPAC1002.03c	322.033292027031	-0.301915512149534	0.175921615219426	-1.71619338404185	0.0861266537134209	0.7406610349476
SPAC1002.04c	63.7957524653717	-0.274351508663954	0.213633882449264	-1.28421346613457	0.199067274712572	0.841238789075547
SPAC1002.05c	573.062308273863	0.171639803417603	0.167345408891004	1.02566186043022	0.305050997785954	0.90784201472156
SPAC1002.06c	47.5825969603747	0.0369707281629875	0.213174745894644	0.173429211831965	0.86231406527506	0.98878746108153
SPAC1002.07c	84.4392246530829	-0.0662333221993109	0.211227055922264	-0.313564575854744	0.753851767855231	0.973549156542667
SPAC1002.08c	220.159102762905	-0.233647112765464	0.188453708635125	-1.23981169942291	0.21504504987396	0.851873488396875
SPAC1002.09c	172.498779556877	-0.187779974939136	0.193064546062851	-0.97262795665241	0.330738242848511	0.911999603855766
SPAC1002.10c	249.847959352405	0.114449979782997	0.191455467901724	0.597789036987677	0.54998070662694	0.949619814458008
SPAC1002.11	285.378186587925	-0.284175213960757	0.179117706146257	-1.58652776475776	0.112619638983471	0.766636986191701
SPAC1002.12c	127.501495637498	-0.244450473206115	0.200275306757236	-1.22057220714896	0.222248034703396	0.856901845000441
SPAC1002.13c	2564.34715076312	-0.288151881341463	0.13610554400995	-2.1171208229431	0.0342495948743157	0.601075774195875
SPAC1002.14	299.15990757256	-0.509437890504077	0.173870411663993	-2.92998610648356	0.00338977159476286	0.266159713354255
SPAC1002.15c	35.850212289283	0.159434372101518	0.208506289889482	0.764650180030663	0.444479879879623	0.938179364050798
SPAC1002.16c	53.9908889819689	0.0616074162697443	0.213855431763021	0.28807973574416	0.773285703931804	0.977910018849805
SPAC1002.17c	198.27260092098	0.063466097397746	0.195273262603531	0.325011712057084	0.745172207560956	0.971623923389145
SPAC1002.18	134.583398017848	-0.181465782026639	0.200952958364952	-0.903026178380904	0.366512001364751	0.923362703839395
SPAC1002.19	64.2134862148904	0.0972862137725556	0.213856288347642	0.454913972949947	0.649171130004623	0.958388984353995
SPAC1002.20	251.773968206718	0.163794772418162	0.18610741243774	0.880108805300583	0.378800369503564	0.923362703839395
SPAC1006.01	475.571917407268	-0.0974925319523236	0.159802594951508	-0.610081031424474	0.541808131297983	0.949619814458008
SPAC1006.02	96.1837602401181	-0.133468228051792	0.211894227566238	-0.629881378010025	0.528772197460668	0.948436427532835
SPAC1006.03c	206.672422708314	-0.11738949430755	0.188779365197508	-0.621834352418405	0.534050795310951	0.948504974171081
SPAC1006.04c	294.574289903721	-0.00861387375938147	0.183835154292281	-0.0468565100757942	0.962627589927925	0.994867974289003
SPAC1006.05c	97.9458904677121	0.183794548755551	0.207558521444535	0.88550712096234	0.375883180682704	0.923362703839395
SPAC1006.06	50.0473812950805	-0.0301152778526078	0.213631816522034	-0.14096813079105	0.887895118834824	0.989502070480816
SPAC1006.07	3226.26478215327	-0.408876957026092	0.13005783902866	-3.14380863221933	0.00166764457264016	0.175129577620324
SPAC1006.08	569.42361733323	-0.006359630181085	0.17948058253191	-0.0354335276349703	0.971734050303302	0.995668216865599
SPAC1006.09	208.636222879341	-0.081040216944744	0.18516415694061	-0.437666869677899	0.661627789196782	0.958518829104799
SPAC1039.01	160.376256344473	-0.015393575620743	0.193041460308524	-0.0797423289076894	0.936442193026116	0.992649269917178
SPAC1039.02	423.683985694297	-0.499652102845693	0.1826182652991	-2.7360467039118	0.00621821999397429	0.372469108421342
SPAC1039.03	127.078537524029	-0.220347096066205	0.200755744733589	-1.09758799858313	0.272384435775541	0.882335851410222
SPAC1039.04	57.0559079154567	0.206327343431871	0.213857191826337	0.964790296130978	0.33464985729563	0.911999603855766
SPAC1039.05c	88.8848457667832	-0.12964644507896	0.208798812063493	-0.620915625897029	0.534655139377544	0.948797931994329
SPAC1039.06	115.033337482583	-0.103178203237979	0.203706530850269	-0.506504149902876	0.612502777155523	0.956070518815309
SPAC1039.07c	105.980331379178	-0.103622951636874	0.206385048101562	-0.502085556051915	0.615607339965643	0.956070518815309
SPAC1039.08	16.9122613615414	-0.102317177912719	0.183186257567592	-0.558541777485496	0.57647448486515	0.952776328969272
SPAC1039.09	12.6226712377546	0.0111999040243612	0.166882601659154	0.0671124725586206	0.946492164617191	0.993571317282067
SPAC1039.10	23.7114297567927	0.162164857704692	0.197959788314661	0.819180799723465	0.412683267735416	0.931953074211321
SPAC1039.11c	134.21418464504	-0.0771557273906135	0.200325723411397	-0.38515137285771	0.700125268245333	0.962067177716064
SPAC105.01c	79.6642218253733	0.168235802290774	0.211074587354274	0.797044326366024	0.425425288232533	0.935095865206033
SPAC105.02c	408.036687335428	-0.312723170391005	0.168182698631433	-1.85942533290138	0.0629668737781709	0.734205637920924
SPAC105.03c	53.0060960739782	-0.0288794873817662	0.213821934745309	-0.135063259137401	0.892561858906193	0.989964348379941
SPAC1071.01c	102.007174243237	0.00994930457292042	0.206935278629444	0.0480793059492601	0.961653038589472	0.994176394769141
SPAC1071.02	70.056919881262	-0.201817192123439	0.212490267498409	-0.949771462473926	0.342228389279234	0.915623966144986
SPAC1071.03c	123.748703948738	-0.188512410611374	0.208764978476846	-0.902988671695633	0.366531907273973	0.923362703839395
SPAC1071.04c	171.536625670716	-0.0187389751253749	0.191763262831862	-0.0977193172907432	0.92215517598995	0.992314528439693
SPAC1071.05	306.732019509471	-0.446299463927435	0.174157725399857	-2.56261651846195	0.0103886722376884	0.43083213337318
SPAC1071.06	140.896691784034	0.107136229874753	0.197599122013664	0.54218980723682	0.587687756260421	0.952776328969272
SPAC1071.07c	704.045005471172	-0.0991479932833264	0.154889530468944	-0.640120691070245	0.522094138191116	0.946895524724891
SPAC1071.08	1361.40267047867	0.174480562315066	0.148304174440479	1.1765047273507	0.239393244467166	0.868070333400607
SPAC1071.09c	1772.97615612768	0.198852126519334	0.136021694188509	1.46191479017861	0.143764561475444	0.798800769868537
SPAC1071.10c	2371.88742730648	-0.15693041569739	0.140353453638065	-1.11810868653132	0.263520576923411	0.877523873304304
SPAC1071.11	112.103141762175	0.180576966670809	0.203582421422584	0.886996850754507	0.375080596001448	0.923362703839395
SPAC1071.12c	58.5247516492978	0.0272388754617374	0.213857022953677	0.127369562549449	0.898647905570164	0.990394444145979
SPAC1071.13	223.159183715737	0.0863685871566323	0.182417602843605	0.473466298264429	0.635880539680413	0.958337298570241
SPAC1093.01	119.165313767351	0.0108324112172662	0.203277402097366	0.0532888117690411	0.95750179445158	0.994176394769141
SPAC1093.02	171.670012086479	-0.376550827554913	0.193130137796932	-1.94972587836518	0.0512088001732377	0.696076447032771
SPAC1093.03	90.5968644293907	-0.122685132345267	0.208534222874334	-0.588321334763353	0.556316627967455	0.951561678116635
SPAC1093.04c	10.3449436508419	0.0221344290625655	0.15854706236804	0.139607941843692	0.888969765395977	0.989964348379941
SPAC1093.05	254.525437851784	-0.185698306763574	0.182083403660181	-1.01985300708757	0.307798179404161	0.908649837987164
SPAC1093.06c	75.0010245508351	0.0615147190406343	0.212753115247621	0.289136631296976	0.772476822431853	0.977898861031679
SPAC1093.07	24.143411955365	0.060707570550753	0.199699680362448	0.303994330088916	0.761132210809253	0.974441362446774
SPAC10F6.01c	925.600377876267	-0.0913246956367858	0.150195661296569	-0.608038173995322	0.543162155794787	0.949619814458008
SPAC10F6.02c	109.631416444722	-0.16169934763896	0.204509916936535	-0.790667514129106	0.429138037827569	0.93675101354994
SPAC10F6.03c	1009.40537753999	-0.363630368072411	0.142794539758662	-2.54652852053716	0.0108800320437566	0.431950540468898
SPAC10F6.04	11.8056571609258	-0.0457892633836944	0.168965503010483	-0.270997704074858	0.786392798095267	0.979933768126594
SPAC10F6.05c	146.73620524151	-0.153405352431404	0.20069673599084	-0.764363962742301	0.444650378019476	0.938179364050798
SPAC10F6.06	2307.96471704307	-0.224497410494024	0.138289148683902	-1.62339136968133	0.104505768442638	0.765222603949538
SPAC10F6.07c	93.1665094202423	-0.247956135557732	0.211317982350935	-1.17337924959908	0.240643754652242	0.870461936967082
SPAC10F6.08c	48.1490032116096	-0.251482030469106	0.213467931311217	-1.17807873493873	0.238765218806283	0.868070333400607
SPAC10F6.09c	428.336462170459	-0.118036528831191	0.173261423333393	-0.681262606299054	0.495705339821183	0.93987695619561
SPAC10F6.10	100.876592532954	-0.344775150769513	0.207663154472399	-1.66026155022767	0.0968618471796681	0.762596719452018
SPAC10F6.11c	26.3349688375568	0.18518882911653	0.199160933408235	0.929845155610584	0.352451262663477	0.921243422347479
SPAC10F6.12c	78.7385601425798	-0.362413524653365	0.211188759214409	-1.71606446290745	0.0861502445950063	0.7406610349476
SPAC10F6.13c	454.752298515263	-0.0938322940169307	0.180315242211377	-0.520379158556847	0.602799333313979	0.956070518815309
SPAC10F6.14c	577.349241320507	-0.145562717771627	0.157274338098184	-0.925533812647516	0.35468830385899	0.921717720272027
SPAC10F6.15	3.92055330231936	0.0431011201594129	0.111218868843682	0.387534243132713	0.698360739204501	0.962067177716064
SPAC10F6.16	526.184447473079	-0.308951561199079	0.161831931951647	-1.90908900037966	0.0562506114661518	0.715304463901023
SPAC10F6.17c	105.182192144285	-0.141380601382789	0.206431644625841	-0.684878530319526	0.493420575022321	0.939205902487262
SPAC110.01	666.983218974172	0.0435704979017024	0.15979177454152	0.272670467717856	0.78510653808722	0.979569858053199
SPAC110.02	1028.8843828978	-0.049881238514535	0.150947452972877	-0.330454323886458	0.74105670011991	0.969957353380879
SPAC110.03	411.360741867965	0.0875247027094598	0.163034633459954	0.536847299570605	0.591373096353877	0.953076789693093
SPAC110.04c	417.072565204632	-0.153556340658257	0.169706504620802	-0.904834738075414	0.365552945290879	0.923362703839395
SPAC110.05	277.769905540014	0.233961902812508	0.18038418817702	1.29702001698126	0.194624299546427	0.841238789075547
SPAC1142.01	38.6165910202682	-0.250170473337076	0.210222073388665	-1.19002952118426	0.234034789214308	0.864911152297609
SPAC1142.02c	277.770935447286	0.0272226404262986	0.175573027542375	0.155050242097855	0.876781708734629	0.98878746108153
SPAC1142.03c	843.328737989432	0.159692943316087	0.154458351342055	1.03388998994583	0.301187595168468	0.904515299712106
SPAC1142.04	557.667432232306	-0.279711071872581	0.160366649785785	-1.74419726449492	0.0811246981784577	0.7406610349476
SPAC1142.05	311.825444035676	-0.620902664612252	0.184604588826557	-3.36341944996619	0.000769832983192646	0.102293521501374
SPAC1142.06	319.338468039653	-0.287787387807409	0.175589477060688	-1.63897855739921	0.101217725480139	0.765222603949538
SPAC1142.07c	117.15095340952	0.274013693649817	0.20405087592546	1.34286948001103	0.179314240488105	0.830512793851467
SPAC1142.08	233.819955781158	-0.247401473173278	0.181725040162738	-1.36140552205533	0.173385572002253	0.830083425960786
SPAC1142.09	175.024458942119	-0.17700660233485	0.190266789284155	-0.93030740152186	0.352211946693444	0.921243422347479
SPAC11D3.01c	78.4489545416577	0.0639768529248743	0.21097577589432	0.303242647899639	0.76170494982699	0.974545279686291
SPAC11D3.02c	228.599002127302	-0.0575747520753062	0.184096171569083	-0.312742799508468	0.754476076131672	0.973549156542667
SPAC11D3.03c	88.7096889749628	0.389988525267149	0.209819332752878	1.85868728181722	0.0630714772317473	0.734205637920924
SPAC11D3.04c	47.7759601287105	-0.106179494715258	0.213535557408077	-0.497245030308201	0.619016270281702	0.956070518815309
SPAC11D3.05	106.235513448333	-0.301899882632009	0.204794899060386	-1.47415723739775	0.140439260511954	0.798800769868537
SPAC11D3.06	60.7019607265744	-0.0449836815540288	0.213844928470578	-0.210356550776082	0.833389401370415	0.983947289879789
SPAC11D3.07c	28.1601044201316	-0.123366155751537	0.201204373344477	-0.613138540186326	0.539784738727944	0.949619814458008
SPAC11D3.08c	287.21802471614	-0.00478803711607172	0.176802596290358	-0.0270812602107293	0.978394921464566	0.995847524287587
SPAC11D3.09	31.2320826813993	-0.087793038257748	0.20535894556381	-0.427510172574725	0.669007777400205	0.958518829104799
SPAC11D3.10	0.440009152190366	0.00938408332289259	0.0410081865300348	0.228834389348566	0.818997637047503	0.983819198847846
SPAC11D3.11c	79.2661307390726	-0.123454872030265	0.210971998524011	-0.585171837466454	0.558432179287607	0.951561678116635
SPAC11D3.13	281.233392049222	-0.366039771897275	0.181999767894608	-2.01121010280212	0.0443032691116944	0.655957968187593
SPAC11D3.14c	27.6119673101367	-0.267419801598134	0.20411956859095	-1.31011349594823	0.190157443500657	0.841238789075547
SPAC11D3.15	34.3310804391146	-0.0576791608848244	0.206330387487785	-0.279547581852136	0.779824627758767	0.978899556887033
SPAC11D3.16c	280.964766552974	0.019264375445787	0.178855534684342	0.107709137879273	0.914226420707842	0.992314528439693
SPAC11D3.17	104.6855256905	0.249354443008672	0.210748885848986	1.18318273429616	0.236736734170849	0.866925127213947
SPAC11D3.18c	42.0930844892731	0.042683307602228	0.21261292640505	0.200755938615471	0.840889417322231	0.984101396274394
SPAC11D3.19	15.0470026547824	0.189933187034438	0.180263872513815	1.05363978031639	0.292047869137572	0.89531261695481
SPAC11E3.01c	121.678440289383	-0.323821927538153	0.201882115664909	-1.60401492956238	0.108710761797744	0.765320536505179
SPAC11E3.02c	90.7684729706437	-0.0388234740037119	0.20840369628889	-0.186289757307829	0.852217539356729	0.988150409711317
SPAC11E3.03	80.7416539792139	-0.11174936003569	0.210572375549958	-0.530693353028055	0.595631292916748	0.954708204874629
SPAC11E3.04c	270.1542477578	-0.156652616576217	0.178209717926662	-0.879035208622481	0.379382185855139	0.923362703839395
SPAC11E3.05	76.2393494892589	0.0373349296454087	0.212569253250977	0.175636547028407	0.860579488270904	0.98878746108153
SPAC11E3.06	154.625229309012	-0.0962070580897242	0.19532327643583	-0.492552960636677	0.622328492160069	0.956070518815309
SPAC11E3.07	591.164211026654	-0.157757276641097	0.156916922347251	-1.00535540897231	0.314725743269965	0.910190262217054
SPAC11E3.08c	57.7929699961514	-0.0185787538467619	0.213060818549164	-0.0871992981782094	0.930513097205895	0.992649269917178
SPAC11E3.09	120.531176711858	0.0332212379885617	0.20202997800055	0.16443717074736	0.869387003789865	0.98878746108153
SPAC11E3.10	227.078522829816	-0.0843017725278357	0.181855887534291	-0.463563614413856	0.642960428063995	0.958337298570241
SPAC11E3.11c	81.0597486496881	0.118380051345963	0.210714280172369	0.561803648282048	0.574249806158318	0.952776328969272
SPAC11E3.12	0.620224273097152	0.0254668519452719	0.0467858513517784	0.54432806520478	0.586215737388172	0.952776328969272
SPAC11E3.13c	642.963488700877	-0.00715072704561383	0.157689628401508	-0.0453468444190045	0.963830849371112	0.994975657110301
SPAC11E3.14	185.776332873854	-0.0216170829383494	0.19079184110753	-0.113301925348925	0.909791190863695	0.992314528439693
SPAC11E3.15	4759.78416569636	0.0454563300209365	0.135368668077811	0.335796537458785	0.73702430142868	0.968576965509616
SPAC11G7.01	853.988242057871	-0.165552514502946	0.151933893118717	-1.08963517688307	0.275873881159935	0.885603722096068
