baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	162.196603271747	0.17814379582922	0.327538291479625	0.543886930057767	0.586519283472369	0.999591736901903
SPAC1002.02	100.725842078831	0.0298908085036431	0.324695263235469	0.0920580368367317	0.926651928575893	0.999591736901903
SPAC1002.03c	136.88303037278	-0.329117314461219	0.328209717071496	-1.00276529713325	0.315974116277118	0.999591736901903
SPAC1002.04c	270.730666788244	-0.376655292178528	0.311499796771778	-1.20916705590818	0.226598671534996	0.999591736901903
SPAC1002.05c	82.2938359830639	-0.025742267863078	0.318199658535392	-0.0808997344043812	0.93552169118929	0.999591736901903
SPAC1002.06c	138.236734625354	0.141992132284405	0.328245320607691	0.432579303861912	0.665320427575139	0.999591736901903
SPAC1002.07c	112.909418442627	-0.134822501670481	0.326582688257478	-0.412828072393682	0.679732582396922	0.999591736901903
SPAC1002.08c	565.672805980091	-0.164321945144232	0.276705236376327	-0.593851953422194	0.552611136905795	0.999591736901903
SPAC1002.09c	110.775931589733	0.252538831824377	0.32491259342475	0.777251596075376	0.437010346586338	0.999591736901903
SPAC1002.10c	77.8167148764005	0.0128922835374775	0.316000580377387	0.0407982906932662	0.967456702055117	0.999591736901903
SPAC1002.11	99.5352170681249	-0.199149800193345	0.322319551759274	-0.617864473645339	0.536664679092093	0.999591736901903
SPAC1002.12c	285.242171816655	-0.192112951773677	0.313916415403776	-0.611987593979663	0.540545965669821	0.999591736901903
SPAC1002.13c	1149.85729011257	-0.56247032999996	0.236813479163244	-2.37516180239144	0.0175412589685922	0.999591736901903
SPAC1002.14	75.0831893224709	0.120431381847284	0.314131662852122	0.383378678716566	0.701439009824891	0.999591736901903
SPAC1002.15c	26.4551674452701	0.174841252373276	0.240090767026759	0.728229804662956	0.466472923898966	0.999591736901903
SPAC1002.16c	31.8476638266024	0.0283656720720424	0.259000958483337	0.109519564090213	0.912790405204176	0.999591736901903
SPAC1002.17c	107.757111121743	0.0264153414192461	0.32589308465634	0.0810552376313894	0.935398023696569	0.999591736901903
SPAC1002.18	15.6376690990704	-0.0824988794467631	0.202314844027201	-0.40777472282593	0.683439072808468	0.999591736901903
SPAC1002.19	343.903165537231	-0.0558431676827487	0.302646660760675	-0.184516054273958	0.853608633892026	0.999591736901903
SPAC1002.20	5.57383630440887	8.95084070718817e-05	0.125486410260151	0.000713291637606961	0.999430875663264	0.999591736901903
SPAC1006.01	285.033393934516	-0.326968729567328	0.309073826745572	-1.05789847367596	0.290101731130929	0.999591736901903
SPAC1006.02	917.43641276057	-0.0394721482038909	0.230420747951226	-0.171304661385121	0.863984215387409	0.999591736901903
SPAC1006.03c	181.455460126842	-0.137059386610945	0.325103251462752	-0.421587252647482	0.673326312306485	0.999591736901903
SPAC1006.04c	231.505261280299	-0.0313050734972742	0.3219967969128	-0.0972216922572429	0.92255034171584	0.999591736901903
SPAC1006.05c	384.011123063164	-0.309713654343781	0.296171389899739	-1.04572441804263	0.295688285721874	0.999591736901903
SPAC1006.06	97.7787461318019	-0.256646275236852	0.322778612130657	-0.795115492760608	0.426546323327089	0.999591736901903
SPAC1006.07	1501.16590325773	-0.258413094891433	0.212665544651052	-1.21511500753658	0.224322230452134	0.999591736901903
