baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	464.725898840453	-0.767179639640109	0.313375686651685	-2.44811474635179	0.0143605913204261	0.0984270370184124
SPAC1002.02	282.886537355199	-0.453394980670232	0.364921960835587	-1.24244367105795	0.214072911306684	0.460553079955093
SPAC1002.03c	821.110174907893	-0.403898273159521	0.261136936792793	-1.54669147199198	0.121937660490157	0.355749701676954
SPAC1002.04c	158.333907461933	-0.769404378506167	0.435406339543283	-1.76709502969853	0.0772123147722598	0.279075983694155
SPAC1002.05c	1213.76229408664	-0.467888666218183	0.228696981025216	-2.04588912420577	0.0407672806183979	0.192315860572005
SPAC1002.06c	152.150800528812	-0.369503521502614	0.428514901717442	-0.862288615919035	0.388528715688934	0.630701877573239
SPAC1002.07c	298.767804993829	-0.689713809210351	0.370283804638368	-1.86266264030626	0.0625097452573867	0.248389950939935
SPAC1002.08c	452.012541050095	-0.623134892784583	0.324179029197819	-1.9221937160048	0.054581387244808	0.228522071871119
SPAC1002.09c	834.46045870911	-0.258797851486447	0.259199245330815	-0.998451408128694	0.318060515935746	0.568676149706798
SPAC1002.10c	639.323617824298	-0.073181378447274	0.283381058448902	-0.258243719068012	0.796218818949836	0.905884040726542
SPAC1002.11	433.262642738948	-0.301554495600984	0.318104289600549	-0.947973684918406	0.343142850939805	0.591729564839488
SPAC1002.12c	509.618552596153	0.0884828443189358	0.298689448801762	0.296236926593484	0.767049150361644	0.890354363242359
SPAC1002.13c	4548.82622978759	-0.564087791419649	0.16096690763342	-3.50437117611951	0.000457686946859503	0.00716047911789613
SPAC1002.14	799.967972988681	-0.757399015545872	0.264821126513678	-2.86004000329163	0.00423587572150702	0.0432740805176671
SPAC1002.15c	104.277046780126	-0.00959984067139162	0.463244648759114	-0.0207230470920853	0.983466584045493	0.993368938297156
SPAC1002.16c	59.8529510600418	-1.0926896220003	0.487189538842487	-2.24284294896073	0.0249069437932284	0.141015974605542
SPAC1002.17c	3957.68828675612	4.6818259856696	0.239242485271946	19.5693753153742	2.82118263055945e-85	9.13639994906676e-82
SPAC1002.18	745.852963125186	3.31111243274782	0.335388193855025	9.87247760479928	5.47941666651205e-23	2.21813635931241e-20
SPAC1002.19	8802.36685065648	5.62238853548001	0.220213794421247	25.5315001962363	8.81336812125548e-144	5.70841853213718e-140
SPAC1002.20	301.80019264534	-0.524352230867226	0.369062261353919	-1.42076902944132	0.155383917071768	0.396228988533008
