baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	112.292795445875	-0.580755835573672	0.367382337010814	-1.5807941130185	0.113925121031202	0.361411703050239
SPAC1002.02	61.359756173603	0.0625499548077652	0.450525407119606	0.138837796535544	0.889578325893598	0.957481727351909
SPAC1002.03c	53.3106771594209	-0.861275980859807	0.483361905371716	-1.78184497224179	0.0747745161680278	0.278660874007532
SPAC1002.04c	149.793481718985	-1.41491812149081	0.348282579151715	-4.06255783719364	4.85379162474494e-05	0.00134802733097384
SPAC1002.05c	50.4454792279086	-0.265989104680852	0.479117412910953	-0.555164762359176	0.578781968875683	0.818881795049796
SPAC1002.06c	28.0232425036731	-0.734131765387903	0.557700690944014	-1.31635441251695	0.188055115775122	0.477359045391374
SPAC1002.07c	44.1919045525567	-0.202612883921851	0.490559805047634	-0.413023818578404	0.679589162944289	0.878249004230767
SPAC1002.08c	93.428131568131	-1.62158617171339	0.413044212380612	-3.92593849062126	8.63922320852887e-05	0.0020737420576214
SPAC1002.09c	186.029977987259	-0.680661557782569	0.333930488076255	-2.0383330725619	0.0415166345294476	0.192749962089818
SPAC1002.10c	103.272059866089	0.285498182711223	0.402164318685125	0.709904308877172	0.47776347822933	0.744721194583151
SPAC1002.11	17.0238735294579	-0.454066398192564	0.601735975939479	-0.754594068409552	0.450492583797441	0.732416118153411
SPAC1002.12c	234.714580808015	-0.649716300626319	0.288090688999601	-2.25524921642719	0.0241176902659539	0.135820676760898
SPAC1002.13c	972.744409755408	-0.000957338181036613	0.227041758568845	-0.00421657314086705	0.99663567136075	0.99817866307953
SPAC1002.14	71.9265909581866	-1.17113408307166	0.440784817042852	-2.65692927203934	0.00788559850538485	0.0626185954270371
SPAC1002.15c	11.6411994593442	-1.05436361683121	0.620429504850057	-1.69940921343839	0.0892421071953114	0.310919107463576
SPAC1002.16c	92.8361275486676	1.62287211118042	0.404932768790152	4.00775693216728	6.12981597302551e-05	0.00161914344090837
SPAC1002.17c	83.9706290093006	-0.988021467732864	0.44317059264483	-2.22943824371644	0.0257847600312559	0.141178829208429
SPAC1002.18	52.8929844605855	-0.834121046241283	0.487635053115175	-1.71054365536817	0.0871653879598526	0.305878318060339
SPAC1002.19	305.870015023084	-1.66823663286013	0.277688566615728	-6.00758127420016	1.88311415763162e-09	2.4261427912507e-07
SPAC1002.20	1.3332977787259	-0.269553573314132	0.377408070287123	-0.714223130175946	0.475089216344354	0.743011986471486
SPAC1006.01	513.449731618489	-0.108883953994565	0.252234753487922	-0.431677048816267	0.665976150595798	0.867183048279238
SPAC1006.02	200.392146685629	-0.950487186465737	0.325483867920908	-2.92022825136361	0.00349775099970639	0.0351054086822678
