baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	212.998527089631	0.470451595456964	0.290063760486699	1.62189028601019	0.104826841839049	0.185874979462079
SPAC1002.02	175.852190210983	0.0899635946868956	0.319663721852944	0.281431981600596	0.778379091181232	0.85090539908742
SPAC1002.03c	182.832219067174	-3.91724611107431	0.442463847058141	-8.85325690928049	8.5001698827348e-19	3.70128202679083e-17
SPAC1002.04c	108.765461006493	0.608743955011968	0.381340688293867	1.59632573627407	0.110416086985606	0.193773214055345
SPAC1002.05c	349.803200312448	-1.17758356020362	0.248403402038358	-4.74060963151294	2.13076118771549e-06	1.32164231222735e-05
SPAC1002.06c	83.657300961802	-0.0145974056030905	0.42508062109005	-0.034340322467907	0.972605771138423	0.981192245049193
SPAC1002.07c	92.8808010667071	-0.509269512057299	0.408127249555529	-1.24782041045267	0.212096832380734	0.326628114997911
SPAC1002.08c	96.2343176580336	-0.710480911275216	0.410799121962565	-1.72950932290445	0.0837179793876429	0.155633882598002
SPAC1002.09c	209.765326482229	-1.55897596648696	0.304283029670572	-5.12344039749691	3.00010510059642e-07	2.19196868160693e-06
SPAC1002.10c	611.888615354517	-0.236219526817772	0.197792826950671	-1.19427751986519	0.232369428193489	0.350363200120697
SPAC1002.11	154.598912967143	-1.50996646529934	0.346060351037658	-4.36330385949077	1.28112803968539e-05	6.63649020817985e-05
SPAC1002.12c	62.5194973560112	-1.00454025279933	0.499937491867381	-2.009331704744	0.044501967718307	0.0913952377192426
SPAC1002.13c	1297.74050370476	-1.18161051437435	0.158033936369216	-7.47694160837546	7.60721944190878e-14	1.66235926383259e-12
SPAC1002.14	259.016753997221	-0.581836417774068	0.269838344401125	-2.15624068945941	0.031064875833646	0.0676565674416566
SPAC1002.15c	13.3128023903874	-2.74746221809103	0.983291898164089	-2.79414711259275	0.00520368001482046	0.0145023522062522
SPAC1002.16c	20.8496519619037	-1.41176887610905	0.785538217642262	-1.79719947979918	0.0723039571058206	0.137891850000754
SPAC1002.17c	282.28322960498	-0.927316355663266	0.270969631330365	-3.42221506930673	0.000621131610323213	0.00220735046682403
SPAC1002.18	67.3149468434054	-1.30064591292819	0.500623823408346	-2.59805037657444	0.00937547382703774	0.0240807894654873
SPAC1002.19	142.728409201424	-1.83328472183295	0.40696273042403	-4.50479757672842	6.64362405133682e-06	3.65286719026045e-05
SPAC1002.20	337.382331252691	-0.772764021408327	0.267949552382307	-2.88399071593058	0.00392670329670164	0.0113595699460213
SPAC1006.01	471.995263381321	-0.789717222599588	0.225027281635093	-3.50942879841655	0.000449070277033212	0.00165543633942698
SPAC1006.02	64.3001030984271	-1.14595151857865	0.499033089619486	-2.29634375438398	0.0216562342036223	0.0498070356303089
SPAC1006.03c	184.378691729796	-2.46090350174331	0.348678340422273	-7.05780433267806	1.69154011674264e-12	2.94228211191053e-11
SPAC1006.04c	208.23331984743	-0.541128628790475	0.32831258169262	-1.64821167072148	0.0993092427624507	0.178185389115813
SPAC1006.05c	62.270439570517	-3.19841518516192	0.614877249572097	-5.2017133295918	1.97459642284156e-07	1.50189702126565e-06
SPAC1006.06	42.9138280892722	-3.51937347479365	0.778259695542036	-4.52210681723985	6.1227146458101e-06	3.39522842923213e-05
SPAC1006.07	1923.26653714609	-1.04263770395456	0.161972795366376	-6.43711619347038	1.21764722139755e-10	1.62120213854739e-09
SPAC1006.08	685.581115732172	-0.198864638683914	0.186849934984498	-1.06430135338507	0.287192205097113	0.411961756946732
SPAC1006.09	163.052210405091	-3.16617347895491	0.412213674669293	-7.680903554437	1.57970380590899e-14	3.91187721096853e-13
SPAC1039.01	74.41935897293	-2.96361507108691	0.573477481351281	-5.16779676179048	2.36869679187185e-07	1.77460794291739e-06
SPAC1039.02	245.668867918894	-1.67858954584517	0.298520175898906	-5.62303549765302	1.87630826460179e-08	1.75663607802834e-07
SPAC1039.03	62.1115154715495	-0.853789233722275	0.494876166823532	-1.72525833927809	0.0844809262362398	0.156603499834492
SPAC1039.04	32.1575753503864	-1.76923818442732	0.681060448757478	-2.59776968058431	0.00938314072891122	0.0240814149719842
SPAC1039.05c	63.4796269480099	-3.21820230089792	0.614971239043179	-5.23309399949347	1.66695912102775e-07	1.28906207118332e-06
SPAC1039.06	50.1867106280406	-2.67439613863327	0.626251361475315	-4.27048355205641	1.95049606244007e-05	9.68975379258128e-05
SPAC1039.07c	98.5078250801113	-0.896670371377571	0.409080830113638	-2.19191491111545	0.0283856511877538	0.0628553259065346
SPAC1039.08	15.0640067087215	-1.33561016837259	0.86449231533535	-1.5449647668117	0.1223547858852	0.210567069183866
SPAC1039.09	30.1973224555566	-1.5022655062558	0.68760382566693	-2.1847835194906	0.0289047229818355	0.0637436582957677
SPAC1039.10	28.7548080246853	-2.40494960213355	0.750642397941566	-3.20385526947115	0.00135600624299782	0.00445005994161349
SPAC1039.11c	74.7623352073258	-0.0533143070622703	0.454448709742292	-0.117316445001029	0.90660929379123	0.942370518223985
SPAC105.01c	37.7891456235129	-2.40846015555366	0.676238744728732	-3.56155303778075	0.000368667613385508	0.001382610101529
SPAC105.02c	194.153606079887	-0.584058181825063	0.309022554442087	-1.89001797257009	0.0587555564309163	0.115727398337518
SPAC105.03c	59.5941148186288	-2.64416176401229	0.578418472998595	-4.57136465629222	4.84558212165252e-06	2.73851365899665e-05
SPAC1071.01c	103.790714636839	-2.95592964723641	0.477239557689416	-6.19380686200388	5.87281839383212e-10	7.06917360652742e-09
SPAC1071.02	86.995780601622	-1.78596384204796	0.451291493768057	-3.95745070915488	7.57539128701257e-05	0.000333893605096043
SPAC1071.03c	76.6132514749808	-1.3502740435593	0.463136611757907	-2.9154983848807	0.00355120945059146	0.0104019173433126
SPAC1071.04c	161.201209966346	-0.277189554216753	0.337809068174869	-0.820550957126066	0.411902092500596	0.542649538047177
SPAC1071.05	214.532023797083	-0.53421816709263	0.29434838402349	-1.81491795467101	0.0695365188853573	0.133597448228238
SPAC1071.06	51.0768451305396	-0.200786143786608	0.532053188298349	-0.377379833825969	0.705891351193424	0.799550119857356
SPAC1071.07c	791.044539264044	-0.433604807242667	0.177790709070176	-2.43884964242714	0.0147340973561205	0.035473213999037
SPAC1071.08	1122.91424605047	-0.204124343308491	0.163464373938911	-1.24873902728661	0.211760541454879	0.326420145630614
SPAC1071.09c	1498.98934090602	0.00329378456733877	0.154684177622547	0.021293610102619	0.983011441084321	0.988497555961619
SPAC1071.10c	958.391940902803	-2.47606010657371	0.199042218782982	-12.4398739207855	1.5875430389675e-35	3.81480712474857e-33
SPAC1071.11	104.850568754709	-2.2486742826956	0.450528211507721	-4.99119527980339	6.00067918791284e-07	4.14615618436406e-06
SPAC1071.12c	47.5553041915775	-1.28489014488733	0.588316666375749	-2.18401112584951	0.0289614305243781	0.0638253265088877
