baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	209.228320691081	0.0408472478862879	0.261908914951864	0.155959746134625	0.876064750815613	0.943989096679809
SPAC1002.02	510.373954844274	0.0688716352130502	0.20982598265764	0.328232158576012	0.742736134510129	0.884390596407933
SPAC1002.03c	1352.02409362702	-0.440792077273242	0.17479261765866	-2.52180030929014	0.0116755967373177	0.0627900491203274
SPAC1002.04c	322.080741355435	0.50630159783956	0.236851184784332	2.13763590965601	0.0325463048841232	0.12702803307468
SPAC1002.05c	622.248307967973	-0.468973390231718	0.200619126229576	-2.33763050934164	0.0194064238478273	0.0891409941086246
SPAC1002.06c	71.4815524315826	0.24575532567438	0.313048175139375	0.785039956118463	0.432430142225926	0.666695008395705
SPAC1002.07c	412.496804988041	0.679349707824856	0.220639825308697	3.07899857550367	0.00207697674846302	0.0183687034551994
SPAC1002.08c	612.987735946947	-0.0579804125015666	0.197564171957016	-0.293476352150436	0.769158072386299	0.896700171344417
SPAC1002.09c	2372.36657440575	-0.269356979242345	0.16099031193983	-1.67312539491828	0.0943026132207786	0.263126897676813
SPAC1002.10c	368.105266921782	-0.134450081680973	0.231604068701661	-0.580516924571666	0.561566076868311	0.773518108416663
SPAC1002.11	891.622087752021	-0.266196138396885	0.181600244439261	-1.465835793442	0.142693027225273	0.339195168291149
SPAC1002.12c	637.345410220953	0.18596359568427	0.202215948720425	0.919628727906992	0.357766808987097	0.600083391914024
SPAC1002.13c	12659.3839110535	-0.0213521850176151	0.1434268021484	-0.148871652283808	0.881654910114874	0.947194116388454
SPAC1002.14	884.951025800535	-0.270104389545309	0.184491431317227	-1.46404842553839	0.143180717479599	0.33998221525833
SPAC1002.15c	694.971993672902	-0.20087188772586	0.192142676794196	-1.04543088020479	0.295823870740577	0.539652949758489
SPAC1002.16c	389.260307448588	0.272291305549315	0.221510028691651	1.22925046399751	0.218977913621841	0.446449183918411
SPAC1002.17c	1992.34287170792	-0.366152356989347	0.175496954879427	-2.08637441738466	0.0369447204754537	0.13943583558715
SPAC1002.18	875.90717986701	-0.122618683693437	0.181863964041689	-0.674232986944726	0.500163200821713	0.725587300902721
SPAC1002.19	1470.39227200523	-0.684383938309705	0.183906688016593	-3.72136514278348	0.000198148676394454	0.0031968640414333
SPAC1002.20	33.5638288265559	-0.328561675281018	0.313411433835095	-1.04833978537584	0.29448208547943	0.539015510574255
