baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	274.870454745712	0.0804841137635487	0.27937068776388	0.288090760014066	0.773277265375078	0.880271967848899
SPAC1002.02	138.82963666852	-0.225749081905054	0.340174187782123	-0.663627900097004	0.50692849581357	0.685629119508031
SPAC1002.03c	233.649494358004	-0.896008021883653	0.298967968433232	-2.99700341337322	0.00272647660493419	0.0237897084658552
SPAC1002.04c	49.4356626373558	-0.211315198927629	0.456717374333611	-0.462682636577939	0.643591865948434	0.78724428130774
SPAC1002.05c	631.133972687961	0.0986922582868331	0.235443958646474	0.419175156815225	0.675088126867748	0.812392913329044
SPAC1002.06c	52.1478139728409	0.181989463610972	0.446851737817726	0.40727034989222	0.683809437166297	0.817975691775371
SPAC1002.07c	70.9785070286637	-0.552417743693611	0.422152747061438	-1.30857313505345	0.19067898600455	0.371924079148305
SPAC1002.08c	178.443188877867	-0.403836794765931	0.321129114422144	-1.25755273075322	0.208553557495854	0.39448702864511
SPAC1002.09c	139.360596254402	-0.506583015276564	0.346154008875064	-1.46346135618323	0.143341180327454	0.309628641790573
SPAC1002.10c	305.174086127209	0.50845112251973	0.277754030020669	1.83058054092642	0.0671631751902284	0.190811899013335
SPAC1002.11	223.735917219095	-0.489998449308669	0.302869162500109	-1.61785519946585	0.105693807116273	0.254079163078844
SPAC1002.12c	94.2961874837903	-0.752184201665162	0.387618576569135	-1.94052671139461	0.0523157111630339	0.162363407020771
SPAC1002.13c	1915.81220434364	-0.898119728201225	0.18767509622387	-4.78550295842074	1.70559673836129e-06	9.56457481296569e-05
SPAC1002.14	209.571012236469	-0.482097757215509	0.30151980455157	-1.5988925103361	0.109844488510259	0.259585287960064
SPAC1002.15c	32.122924287927	-0.932780711035115	0.49797080141119	-1.87316346338324	0.061045815929468	0.179078263309414
SPAC1002.16c	52.2703514989845	-0.260087683097457	0.446425469757252	-0.582600457896998	0.560162297092299	0.728726854449619
SPAC1002.17c	184.027138059965	-0.437961790020022	0.337629050460979	-1.29716856242689	0.194573195034344	0.376920379302682
SPAC1002.18	124.044482110406	0.0487838303701964	0.355487325615315	0.137230857065737	0.890848321223969	0.941964943036723
SPAC1002.19	75.0870541902656	0.272412847755588	0.417140271388051	0.653048546114051	0.51372498213664	0.690307996033638
SPAC1002.20	286.805577123096	0.211795266295326	0.289701106442783	0.731082006886144	0.464729063938743	0.652506488435469
SPAC1006.01	403.268668152227	-0.582072552193225	0.249946614899914	-2.32878749898775	0.0198703259918586	0.0874673542614298
SPAC1006.02	78.3178149424513	-0.504173608563292	0.420543917550092	-1.19886077891791	0.230582084604189	0.421485242886193
SPAC1006.03c	156.807354000629	-1.12413329434851	0.340315680350359	-3.30320746076465	0.000955856433997877	0.0121205577059575
SPAC1006.04c	273.141870598996	-0.316916207947567	0.292114859486281	-1.08490272800536	0.277964739627176	0.472351262088501
SPAC1006.05c	83.7103407168932	-1.30171224469985	0.41082347708949	-3.1685439545031	0.00153204581127857	0.016563209005935
SPAC1006.06	40.332073754439	-0.716433467587144	0.477129087242799	-1.50155060075507	0.133213209284096	0.294946196866251
SPAC1006.07	2244.77225949753	-1.03906525846189	0.18395261171143	-5.64854855168835	1.61808155676688e-08	2.06384716211147e-06
SPAC1006.08	513.597697515733	-0.46693414131254	0.239010913498086	-1.95361012800062	0.0507473419546052	0.159269719515329
SPAC1006.09	186.360959505088	-0.317484277288007	0.311458319368204	-1.01934755806821	0.308037993365371	0.50549625298732
SPAC1039.01	137.413380598353	-0.662614247890056	0.345259698353957	-1.91917635058219	0.0549620194323824	0.167303667013405
SPAC1039.02	270.362083327328	-1.02087948815485	0.2860584703279	-3.5687790925563	0.000358648665577669	0.00589143830702712
SPAC1039.03	88.7590859527407	-1.16149857143808	0.402502094041926	-2.88569572340435	0.00390549538922301	0.0295409854731345
SPAC1039.04	54.9069233067141	-0.68029826817267	0.448952570109581	-1.51530097713133	0.12969620099405	0.290321330855573
SPAC1039.05c	72.2337550299153	-0.51479600056328	0.414877540790642	-1.2408384401388	0.214665437659956	0.401650813937761
SPAC1039.06	88.8288986102182	-0.944923806679488	0.40020328046611	-2.36110959804965	0.0182203449630027	0.083232685382256
SPAC1039.07c	80.6626249989677	-1.0142530462822	0.408919825165454	-2.4803225078946	0.0131263596960345	0.0665819628033712
SPAC1039.08	12.3085018260935	-0.323131723920252	0.504941440194568	-0.639939007176238	0.522212253090413	0.697390824543858
SPAC1039.09	12.2281340739265	-0.0993018451560092	0.504686805337813	-0.196759344816914	0.844015867261127	0.91780729129616
SPAC1039.10	21.4831533118165	-0.894104217747468	0.511000351359174	-1.74971350874672	0.0801677615158861	0.213073216324503
SPAC1039.11c	110.9044976619	-0.671411050329344	0.36859480303462	-1.82154236793806	0.0685244524579652	0.193216975829676
SPAC105.01c	74.7950198744709	-0.648852549567033	0.413726156140337	-1.56831406459818	0.116807855178044	0.27035019892086
SPAC105.02c	291.90411129001	-0.995702005516175	0.279177797488065	-3.56655154698948	0.000361709687344057	0.00592675444879871
SPAC105.03c	45.0917790895309	-0.503768114327696	0.465065603862217	-1.08321946440259	0.278711022150822	0.47312505195488
SPAC1071.01c	80.583073675426	-1.19685901972264	0.412674115148037	-2.90025222273341	0.00372862497070349	0.0286360158611879
SPAC1071.02	56.4980082549876	-0.294148543496894	0.438947460770349	-0.670122440122256	0.502779740963834	0.683794648597814
SPAC1071.03c	86.1034703295861	-1.29002513379025	0.409076932573735	-3.15350251033214	0.001613238409571	0.0168174933561848
