V4	dis2ts_DMSO_18Cr1_pr_counts	dis2ts_DMSO_18Cr1gb_counts	dis2ts_DMSO_18Cr1term_counts	dis2ts_DMSO_18Cr1pr_map	dis2ts_DMSO_18Cr1gb_map	dis2ts_DMSO_18Cr1term_map	dis2ts_DMSO_18Cr1pr_density	dis2ts_DMSO_18Cr1pr_densityRPKM	dis2ts_DMSO_18Cr1gb_density	dis2ts_DMSO_18Cr1gb_densityRPKM	dis2ts_DMSO_18Cr1pause_index_CI_low	dis2ts_DMSO_18Cr1pause_index_CI_high	dis2ts_DMSO_18Cr1pause_index_scaled	dis2ts_DMSO_18Cr1pause_index_CI_low_scaled	dis2ts_DMSO_18Cr1pause_index_CI_high_scaled	dis2ts_DMSO_18Cr1_ExpPR	dis2ts_DMSO_18Cr1_ExpGB	dis2ts_DMSO_18Cr1Fexact_Pval
SPAC1002.01	10	39	27	100	481	300	0.1	49.4809693717748	0.0810810810810811	40.1197048960336	0.120123780914375	0.532857597132892	1.23333333333333	0.577795386198142	2.56304504220921	8	102	1
SPAC1002.02	8	70	22	100	837	300	0.08	39.5847754974198	0.0836320191158901	41.3819337637304	0.0509574273341032	0.24577803618711	0.956571428571428	0.426513666786444	2.05716216288611	8	100	1
SPAC1002.03c	15	220	60	100	2955	300	0.15	74.2214540576621	0.0744500846023689	36.8386235593585	0.0388885929766012	0.117544910854411	2.01477272727273	1.14915792245856	3.47345211574784	7	108	1
SPAC1002.04c	25	61	10	100	641	300	0.25	123.702423429437	0.0951638065522621	47.0879739731398	0.250464692151719	0.666814011523586	2.62704918032787	1.60547867669252	4.27427781386619	10	115	1
SPAC1002.05c	8	121	88	100	2086	300	0.08	39.5847754974198	0.0580057526366251	28.7018086959959	0.0299962156149133	0.139551084316468	1.37917355371901	0.625721057727092	2.91103561884152	5	103	1
SPAC1002.06c	10	18	12	100	311	300	0.1	49.4809693717748	0.0578778135048231	28.6385031733745	0.239284796787178	1.26710742806212	1.72777777777778	0.744175718008122	3.9407041012732	6	104	1
SPAC1002.07c	11	18	19	100	1084	300	0.11	54.4290663089522	0.0166051660516605	8.21639712815448	0.270719100417951	1.36068002455641	6.62444444444445	2.93459504853059	14.7497714661914	1	110	0.129006277356233
SPAC1002.08c	36	123	29	100	1783	300	0.36	178.131489738389	0.0689848569826136	34.1343759547296	0.19832971798082	0.430300874444133	5.21853658536585	3.53621887159802	7.67226459133889	8	128	2.93406835417013e-08
SPAC1002.09c	4	372	69	100	2132	300	0.04	19.7923877487099	0.174484052532833	86.3364005924025	0.00342499334685209	0.0297617404216283	0.229247311827957	0.0730208581548866	0.634520305789116	15	89	1
SPAC1002.10c	6	57	48	100	1806	300	0.06	29.6885816230649	0.0315614617940199	15.6169172435834	0.0409218400190929	0.253740538525281	1.90105263157895	0.739048430744818	4.58255412576658	3	103	1
SPAC1002.11	7	64	28	100	1871	300	0.07	34.6366785602423	0.034206306787814	16.9256121848936	0.0459120339525405	0.247496459173511	2.04640625	0.859014155252032	4.63065875113639	3	104	1
SPAC1002.12c	19	252	42	100	1692	300	0.19	94.0138418063721	0.148936170212766	73.695060766473	0.0458929450620926	0.122422238182712	1.27571428571429	0.776508630450607	2.07138427005148	15	104	1
SPAC1002.13c	84	1988	300	100	1829	300	0.84	415.640142722908	1.08693275013669	537.824861186923	0.0337491444403322	0.0528336156976334	0.772816901408451	0.617271851813675	0.966326831109715	95	89	1
SPAC1002.14	5	86	45	100	1485	300	0.05	24.7404846858874	0.0579124579124579	28.6556455621053	0.0208284195769369	0.148634168020504	0.863372093023256	0.309302030717513	2.20721739510449	5	100	1
SPAC1002.15c	2	119	5	100	2754	300	0.02	9.89619387435495	0.0432098765432099	21.3806657779274	0.0028763494647968	0.0688288226872074	0.462857142857143	0.0792146642605039	1.89554577680569	4	98	1
SPAC1002.16c	2	36	2	100	1906	300	0.02	9.89619387435495	0.018887722980063	9.34582842279062	0.00925365154988372	0.235628337171256	1.05888888888889	0.176374598540784	4.49107610648414	1	101	1
SPAC1002.17c	10	1608	669	100	990	300	0.1	49.4809693717748	1.62424242424242	803.690896462766	0.00315365066208702	0.0118767210263328	0.0615671641791045	0.0312211415546615	0.117579538160695	68	42	1
