V4	ePRO_Lsk1as_Cdk9as_3MBPP1r1_pr_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r1term_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r1pr_map	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_map	ePRO_Lsk1as_Cdk9as_3MBPP1r1term_map	ePRO_Lsk1as_Cdk9as_3MBPP1r1pr_density	ePRO_Lsk1as_Cdk9as_3MBPP1r1pr_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_density	ePRO_Lsk1as_Cdk9as_3MBPP1r1gb_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_low	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_high	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r1pause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r1_ExpPR	ePRO_Lsk1as_Cdk9as_3MBPP1r1_ExpGB	ePRO_Lsk1as_Cdk9as_3MBPP1r1Fexact_Pval
SPAC1002.01	8	37	67	100	481	300	0.08	27.4373733379382	0.0769230769230769	26.3820897480175	0.0930499249332238	0.483296239669109	1.04	0.447570138928806	2.32465491280841	7	101	1
SPAC1002.02	16	167	76	100	837	300	0.16	54.8747466758765	0.199522102747909	68.4295302783107	0.055310066833074	0.163486398786878	0.801916167664671	0.462945259392829	1.36838115784617	19	97	1
SPAC1002.03c	21	426	15	100	2955	300	0.21	72.0231050120879	0.144162436548223	49.4429824110055	0.0309679087608083	0.0776699795516615	1.45669014084507	0.915101703881886	2.2951478957516	15	106	1
SPAC1002.04c	31	84	20	100	641	300	0.31	106.319821684511	0.131045241809672	44.9442152961547	0.23927517288668	0.566743080622003	2.36559523809524	1.53375385820362	3.63282314678704	15	116	1
SPAC1002.05c	7	218	88	100	2086	300	0.07	24.007701670696	0.104506232023011	35.8422063019567	0.0138903987219218	0.0703294081857176	0.669816513761468	0.289753717339288	1.46707145475407	10	97	1
SPAC1002.06c	6	11	7	100	311	300	0.06	20.5780300034537	0.0353697749196141	12.1306714918537	0.180069604794401	1.58930475012191	1.69636363636364	0.560016470910588	4.94273777287914	3	103	1
SPAC1002.07c	23	188	20	100	1084	300	0.23	78.8824483465724	0.173431734317343	59.4813905388882	0.0773560598187013	0.191838601036923	1.32617021276596	0.838539688434722	2.07953043524024	18	105	1
SPAC1002.08c	22	170	40	100	1783	300	0.22	75.4527766793302	0.0953449242849131	32.7001785435327	0.0808175452238398	0.205350006881632	2.30741176470588	1.44097683134106	3.66139062269949	10	112	1
SPAC1002.09c	4	750	22	100	2132	300	0.04	13.7186866689691	0.351782363977486	120.649800676909	0.00170366787764729	0.0147142700806427	0.113706666666667	0.0363221991514403	0.313708238119303	27	77	1
SPAC1002.10c	6	110	48	100	1806	300	0.06	20.5780300034537	0.0609080841638981	20.889473056293	0.0216590119801752	0.128454226171968	0.985090909090909	0.391161756361963	2.31988332466575	6	100	1
SPAC1002.11	4	199	25	100	1871	300	0.04	13.7186866689691	0.106360235168359	36.4780685078147	0.00637110048509303	0.0559448367093596	0.37608040201005	0.119203290076091	1.04672789483212	9	95	1
SPAC1002.12c	30	166	13	100	1692	300	0.3	102.890150017268	0.0981087470449173	33.6480790048592	0.120071226882298	0.270524625815424	3.05783132530121	2.03160515884848	4.57727666879697	11	119	0.021808068817439
SPAC1002.13c	102	1819	663	100	1829	300	1.02	349.826510058713	0.994532531437944	341.092004522346	0.0456924473983434	0.0687513659112512	1.02560747663551	0.8357148629157	1.25746248251678	100	102	1
SPAC1002.14	3	179	47	100	1485	300	0.03	10.2890150017268	0.120538720538721	41.3408234637285	0.00428498278654318	0.0540445387517484	0.248882681564246	0.0636319943801662	0.802561400463464	11	92	1
SPAC1002.15c	3	110	2	100	2754	300	0.03	10.2890150017268	0.0399419026870007	13.6987611981355	0.00692922071982852	0.0885987387686702	0.751090909090909	0.190830738624077	2.44000926568918	3	100	1
SPAC1002.16c	2	139	7	100	1906	300	0.02	6.85934333448456	0.0729275970619098	25.0117713403293	0.0024667192416222	0.0587963668883662	0.274244604316547	0.047015668745319	1.12065875289226	6	96	1
SPAC1002.17c	0	31	10	100	990	300	0	0	0.0313131313131313	10.7393759277284	0.00295316473031761	0.159112070807008	0	0.0292363308301444	1.57520950098938	3	97	1
SPAC1002.18	2	87	9	100	1505	300	0.02	6.85934333448456	0.0578073089700997	19.8260089734271	0.00391713594548977	0.0946738947225559	0.345977011494253	0.058952895979621	1.42484211557447	5	97	1
SPAC1002.19	0	51	6	100	1563	300	0	0	0.0326295585412668	11.1908672443606	0.00178997256498559	0.0955981914009031	0	0.0279772711907248	1.49419973159612	3	97	1
SPAC1002.20	0	4	44	100	548	300	0	0	0.0072992700729927	2.50340997608926	0.0240893601812892	1.52670069174082	0	0.132009693793465	8.36631979073969	0	100	1
SPAC1006.01	20	974	79	100	1664	300	0.2	68.5934333448456	0.585336538461538	200.751214176321	0.0128282882363023	0.0325014871529688	0.341683778234086	0.21346271625207	0.540824746225401	44	76	1
SPAC1006.02	51	144	14	100	1217	300	0.51	174.913255029356	0.118323746918652	40.5811602368848	0.254018951266593	0.492771341084833	4.31020833333333	3.09141063691444	5.99702722100242	15	136	8.16467942684633e-09
SPAC1006.03c	39	839	34	100	2770	300	0.39	133.757195022449	0.302888086642599	103.880668910335	0.0332467376335837	0.0647294450100443	1.28760429082241	0.92093463245027	1.79300562677823	32	107	1
SPAC1006.04c	4	81	42	100	3993	300	0.04	13.7186866689691	0.0202854996243426	6.95726033174617	0.0154160419382817	0.139843211786121	1.97185185185185	0.615562554595588	5.58393944661982	2	102	1
SPAC1006.05c	61	531	8	100	2032	300	0.61	209.209971701779	0.261318897637795	89.6238019343332	0.0873161474597654	0.150841062279537	2.33431261770245	1.77426411638243	3.06509038552019	33	128	0.00719949190074513
SPAC1006.06	12	872	9	100	4139	300	0.12	41.1560600069074	0.21067890794878	72.2559481477475	0.00742526007214933	0.0248928939132762	0.569587155963303	0.307331514386261	1.0303168790705	19	93	1
SPAC1006.07	95	1210	422	100	1302	300	0.95	325.818808388017	0.929339477726575	318.732927600857	0.0633455942517226	0.0972099243008087	1.02223140495868	0.824759637157429	1.26567321439653	93	102	1
SPAC1006.08	5	81	113	100	1457	300	0.05	17.1483583362114	0.0555936856554564	19.0668088570092	0.0220775639854989	0.158100632864788	0.899382716049383	0.32167010726872	2.30352622083996	5	100	1
SPAC1006.09	75	1233	10	100	4844	300	0.75	257.225375043171	0.254541701073493	87.2994460303413	0.0478294125953925	0.0772418204997155	2.94647201946472	2.31685674612081	3.74159378500622	35	140	1.6610774564568e-07
SPAC1039.01	1	210	14	100	2977	300	0.01	3.42967166724228	0.0705408128988915	24.1931827383567	0.000247504950874248	0.0311412290320634	0.141761904761905	0.00736822238752637	0.927074388284528	6	95	1
SPAC1039.02	1	170	58	100	2733	300	0.01	3.42967166724228	0.0622027076472741	21.3334864043611	0.000305432875687845	0.0385306199161595	0.160764705882353	0.00834748049254881	1.05304184230864	5	96	1
SPAC1039.03	6	160	8	100	1499	300	0.06	20.5780300034537	0.106737825216811	36.6075694969156	0.0149989719011606	0.0876155666473732	0.562125	0.224834588798397	1.31335734404412	10	96	1
SPAC1039.04	1	151	6	100	1844	300	0.01	3.42967166724228	0.0818872017353579	28.084621570151	0.000343635749782126	0.0434250542008939	0.122119205298013	0.00633664322598241	0.800757999464483	7	94	1
SPAC1039.05c	1	167	18	100	3153	300	0.01	3.42967166724228	0.052965429749445	18.1654033754983	0.000310890105582531	0.0392287490049975	0.188802395209581	0.00980236502901721	1.23688245612757	5	96	1
SPAC1039.06	2	113	10	100	1966	300	0.02	6.85934333448456	0.0574771108850458	19.7127618717384	0.00302715908932193	0.0725420952133519	0.347964601769912	0.0595139476960692	1.4261775918945	5	97	1
SPAC1039.07c	3	78	16	100	1430	300	0.03	10.2890150017268	0.0545454545454545	18.7073000031397	0.0097073997032946	0.12593283491389	0.55	0.138815815757113	1.80083953926863	5	98	1
SPAC1039.08	3	23	2	100	995	300	0.03	10.2890150017268	0.0231155778894472	7.92788425593693	0.0312294740718594	0.455248489725081	1.29782608695652	0.310733267015001	4.52972247276455	2	101	1
