Mcs6as_Cdk9as_3MBPP1_combined_pr_counts	Mcs6as_Cdk9as_3MBPP1_combinedgb_counts	Mcs6as_Cdk9as_3MBPP1_combinedterm_counts	Mcs6as_Cdk9as_3MBPP1_combinedpr_map	Mcs6as_Cdk9as_3MBPP1_combinedgb_map	Mcs6as_Cdk9as_3MBPP1_combinedterm_map	Mcs6as_Cdk9as_3MBPP1_combinedpr_density	Mcs6as_Cdk9as_3MBPP1_combinedpr_densityRPKM	Mcs6as_Cdk9as_3MBPP1_combinedgb_density	Mcs6as_Cdk9as_3MBPP1_combinedgb_densityRPKM	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_low	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_high	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_scaled	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1_combined_ExpPR	Mcs6as_Cdk9as_3MBPP1_combined_ExpGB	Mcs6as_Cdk9as_3MBPP1_combinedFexact_Pval
SPAC212.08c	0	4	6	0	437	300	NA	NA	0.0091533180778032	1.00369963106885	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC212.07c	0	7	3	100	690	300	0	0	0.0101449275362319	1.11243375776797	0.0134151780994594	0.782741335671289	0	0.0925647288862702	5.40091521613189	1	99	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	79	0	0	598	35	NA	NA	0.132107023411371	14.486087944561	0.001153758073997	0.0613247743907236	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	2	1	0	166	0	NA	NA	0.0120481927710843	1.32113475535267	0.0514242900386907	4.05388820080272	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	595	13	100	2712	300	0	0	0.219395280235988	24.0576105800485	0.000152813874597677	0.00806143832543751	0	0.00414431227908899	0.218626207385865	17	83	1
SPNCRNA.19	0	7	8	100	225	300	0	0	0.0311111111111111	3.41146352382178	0.0134151780994594	0.782741335671289	0	0.0301841507237837	1.7611680052604	3	97	1
SPAC977.11	46	62	0	100	105	0	0.46	50.4409249593649	0.59047619047619	64.748185248046	0.498014289385742	1.10410643992122	0.779032258064516	0.522915003855029	1.15931176191728	54	92	1
SPAC977.12	0	218	122	0	377	300	NA	NA	0.578249336870027	63.4074595844859	0.000417353471081236	0.0220606287110969	NA	NA	NA	0	0	1
SPAC977.15	9	34	3	100	712	300	0.09	9.86887662248444	0.047752808988764	5.2362953365242	0.118264584903222	0.574331488522987	1.88470588235294	0.842043844510943	4.08924019828367	4	105	1
SPAC977.17	38	1313	12	100	3396	300	0.38	41.6685901838232	0.386631330977621	42.395743375612	0.020665312284733	0.0403602289672919	0.982848438690023	0.701794005189532	1.37063337572923	38	100	1
SPNCRNA.137	7	3	28	100	155	300	0.07	7.67579292859901	0.0193548387096774	2.1223390585988	0.547198984134646	11.3536365524267	3.61666666666667	0.848158425408701	17.5981366562614	2	105	1
SPAC1F8.01	0	17	1	100	1598	300	0	0	0.0106382978723404	1.16653387972629	0.00541762860743838	0.297388981119444	0	0.0865737051468654	4.75227591828871	1	99	1
SPNCRNA.139	0	4	23	100	685	300	0	0	0.00583941605839416	0.640316406973848	0.0240893601812892	1.52670069174082	0	0.165012117241831	10.4578997384246	0	100	1
SPNCRNA.605	1	397	31	100	2889	300	0.01	1.09654184694272	0.137417791623399	15.0684359029511	0.000131187305172087	0.0164196470069115	0.0727707808564232	0.0037900012464216	0.474363602029675	12	89	1
SPAC1F8.05	0	90	42	100	977	300	0	0	0.0921187308085978	10.1012043218879	0.00101239357055047	0.0537536843252837	0	0.00989108518427806	0.525173495858022	8	92	1
SPAC1F8.06	19	383	44	100	1314	300	0.19	20.8342950919116	0.291476407914764	31.9616078675084	0.0303796594301213	0.0800476425017029	0.651853785900783	0.399188724911794	1.05182602247238	26	93	1
SPAC1F8.08	5	122	16	100	957	300	0.05	5.48270923471358	0.12748171368861	13.9789033779531	0.0147996187360691	0.103851680945473	0.392213114754098	0.141632351304181	0.993860586648176	11	94	1
SPAC11D3.19	27	132	3	100	1210	300	0.27	29.6066298674533	0.109090909090909	11.9622746939205	0.132185485094578	0.31452786686643	2.475	1.59944436964439	3.8057871890838	12	115	1
SPNCRNA.608	0	509	7	100	2549	300	0	0	0.199686151431934	21.8964221300056	0.000178644392396311	0.00942591447532919	0	0.00455364556218196	0.240266559976141	16	84	1
SPAC11D3.05	259	1865	5	100	1753	300	2.59	284.004338358163	1.06389047347404	116.660042472799	0.121678464259749	0.158464838630551	2.43446112600536	2.13302347847341	2.77788862119356	185	174	1.44563866487952e-10
SPAC11D3.06	15	499	33	100	1521	300	0.15	16.4481277041407	0.328073635765943	35.9746470495999	0.0173210635044355	0.0512784220867579	0.457214428857715	0.263453375902464	0.779944799939587	28	87	1
SPAC11D3.09	1	65	16	100	1729	300	0.01	1.09654184694272	0.037593984962406	4.12233777046134	0.000792046066761278	0.10216021966882	0.266	0.0136944764943025	1.7663501980739	3	98	1
SPAC11D3.10	1	179	2	100	4126	300	0.01	1.09654184694272	0.0433834222006786	4.75717379066277	0.00029015320567321	0.0365777621890383	0.230502793296089	0.0119717212660766	1.50919846791972	4	97	1
SPAC11D3.13	3	367	141	100	920	300	0.03	3.28962554082815	0.398913043478261	43.7424845465192	0.00210075591965289	0.0262003396535072	0.0752043596730245	0.0193269544608066	0.241043124812266	29	74	1
SPNCRNA.609	66	290	7	100	4138	300	0.66	72.3717618982192	0.070082165297245	7.68480269727858	0.172588306276406	0.299628784114127	9.41751724137931	7.14170411371769	12.3986390866426	10	156	2.03589251019439e-28
