V4	WT_DMSOr1_pr_counts	WT_DMSOr1gb_counts	WT_DMSOr1term_counts	WT_DMSOr1pr_map	WT_DMSOr1gb_map	WT_DMSOr1term_map	WT_DMSOr1pr_density	WT_DMSOr1pr_densityRPKM	WT_DMSOr1gb_density	WT_DMSOr1gb_densityRPKM	WT_DMSOr1pause_index_CI_low	WT_DMSOr1pause_index_CI_high	WT_DMSOr1pause_index_scaled	WT_DMSOr1pause_index_CI_low_scaled	WT_DMSOr1pause_index_CI_high_scaled	WT_DMSOr1_ExpPR	WT_DMSOr1_ExpGB	WT_DMSOr1Fexact_Pval
SPAC1002.01	49	81	89	100	481	300	0.49	79.5755537402946	0.168399168399168	27.3478715811611	0.41784809438736	0.874507395327662	2.90975308641975	2.0098493340032	4.20638057152606	21	128	0.00483102210604939
SPAC1002.02	40	207	55	100	837	300	0.4	64.959635706363	0.247311827956989	40.1632156249018	0.13568037775169	0.274242626522919	1.61739130434783	1.13564476178165	2.29541078399683	27	113	1
SPAC1002.03c	16	739	149	100	2955	300	0.16	25.9838542825452	0.250084602368866	40.6135116641305	0.0127401349584509	0.0362214528901373	0.63978349120433	0.376470988022223	1.07034393290356	23	93	1
SPAC1002.04c	69	137	31	100	641	300	0.69	112.055371593476	0.213728549141966	34.709321730779	0.373199264854223	0.678972105002292	3.22839416058394	2.39220728771557	4.35221119306469	29	140	2.10146131240226e-06
SPAC1002.05c	15	355	215	100	2086	300	0.15	24.3598633898861	0.170182166826462	27.6374289019162	0.024267256252184	0.0723240928578468	0.881408450704225	0.506214965420558	1.50868057701468	16	99	1
SPAC1002.06c	10	16	17	100	311	300	0.1	16.2399089265907	0.0514469453376206	8.3549370683425	0.264344898804569	1.45521778862047	1.94375	0.82211263528221	4.52572732260966	5	105	1
SPAC1002.07c	27	194	34	100	1084	300	0.27	43.847754101795	0.178966789667897	29.0640436509096	0.0910452441945981	0.21134293186823	1.50865979381443	0.986930447069443	2.29095738145162	19	108	1
SPAC1002.08c	101	286	97	100	1783	300	1.01	164.023080158566	0.160403813796971	26.0494332754063	0.279620794796969	0.445675134458965	6.29660839160839	4.98563877122995	7.94638764740335	27	174	9.98845575842809e-27
SPAC1002.09c	10	1154	80	100	2132	300	0.1	16.2399089265907	0.541275797373358	87.9026965351112	0.00439072519528741	0.0165634874553083	0.18474870017331	0.0936102611635276	0.353133552547174	38	72	1
SPAC1002.10c	18	195	85	100	1806	300	0.18	29.2318360678633	0.10797342192691	17.5347853858538	0.0551524530553618	0.152558622062679	1.66707692307692	0.996053302179834	2.75520871445199	11	107	1
SPAC1002.11	12	415	137	100	1871	300	0.12	19.4878907119089	0.221806520577231	36.0211769349821	0.0155302025137466	0.0525570773928882	0.541012048192771	0.290570089032199	0.983342918020939	20	92	1
SPAC1002.12c	171	317	62	100	1692	300	1.71	277.702442644702	0.187352245862884	30.4258341000548	0.445942418402281	0.652354979882216	9.12719242902208	7.54534571936659	11.0378462596071	42	229	2.38199459048715e-54
SPAC1002.13c	1060	6927	1228	100	1829	300	10.6	1721.43034621862	3.78731547293603	615.056583567491	0.143367286509889	0.163327752286887	2.79881622636062	2.62218767026586	2.98726458932717	917	243	2.79851758497875e-23
SPAC1002.14	18	480	159	100	1485	300	0.18	29.2318360678633	0.323232323232323	52.4926349142327	0.0227044714654218	0.0611357652854118	0.556875	0.337161401261514	0.907866114488365	28	90	1
SPAC1002.15c	14	398	12	100	2754	300	0.14	22.735872497227	0.144517066085694	23.4694399156976	0.0198217597041533	0.0612465198071015	0.968743718592965	0.545891262252381	1.68672915548758	14	100	1
