dis2ts_3MBPP1_30C_combined_pr_counts	dis2ts_3MBPP1_30C_combinedgb_counts	dis2ts_3MBPP1_30C_combinedterm_counts	dis2ts_3MBPP1_30C_combinedpr_map	dis2ts_3MBPP1_30C_combinedgb_map	dis2ts_3MBPP1_30C_combinedterm_map	dis2ts_3MBPP1_30C_combinedpr_density	dis2ts_3MBPP1_30C_combinedpr_densityRPKM	dis2ts_3MBPP1_30C_combinedgb_density	dis2ts_3MBPP1_30C_combinedgb_densityRPKM	dis2ts_3MBPP1_30C_combinedpause_index_CI_low	dis2ts_3MBPP1_30C_combinedpause_index_CI_high	dis2ts_3MBPP1_30C_combinedpause_index_scaled	dis2ts_3MBPP1_30C_combinedpause_index_CI_low_scaled	dis2ts_3MBPP1_30C_combinedpause_index_CI_high_scaled	dis2ts_3MBPP1_30C_combined_ExpPR	dis2ts_3MBPP1_30C_combined_ExpGB	dis2ts_3MBPP1_30C_combinedFexact_Pval
SPAC212.08c	0	22	11	0	437	300	NA	NA	0.0503432494279176	11.0552102117544	0.00417368066078422	0.226956323474185	NA	NA	NA	0	0	1
SPAC212.07c	6	33	9	100	690	300	0.06	13.1758005341909	0.0478260869565217	10.5024497011666	0.06853064272522	0.453668342297276	1.25454545454545	0.472861434804018	3.1303115618512	4	102	1
SPAC212.06c	0	1	0	20	55	0	0	0	0.0181818181818182	3.99266682854269	0.120791776113059	17.3080587281839	0	0.332177384310912	47.5971615025058	0	20	1
SPAC212.04c	0	30	0	0	598	35	NA	NA	0.0501672240802676	11.0165556305944	0.00305234191746883	0.164578840345685	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	0	0	166	0	NA	NA	0.00602409638554217	1.3228715395774	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	1	0	0	34	0	NA	NA	0.0294117647058824	6.45872575205435	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	360	35	100	2712	300	0	0	0.132743362831858	29.1500011818382	0.000252628996826261	0.0133370243754666	0	0.0068512983939282	0.361700101062654	11	89	1
SPNCRNA.19	4	2	1	100	225	300	0.04	8.78386702279392	0.00888888888888889	1.95197044950976	0.317658834507675	15.6695269662331	4.5	0.714732377642268	35.2564356740245	0	104	1
SPAC977.11	6	11	0	100	105	0	0.06	13.1758005341909	0.104761904761905	23.0053660120793	0.180069604794401	1.58930475012191	0.572727272727273	0.189073085034122	1.66876998762801	10	96	1
SPAC977.12	0	16	14	0	377	300	NA	NA	0.0424403183023873	9.31975280933041	0.00576104614150375	0.317064970660191	NA	NA	NA	0	0	1
SPAC977.15	6	12	5	100	712	300	0.06	13.1758005341909	0.0168539325842697	3.70106756578395	0.167633137742897	1.42985037844287	3.56	1.19354794072943	10.1805346945132	1	105	1
SPAC977.17	42	781	56	100	3396	300	0.42	92.2306037393361	0.229976442873969	50.5020623145027	0.0389106847985391	0.0740568639963208	1.82627400768246	1.32140685575839	2.51497110131505	26	116	1
SPNCRNA.137	1	3	9	100	155	300	0.01	2.19596675569848	0.0193548387096774	4.25025823683577	0.0133674946082822	3.55733427163736	0.516666666666667	0.0207196166428374	5.5138681210379	1	100	1
SPAC1F8.01	1	19	4	100	1598	300	0.01	2.19596675569848	0.0118898623279099	2.61097424019218	0.00262241420563744	0.368819983318377	0.841052631578947	0.0419061790060862	5.89374333342766	1	100	1
SPNCRNA.139	0	3	11	100	685	300	0	0	0.00437956204379562	0.961737265269407	0.0327971598819604	2.22593021867193	0	0.224660545191429	15.2476219979027	0	100	1
SPNCRNA.605	1	395	60	100	2889	300	0.01	2.19596675569848	0.136725510557286	30.0244675839702	0.0001318500255361	0.0165030870588587	0.0731392405063291	0.00380914723773792	0.476774185130427	12	89	1
SPAC1F8.05	0	33	19	100	977	300	0	0	0.0337768679631525	7.41728791586999	0.0027729657495468	0.149200036234492	0	0.0270918753730722	1.45768435401099	3	97	1
SPAC1F8.06	7	170	42	100	1314	300	0.07	15.3717672898894	0.12937595129376	28.4105288027961	0.0177484807579724	0.0905367537470623	0.541058823529412	0.233215037159757	1.1896529442364	12	95	1
SPAC1F8.08	1	103	21	100	957	300	0.01	2.19596675569848	0.107628004179728	23.634751916086	0.000502381202177598	0.0639453086296244	0.0929126213592233	0.00480778810483961	0.611956603585506	9	92	1
SPAC11D3.19	20	85	3	100	1210	300	0.2	43.9193351139696	0.0702479338842975	15.4262127466422	0.140136957279994	0.391274790965381	2.84705882352941	1.69565718308792	4.73442497068111	7	113	1
SPNCRNA.608	3	311	7	100	2549	300	0.03	6.58790026709544	0.122008630835622	26.7926897223314	0.00247683115697007	0.0309502529872591	0.24588424437299	0.063134426191167	0.788921948645235	11	92	1
SPAC11D3.05	24	795	95	100	1753	300	0.24	52.7032021367635	0.453508271534512	99.5889087724068	0.0196557575926547	0.0459745257838919	0.529207547169811	0.344565430599236	0.805933436991625	38	86	1
