V4	ePRO_Cdk9as_30sec_r2_pr_counts	ePRO_Cdk9as_30sec_r2gb_counts	ePRO_Cdk9as_30sec_r2term_counts	ePRO_Cdk9as_30sec_r2pr_map	ePRO_Cdk9as_30sec_r2gb_map	ePRO_Cdk9as_30sec_r2term_map	ePRO_Cdk9as_30sec_r2pr_density	ePRO_Cdk9as_30sec_r2pr_densityRPKM	ePRO_Cdk9as_30sec_r2gb_density	ePRO_Cdk9as_30sec_r2gb_densityRPKM	ePRO_Cdk9as_30sec_r2pause_index_CI_low	ePRO_Cdk9as_30sec_r2pause_index_CI_high	ePRO_Cdk9as_30sec_r2pause_index_scaled	ePRO_Cdk9as_30sec_r2pause_index_CI_low_scaled	ePRO_Cdk9as_30sec_r2pause_index_CI_high_scaled	ePRO_Cdk9as_30sec_r2_ExpPR	ePRO_Cdk9as_30sec_r2_ExpGB	ePRO_Cdk9as_30sec_r2Fexact_Pval
SPAC1002.01	22	35	48	100	481	300	0.22	126.539322094341	0.0727650727650728	41.8529226356259	0.356689441960052	1.10253729050547	3.02342857142857	1.71567621582785	5.30320436733131	8	114	1
SPAC1002.02	13	48	11	100	837	300	0.13	74.7732357830196	0.0573476702508961	32.9851605329008	0.139743968038233	0.515622158288899	2.266875	1.16965701248001	4.31575746487808	6	107	1
SPAC1002.03c	7	157	70	100	2955	300	0.07	40.2625115754721	0.0531302876480541	30.5594117348277	0.0191922269518607	0.0981758655304785	1.31751592356688	0.567130306427484	2.90109682642564	5	102	1
SPAC1002.04c	46	81	3	100	641	300	0.46	264.582218924531	0.126365054602184	72.6824924807943	0.389206126146483	0.827189121886828	3.64024691358025	2.49481126859896	5.30228227129457	16	130	3.66894230012961e-05
SPAC1002.05c	1	79	160	100	2086	300	0.01	5.75178736792458	0.0378715244487057	21.7828955928112	0.000653273939375048	0.083726477547001	0.264050632911392	0.0136272943753635	1.74653432163044	3	98	1
SPAC1002.06c	2	10	8	100	311	300	0.02	11.5035747358492	0.0321543408360129	18.494493144452	0.0303002114505232	0.965353981350509	0.622	0.0942336576111271	3.00225088200008	3	99	1
SPAC1002.07c	18	144	6	100	1084	300	0.18	103.532172622642	0.132841328413284	76.4075074705849	0.0741097075312404	0.208251801770017	1.355	0.803349229638646	2.25744953118698	13	105	1
SPAC1002.08c	28	125	40	100	1783	300	0.28	161.050046301888	0.0701065619742008	40.323803757183	0.145450594784935	0.342951327565694	3.99392	2.5933841050154	6.11482217049632	8	120	0.000464374834854043
SPAC1002.09c	2	513	33	100	2132	300	0.02	11.5035747358492	0.2406191369606	138.39901124509	0.000673392694072436	0.0157802723207637	0.0831189083820663	0.0143567322376243	0.336435405878682	19	83	1
SPAC1002.10c	8	87	36	100	1806	300	0.08	46.0142989433967	0.0481727574750831	27.7079457923277	0.0413296470337003	0.196052684305358	1.66068965517241	0.746413425428627	3.54071147855477	4	104	1
SPAC1002.11	3	110	6	100	1871	300	0.03	17.2553621037737	0.0587920897915553	33.8159599396956	0.00692922071982852	0.0885987387686702	0.510272727272727	0.129645719667992	1.65768240236182	5	98	1
SPAC1002.12c	24	176	6	100	1692	300	0.24	138.04289683019	0.104018912529551	59.8294667112723	0.0868605940274903	0.212387589191511	2.30727272727273	1.46968125094514	3.59359800912036	11	113	1
SPAC1002.13c	177	907	146	100	1829	300	1.77	1018.06636412265	0.495899398578458	285.230789650497	0.165557549576539	0.229943491303093	3.56927232635061	3.02804758175491	4.20566645593357	91	186	2.12057939023184e-19
SPAC1002.14	5	116	27	100	1485	300	0.05	28.7589368396229	0.0781144781144781	44.9297868470876	0.0155497545291082	0.109343110304399	0.640086206896552	0.230913854757256	1.62374518802032	7	98	1
SPAC1002.15c	1	72	9	100	2754	300	0.01	5.75178736792458	0.0261437908496732	15.0373525958813	0.000715997910998929	0.0920295000659521	0.3825	0.0197185824689105	2.53449243181632	2	99	1
SPAC1002.16c	5	91	2	100	1906	300	0.05	28.7589368396229	0.0477439664218258	27.4613142959673	0.0197130691508831	0.14023665256983	1.04725274725275	0.375731098015832	2.67291059798096	4	101	1
SPAC1002.17c	1	7	2	100	990	300	0.01	5.75178736792458	0.00707070707070707	4.0669203611588	0.00660323359662749	1.14229470290644	1.41428571428571	0.0653720126066122	11.3087175587737	0	101	1
SPAC1002.18	2	40	0	100	1505	300	0.02	11.5035747358492	0.026578073089701	15.2871425061118	0.00836032650796309	0.211005400062266	0.7525	0.125822913944845	3.1756312709371	2	100	1
SPAC1002.19	0	10	0	100	1563	300	0	0	0.00639795265515035	3.67996632624733	0.00929728784483565	0.525639636497703	0	0.145316609014781	8.2157475184591	0	100	1
SPAC1002.20	0	3	31	100	548	300	0	0	0.00547445255474453	3.1487887050682	0.0327971598819604	2.22593021867193	0	0.179728436153143	12.1980975983222	0	100	1
