V4	ePRO_Cdk9as_5min_r1_pr_counts	ePRO_Cdk9as_5min_r1gb_counts	ePRO_Cdk9as_5min_r1term_counts	ePRO_Cdk9as_5min_r1pr_map	ePRO_Cdk9as_5min_r1gb_map	ePRO_Cdk9as_5min_r1term_map	ePRO_Cdk9as_5min_r1pr_density	ePRO_Cdk9as_5min_r1pr_densityRPKM	ePRO_Cdk9as_5min_r1gb_density	ePRO_Cdk9as_5min_r1gb_densityRPKM	ePRO_Cdk9as_5min_r1pause_index_CI_low	ePRO_Cdk9as_5min_r1pause_index_CI_high	ePRO_Cdk9as_5min_r1pause_index_scaled	ePRO_Cdk9as_5min_r1pause_index_CI_low_scaled	ePRO_Cdk9as_5min_r1pause_index_CI_high_scaled	ePRO_Cdk9as_5min_r1_ExpPR	ePRO_Cdk9as_5min_r1_ExpGB	ePRO_Cdk9as_5min_r1Fexact_Pval
SPAC1002.01	8	37	180	100	481	300	0.08	28.4420578397688	0.0769230769230769	27.3481325382393	0.0930499249332238	0.483296239669109	1.04	0.447570138928806	2.32465491280841	7	101	1
SPAC1002.02	45	198	43	100	837	300	0.45	159.9865753487	0.236559139784946	84.1028592036175	0.162193404779755	0.317555090318226	1.90227272727273	1.35755879800655	2.65793610596355	27	118	1
SPAC1002.03c	14	483	22	100	2955	300	0.14	49.7736012195954	0.163451776649746	58.1113110685632	0.0163617547690831	0.0503776201979394	0.856521739130435	0.483489853426405	1.48865867684911	16	98	1
SPAC1002.04c	26	104	8	100	641	300	0.26	92.4366879792487	0.162246489859594	57.6828006110756	0.158801301897968	0.391059496797633	1.6025	1.01791634516598	2.50669137447282	17	109	1
SPAC1002.05c	5	175	79	100	2086	300	0.05	17.7762861498555	0.0838926174496644	29.8259834729119	0.0103775256551107	0.0719352166399428	0.596	0.216475185165608	1.50056861910921	8	97	1
SPAC1002.06c	4	5	6	100	311	300	0.04	14.2210289198844	0.0160771704180064	5.71584763660949	0.181238005776631	3.41444135261595	2.488	0.563650197965323	10.6189126066356	1	103	1
SPAC1002.07c	5	190	9	100	1084	300	0.05	17.7762861498555	0.175276752767528	62.315394252261	0.00956838078940665	0.0661785309256503	0.285263157894737	0.103721247757168	0.71737527523405	15	90	1
SPAC1002.08c	14	135	19	100	1783	300	0.14	49.7736012195954	0.0757150869321369	26.918661023337	0.0573483334083696	0.184135327128344	1.84903703703704	1.02252078467123	3.28313288269836	8	106	1
SPAC1002.09c	3	998	8	100	2132	300	0.03	10.6657716899133	0.468105065666041	166.423391909529	0.000774935448817552	0.00959965039554193	0.0640881763527054	0.0165216237687902	0.204664546432954	32	71	1
SPAC1002.10c	9	102	50	100	1806	300	0.09	31.9973150697399	0.0564784053156146	20.0795258835577	0.0417588227032149	0.179881308117115	1.59352941176471	0.754164338020061	3.2486564245951	5	104	1
SPAC1002.11	1	221	28	100	1871	300	0.01	3.5552572299711	0.11811865312667	41.9942195523043	0.000235235966788581	0.0295811282468903	0.0846606334841629	0.00440126493861435	0.553462909499318	10	91	1
SPAC1002.12c	30	203	14	100	1692	300	0.3	106.657716899133	0.119976359338061	42.6546818962254	0.0987616691369333	0.219897866698421	2.50049261083744	1.67104744179691	3.72067190453729	13	117	0.535364039899981
SPAC1002.13c	102	2774	595	100	1829	300	1.02	362.636237457052	1.51667577911427	539.217252921806	0.0300193240428089	0.044995890684873	0.67252343186734	0.549053436742975	0.822974840626328	121	81	1
SPAC1002.14	5	209	53	100	1485	300	0.05	17.7762861498555	0.140740740740741	50.0369536070007	0.00870832253785221	0.0600875248326237	0.355263157894737	0.129318589687105	0.892299743764463	12	93	1
SPAC1002.15c	4	68	2	100	2754	300	0.04	14.2210289198844	0.0246913580246914	8.77841291350889	0.0182743894999811	0.167504599733104	1.62	0.503276686829479	4.61307667664967	2	102	1
SPAC1002.16c	3	173	6	100	1906	300	0.03	10.6657716899133	0.0907660020986359	32.2696485196748	0.0044320519839442	0.0559418381520849	0.330520231213873	0.0844749108139764	1.06625143517874	8	95	1
SPAC1002.17c	1	108	22	100	990	300	0.01	3.5552572299711	0.109090909090909	38.7846243269575	0.000479316182354025	0.0609454403550575	0.0916666666666667	0.00474523020530485	0.603359859515069	9	92	1
SPAC1002.18	1	182	8	100	1505	300	0.01	3.5552572299711	0.12093023255814	42.9938083624412	0.000285394136861254	0.0359700674581991	0.0826923076923077	0.00429518175976187	0.541349515245896	10	91	1
SPAC1002.19	1	113	6	100	1563	300	0.01	3.5552572299711	0.072296865003199	25.7033952006868	0.000458276089883442	0.0582144062280202	0.138318584070796	0.0071628552848782	0.909891169343956	6	95	1
SPAC1002.20	0	4	22	100	548	300	0	0	0.0072992700729927	2.5950782700519	0.0240893601812892	1.52670069174082	0	0.132009693793465	8.36631979073969	0	100	1
SPAC1006.01	14	1062	86	100	1664	300	0.14	49.7736012195954	0.638221153846154	226.904037153204	0.00747450090983917	0.022806620768635	0.219359698681733	0.124375695139724	0.379502169590086	44	70	1
SPAC1006.02	67	83	8	100	1217	300	0.67	238.202234408064	0.0682004930156122	24.2470295881349	0.57787128071302	1.12708147666708	9.82397590361446	7.03269348627745	13.7165815710384	10	157	2.6822703802691e-25
SPAC1006.03c	33	799	10	100	2770	300	0.33	117.323488589046	0.288447653429603	102.550560532379	0.0286760781329914	0.0591767219800286	1.14405506883605	0.794327364283862	1.63919519884679	29	104	1
SPAC1006.04c	0	59	38	100	3993	300	0	0	0.0147758577510644	5.25319750984961	0.00154634432682249	0.0824350588536129	0	0.0617455289700222	3.29163190002476	1	99	1
SPAC1006.05c	95	673	3	100	2032	300	0.95	337.749436847255	0.331200787401575	117.750399398157	0.113180152042155	0.175879702704289	2.86835066864785	2.29982068949658	3.57387555895116	48	147	3.07974406059044e-08
SPAC1006.06	19	1056	9	100	4139	300	0.19	67.549887369451	0.25513409035999	90.7067319364456	0.0111018054392162	0.0288082834383287	0.744706439393939	0.459503727129158	1.19237485151243	24	95	1
SPAC1006.07	95	1650	390	100	1302	300	0.95	337.749436847255	1.26728110599078	450.551031447951	0.0465524725581462	0.0711346931695134	0.749636363636364	0.606113192707064	0.926173705067065	108	87	1
SPAC1006.08	3	217	43	100	1457	300	0.03	10.6657716899133	0.148936170212766	52.9506395953143	0.00354084178044521	0.04448832275505	0.201428571428571	0.0515900647410866	0.648194862541079	13	90	1
SPAC1006.09	22	906	9	100	4844	300	0.22	78.2156590593643	0.187035507844756	66.4959341526387	0.0155138215486703	0.0376408899805975	1.1762472406181	0.751489515817587	1.82332471066014	19	103	1
SPAC1039.01	0	250	30	100	2977	300	0	0	0.0839771582129661	29.8560398889075	0.000363884678199185	0.0192266199680582	0	0.0108328468699897	0.572376476449094	7	93	1
SPAC1039.02	0	426	112	100	2733	300	0	0	0.155872667398463	55.4167427723267	0.000213468862027812	0.0112663276677909	0	0.0058341039992201	0.307908735160724	13	87	1
SPAC1039.03	8	137	5	100	1499	300	0.08	28.4420578397688	0.0913942628418946	32.4930113746525	0.0265679735635412	0.122880624220149	0.875328467153285	0.398253923717483	1.84198055706004	9	99	1
SPAC1039.04	3	198	13	100	1844	300	0.03	10.6657716899133	0.107375271149675	38.1746709074988	0.00387753272843034	0.0488030603886251	0.279393939393939	0.0715017035122554	0.899928433566247	9	94	1
SPAC1039.05c	1	121	10	100	3153	300	0.01	3.5552572299711	0.0383761496986997	13.6437083674755	0.000428201888286966	0.0543197665647442	0.260578512396694	0.013501205537688	1.71270223978639	3	98	1
SPAC1039.06	1	94	6	100	1966	300	0.01	3.5552572299711	0.0478128179043744	16.9986866539819	0.000550022635457497	0.0701615416299683	0.209148936170213	0.0108134450130944	1.37937590844518	4	97	1
SPAC1039.07c	3	111	10	100	1430	300	0.03	10.6657716899133	0.0776223776223776	27.5967519249505	0.00686779895329844	0.0877853793441958	0.386486486486487	0.0982095250321677	1.255330924622	7	96	1
SPAC1039.08	0	37	1	100	995	300	0	0	0.0371859296482412	13.2205545235106	0.00247136631781596	0.132669995524611	0	0.0245900948622688	1.32006645546988	3	97	1
SPAC1039.09	0	31	0	100	3060	300	0	0	0.0101307189542484	3.60173118068968	0.00295316473031761	0.159112070807008	0	0.0903668407477189	4.86882936669446	1	99	1
SPAC1039.10	0	14	4	100	888	300	0	0	0.0157657657657658	5.60513527247696	0.0065974714867639	0.365411596620526	0	0.0585855468024634	3.24485497799027	1	99	1
SPAC1039.11c	0	176	14	100	3471	300	0	0	0.0507058484586575	18.0272334334461	0.000517075169055857	0.027352269644005	0	0.0179476791179288	0.949397279343414	4	96	1
SPAC105.01c	8	318	2	100	3151	300	0.08	28.4420578397688	0.100920342748334	35.8797778207176	0.0115875485951956	0.0522488417361552	0.792704402515723	0.365123656234612	1.64636100310625	9	99	1
SPAC105.02c	22	608	108	100	1418	300	0.22	78.2156590593643	0.428772919605078	152.439802244177	0.0230567792110577	0.0562414127645272	0.513092105263158	0.326945129212798	0.797503233000996	36	86	1
SPAC105.03c	2	285	4	100	2487	294	0.02	7.11051445994221	0.1145958986731	40.7417897282575	0.00120940444309714	0.028485026404057	0.174526315789474	0.030077888499826	0.708422606668896	10	92	1
SPAC1071.01c	8	550	7	100	2319	300	0.08	28.4420578397688	0.237171194480379	84.3204603917251	0.00672637292096147	0.0300819914547217	0.337309090909091	0.155984588037097	0.697601381834997	20	88	1
SPAC1071.02	1	205	1	100	3405	300	0.01	3.5552572299711	0.0602055800293686	21.4046323684016	0.000253515111100293	0.0319061002040961	0.16609756097561	0.00863218953296497	1.08640271194947	5	96	1
SPAC1071.03c	17	279	7	100	1677	300	0.17	60.4393729095087	0.166368515205725	59.1482866524709	0.0361085703141321	0.101390427866579	1.02182795698925	0.605540724167995	1.70031747532253	16	101	1
