V4	ePRO_Cdk9as_7min30sec_r2_pr_counts	ePRO_Cdk9as_7min30sec_r2gb_counts	ePRO_Cdk9as_7min30sec_r2term_counts	ePRO_Cdk9as_7min30sec_r2pr_map	ePRO_Cdk9as_7min30sec_r2gb_map	ePRO_Cdk9as_7min30sec_r2term_map	ePRO_Cdk9as_7min30sec_r2pr_density	ePRO_Cdk9as_7min30sec_r2pr_densityRPKM	ePRO_Cdk9as_7min30sec_r2gb_density	ePRO_Cdk9as_7min30sec_r2gb_densityRPKM	ePRO_Cdk9as_7min30sec_r2pause_index_CI_low	ePRO_Cdk9as_7min30sec_r2pause_index_CI_high	ePRO_Cdk9as_7min30sec_r2pause_index_scaled	ePRO_Cdk9as_7min30sec_r2pause_index_CI_low_scaled	ePRO_Cdk9as_7min30sec_r2pause_index_CI_high_scaled	ePRO_Cdk9as_7min30sec_r2_ExpPR	ePRO_Cdk9as_7min30sec_r2_ExpGB	ePRO_Cdk9as_7min30sec_r2Fexact_Pval
SPAC1002.01	25	52	123	100	481	300	0.25	47.0240987220167	0.108108108108108	20.3347453933045	0.290193714493054	0.792425453661761	2.3125	1.39583176671159	3.81156643211307	12	113	1
SPAC1002.02	21	261	113	100	837	300	0.21	39.500242926494	0.311827956989247	58.6537145349885	0.0501950355104154	0.127680394751549	0.673448275862069	0.420132447222177	1.06868490407046	28	93	1
SPAC1002.03c	15	697	66	100	2955	300	0.15	28.21445923321	0.235871404399323	44.366560824698	0.0124292868613147	0.0366238743901852	0.635939741750359	0.36728542675185	1.08223548822997	21	94	1
SPAC1002.04c	26	114	24	100	641	300	0.26	48.9050626708973	0.177847113884555	33.4524009629323	0.145460785609245	0.355264758748999	1.4619298245614	0.932403635755258	2.27724710358108	19	107	1
SPAC1002.05c	6	327	120	100	2086	300	0.06	11.285783693284	0.156759348034516	29.4858682302962	0.00739961431719173	0.0424878914746889	0.382752293577982	0.154355954656619	0.88629741616201	14	92	1
SPAC1002.06c	61	23	23	100	311	300	0.61	114.738800881721	0.0739549839228296	13.9106658598892	1.60581609505494	4.40989408637425	8.24826086956522	4.99408805562087	13.7147706086239	11	150	6.24278850990987e-13
SPAC1002.07c	21	457	83	100	1084	300	0.21	39.500242926494	0.421586715867159	79.2989413873122	0.0288889672868756	0.0723454793995502	0.498118161925602	0.313156405389731	0.784224996691124	35	86	1
SPAC1002.08c	38	279	45	100	1783	300	0.38	71.4766300574653	0.156477846326416	29.4329187738478	0.0955707298302621	0.193335015569815	2.42845878136201	1.70402611287357	3.44716332760981	18	120	0.157600135904378
SPAC1002.09c	5	1691	48	100	2132	300	0.05	9.40481974440333	0.793151969981238	149.189026151839	0.00108705147751775	0.00734573868187893	0.0630396215257244	0.0231759375006785	0.156611148697659	46	59	1
SPAC1002.10c	17	224	86	100	1806	300	0.17	31.9763871309713	0.124031007751938	23.3297854124734	0.0448076099574311	0.1267716980637	1.370625	0.809225435831206	2.28949686703042	12	105	1
SPAC1002.11	10	327	67	100	1871	300	0.1	18.8096394888067	0.174772848743987	32.8741427730614	0.0153819688051776	0.0589051113526773	0.57217125382263	0.287796636344873	1.10211463340859	16	94	1
SPAC1002.12c	46	358	28	100	1692	300	0.46	86.5243416485107	0.211583924349882	39.7981733864822	0.0933444293245684	0.176344658918493	2.1740782122905	1.5793877441717	2.9837516289009	25	121	0.346822848088591
SPAC1002.13c	169	3703	824	100	1829	300	1.69	317.882907360833	2.02460360852925	380.820639841723	0.0389946218667	0.0533911145174972	0.8347312989468	0.713211633941943	0.976523484525024	180	89	1
SPAC1002.14	4	393	96	100	1485	300	0.04	7.52385579552267	0.264646464646465	49.7790459198722	0.00324296128585732	0.0281617898813288	0.151145038167939	0.0481579750949812	0.418202579737732	21	83	1
SPAC1002.15c	9	201	6	100	2754	300	0.09	16.928675539926	0.0729847494553377	13.7281682543578	0.021510440338047	0.0898417996486056	1.23313432835821	0.592397526909815	2.4742431623226	7	102	1
SPAC1002.16c	2	325	17	100	1906	300	0.02	3.76192789776133	0.170514165792235	32.0730998628655	0.00106120983472467	0.024959602734881	0.117292307692308	0.0202266594498522	0.475730028126832	14	88	1
SPAC1002.17c	1	59	23	100	990	300	0.01	1.88096394888067	0.0595959595959596	11.2097851498949	0.000871375735237544	0.112803364965006	0.167796610169492	0.00862661977885168	1.11675331315356	5	96	1
SPAC1002.18	1	216	18	100	1505	300	0.01	1.88096394888067	0.143521594684385	26.9958945487192	0.000240658512979034	0.0302704359648797	0.0696759259259259	0.00362191062033445	0.45557006127144	12	89	1
SPAC1002.19	2	136	10	100	1563	300	0.02	3.76192789776133	0.0870121561100448	16.3666728757371	0.00252056346045231	0.0601106401390657	0.229852941176471	0.0393964068868697	0.939529305373596	8	94	1
SPAC1002.20	1	4	35	100	548	300	0.01	1.88096394888067	0.0072992700729927	1.37296638604428	0.0106420142837121	2.34682041637603	1.37	0.0583182382747424	12.8605758817406	0	101	1
SPAC1006.01	30	2112	201	100	1664	300	0.3	56.42891846642	1.26923076923077	238.737731973315	0.00972907347889458	0.0206125387801897	0.236363636363636	0.161891782688806	0.342992645302356	72	58	1
SPAC1006.02	129	201	34	100	1217	300	1.29	242.644349405606	0.165160230073952	31.0660438557941	0.51136164098315	0.805235293002029	7.81059701492537	6.22327117076493	9.7997135158347	32	197	7.5299004005797e-37
