mcs6as_3MBPP1r1_pr_counts	mcs6as_3MBPP1r1gb_counts	mcs6as_3MBPP1r1term_counts	mcs6as_3MBPP1r1pr_map	mcs6as_3MBPP1r1gb_map	mcs6as_3MBPP1r1term_map	mcs6as_3MBPP1r1pr_density	mcs6as_3MBPP1r1pr_densityRPKM	mcs6as_3MBPP1r1gb_density	mcs6as_3MBPP1r1gb_densityRPKM	mcs6as_3MBPP1r1pause_index_CI_low	mcs6as_3MBPP1r1pause_index_CI_high	mcs6as_3MBPP1r1pause_index_scaled	mcs6as_3MBPP1r1pause_index_CI_low_scaled	mcs6as_3MBPP1r1pause_index_CI_high_scaled	mcs6as_3MBPP1r1_ExpPR	mcs6as_3MBPP1r1_ExpGB	mcs6as_3MBPP1r1Fexact_Pval
SPAC212.08c	0	1	1	0	437	300	NA	NA	0.0022883295194508	0.36140890631757	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC212.07c	2	5	3	100	690	300	0.02	3.15871384121556	0.0072463768115942	1.1444615366723	0.0538788235081954	2.30512923539502	2.76	0.371763882206548	15.9053917242256	0	102	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	43	0	0	598	35	NA	NA	0.0719063545150502	11.3565798639021	0.00212472625826863	0.113763425024706	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	6	0	166	0	NA	NA	0.00602409638554217	0.951419831691434	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	342	7	100	2712	300	0	0	0.126106194690265	19.9166691315583	0.000265933906755511	0.0140408344644353	0	0.00721212755120945	0.380787430675486	11	89	1
SPNCRNA.19	4	2	1	100	225	300	0.04	6.31742768243112	0.00888888888888889	1.40387281831803	0.317658834507675	15.6695269662331	4.5	0.714732377642268	35.2564356740245	0	104	1
SPAC977.11	13	58	0	100	105	0	0.13	20.5316399679011	0.552380952380952	87.2406679954774	0.117078874349853	0.421181907481838	0.235344827586207	0.122932818067346	0.44224100285593	40	73	1
SPAC977.12	0	47	18	0	377	300	NA	NA	0.124668435013263	19.6895955619538	0.00194303656715677	0.1038928146097	NA	NA	NA	0	0	1
SPAC977.15	11	21	1	100	712	300	0.11	17.3729261266856	0.0294943820224719	4.65821563662407	0.237211125519814	1.13790421416517	3.72952380952381	1.68894321370107	8.101878004856	3	108	1
SPAC977.17	67	565	26	100	3396	300	0.67	105.816913680721	0.166372202591284	26.2761089559304	0.0912716494073247	0.153806689098467	4.02711504424779	3.09958521387275	5.22327516178393	23	144	1.10477184517464e-11
SPNCRNA.137	3	10	36	100	155	300	0.03	4.73807076182334	0.0645161290322581	10.1893994877921	0.065650578937277	1.17462743505802	0.465	0.101758397352779	1.82067252433994	6	97	1
SPAC1F8.01	0	12	0	100	1598	300	0	0	0.00750938673341677	1.1860001906942	0.00771806013949717	0.431135285113533	0	0.123334601029165	6.88954185611426	0	100	1
SPNCRNA.139	0	9	19	100	685	300	0	0	0.0131386861313869	2.07506748692993	0.0103569347612096	0.590306163886248	0	0.0709450031142855	4.0435972226208	1	99	1
SPNCRNA.605	0	231	22	100	2889	300	0	0	0.0799584631360332	12.6282952115056	0.000393843419128329	0.0208142439002743	0	0.0113781363786174	0.601323506278926	7	93	1
SPAC1F8.05	1	57	25	100	977	300	0.01	1.57935692060778	0.0583418628454452	9.21426248461039	0.000901472259074436	0.116861476015199	0.17140350877193	0.00880738397115724	1.1417366206685	5	96	1
SPAC1F8.06	8	311	25	100	1314	300	0.08	12.6348553648622	0.236681887366819	37.3805176795297	0.0118458583407835	0.0534368790587347	0.338006430868167	0.155654578597896	0.702160590831774	20	88	1
SPAC1F8.08	3	198	17	100	957	300	0.03	4.73807076182334	0.206896551724138	32.6763500815403	0.00387753272843034	0.0488030603886251	0.145	0.0371079882110783	0.467045287919142	17	86	1
SPAC11D3.19	80	107	6	100	1210	300	0.8	126.348553648622	0.0884297520661157	13.966214091325	0.553967160185666	1.00861295359502	9.04672897196262	6.70300263824656	12.2042167384997	14	166	6.17311143013451e-28
SPNCRNA.608	2	361	1	100	2549	300	0.02	3.15871384121556	0.141624166339741	22.3675107233978	0.000955802361206739	0.0224580424553315	0.141218836565097	0.0243634021871598	0.572455502186399	12	90	1
SPAC11D3.05	37	1904	14	100	1753	300	0.37	58.4362060624879	1.08613804905876	171.539964451638	0.0138326199752503	0.027179263842493	0.340656512605042	0.242485828166137	0.476452495158903	71	66	1
