V4	Mcs6as_Cdk9as_DMSOr1_pr_counts	Mcs6as_Cdk9as_DMSOr1gb_counts	Mcs6as_Cdk9as_DMSOr1term_counts	Mcs6as_Cdk9as_DMSOr1pr_map	Mcs6as_Cdk9as_DMSOr1gb_map	Mcs6as_Cdk9as_DMSOr1term_map	Mcs6as_Cdk9as_DMSOr1pr_density	Mcs6as_Cdk9as_DMSOr1pr_densityRPKM	Mcs6as_Cdk9as_DMSOr1gb_density	Mcs6as_Cdk9as_DMSOr1gb_densityRPKM	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high	Mcs6as_Cdk9as_DMSOr1pause_index_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high_scaled	Mcs6as_Cdk9as_DMSOr1_ExpPR	Mcs6as_Cdk9as_DMSOr1_ExpGB	Mcs6as_Cdk9as_DMSOr1Fexact_Pval
SPAC1002.01	48	111	59	100	481	300	0.48	83.4700880592039	0.230769230769231	40.1298500284634	0.303832188188263	0.61419628921578	2.08	1.46143282518555	2.9542841511279	27	121	1
SPAC1002.02	17	233	75	100	837	300	0.17	29.5623228543014	0.278375149342891	48.4083296440525	0.0431081470669444	0.12178340734723	0.61068669527897	0.360815190950324	1.01932711949631	25	92	1
SPAC1002.03c	19	657	139	100	2955	300	0.19	33.0402431901016	0.222335025380711	38.663175306611	0.0177973045167512	0.0464284602643728	0.854566210045662	0.525910348469998	1.37196100081222	21	98	1
SPAC1002.04c	76	252	30	100	641	300	0.76	132.160972760406	0.393135725429017	68.3647367099564	0.231387093706546	0.392610752175533	1.9331746031746	1.48319127065896	2.51663492144517	49	127	0.554462780830296
SPAC1002.05c	26	356	166	100	2086	300	0.26	45.2129643654021	0.170661553211889	29.6773643227435	0.0479894696579708	0.110335944807843	1.52348314606742	1.00106033706527	2.30160780869161	18	108	1
SPAC1002.06c	13	24	29	100	311	300	0.13	22.6064821827011	0.0771704180064309	13.4196283053383	0.261408477572194	1.10863240449306	1.68458333333333	0.812980365249523	3.44784677797342	8	105	1
SPAC1002.07c	19	144	42	100	1084	300	0.19	33.0402431901016	0.132841328413284	23.1005778761635	0.0792712512028854	0.217146566629358	1.43027777777778	0.859300363039278	2.35386878226224	13	106	1
SPAC1002.08c	48	424	49	100	1783	300	0.48	83.4700880592039	0.237801458216489	41.352726370703	0.0829978762746539	0.153975938589088	2.01849056603774	1.47985213397708	2.74539098504344	28	120	1
SPAC1002.09c	65	1267	119	100	2132	300	0.65	113.032410913505	0.594277673545966	103.342520296876	0.0396499712616299	0.0662553597861062	1.09376479873717	0.84533738729795	1.41256427063978	61	104	1
SPAC1002.10c	34	168	226	100	1806	300	0.34	59.1246457086028	0.0930232558139535	16.1763736548845	0.137508974551689	0.296531866721325	3.655	2.4834120804035	5.35536551298713	11	123	0.000179676649511096
SPAC1002.11	7	342	87	100	1871	300	0.07	12.1727211753006	0.182789951897381	31.7864445441918	0.00889531064828127	0.0446068593949497	0.382953216374269	0.166431262229343	0.834594339279509	16	91	1
SPAC1002.12c	108	337	32	100	1692	300	1.08	187.807698133209	0.199172576832151	34.635317764913	0.2564774953767	0.40016187733747	5.42243323442137	4.33959922177377	6.77073896454999	34	174	5.72101114016398e-24
SPAC1002.13c	296	6971	664	100	1829	300	2.96	514.732209698424	3.81137233460908	662.782467492153	0.0377315188769166	0.0477756015336898	0.776623153062688	0.690109480258804	0.873815752051187	313	83	1
SPAC1002.14	44	514	128	100	1485	300	0.44	76.5142473876036	0.346127946127946	60.1902711313564	0.062119870725874	0.117576266099576	1.27120622568093	0.922480080279228	1.7460075515787	37	107	1
SPAC1002.15c	8	310	9	100	2754	300	0.08	13.9116813432007	0.112563543936093	19.5743519262536	0.0118837028775657	0.0536110230048764	0.710709677419355	0.327277177248158	1.4764475735543	10	98	1
SPAC1002.16c	15	200	14	100	1906	300	0.15	26.0844025185012	0.104931794333683	18.2472210692558	0.0427003277271866	0.129541952955995	1.4295	0.813868246480176	2.46906962334127	10	105	1
SPAC1002.17c	26	1049	119	100	990	300	0.26	45.2129643654021	1.05959595959596	184.259516780524	0.0164451343228967	0.0370754221690625	0.245376549094376	0.162806829796677	0.367046679473719	64	62	1
SPAC1002.18	20	427	28	100	1505	300	0.2	34.7792033580016	0.283720930232558	49.3379396473977	0.029083436078784	0.0746032542833556	0.704918032786885	0.4377057129857	1.1227789769645	26	94	1
SPAC1002.19	168	1260	55	100	1563	300	1.68	292.145308207214	0.806142034548944	140.184888775055	0.113121292601746	0.15709037823587	2.084	1.76808580336529	2.45532261182664	119	149	6.87263490104272e-05
SPAC1002.20	2	28	195	100	548	300	0.02	3.47792033580016	0.0510948905109489	8.8851979381756	0.0117687294574852	0.307314068338505	0.391428571428571	0.064492637427019	1.68408109449501	4	98	1
SPAC1006.01	160	1218	194	100	1664	300	1.6	278.233626864013	0.731971153846154	127.286868059032	0.11100482956998	0.155383788632683	2.18587848932677	1.84712036404447	2.58558624284785	109	151	1.1096851715378e-05
SPAC1006.02	77	278	27	100	1217	300	0.77	133.899932928306	0.228430566967954	39.7231657088104	0.213427845794243	0.3590155479518	3.3708273381295	2.59741688331594	4.36921921857341	32	145	7.01107953717437e-09
SPAC1006.03c	58	863	113	100	2770	300	0.58	100.859689738205	0.311552346570397	54.1777120901722	0.0510289496399404	0.0883212515093824	1.86164542294322	1.41350190502635	2.44649866680989	37	121	1
SPAC1006.04c	31	207	69	100	3993	300	0.31	53.9077652049025	0.0518407212622089	9.01489493501921	0.100737666876886	0.221447568800447	5.97985507246377	4.02245503839407	8.84240142220184	6	125	7.39041556438035e-09
SPAC1006.05c	134	1046	43	100	2032	300	1.34	233.020662498611	0.514763779527559	89.5153708476125	0.106566140809545	0.153910402064619	2.60313575525813	2.16542398124995	3.12745936995306	79	155	1.40171218881918e-08
SPAC1006.06	38	1298	44	100	4139	300	0.38	66.0804863802031	0.313602319400821	54.5341941999108	0.0209029599563011	0.040828949202213	1.21172573189522	0.865173512591304	1.68991020747959	32	106	1
SPAC1006.07	798	2518	1058	100	1302	300	7.98	1387.69021398427	1.93394777265745	336.305814345039	0.292423068872035	0.343453352010056	4.12627482128674	3.80734835671389	4.47176264317093	591	307	3.52722705414174e-44
SPAC1006.08	10	167	285	100	1457	300	0.1	17.3896016790008	0.11461908030199	19.9318015126502	0.0298294198320629	0.116522660229274	0.872455089820359	0.434614646953157	1.69773515954053	11	99	1
SPAC1006.09	255	2276	126	100	4844	300	2.55	443.434842814521	0.469859620148637	81.7067163943144	0.098219849400383	0.127772463312011	5.42715289982425	4.75776950495455	6.18929812283382	113	242	7.52644246463803e-47
SPAC1039.01	7	659	45	100	2977	300	0.07	12.1727211753006	0.221363789049379	38.4942811772306	0.0046346491778973	0.0230517440912306	0.316221547799697	0.137973506026003	0.686250421595935	19	88	1
SPAC1039.02	5	639	120	100	2733	300	0.05	8.69480083950041	0.233809001097695	40.6584539805398	0.00287003199176574	0.0194887636951294	0.213849765258216	0.0784379743349578	0.532627911787886	19	86	1
SPAC1039.03	10	288	32	100	1499	300	0.1	17.3896016790008	0.19212808539026	33.4103087628568	0.0174409417066864	0.0669787150396522	0.520486111111111	0.261439716183229	1.00401093844439	17	93	1
SPAC1039.04	11	426	17	100	1844	300	0.11	19.1285618469009	0.231019522776573	40.1733748115746	0.0134696736022803	0.0481582475627055	0.476150234741784	0.248380781226048	0.88803808505629	20	91	1
SPAC1039.05c	2	395	51	100	3153	300	0.02	3.47792033580016	0.125277513479226	21.785260587394	0.000873828959858319	0.0205160615284417	0.159645569620253	0.0275518271043328	0.646871419991767	11	91	1
SPAC1039.06	19	229	38	100	1966	300	0.19	33.0402431901016	0.11648016276704	20.25543634024	0.0504130855859352	0.134963671326604	1.63117903930131	0.991121262619485	2.65338577828103	12	107	1
