sample	Spikereads
WT_DMSO_combined	100716
WT_3MBPP1_combined	143566
mcs6as_DMSO_combined	137433
mcs6as_3MBPP1_combined	173982
Cdk9as_DMSO_combined	121436
Cdk9as_3MBPP1_combined	148955
Isk1as_DMSO_combined	141308
Isk1as_3MBPP1_combined	71547
Mcs6as_Cdk9as_DMSO_combined	79379
Mcs6as_Cdk9as_3MBPP1_combined	69655
18C_Cdk9as_DMSO_COMBINED	21905
18C_Cdk9as_3MBPP1_COMBINED	19016		
18C_dis2ts_DMSO_COMBINED	19302
18C_dis2ts_3MBPP1_COMBINED	17457
30C_dis2ts_DMSO_COMBINED	19601
30C_dis2ts_3MBPP1_COMBINED	15266
18C_Cdk9as_dis2ts_DMSO_COMBINED	17116
18C_Cdk9as_dis2ts_3MBPP1_COMBINED 23336
30C_Cdk9as_dis2ts_DMSO_COMBINED	15553
30C_Cdk9as_dis2ts_3MBPP1_COMBINED	15016
Cdk9as_0min_DMSO_COMBINED_old	17538
Cdk9as_1min_20uM_3MBPP1_COMBINED_old	38742
Cdk9as_5min_20uM_3MBPP1_COMBINED_old	25116
Cdk9as_5min_10uM_3MBPP1_COMBINED_old	40663
Cdk9as_10min_20uM_3MBPP1_COMBINED_old	38881
Cdk9as_0min_DMSO_COMBINED	22011
Cdk9as_0.5min_10uM_3MBPP1_COMBINED	41153
Cdk9as_1min_10uM_3MBPP1_COMBINED	46937
Cdk9as_2.5min_10uM_3MBPP1_COMBINED	37384
Cdk9as_5min_10uM_3MBPP1_COMBINED	46479
Cdk9as_7.5min_10uM_3MBPP1_COMBINED	48387
Cdk9as_10min_10uM_3MBPP1_COMBINED	32601
Cdk9as_20min_10uM_3MBPP1_COMBINED	33475
Lsk1as_Cdk9as_DMSO_COMBINED	67046
Lsk1as_Cdk9as_3MBPP1_COMBINED	55205
Fisher_WT_COMBINED	20604
Fisher_dis2_11_COMBINED	38471
Fisher_dis2Del_COMBINED	29980
Fisher_dis2_T316A_COMBINED	48165
Fisher_dis2_T316D_COMBINED	62455
Booth_cdk9as_spt5WT7_0min_COMBINED	46789
Booth_cdk9as_spt5WT7_1min_COMBINED	116544
Booth_cdk9as_spt5WT7_5min_COMBINED	92981
Booth_cdk9as_spt5T1A_0min_COMBINED	32574
Booth_cdk9as_spt5T1A_1min_COMBINED	66245
Booth_cdk9as_spt5T1A_5min_COMBINED	21747
Booth_cdk9as_spt5T1E_0min_COMBINED	76803
Booth_cdk9as_spt5T1E_1min_COMBINED	56890
Booth_cdk9as_spt5T1E_5min_COMBINED	76712
