V4	Cdk9as_DMSO_18Cr1_pr_counts	Cdk9as_DMSO_18Cr1gb_counts	Cdk9as_DMSO_18Cr1term_counts	Cdk9as_DMSO_18Cr1pr_map	Cdk9as_DMSO_18Cr1gb_map	Cdk9as_DMSO_18Cr1term_map	Cdk9as_DMSO_18Cr1pr_density	Cdk9as_DMSO_18Cr1pr_densityRPKM	Cdk9as_DMSO_18Cr1gb_density	Cdk9as_DMSO_18Cr1gb_densityRPKM	Cdk9as_DMSO_18Cr1pause_index_CI_low	Cdk9as_DMSO_18Cr1pause_index_CI_high	Cdk9as_DMSO_18Cr1pause_index_scaled	Cdk9as_DMSO_18Cr1pause_index_CI_low_scaled	Cdk9as_DMSO_18Cr1pause_index_CI_high_scaled	Cdk9as_DMSO_18Cr1_ExpPR	Cdk9as_DMSO_18Cr1_ExpGB	Cdk9as_DMSO_18Cr1Fexact_Pval
SPAC1002.01	17	45	61	100	481	300	0.17	44.1196431291831	0.0935550935550936	24.2801020033416	0.20796112019996	0.679037817581557	1.81711111111111	1.00029298816181	3.26617190256729	10	107	1
SPAC1002.02	23	101	48	100	837	300	0.23	59.6912818806595	0.120669056152927	31.31691584825	0.140947393190206	0.365039618309846	1.9060396039604	1.17972968100202	3.05538160525341	13	110	1
SPAC1002.03c	10	406	113	100	2955	300	0.1	25.9527312524606	0.137394247038917	35.657559690352	0.012413496075417	0.0473445253106496	0.727832512315271	0.366818809028572	1.3990307229297	13	97	1
SPAC1002.04c	59	66	20	100	641	300	0.59	153.121114389518	0.102964118564743	26.7220009775726	0.620194451079878	1.28809230731869	5.73015151515152	3.97544643142202	8.25667168991282	14	145	2.48400633292533e-12
SPAC1002.05c	15	250	125	100	2086	300	0.15	38.929096878691	0.119846596356663	31.1034650676662	0.0342964182579406	0.103206472384527	1.2516	0.71542328486064	2.15288701394123	12	103	1
SPAC1002.06c	8	18	13	100	311	300	0.08	20.7621850019685	0.0578778135048231	15.0208733937071	0.177689323228589	1.07889365108109	1.38222222222222	0.552613795240911	3.35535925486218	5	103	1
SPAC1002.07c	15	88	28	100	1084	300	0.15	38.929096878691	0.0811808118081181	21.0686379171267	0.0946816073873072	0.302090179650096	1.84772727272727	1.02634862407841	3.27465754740704	8	107	1
SPAC1002.08c	37	184	58	100	1783	300	0.37	96.0251056341044	0.103196859226024	26.78240353591	0.138961775217549	0.289844881916382	3.58538043478261	2.4776884521289	5.16793424456909	12	125	8.54938267697414e-05
SPAC1002.09c	27	763	37	100	2132	300	0.27	70.0723743816437	0.357879924953096	92.8796151295848	0.0236196556902097	0.0526418674428757	0.754442988204456	0.503571059315271	1.12232461388211	33	94	1
SPAC1002.10c	26	125	88	100	1806	300	0.26	67.4771012563977	0.0692137320044297	17.962853856908	0.133158384393971	0.322752501105793	3.75648	2.40484042215512	5.82891016997063	8	118	0.00316083307761022
SPAC1002.11	5	116	59	100	1871	300	0.05	12.9763656262303	0.0619989310529129	16.0904159555609	0.0155497545291082	0.109343110304399	0.806465517241379	0.290935907239614	2.0458095937953	6	99	1
SPAC1002.12c	94	441	52	100	1692	300	0.94	243.95567377313	0.26063829787234	67.6427569877964	0.169503082229618	0.267785435045912	3.6065306122449	2.86799215132514	4.53092956097683	40	154	2.05079801842066e-12
SPAC1002.13c	329	4473	567	100	1829	300	3.29	853.844858205955	2.44559868780755	634.699654960396	0.0656531533233967	0.0823889670746032	1.34527386541471	1.20079617428493	1.50689420779449	304	125	1
SPAC1002.14	10	182	86	100	1485	300	0.1	25.9527312524606	0.122558922558923	31.8073877976285	0.0274152787106228	0.106736590893295	0.815934065934066	0.407116888852749	1.58503837476543	12	98	1
SPAC1002.15c	2	249	17	100	2754	300	0.02	5.19054625049213	0.0904139433551198	23.4648877337062	0.00138325494453913	0.0326333770758062	0.221204819277108	0.0380948411726077	0.898723204667703	8	94	1
SPAC1002.16c	2	42	4	100	1906	300	0.02	5.19054625049213	0.0220356768100735	5.71885998217916	0.00797536691687462	0.200526163723088	0.907619047619048	0.15201049343563	3.82202868056206	2	100	1
SPAC1002.17c	47	5204	1697	100	990	300	0.47	121.977836886565	5.25656565656566	1364.22235795763	0.00670073905354034	0.0121352217785629	0.0894119907763259	0.0663373166300494	0.120138695607773	123	24	1
SPAC1002.18	2	1391	325	100	1505	300	0.02	5.19054625049213	0.924252491694352	239.868765263606	0.000248785493055134	0.00580676375796673	0.0216391085549964	0.00374422167047977	0.0873917945573993	48	54	1
SPAC1002.19	139	16788	2206	100	1563	300	1.39	360.742964409203	10.7408829174664	2787.55247771151	0.00698065751488597	0.00981458644381797	0.129412080057184	0.109107676957668	0.153401986116875	218	21	1
SPAC1002.20	0	5	30	100	548	300	0	0	0.00912408759124088	2.36794993179385	0.0190383591688732	1.16008855872718	0	0.104330208245425	6.35728530182496	0	100	1
SPAC1006.01	47	750	179	100	1664	300	0.47	121.977836886565	0.450721153846154	116.974449755682	0.0461246112903312	0.0848845727526485	1.04277333333333	0.767513531871111	1.41247929060407	45	102	1
SPAC1006.02	70	106	21	100	1217	300	0.7	181.669118767225	0.0870994248151191	22.6046796447069	0.482917533622508	0.902369492349974	8.03679245283019	5.87710638418592	10.9818367218992	13	157	9.21975540290549e-23
SPAC1006.03c	80	575	63	100	2770	300	0.8	207.621850019685	0.207581227436823	53.8729980872378	0.10932187686529	0.176838878425529	3.85391304347826	3.02821598916855	4.89843693238716	30	150	1.25709392905384e-12
SPAC1006.04c	51	167	89	100	3993	300	0.51	132.358929387549	0.0418231905835212	10.8542602533457	0.220386367940051	0.422248946217183	12.1941916167665	8.80002767184625	16.8604004224521	6	145	1.37053899890649e-26
SPAC1006.05c	120	806	59	100	2032	300	1.2	311.432775029528	0.396653543307087	102.942428097851	0.122308220683144	0.181107055056576	3.02531017369727	2.4853030442815	3.68009535874962	62	158	4.04983021673259e-11
SPAC1006.06	55	1313	44	100	4139	300	0.55	142.740021888534	0.317226383184344	82.3289106897338	0.0316704605259319	0.0552706266167287	1.73377760853008	1.31084036116832	2.2876512356664	37	118	1
SPAC1006.07	334	1018	692	100	1302	300	3.34	866.821223832186	0.781874039938556	202.91766831801	0.289378812843118	0.371942573915954	4.27178781925344	3.76771214321739	4.84269231238573	190	244	2.25247367227243e-34
SPAC1006.08	2	58	250	100	1457	300	0.02	5.19054625049213	0.0398078242964997	10.3312176571223	0.00582839169848962	0.143495553135204	0.502413793103448	0.0849196670469937	2.09073020917992	3	99	1
SPAC1006.09	217	1309	70	100	4844	300	2.17	563.174268178396	0.270231213872832	70.1323806966783	0.14320451784035	0.191849908933618	8.03016042780749	6.93682684418654	9.29320958874444	67	250	3.43822851100069e-64
SPAC1039.01	5	3264	572	100	2977	300	0.05	12.9763656262303	1.09640577762849	284.547244904372	0.000563558027105286	0.003802811700547	0.0456035539215686	0.0167771224669244	0.113209704325284	54	51	1
SPAC1039.02	7	2580	878	100	2733	300	0.07	18.1669118767225	0.944017563117453	244.998341131901	0.00118759152157085	0.00586796955745434	0.0741511627906977	0.0324568762845313	0.160371608005227	51	56	1
SPAC1039.03	13	298	84	100	1499	300	0.13	33.7385506281988	0.198799199466311	51.5938219695348	0.0239544395737118	0.0777805177972366	0.653926174496644	0.35907704920994	1.16592996178058	18	95	1
SPAC1039.04	17	304	29	100	1844	300	0.17	44.1196431291831	0.164859002169197	42.7854137784601	0.0331806064336927	0.0929322181241567	1.03118421052632	0.611850382637294	1.71367010220945	16	101	1
SPAC1039.05c	4	489	79	100	3153	300	0.04	10.3810925009843	0.155090390104662	40.2501921422558	0.00260905736774695	0.0226061943333013	0.257914110429448	0.0822635788050615	0.71277330732899	13	91	1
SPAC1039.06	14	811	119	100	1966	300	0.14	36.3338237534449	0.412512716174975	107.058316611117	0.00977656223501755	0.0299007456655521	0.339383477188656	0.192207213540445	0.587848659784754	33	81	1
SPAC1039.07c	20	311	77	100	1430	300	0.2	51.9054625049213	0.217482517482517	56.4426532833235	0.0397712329238424	0.102853193446317	0.919614147909968	0.568728630810946	1.47080066628233	21	99	1
SPAC1039.08	11	238	34	100	995	300	0.11	28.5480043777067	0.239195979899497	62.0778898300064	0.0239547819808973	0.0867830946881961	0.459873949579832	0.238350080709928	0.863491792147551	21	90	1
SPAC1039.09	5	2131	343	100	3060	300	0.05	12.9763656262303	0.69640522875817	180.736177447692	0.000862852692516753	0.00582715793385515	0.0717972782731112	0.0264032923910126	0.178311032775968	43	62	1
SPAC1039.10	0	377	262	100	888	300	0	0	0.42454954954955	110.182203628127	0.000241230518297228	0.0127341736240932	0	0.00214212700247938	0.113079461781948	29	71	1
SPAC1039.11c	0	336	34	100	3471	300	0	0	0.0968020743301642	25.1227821977147	0.000270685870046421	0.0142922404189398	0	0.00939550654931129	0.4960836649414	8	92	1
SPAC105.01c	47	577	35	100	3151	300	0.47	121.977836886565	0.183116470961599	47.5237255876541	0.059789420099406	0.110642717169368	2.56667244367418	1.88396462733228	3.48635201800677	22	125	0.00568859146238718
SPAC105.02c	70	444	143	100	1418	300	0.7	181.669118767225	0.31311706629055	81.2624307199755	0.121508754496736	0.204243145572073	2.23558558558559	1.72299413876372	2.89616780421199	40	130	0.0099219599280243
SPAC105.03c	31	444	13	100	2487	294	0.31	80.453466882628	0.178528347406514	46.3329822118718	0.0476408876495367	0.101749144776307	1.73641891891892	1.18482887584398	2.53050123058675	19	112	1
SPAC1071.01c	62	640	73	100	2319	300	0.62	160.906933765256	0.275981026304442	71.6246140645744	0.0739681602290493	0.1266289249331	2.24653125	1.71532163571165	2.93652476919859	35	127	0.0153257112203484
SPAC1071.02	5	270	48	100	3405	300	0.05	12.9763656262303	0.079295154185022	20.5792582618631	0.00675808650944269	0.0463815263558945	0.630555555555555	0.230112845646524	1.57929097241821	7	98	1
SPAC1071.03c	8	380	59	100	1677	300	0.08	20.7621850019685	0.226595110316041	58.8076200115387	0.00971183108282116	0.0436527350617217	0.353052631578947	0.162867407258911	0.732056366985073	19	89	1
SPAC1071.04c	9	25	39	100	331	300	0.09	23.3574581272146	0.0755287009063444	19.6017607646984	0.156203230481753	0.806726826973756	1.1916	0.517032692894601	2.67026579728313	7	102	1
SPAC1071.05	26	178	63	100	1458	300	0.26	67.4771012563977	0.122085048010974	31.6844044097256	0.0946169153842809	0.223926479531119	2.12966292134831	1.37951462630282	3.26484807156371	13	113	1
SPAC1071.06	115	224	34	100	1678	300	1.15	298.456409403297	0.133492252681764	34.6448855813539	0.407420883291466	0.64661386313779	8.61473214285714	6.83652242163079	10.8501806234521	25	190	1.4080222089268e-38
SPAC1071.07c	179	98	95	100	468	300	1.79	464.553889419046	0.209401709401709	54.3454628790843	1.41784677067946	2.35438581850889	8.54816326530612	6.63552288677988	11.0185256306216	48	231	8.59433572237088e-38
SPAC1071.08	33	47	99	100	320	300	0.33	85.6440131331201	0.146875	38.1180740270516	0.439532498716901	1.11928002694565	2.2468085106383	1.40650399589408	3.58169608622608	17	116	1
SPAC1071.09c	81	132	225	100	2232	300	0.81	210.217123144931	0.0591397849462366	15.34838945038	0.46097232563191	0.816306328463551	13.6963636363636	10.2889023081042	18.2199572513065	10	171	7.76136160768923e-41
SPAC1071.10c	568	15824	570	100	4273	300	5.68	1474.11513513976	3.70325298385209	961.095294497864	0.0329822344533572	0.0390618572663209	1.53378665318504	1.40933087819195	1.66911316098989	525	143	0.193138412890262
SPAC1071.11	15	460	40	100	2136	300	0.15	38.929096878691	0.215355805243446	55.890713371404	0.0187766661939179	0.055665549666423	0.696521739130435	0.401069589902086	1.1890161408748	20	95	1
SPAC1071.12c	1	23	12	100	736	300	0.01	2.59527312524606	0.03125	8.11022851639395	0.00218361377637716	0.300664882990147	0.32	0.0160713973941359	2.21289353880748	3	98	1
SPAC1071.13	8	810	31	100	3378	300	0.08	20.7621850019685	0.239786856127886	62.2312383495948	0.00457531179042815	0.0203880092883706	0.33362962962963	0.154554032280663	0.68870695376116	20	88	1
SPAC1093.01	83	3891	49	100	5223	300	0.83	215.407669395423	0.744974152785755	193.341139772783	0.0170538005124457	0.0266466955912921	1.11413261372398	0.890720000765038	1.39175691073319	78	105	1
SPAC1093.02	75	313	53	100	992	300	0.75	194.645484393455	0.315524193548387	81.8871459881067	0.184712837343995	0.310433209441368	2.37699680511182	1.83235134645244	3.07949743765837	41	134	0.00165166801981738
SPAC1093.03	8	309	32	100	3353	300	0.08	20.7621850019685	0.0921562779600358	23.9170711512387	0.0119217900019931	0.0537863055741385	0.868090614886731	0.399737618766827	1.80345482590086	9	99	1
SPAC1093.04c	11	378	2	100	4949	300	0.11	28.5480043777067	0.0763790664780764	19.8224538561934	0.0151643283250502	0.054332707158547	1.44018518518519	0.750482608806734	2.68892567727649	7	104	1
SPAC1093.05	59	366	66	100	2479	300	0.59	153.121114389518	0.147640177490924	38.3166584848753	0.121231674899396	0.213921471220523	3.99620218579235	3.00533322075603	5.30311327155676	20	139	5.40728281760891e-10
SPAC1093.06c	4	1121	33	100	12942	300	0.04	10.3810925009843	0.0866172152681193	22.4795330969003	0.00114089719446798	0.00983416499530724	0.461801962533452	0.147654914908045	1.27273763369266	8	96	1
SPAC1093.07	0	284	46	100	1791	300	0	0	0.15857063093244	41.1534096912274	0.000320286893486122	0.0169174895412107	0	0.00573633826233644	0.302992237683084	13	87	1
SPAC10F6.01c	106	3580	221	100	4905	300	1.06	275.098951276083	0.72986748216106	189.420546144361	0.0242859906047592	0.0360659999114889	1.45231843575419	1.19122783916344	1.76903729565853	86	120	1
SPAC10F6.02c	11	466	36	100	3591	300	0.11	28.5480043777067	0.129768866610972	33.6785652009097	0.0123221507203533	0.0439920672328962	0.847660944206009	0.442488432367886	1.5797551343333	12	99	1
SPAC10F6.03c	277	1089	248	100	2113	300	2.77	718.89065569316	0.515380974917179	133.755439346567	0.222428631743305	0.290827076361247	5.37466483011938	4.69991698873604	6.14517612351314	128	249	2.53182719783612e-45
SPAC10F6.04	0	232	3	100	2665	300	0	0	0.0870544090056285	22.5929968126487	0.000392144189851533	0.0207241763654203	0	0.0104506426595433	0.552299300138452	8	92	1
SPAC10F6.05c	7	180	80	100	2025	300	0.07	18.1669118767225	0.0888888888888889	23.0690944466317	0.016777635797926	0.0854235965633659	0.7875	0.339747124908001	1.72982783040816	8	99	1
SPAC10F6.06	243	1098	684	100	890	300	2.43	630.651369434794	1.23370786516854	320.180886687661	0.192117374321494	0.254884262078158	1.96967213114754	1.7098446314613	2.2684699324956	189	154	0.000182654766660871
