V4	CDK9as_dis2ts_DMSO_18Cr1_pr_counts	CDK9as_dis2ts_DMSO_18Cr1gb_counts	CDK9as_dis2ts_DMSO_18Cr1term_counts	CDK9as_dis2ts_DMSO_18Cr1pr_map	CDK9as_dis2ts_DMSO_18Cr1gb_map	CDK9as_dis2ts_DMSO_18Cr1term_map	CDK9as_dis2ts_DMSO_18Cr1pr_density	CDK9as_dis2ts_DMSO_18Cr1pr_densityRPKM	CDK9as_dis2ts_DMSO_18Cr1gb_density	CDK9as_dis2ts_DMSO_18Cr1gb_densityRPKM	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_low	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_high	CDK9as_dis2ts_DMSO_18Cr1pause_index_scaled	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_low_scaled	CDK9as_dis2ts_DMSO_18Cr1pause_index_CI_high_scaled	CDK9as_dis2ts_DMSO_18Cr1_ExpPR	CDK9as_dis2ts_DMSO_18Cr1_ExpGB	CDK9as_dis2ts_DMSO_18Cr1Fexact_Pval
SPAC1002.01	16	39	34	100	481	300	0.16	69.2570236361236	0.0810810810810811	35.096464680468	0.219859168587977	0.757073129265873	1.97333333333333	1.05752260090817	3.64152175176885	8	108	1
SPAC1002.02	10	88	25	100	837	300	0.1	43.2856397725772	0.105137395459976	45.5093942650752	0.055633337559919	0.225238417714512	0.951136363636364	0.465651035376522	1.88524555627046	10	100	1
SPAC1002.03c	16	253	43	100	2955	300	0.16	69.2570236361236	0.0856175972927242	37.0601247460644	0.0368135391686748	0.106988521368464	1.86877470355731	1.08784008243434	3.1615108064381	9	107	1
SPAC1002.04c	12	70	8	100	641	300	0.12	51.9427677270927	0.109204368174727	47.2698094240313	0.0883090447797623	0.325566310931445	1.09885714285714	0.566060977038277	2.08688005307056	11	101	1
SPAC1002.05c	10	143	61	100	2086	300	0.1	43.2856397725772	0.0685522531160115	29.6732813397821	0.034721586115657	0.136551959496573	1.45874125874126	0.724292286372604	2.84847387509851	7	103	1
SPAC1002.06c	4	15	14	100	311	300	0.04	17.3142559090309	0.0482315112540193	20.8773182182848	0.0749300695813891	0.855217779850123	0.829333333333333	0.23303251639812	2.65972729533388	4	100	1
SPAC1002.07c	6	32	14	100	1084	300	0.06	25.9713838635464	0.029520295202952	12.7780486413512	0.0705135626992493	0.469031114548192	2.0325	0.764367019659862	5.0842972817024	3	103	1
SPAC1002.08c	63	169	21	100	1783	300	0.63	272.699530567237	0.0947840717891195	41.0278918764193	0.276173659991561	0.502438389451053	6.64668639053254	4.92417635764954	8.95847648391227	14	149	9.81436971842337e-19
SPAC1002.09c	5	395	67	100	2132	300	0.05	21.6428198862886	0.185272045028143	80.1961900101689	0.00463227526544091	0.0316070936888576	0.269873417721519	0.0987601086592002	0.673863237446444	16	89	1
SPAC1002.10c	3	61	75	100	1806	300	0.03	12.9856919317732	0.0337763012181617	14.6202880737941	0.0123347043811018	0.162242810905073	0.888196721311475	0.222764761122699	2.93010516494561	3	100	1
SPAC1002.11	11	106	35	100	1871	300	0.11	47.614203749835	0.0566541956173169	24.5231310309631	0.0528350731508806	0.198544916207404	1.94160377358491	0.988544218652976	3.71477538224052	5	106	1
SPAC1002.12c	23	243	32	100	1692	300	0.23	99.5569714769277	0.143617021276596	62.1655464818929	0.0601942029818258	0.147540035585116	1.60148148148148	1.01848591445249	2.49637740210016	15	108	1
SPAC1002.13c	149	2537	296	100	1829	300	1.49	644.956032611401	1.38709677419355	600.413712974459	0.0496063026970873	0.0694966708992021	1.07418604651163	0.907299276329727	1.27109411074641	144	105	1
SPAC1002.14	5	110	62	100	1485	300	0.05	21.6428198862886	0.0740740740740741	32.0634368685757	0.0163799978958548	0.115447449987087	0.675	0.243242968753444	1.71439463230824	7	98	1
SPAC1002.15c	7	129	8	100	2754	300	0.07	30.2999478408041	0.0468409586056645	20.2754086080699	0.0232691474693669	0.119977660111501	1.49441860465116	0.640832321306364	3.30418475947075	4	103	1
SPAC1002.16c	7	55	10	100	1906	300	0.07	30.2999478408041	0.0288562434417629	12.4906095880994	0.0530630181139325	0.290144425596688	2.42581818181818	1.01138112525155	5.53015275187287	3	104	1
SPAC1002.17c	11	1918	605	100	990	300	0.11	47.614203749835	1.93737373737374	838.604617008113	0.0030109389202824	0.0106248199158066	0.0567778936392075	0.0298082953107958	0.105185717166485	73	38	1
SPAC1002.18	0	596	131	100	1505	300	0	0	0.396013289036545	171.416885743894	0.000152557379841982	0.00804789185450791	0	0.00229598856662182	0.121120772410344	28	72	1
SPAC1002.19	26	7510	1298	100	1563	300	0.26	112.542663408701	4.80486244401791	2079.81544908545	0.00230710919676269	0.0051557329562865	0.0541118508655127	0.0360601167454008	0.080584106106758	104	22	1
SPAC1002.20	0	5	19	100	548	300	0	0	0.00912408759124088	3.94941968727895	0.0190383591688732	1.16008855872718	0	0.104330208245425	6.35728530182496	0	100	1
SPAC1006.01	23	472	80	100	1664	300	0.23	99.5569714769277	0.283653846153846	122.781382047214	0.0312932558444026	0.0752031358576723	0.810847457627119	0.52071977725086	1.25138018067167	27	96	1
SPAC1006.02	56	186	25	100	1217	300	0.56	242.399582726433	0.152834839769926	66.1555381898058	0.220771675133015	0.409802407819681	3.66408602150538	2.68679128636879	4.98729530316551	20	136	1.51349398677999e-07
SPAC1006.03c	11	349	34	100	2770	300	0.11	47.614203749835	0.125992779783393	54.5367807964962	0.0164118271135617	0.0588946786125813	0.873065902578797	0.45460761104566	1.6313825975685	12	99	1
SPAC1006.04c	26	105	13	100	3993	300	0.26	112.542663408701	0.0262960180315552	11.382399639671	0.157357988705515	0.387159606153289	9.88742857142857	6.28330448901119	15.4592830737008	3	123	1.61403878360024e-11
SPAC1006.05c	34	418	46	100	2032	300	0.34	147.171175226763	0.205708661417323	89.042310162093	0.0564013124459481	0.116735327487842	1.65282296650718	1.14607466890167	2.37206185455296	22	112	1
SPAC1006.06	7	617	51	100	4139	300	0.07	30.2999478408041	0.149069823628896	64.5258268656201	0.0049486967761902	0.0246285750213996	0.469578606158833	0.204826559566512	1.01937672013573	13	94	1
SPAC1006.07	125	606	142	100	1302	300	1.25	541.070497157216	0.465437788018433	201.467724287111	0.169323246547877	0.251123454037109	2.68564356435644	2.20458867005336	3.26962737156316	71	154	2.35791793323821e-08
SPAC1006.08	11	32	66	100	1457	300	0.11	47.614203749835	0.0219629375428964	9.50679802829425	0.163280731018184	0.70851597485706	5.0084375	2.37900025093494	10.3230777536674	2	109	0.627343803181918
SPAC1006.09	50	898	77	100	4844	300	0.5	216.428198862886	0.185383980181668	80.2446418575028	0.0414223532808842	0.074636778812124	2.69710467706013	2.00649879292603	3.61540556565928	23	127	0.000700719680495104
SPAC1039.01	1	1441	427	100	2977	300	0.01	4.32856397725772	0.484044339939536	209.521689325777	3.62021968445745e-05	0.0045118125739093	0.0206592643997224	0.00107773940006298	0.13431666032528	32	69	1
SPAC1039.02	1	1696	545	100	2733	300	0.01	4.32856397725772	0.620563483351628	268.614873963743	3.07619643874483e-05	0.00383286968349287	0.0161143867924528	0.000840724486708961	0.10475232844986	38	63	1
SPAC1039.03	29	128	19	100	1499	300	0.29	125.528355340474	0.085390260173449	36.9617204195456	0.148213468060591	0.344411013013888	3.396171875	2.22171988622826	5.16272108507818	10	119	0.00610946028794531
SPAC1039.04	5	156	12	100	1844	300	0.05	21.6428198862886	0.0845986984815618	36.6190878770176	0.0116224719313177	0.0808424303723578	0.591025641025641	0.214318382413498	1.49073441606628	8	97	1
SPAC1039.05c	1	302	43	100	3153	300	0.01	4.32856397725772	0.0957817951157628	41.4597628015171	0.000172331476237574	0.0216093719683337	0.104403973509934	0.0054336114457707	0.681343498161563	8	93	1
SPAC1039.06	2	265	72	100	1966	300	0.02	8.65712795451545	0.134791454730417	58.3453435388249	0.00130018803422832	0.0306495683162036	0.148377358490566	0.0255616967529288	0.602570513096562	12	90	1
SPAC1039.07c	16	160	36	100	1430	300	0.16	69.2570236361236	0.111888111888112	48.4314850602263	0.0576687312570613	0.170826847614268	1.43	0.824662856975976	2.44282392088403	11	105	1
SPAC1039.08	4	111	20	100	995	300	0.04	17.3142559090309	0.111557788944724	48.2885026608651	0.0113274701756477	0.101248041200791	0.358558558558559	0.112708328247695	1.00741800994787	10	94	1
SPAC1039.09	2	2238	347	100	3060	300	0.02	8.65712795451545	0.731372549019608	316.579286964143	0.000154689832483294	0.00360733550620514	0.0273458445040214	0.0047335088739888	0.110384466489877	43	59	1
SPAC1039.10	0	87	58	100	888	300	0	0	0.097972972972973	42.4082281555655	0.00104739323259198	0.0556266725263707	0	0.00930085190541679	0.493964852034172	8	92	1
