baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	136.967024649184	0.0523965463803422	0.590883976146841	0.088674847339778	0.929340322685597	0.99896525780516
SPAC1002.02	200.590434526334	0.523600999700346	0.531524135988187	0.98509355314014	0.324578119776384	0.99896525780516
SPAC1002.03c	72.6809336384417	-1.26679033433515	0.694298798036289	-1.82456074807858	0.068067341285563	0.723602899602342
SPAC1002.04c	124.04093784685	0.137554239067687	0.59713606767457	0.23035660800622	0.817814676277259	0.99896525780516
SPAC1002.05c	102.705671447387	-0.17870193918253	0.6161754345106	-0.290017954585392	0.77180250185696	0.99896525780516
SPAC1002.06c	39.9082606684709	-0.820158061860248	0.719817597933753	-1.13939706977785	0.254537577580976	0.99896525780516
SPAC1002.07c	86.8183859407709	0.554959991816988	0.653872068631885	0.848728701591653	0.396032271566213	0.99896525780516
SPAC1002.08c	265.667163930233	-2.48349383897339	0.575537321061236	-4.31508739414859	1.59539774544664e-05	0.00335246246243187
SPAC1002.09c	131.222470500632	0.0358145446440082	0.604646385447672	0.059232214904405	0.952767150895629	0.99896525780516
SPAC1002.10c	63.7496364223316	0.526062507120885	0.683720926004825	0.769411154628275	0.441649268762105	0.99896525780516
SPAC1002.11	68.8458549428639	-0.525414524908057	0.683505232040673	-0.768705929784003	0.442067903921049	0.99896525780516
SPAC1002.12c	332.714563634436	-0.0519224455870838	0.460373629682834	-0.112783274799764	0.910202378506556	0.99896525780516
SPAC1002.13c	1154.9486614162	-0.444172254665555	0.387577060396512	-1.14602307528506	0.251785604366716	0.99896525780516
SPAC1002.14	56.4771948949147	-0.0583766718736165	0.696749861346225	-0.0837842604816943	0.933227962330463	0.99896525780516
SPAC1002.15c	38.5888349624006	-1.21257019981664	0.723898776487634	-1.67505490988678	0.0939234586552903	0.847513102715815
SPAC1002.16c	71.0623086395979	0.192062439193447	0.670644312578705	0.286384951890436	0.774583298918248	0.99896525780516
SPAC1002.17c	131.763555705849	-0.67712202437661	0.588722542176062	-1.15015474330879	0.250080142425906	0.99896525780516
SPAC1002.18	20.1200715297898	0.886981066333957	0.709669140349065	1.24985153771471	0.21135378536729	0.99896525780516
SPAC1002.19	395.716366820854	0.217446506989149	0.450198101762554	0.483001829945157	0.629094436890058	0.99896525780516
SPAC1002.20	2.2383382576775	0.0777832814734351	0.390002285154034	0.199443142859315	0.841916115184767	0.99896525780516
SPAC1006.01	597.811090523011	0.540782595554947	0.438439774902784	1.23342503693889	0.217417228730394	0.99896525780516
SPAC1006.02	393.225523903141	-1.10500097264827	0.464607111564126	-2.37835570128968	0.0173900417683094	0.340455973004418
SPAC1006.03c	204.550716224283	0.0637591699599667	0.531781735231277	0.119897254335441	0.904564539509604	0.99896525780516
SPAC1006.04c	114.75770700477	-2.9303596784887	0.674292232676191	-4.34583039294169	1.38749752189417e-05	0.00312385156357886
SPAC1006.05c	624.53223110067	0.416773256964107	0.405494898504933	1.02781381097705	0.304037418384031	0.99896525780516
SPAC1006.06	191.622735990052	0.809731823230009	0.55371055353848	1.46237383061498	0.143638796616072	0.968194262692932
SPAC1006.07	1629.62928080594	-0.179626662290779	0.343104318575694	-0.523533667650852	0.600602928199938	0.99896525780516
SPAC1006.08	62.9637568661067	-1.15644341559513	0.706991400995999	-1.63572486732647	0.101897182590414	0.8668823738866
SPAC1006.09	634.954426887882	0.615472580307325	0.400787297270848	1.53565890061479	0.124622060052424	0.926928129119759
SPAC1039.01	8.08129782935402	-0.300716577789841	0.603048845652969	-0.498660398668421	0.618018647497528	0.99896525780516
SPAC1039.02	14.4291125397314	0.189956717074322	0.691658955816513	0.274639279195157	0.783593385844645	0.99896525780516
SPAC1039.03	132.761948600226	-0.871132722721517	0.652267503325487	-1.33554518396237	0.181697977262378	0.99896525780516
SPAC1039.04	100.362991205472	-0.234913378488994	0.635110565564186	-0.369877925555078	0.711473449711451	0.99896525780516
SPAC1039.05c	12.3743743133815	0.0478423706960041	0.674090298578604	0.0709732372604756	0.943419055335243	0.99896525780516
SPAC1039.06	51.9996059845902	-0.0264774916590473	0.704272053946047	-0.0375955449470038	0.970010160029771	0.99896525780516
SPAC1039.07c	162.996060476936	-0.180608042459361	0.550658352129616	-0.327985658913331	0.742922505925997	0.99896525780516
SPAC1039.08	50.9163519255309	-0.276463214827529	0.701995389913212	-0.393824829621329	0.693710371429217	0.99896525780516
SPAC1039.09	12.5054027290256	0.0522265160458358	0.646186110073552	0.0808227153627475	0.935582942917426	0.99896525780516
SPAC1039.10	2.94776559367999	-0.173297919834397	0.419741448246135	-0.412868256300426	0.679703139478221	0.99896525780516
SPAC1039.11c	10.372207702715	-0.0988710023702304	0.621774669639401	-0.159014201121398	0.873657685314634	0.99896525780516
SPAC105.01c	269.468698702179	-0.964625064427067	0.483147665702194	-1.99654294722734	0.0458748558844731	0.605670842907695
SPAC105.02c	198.735466626823	0.00651559184884759	0.532121936805343	0.0122445465938967	0.990230509440839	0.99896525780516
SPAC105.03c	109.059200423197	0.311487881680915	0.617313536749641	0.504586183742223	0.613849515878013	0.99896525780516
SPAC1071.01c	455.675044712951	0.424674948494213	0.455811232305959	0.931690398118919	0.351496550123572	0.99896525780516
SPAC1071.02	44.2272223367755	-0.561995215360536	0.714332948174414	-0.786741276314917	0.431433336008183	0.99896525780516
SPAC1071.03c	101.096590083653	-0.212587783427483	0.630489920661664	-0.33717871842326	0.735982179161319	0.99896525780516
SPAC1071.04c	57.4218814829587	-0.0438946113993997	0.704492797585926	-0.0623066858168212	0.950318604311975	0.99896525780516
SPAC1071.05	175.115004619431	-0.00312315554509221	0.542390814903255	-0.00575812764390061	0.995405704241918	0.99896525780516
SPAC1071.06	479.062950683471	-0.691301055021539	0.420079907731629	-1.64564179885314	0.099837528128468	0.859802974483418
SPAC1071.07c	823.036991914156	0.667961021173845	0.406598641238376	1.64280190199219	0.100423926566561	0.862496502827796
SPAC1071.08	190.594859373543	-0.0331780858082668	0.540359939546468	-0.0613999732032572	0.95104067370183	0.99896525780516
SPAC1071.09c	740.571316963549	-1.63096179713492	0.4579874301181	-3.5611496951223	0.000369234488315648	0.0290956776792731
