baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	208.58766014126	-0.637909028843537	0.470441668580175	-1.35597901174186	0.175105846047605	0.997441538427896
SPAC1002.02	169.754962858792	-0.121551599962113	0.466198181869805	-0.260729459464212	0.794301146234173	0.997441538427896
SPAC1002.03c	133.286966334011	-0.17643274182702	0.480310201439168	-0.367330823493587	0.713372264864048	0.997441538427896
SPAC1002.04c	210.673033963444	-0.868813486895569	0.462062127778946	-1.88029581881512	0.060067772833686	0.997441538427896
SPAC1002.05c	111.545718256709	-0.0154398269395389	0.478895008263679	-0.0322405259464256	0.974280237933288	0.997441538427896
SPAC1002.06c	115.158553925903	-0.80888591641846	0.479237480533766	-1.68786029739898	0.0914380495462543	0.997441538427896
SPAC1002.07c	98.5673888625877	-0.52048502173308	0.480270757227766	-1.08373248610313	0.278483427386001	0.997441538427896
SPAC1002.08c	418.343170546698	0.278534620913811	0.450988234543671	0.617609506366933	0.536832776625714	0.997441538427896
SPAC1002.09c	166.556745645115	-0.391094376779475	0.472374187506188	-0.827933420418643	0.407708206759097	0.997441538427896
SPAC1002.10c	60.6138791461999	-0.276937219842219	0.471879998231181	-0.586880607104146	0.557283895117395	0.997441538427896
SPAC1002.11	104.17703255283	-0.225097312982658	0.480303711190678	-0.468656201769999	0.639315398044724	0.997441538427896
SPAC1002.12c	395.532477790708	-0.305921156539605	0.422708101974124	-0.72371727703088	0.469239324082125	0.997441538427896
SPAC1002.13c	1725.88141360208	-0.525056760321252	0.372681363866461	-1.40886239889739	0.158875859829087	0.997441538427896
SPAC1002.14	67.5230041738241	-0.174400175832696	0.477166091485512	-0.365491553035032	0.714744511049906	0.997441538427896
SPAC1002.15c	53.8911194135389	0.20738151843532	0.467767129461031	0.44334350443621	0.65751729304124	0.997441538427896
SPAC1002.16c	47.9725588074783	0.358927922947845	0.462109381953	0.776716372714437	0.43732612499951	0.997441538427896
SPAC1002.17c	87.8661947472319	1.56031401427275	0.476841877171823	3.27218327284312	0.00106720371760518	0.566208360322028
SPAC1002.18	21.822184483493	-0.472680383726852	0.38871057817554	-1.21602140581158	0.223976767835096	0.997441538427896
SPAC1002.19	216.743530812801	1.46283005378061	0.461472388393069	3.16991891730392	0.0015248148110674	0.734491565146468
SPAC1002.20	6.47792914187619	-0.213343390019269	0.248307184632152	-0.859191369493883	0.390234944127394	0.997441538427896
SPAC1006.01	546.82235912997	-0.281484127485936	0.421912718923001	-0.66716198602514	0.504668669787896	0.997441538427896
SPAC1006.02	540.523397258945	0.0598344711310694	0.423068916515658	0.141429608263019	0.887530565335136	0.997441538427896
SPAC1006.03c	266.953163029751	-0.508803497936506	0.447838798413212	-1.13613090187653	0.255901783802262	0.997441538427896
SPAC1006.04c	195.980046468091	0.241027751674958	0.464153145089926	0.519284969249235	0.60356203343918	0.997441538427896
SPAC1006.05c	556.299454577973	-0.116965620190954	0.40558570038201	-0.288386942835478	0.773050561482079	0.997441538427896
SPAC1006.06	179.245023073548	-0.50682481469013	0.467418725308925	-1.0843057568033	0.278229253670334	0.997441538427896
SPAC1006.07	1896.01843828177	-0.197947537898661	0.364465149248884	-0.543117876446089	0.587048645141067	0.997441538427896
SPAC1006.08	83.0421101010538	0.271957637791013	0.479300933684572	0.56740477365727	0.570439207378843	0.997441538427896
SPAC1006.09	647.409197704996	-0.54360926196059	0.407296427007367	-1.33467721765886	0.181982013153033	0.997441538427896
SPAC1039.01	5.84295957167652	0.1793462876438	0.242148638706979	0.74064545066811	0.458908442241616	0.997441538427896
SPAC1039.02	11.7615201777371	-0.00801774056874789	0.321943874448292	-0.0249041562989441	0.980131412016486	0.997441538427896
SPAC1039.03	125.752936388136	0.704984241083702	0.479888269220858	1.46905912542582	0.141816753069938	0.997441538427896
SPAC1039.04	95.1716315885752	0.249157719675772	0.480255447755573	0.518802484886297	0.603898484921973	0.997441538427896
SPAC1039.05c	12.8802572493683	-0.0302953844086675	0.328805438586652	-0.0921377229613054	0.926588617321219	0.997441538427896
SPAC1039.06	55.8551125181036	-0.0578860554528929	0.467752190587621	-0.123753681153631	0.901510306884346	0.997441538427896
SPAC1039.07c	156.449130752888	0.216367470714083	0.468893204738711	0.461442965108981	0.644480832188966	0.997441538427896
SPAC1039.08	62.9381898790305	-0.0920820113755708	0.472309316541997	-0.194961242877332	0.845423289062546	0.997441538427896
SPAC1039.09	5.79038795599305	0.156112413923534	0.227112083400328	0.687380484500053	0.49184299229265	0.997441538427896
SPAC1039.10	2.94776559367999	0.0480198130113813	0.181238253652671	0.264954070366444	0.791044844152312	0.997441538427896
SPAC1039.11c	5.89553118735998	0.159354151039221	0.228393340235952	0.697718028356663	0.485353551277648	0.997441538427896
SPAC105.01c	382.949629251048	-0.080394156645358	0.421152725878065	-0.190890742729359	0.848611193043933	0.997441538427896
SPAC105.02c	204.5501413646	-0.0500341947422107	0.458249464475245	-0.10918549528368	0.91305536461147	0.997441538427896
SPAC105.03c	141.111048245575	-0.576609018693507	0.474495683356138	-1.21520392896963	0.224288322295774	0.997441538427896
SPAC1071.01c	417.495860480833	-0.182612357891326	0.431545831297548	-0.423158665076793	0.672179502557452	0.997441538427896
SPAC1071.02	61.4993003363966	-0.0618696198211954	0.473408705414021	-0.130689653809993	0.896020817207486	0.997441538427896
SPAC1071.03c	146.230132501937	-0.42137599706522	0.473410026562299	-0.8900867607834	0.373419301253589	0.997441538427896
SPAC1071.04c	63.0959047260809	-0.0813451672874723	0.46527885283332	-0.17483100036058	0.861212428707578	0.997441538427896
SPAC1071.05	176.600001561382	-0.00583912626570122	0.464939022278535	-0.0125589076973692	0.989979704858863	0.997686786976795
SPAC1071.06	746.730337520618	-0.433268646460292	0.401339526514801	-1.0795563801621	0.28033977451998	0.997441538427896
SPAC1071.07c	1027.29814099895	-0.941948628282314	0.397500515426527	-2.3696790110362	0.0178035342837193	0.997441538427896
SPAC1071.08	292.551519058702	-0.676201389439161	0.451474274031289	-1.4977628368528	0.134194879459246	0.997441538427896
SPAC1071.09c	1535.34143467609	-0.508247429181522	0.438332838196479	-1.15950114819758	0.24625196877841	0.997441538427896
SPAC1071.10c	1820.26948150584	-0.776890023760602	0.350289708493005	-2.21784998224153	0.0265650628478113	0.997441538427896
SPAC1071.11	127.700072908304	-0.210246539427943	0.477117684406129	-0.440659707865656	0.659459370235206	0.997441538427896
SPAC1071.12c	30.9504770125809	-0.0429646177817372	0.4159033015049	-0.103304344125845	0.91772142795411	0.997441538427896
SPAC1071.13	18.7462462397454	-0.206222505738913	0.372457398142269	-0.553680788104904	0.579797325670464	0.997441538427896
SPAC1093.01	507.895767177799	0.565177614049849	0.418758475088957	1.34965056869545	0.177128095224553	0.997441538427896
SPAC1093.02	459.891876171958	0.37330690038003	0.41047479084715	0.909451466214497	0.363111865581194	0.997441538427896
SPAC1093.03	172.777716891952	-0.326092017857946	0.471262982863963	-0.691953388480074	0.488966601255821	0.997441538427896
SPAC1093.04c	51.1766697012934	-0.0986219425244635	0.46426649997485	-0.212425282741283	0.831775263061328	0.997441538427896
SPAC1093.05	295.392072265468	-0.651317762455286	0.435651445316966	-1.49504327245238	0.134903149176567	0.997441538427896
SPAC1093.06c	44.1051070497168	-0.190814480884779	0.452669491153118	-0.421531569089632	0.673366963873775	0.997441538427896
SPAC1093.07	0	NA	NA	NA	NA	NA
SPAC10F6.01c	809.943573572133	-0.0340813106779023	0.401711705046704	-0.084840223099648	0.932388415391343	0.997441538427896
SPAC10F6.02c	82.6634858309893	0.085552486865854	0.48013095042514	0.178185736183223	0.858577111342389	0.997441538427896
SPAC10F6.03c	990.496019192893	-0.170325513809815	0.375198943437933	-0.453960536906446	0.649857230667088	0.997441538427896
SPAC10F6.04	9.3616084105224	0.0816312279519816	0.297133091059872	0.274729508116392	0.783524058951514	0.997441538427896
SPAC10F6.05c	20.5407306337433	0.423315107143518	0.382560947080795	1.10652984935787	0.268497251668117	0.997441538427896
SPAC10F6.06	894.555345200672	-0.198740675930838	0.375212952689354	-0.529674347610754	0.596337736615221	0.997441538427896
SPAC10F6.07c	100.967300629802	-0.561758872449955	0.479962455338188	-1.17042253243357	0.241830972374778	0.997441538427896
SPAC10F6.08c	489.550440452291	-0.586828344217919	0.425781441215525	-1.37823842801282	0.16812968631939	0.997441538427896
SPAC10F6.09c	313.900892441781	-0.484952793426891	0.438534513556512	-1.10584863547894	0.268792040022026	0.997441538427896
SPAC10F6.10	49.4527844106115	-0.174545856602862	0.459865269872163	-0.379558683897533	0.704273034978123	0.997441538427896
SPAC10F6.11c	108.394458132743	-0.128415142079095	0.479209745579732	-0.267972726480641	0.788720312310663	0.997441538427896
SPAC10F6.12c	414.592989324558	0.211909983063584	0.423655092187862	0.500194585102772	0.616938070782229	0.997441538427896
SPAC10F6.13c	855.682822704918	0.169525603511135	0.387678691495124	0.437283779661301	0.661905557216645	0.997441538427896
SPAC10F6.14c	93.6677574685973	-0.264025772393113	0.479667061170473	-0.550435486958065	0.582020714202264	0.997441538427896
SPAC10F6.15	21.7465834491089	-0.121439551273837	0.397385419352269	-0.305596394230521	0.759911966209499	0.997441538427896
SPAC10F6.16	265.11851998173	-0.398497348257165	0.451350531795512	-0.882899919652046	0.377290347036342	0.997441538427896
SPAC10F6.17c	127.350711681056	0.165752486514774	0.475153814347985	0.34883964204775	0.727209700550602	0.997441538427896
SPAC110.01	9.41418002620586	0.0746199632973591	0.284916047564758	0.261901580957454	0.793397320724573	0.997441538427896
SPAC110.02	461.25483123947	0.216959926617393	0.423805331711413	0.511932980506083	0.608697915178963	0.997441538427896
SPAC110.03	480.148721171077	-0.399957831503501	0.415367799809084	-0.962900426290471	0.335597495638733	0.997441538427896
SPAC110.04c	350.641478256189	-0.246462751984607	0.425465260374078	-0.579278204213222	0.562401469781659	0.997441538427896
SPAC110.05	23.9016646255388	0.304345690224768	0.4005008494305	0.759912720928154	0.447306757217817	0.997441538427896
SPAC1142.01	751.481420467196	-0.404258705980501	0.390101508496174	-1.03629106059831	0.300066375357223	0.997441538427896
SPAC1142.02c	617.279211591839	-0.404460462286941	0.392516960154951	-1.0304279899836	0.302809139579996	0.997441538427896
SPAC1142.03c	15.280169016583	-0.117429253551589	0.359772690579412	-0.326398463881375	0.7441228995927	0.997441538427896
SPAC1142.04	78.8075487825781	-0.441441549887116	0.478255289404657	-0.923024919257314	0.355994219207666	0.997441538427896
SPAC1142.05	579.12927843178	-0.504533397133807	0.400160715510468	-1.2608269067347	0.207371217363268	0.997441538427896
SPAC1142.06	499.523989014313	-0.566316116030324	0.425573150486418	-1.33071392164435	0.18328316046195	0.997441538427896
SPAC1142.07c	125.387889479728	-0.250876436216633	0.47884108307392	-0.523924210107729	0.600331255147609	0.997441538427896
SPAC1142.08	264.518707134486	-0.350340906899609	0.451238692432538	-0.776398196287182	0.437513909319329	0.997441538427896
SPAC1142.09	151.078703127458	0.0192857228844818	0.477531804661794	0.0403862584569433	0.967785185474755	0.997441538427896
SPAC11D3.01c	548.311484985055	0.314540681777304	0.405544999175614	0.775599951711148	0.437985228906111	0.997441538427896
SPAC11D3.02c	272.416606582293	-0.423803173103721	0.4392521426093	-0.964828926243121	0.334630504982884	0.997441538427896
SPAC11D3.03c	35.6516700939256	0.419577105031858	0.440394032300498	0.952731132254681	0.340726315310696	0.997441538427896
SPAC11D3.04c	0	NA	NA	NA	NA	NA
SPAC11D3.05	273.902786655376	0.00687619457682244	0.447068255250898	0.0153806370639389	0.987728510985359	0.997686786976795
SPAC11D3.06	86.2872779012021	0.0277262897183656	0.480243721301273	0.0577337890920015	0.953960678770394	0.997441538427896
SPAC11D3.07c	465.187261071335	0.231223279159475	0.411565437242674	0.561814132665219	0.574242662101008	0.997441538427896
SPAC11D3.08c	142.713273664472	-0.090217074476991	0.473631071359127	-0.19047963685766	0.848933298500394	0.997441538427896
SPAC11D3.09	0	NA	NA	NA	NA	NA
SPAC11D3.10	14.6862563527165	0.43801624774815	0.332825132188186	1.31605520553204	0.188155514217358	0.997441538427896
SPAC11D3.11c	71.6535931641691	-0.238173666600888	0.478050407594743	-0.498218729274246	0.618329882812859	0.997441538427896
SPAC11D3.13	12.3208887135527	-0.0206987587242526	0.336322153497641	-0.0615444403795358	0.950925623156277	0.997441538427896
SPAC11D3.14c	96.5168926091925	0.12631058038651	0.480097073593796	0.263093835255033	0.792478255373777	0.997441538427896
SPAC11D3.15	146.779218021451	0.614684751562632	0.473943269733038	1.29695849865928	0.194645466753094	0.997441538427896
SPAC11D3.16c	161.458069846815	0.670695725732449	0.469974824715697	1.42708862360484	0.153554351223637	0.997441538427896
SPAC11D3.17	19.9816412520938	-0.403966640915691	0.374150384203824	-1.07969056820646	0.280279995344945	0.997441538427896
SPAC11D3.18c	65.0820355002762	-0.241083546854212	0.475479249845388	-0.507032739983091	0.612131846643418	0.997441538427896
SPAC11D3.19	253.997978130715	0.632497444816017	0.463763717809827	1.36383554928154	0.172619329090599	0.997441538427896
SPAC11E3.01c	207.323056372667	-0.3498150371101	0.454956053827183	-0.768898521444841	0.441953555236547	0.997441538427896
SPAC11E3.02c	106.506957811632	-0.358161517547494	0.479867069015575	-0.74637652940479	0.455439993264392	0.997441538427896
SPAC11E3.03	24.0298372756064	-0.0250628138385477	0.404888090749607	-0.0619005952784301	0.950641993445266	0.997441538427896
SPAC11E3.04c	149.64425070432	-0.285436769653481	0.479143166077241	-0.595723345050207	0.551360059982029	0.997441538427896
SPAC11E3.05	74.315192106565	0.550184585584329	0.477866916722332	1.15133432830634	0.24959471969015	0.997441538427896
SPAC11E3.06	91.2554392429622	0.118097062043852	0.480132389369565	0.245967705280035	0.805707232065215	0.997441538427896
SPAC11E3.07	1063.22740759874	0.238281643576133	0.370877451516766	0.642480804917203	0.520561048593465	0.997441538427896
SPAC11E3.08c	89.9045571931327	-0.421593768129122	0.480312814178197	-0.877748325017017	0.380080313074219	0.997441538427896
SPAC11E3.09	25.2767469973051	-0.391545540256761	0.410834590038067	-0.953049109668398	0.340565188901071	0.997441538427896
SPAC11E3.10	167.716260468913	-0.0368889928923735	0.473589214460329	-0.0778923838762032	0.937913657791556	0.997441538427896
SPAC11E3.11c	112.361432092659	-0.348143804431317	0.479256019319137	-0.726425522888399	0.467577949410414	0.997441538427896
SPAC11E3.12	43.3649942481502	0.083510340978239	0.456225269430072	0.183046285626752	0.854761701419951	0.997441538427896
SPAC11E3.13c	833.058678831394	-0.202705197950113	0.414546600036694	-0.488980485986788	0.624855512279601	0.997441538427896
SPAC11E3.14	143.935363966089	-0.40209825592511	0.471926412088648	-0.852035922603923	0.394194154440887	0.997441538427896
SPAC11E3.15	879.213881400716	-0.957429136800177	0.405133133492125	-2.36324570283212	0.0181156545919825	0.997441538427896
SPAC11G7.01	466.179214760489	-0.689797127646684	0.416096407677015	-1.65778198254026	0.0973614792608729	0.997441538427896
SPAC11G7.02	866.620776002231	-0.426213667754515	0.390871965148324	-1.09041759388597	0.275529235181076	0.997441538427896
SPAC11G7.03	109.123056224959	-0.219585854759337	0.478818492069674	-0.458599361545512	0.646521895197197	0.997441538427896
SPAC11G7.04	555.333934444085	-0.500210474157592	0.41893691507061	-1.19399951678472	0.232478157073324	0.997441538427896
SPAC11G7.05c	60.9925034162645	-0.0546634783485246	0.474036753038006	-0.115314852694854	0.908195566148689	0.997441538427896
SPAC11G7.06c	19.2941000662107	-0.0415371754409908	0.370012601726067	-0.112258812935626	0.910618197835122	0.997441538427896
SPAC11H11.01	18.2164199009127	0.159223899828497	0.376514005303714	0.422889713491694	0.672375728211838	0.997441538427896
SPAC11H11.02c	28.2360273003354	-0.465884986767753	0.420832503154886	-1.10705561779358	0.268269882621837	0.997441538427896
SPAC11H11.03c	99.3597941256717	-0.2571745995381	0.480206056726267	-0.535550511985104	0.592269238782939	0.997441538427896
SPAC11H11.04	15.280169016583	-0.117429253551589	0.359772690579412	-0.326398463881375	0.7441228995927	0.997441538427896
SPAC11H11.05c	5.89553118735998	0.159354151039221	0.228393340235952	0.697718028356663	0.485353551277648	0.997441538427896
SPAC11H11.06	540.943963681172	-0.174853917901982	0.408529681090041	-0.428007868205405	0.668645391938751	0.997441538427896
SPAC1250.01	393.424632858155	-0.455010747147623	0.422540365119423	-1.07684563347935	0.28154923468711	0.997441538427896
SPAC1250.02	101.672590149152	-0.028037982137623	0.480071217822331	-0.0584037973882442	0.953426990059225	0.997441538427896
SPAC1250.03	107.981289734627	-0.0362415267016632	0.478763804669715	-0.0756981341282999	0.939659260485937	0.997441538427896
SPAC1250.04c	32.2910152562962	-0.207700821065529	0.425770751382654	-0.487823131088828	0.625675125758173	0.997441538427896
