baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	682.166061050113	0.749354221704039	0.320023471980827	2.34156018952552	0.0192033292946622	0.0517245821450078
SPAC1002.02	1634.81624004424	0.874399559358993	0.265228689744607	3.29677592646922	0.00097801494148155	0.0042700163984678
SPAC1002.03c	4070.69364106942	-0.0727117857533097	0.248912271534322	-0.292118123807663	0.770196309951916	0.85365003180336
SPAC1002.04c	1424.06785581008	1.34284548157673	0.272305554179356	4.9313921841354	8.16456271935321e-07	8.99072220674447e-06
SPAC1002.05c	2238.16199083025	-0.494418029964673	0.259523027164334	-1.90510273930953	0.0567667174091612	0.124640802002647
SPAC1002.06c	176.507777588145	0.258761413609727	0.483798018674731	0.534854223501272	0.592750664482247	0.728830485276181
SPAC1002.07c	1487.94008356666	1.28931735580793	0.537750104269959	2.39761432972345	0.0165022301587833	0.045701735614803
SPAC1002.08c	2599.97333287274	0.918522386974519	0.278882172949573	3.29358587987122	0.000989181182573678	0.00430881742792
SPAC1002.09c	9629.05298316862	0.491375674896852	0.234756515334447	2.0931290200692	0.0363376387890812	0.0868088122231973
SPAC1002.10c	1533.96363087082	0.378645606285839	0.271692180819336	1.39365661957575	0.163421321943495	0.288989917116648
SPAC1002.11	1936.7475767354	1.05677631640856	0.262600326172484	4.02427648058	5.71507446143674e-05	0.000371422574718223
SPAC1002.12c	5830.76494629278	0.685549131136648	0.250656848707607	2.73501057190879	0.00623782726177526	0.0204749734918392
SPAC1002.13c	52242.4453541218	0.470678331704089	0.252408928872813	1.86474517286692	0.0622171316543013	0.134334326201664
SPAC1002.14	2499.42187136279	0.761336429813515	0.264529758793077	2.87807478934366	0.00400110269442803	0.0141346144205121
SPAC1002.15c	2360.85315761874	-0.438127281277038	0.250564593090437	-1.74856022502311	0.0803670667394031	0.164539392320634
SPAC1002.16c	547.001790994973	0.530432982671925	0.347148179806171	1.52797281831664	0.126519286864966	0.236553500895408
SPAC1002.17c	47941.5093775062	-0.228987814914897	0.258999464328631	-0.884124666081729	0.37662891928828	0.539133782940583
SPAC1002.18	20480.8757045634	1.06545708389836	0.273143639466566	3.90072082944761	9.59066968151622e-05	0.000582366659547317
SPAC1002.19	153237.690385391	-0.267012245049322	0.243488321841589	-1.09661212098311	0.272810986611675	0.427817229004673
SPAC1002.20	58.761917972765	-0.630596624011497	0.615547589801677	-1.02444820588879	0.305623622818385	0.465541291122604
SPAC1006.01	12828.5497537626	1.08165663011095	0.22560664439667	4.7944360548581	1.63133088186897e-06	1.64810157317791e-05
SPAC1006.02	1349.89336602798	0.445373779368863	0.281946826417303	1.57963749770914	0.114189906757047	0.218476618060828
SPAC1006.03c	5907.78606884783	-0.0105365903384021	0.243303648135614	-0.0433063392971779	0.965457337936615	0.977819533706571
SPAC1006.04c	1384.96243709988	-0.450117661492232	0.298997131804728	-1.50542468008088	0.132214927871243	0.245293484603228
SPAC1006.05c	8609.78108466025	-0.037301307530577	0.227371130522732	-0.164054721656265	0.869688065669932	0.918696546243514
SPAC1006.06	12725.8948363644	-0.178926192335024	0.236965705857376	-0.755072096562002	0.450205724518238	0.606949559182143
SPAC1006.07	16757.2655334656	1.17401674601235	0.247784423065803	4.73805710418112	2.15777014668294e-06	2.09824545298134e-05
SPAC1006.08	887.661704750553	1.03390048365561	0.314683741928142	3.28552240201753	0.00101793447468746	0.00440742523552929
SPAC1006.09	9851.5166112772	-1.16276510860489	0.234893408588923	-4.95018193822459	7.41441361071455e-07	8.24869411305224e-06
SPAC1039.01	32804.6887609321	-0.0592771085485952	0.234065029026849	-0.253250597900277	0.800074569065837	0.873909660709878
SPAC1039.02	23945.8946796318	-0.156102897152848	0.254581645081004	-0.613174202339598	0.539761160628924	0.683539489400629
SPAC1039.03	4649.16676840147	1.02344140479665	0.252684302782717	4.05027694053755	5.11570534828184e-05	0.00033754287781237
SPAC1039.04	3499.19282978932	0.239290882968356	0.246554299202419	0.970540297786087	0.331777248402404	0.492619693907931
SPAC1039.05c	5263.25755178863	0.0998844036188978	0.243106384557069	0.410867052302569	0.681170022894002	0.791949763247032
SPAC1039.06	10436.8306651912	0.619377235763903	0.24482298937341	2.5298981821483	0.0114095630787101	0.0334549846873933
SPAC1039.07c	4086.19562288622	0.612437062250548	0.248170232832388	2.46781032221613	0.0135942332340131	0.0386723122719076
SPAC1039.08	2810.3684118341	0.490452962012605	0.271638407674766	1.80553613979297	0.0709908255161036	0.149130747714634
SPAC1039.09	19202.3295201557	-0.33306828963888	0.241245129161894	-1.3806218214477	0.167395270271572	0.294553912908686
SPAC1039.10	4836.6210195784	0.594636108707022	0.274522021557716	2.16607799014771	0.0303052277836401	0.0749084250780066
SPAC1039.11c	4243.80591821097	0.552450023204158	0.252127136670311	2.19115653515138	0.0284404667196794	0.0708662570664006
SPAC105.01c	5624.31241088527	-0.218389986964617	0.239216683836072	-0.912937941712599	0.361275181149033	0.522925870326406
SPAC105.02c	6709.8351249399	0.857125636981745	0.233864216015689	3.66505680768299	0.000247283688167576	0.00132006749090938
SPAC105.03c	5289.29868763755	0.266508031149541	0.233622222250407	1.14076490062613	0.253967770536	0.403833037434787
SPAC1071.01c	6275.6015863484	-0.197806436673522	0.238736455958684	-0.828555638388779	0.40735589917669	0.569013282603174
SPAC1071.02	2571.67098063514	-0.294483423891719	0.260577067287097	-1.13012026329725	0.258425552445069	0.409615868318357
SPAC1071.03c	3107.67972165238	-0.664575640097484	0.26054599549477	-2.55070372060592	0.0107505673601193	0.0318393515514767
SPAC1071.04c	481.60342513185	1.26910221997387	0.360590175849968	3.51951413258112	0.000432338001865976	0.00214220342253836
SPAC1071.05	2990.55426970507	1.11173801714676	0.252582153454498	4.40149077019819	1.07509642256632e-05	8.45863728580275e-05
SPAC1071.06	2721.40323267221	0.457420588777256	0.259662847969921	1.76159428410122	0.078137870368921	0.161196637154205
SPAC1071.07c	3588.00812919529	2.61111380301845	0.277558030191735	9.40745184426733	5.08310178392594e-21	2.35492844075312e-18
SPAC1071.08	2031.16824235512	2.85314957388955	0.318454990842945	8.95934953425387	3.26599299959134e-19	8.1473963828267e-17
SPAC1071.09c	1654.22469469345	0.320099986416231	0.263210673332985	1.21613604176027	0.223933102857192	0.367517739152769
SPAC1071.10c	124362.734206431	-0.792192842125463	0.241409640827769	-3.281529434405	0.00103245747924798	0.00445667336866835
SPAC1071.11	4236.58216641884	-0.447919394482161	0.240296173666043	-1.86403049057563	0.0623174226385028	0.134399472731871
SPAC1071.12c	418.96369424803	1.25902525841886	0.377603478614231	3.33425227712246	0.00085529046825079	0.00381790363184764
SPAC1071.13	7474.39586752991	-0.396755203018732	0.235804848376738	-1.68255744421696	0.0924607957294997	0.184422649275405
SPAC1093.01	29203.5913362025	-1.09323654575957	0.233884804755648	-4.67425212553561	2.95026717795962e-06	2.69513139665438e-05
SPAC1093.02	5073.26125084145	0.96209739183699	0.236390872836663	4.06994305783441	4.70246299070244e-05	0.000315410289117849
SPAC1093.03	2871.3186424238	-0.283653132371223	0.258617051916676	-1.09680753944489	0.272725533686719	0.427786653323352
SPAC1093.04c	3492.51493872419	-0.358390304215159	0.25073970887507	-1.42933205842448	0.152908815953816	0.275365467810182
SPAC1093.05	3828.46474386189	0.135553219142935	0.258979218404774	0.523413500040265	0.600686531573555	0.733362703195208
SPAC1093.06c	10221.2929840022	-0.391518573820461	0.236210904053672	-1.65749576798326	0.0974192837859887	0.1922304455844
SPAC1093.07	2949.64855076622	-0.137867066943455	0.25873990279868	-0.532840375420279	0.594144082057752	0.729597091174924
SPAC10F6.01c	29521.3915383297	-0.570144648185186	0.246160077124723	-2.31615400370674	0.0205498615710636	0.0546703864437729
SPAC10F6.02c	4340.51606949751	-0.125779198746391	0.265586048625339	-0.473591137024773	0.63579149690196	0.759017789233593
SPAC10F6.03c	14437.0132418722	0.706321648789518	0.246303979088781	2.8676826554025	0.00413490048795563	0.0145517984616822
SPAC10F6.04	3413.16754013904	0.835614245103604	0.254495920347696	3.28340919556579	0.00102559679150925	0.00443172604245771
SPAC10F6.05c	3124.06004003827	1.20606584290467	0.254802046373889	4.73334441409835	2.20850266445968e-06	2.12843213695178e-05
SPAC10F6.06	16083.5233025674	0.91744381574439	0.247949707108931	3.70012058671774	0.000215497044088602	0.00117188745025022
SPAC10F6.07c	657.958249891717	-2.22937816380036	0.357770399662817	-6.23130970561413	4.62551624982496e-10	1.18953752647182e-08
SPAC10F6.08c	2721.96227364064	1.23462077348519	0.266901801695757	4.62574911687009	3.73246881748616e-06	3.30721212434634e-05
SPAC10F6.09c	5203.63760515132	-0.290960081987489	0.265976810276067	-1.0939302628883	0.273985564792949	0.429244051508953
SPAC10F6.10	1830.83228283252	0.898153749158642	0.268512542222468	3.34492289158882	0.000823054491207516	0.00369757283436886
SPAC10F6.11c	3147.11195854677	-0.195776538864663	0.265208043128363	-0.738199854556845	0.460393011259229	0.615692591964404
SPAC10F6.12c	759.400571607141	-0.0597841754594062	0.318152898013208	-0.187910202398735	0.85094704485068	0.909265656161698
SPAC10F6.13c	15694.3438704054	0.970016132654403	0.235926454692264	4.11151913387443	3.93064293102661e-05	0.000269533403173504
SPAC10F6.14c	2612.16435070637	0.866552428735953	0.27194604739937	3.18648657343184	0.00144012171960464	0.00591981178620361
SPAC10F6.15	73.6351171169503	-0.206294141600557	0.596692165777291	-0.345729596318438	0.729545939663328	0.824505134109835
SPAC10F6.16	6392.06443766428	1.71920022139209	0.253500594400041	6.78183901485879	1.18655653255081e-11	5.20000383116525e-10
SPAC10F6.17c	2564.79467613583	1.07956762723354	0.256184992644962	4.21401588003898	2.50869635422611e-05	0.000180592725344179
SPAC110.01	33213.2006503681	-0.981379305482766	0.220576159973983	-4.44916307183205	8.62055472341167e-06	6.98703542484018e-05
SPAC110.02	3944.47374743658	-0.49602444891319	0.233482355121073	-2.12446224750463	0.0336315096700219	0.081545409988696
SPAC110.03	8408.17608377518	-0.0160263704707902	0.233301203686968	-0.0686939039212738	0.945233270708969	0.965933983585689
SPAC110.04c	12728.1176781977	-0.163481266401988	0.24056213142619	-0.679580220846803	0.496770297044383	0.647258366136976
SPAC110.05	1937.38219786006	-0.876426103919433	0.254316193263933	-3.44620644352704	0.000568515867469325	0.00270336797390472
SPAC1142.01	3570.75779394949	0.228181099788471	0.258027831551037	0.884327471253184	0.376519462860703	0.539096078612477
SPAC1142.02c	6396.1718323391	0.636718895767138	0.256542401540398	2.48192459392282	0.0130674925002411	0.0375357645511798
SPAC1142.03c	2354.71674389074	1.24135335627279	0.248513524724509	4.99511387820402	5.88010595335411e-07	6.67922368011467e-06
SPAC1142.04	5361.17190226847	0.874657320252917	0.248573147653586	3.51871201096849	0.000433647168502754	0.00214705002664798
SPAC1142.05	6760.33452828973	0.674371397083954	0.232705584482199	2.89795966256899	0.00375598893793539	0.013451874241551
SPAC1142.06	4252.95500680449	0.826313084772641	0.231093554151467	3.57566478998824	0.0003493390408172	0.00178410473916563
SPAC1142.07c	2523.15048408121	1.82010503103756	0.266853195415535	6.82062295789019	9.06465641982402e-12	4.05471458889507e-10
SPAC1142.08	6073.8528343017	0.812055616724859	0.235424414403266	3.44932626797942	0.000561987227452275	0.00268018320386431
SPAC1142.09	0	NA	NA	NA	NA	NA
