baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	901.300067763327	0.606527050890475	0.295624170883833	2.05168288194138	0.0402004914254528	0.0726891436121302
SPAC1002.02	404.689121351687	-1.03480967547931	0.415664174150907	-2.48953299281361	0.0127911045889072	0.0263566865111135
SPAC1002.03c	726.823793798905	-1.96156099490405	0.363499447386352	-5.39632455842271	6.80198579896548e-08	4.27836966693685e-07
SPAC1002.04c	357.74212063279	1.30421412882245	0.412766338239069	3.15969110850087	0.00157936483780687	0.00404763101120063
SPAC1002.05c	1000.6222354202	-0.956452389896433	0.304362760574041	-3.1424750783983	0.00167525973759193	0.00426633692921206
SPAC1002.06c	246.0362142835	1.63667975721034	0.490212086326817	3.33871767518842	0.000841660584603642	0.00228566876944441
SPAC1002.07c	271.413079851581	-0.967601064671384	0.450279583406078	-2.14888949072951	0.0316431610880799	0.0589129512224373
SPAC1002.08c	409.07773571655	-1.59468225313097	0.420509810963546	-3.79225932797371	0.000149282902021387	0.0004819087590965
SPAC1002.09c	264.910168618901	-2.06607171116015	0.4925219510953	-4.19488249521773	2.73013082547793e-05	0.000100759280351257
SPAC1002.10c	1447.47126823626	1.04907111618921	0.27235087448164	3.85191021760397	0.000117199996068606	0.000384829728377984
SPAC1002.11	330.266957164009	-2.64437094820156	0.498220715008257	-5.30762946730896	1.11060117980934e-07	6.69332180898345e-07
SPAC1002.12c	412.16924480432	-1.82666971809041	0.409931964429588	-4.45603143105023	8.34907965349826e-06	3.44732752487355e-05
SPAC1002.13c	4273.10193683659	-1.4268920877647	0.232760563388814	-6.13030002587316	8.77135038392203e-10	7.86623461614977e-09
SPAC1002.14	554.087794717852	-1.87676499279094	0.381485640419438	-4.91962158976012	8.67116890359558e-07	4.37005285507786e-06
SPAC1002.15c	112.757881025595	-1.743155898266	0.664444586788287	-2.62347821462714	0.00870370111201274	0.0187032673281071
SPAC1002.16c	58.7722092569651	0.67905539642827	0.806302021364097	0.842184911405093	0.399684458212875	0.512466581742012
SPAC1002.17c	13202.2572971556	-0.846958858240707	0.240673861771928	-3.51911442316623	0.000432989917611704	0.00124931405947223
SPAC1002.18	2551.33008520215	-1.18292051601019	0.264816869672263	-4.46693791628218	7.93471444036212e-06	3.28883740842189e-05
SPAC1002.19	18649.7642500008	-1.08797378756468	0.23469556595996	-4.63568104968073	3.55764176030487e-06	1.56807850184944e-05
SPAC1002.20	558.271448067245	0.709943987419699	0.35285152640312	2.01201903434198	0.0442179305490864	0.0790470386868655
SPAC1006.01	1248.47723074633	-2.15555964245643	0.305530892622561	-7.05512828491394	1.72441559144878e-12	2.55735578309812e-11
SPAC1006.02	152.682013931577	-1.82012002022165	0.593120987989137	-3.06871626039136	0.00214980666929907	0.00535051960111153
SPAC1006.03c	426.31249386723	-2.16122453830279	0.417259222679149	-5.1795728430541	2.2239455892964e-07	1.25699581996421e-06
SPAC1006.04c	647.270518911844	-0.970756750287833	0.359352403709403	-2.70140603003411	0.00690469887439301	0.0152068762268097
SPAC1006.05c	331.179939546708	-3.79177099274185	0.583885784437068	-6.49402861622594	8.35708631074284e-11	9.12785812251068e-10
SPAC1006.06	350.957900800543	-1.5337581854482	0.421364232310932	-3.63998191549494	0.000272657189926893	0.00082692372892462
SPAC1006.07	4265.23113818014	-1.94865805999997	0.270267599829304	-7.21010606240151	5.59083126186111e-13	9.19855341964223e-12
SPAC1006.08	2178.13648922668	-0.515037823705332	0.264358442442089	-1.94825562954418	0.0513843834341138	0.0903102536789833
SPAC1006.09	560.734287115784	-1.00204301695451	0.354164647919482	-2.82931405729213	0.00466478980259521	0.0107187387574913
SPAC1039.01	3548.01660761223	-3.07798316188096	0.254249723903582	-12.1061416100031	9.79964362125292e-34	7.92056195687768e-31
SPAC1039.02	6214.55397025888	-1.20031403089927	0.25318365439601	-4.74088279420215	2.12789009063542e-06	9.73050730272181e-06
SPAC1039.03	639.247612053622	-1.41629643253121	0.345297345077381	-4.10167194368036	4.10175537413428e-05	0.000146207002476032
SPAC1039.04	216.994064380034	-3.18025525787501	0.615792220598151	-5.16449404766085	2.41090148373481e-07	1.35673533453693e-06
SPAC1039.05c	507.634754519663	-2.59612193670602	0.410771901289455	-6.32010594823193	2.61384033145435e-10	2.58031932567692e-09
SPAC1039.06	792.705747697865	-2.92638358547682	0.366052485764907	-7.99443713477815	1.30167154293108e-15	3.27494482357681e-14
SPAC1039.07c	632.848892522757	-1.05735406012327	0.336336787904721	-3.14373597580649	0.00166805865025633	0.00425302335668668
SPAC1039.08	225.941978348035	-1.70401660669735	0.509974395069183	-3.3413767890566	0.000833640073912123	0.00226674378381656
SPAC1039.09	2622.62381888447	-1.41429154926459	0.252093246141921	-5.61019214480812	2.02102095137539e-08	1.41888398171479e-07
SPAC1039.10	2301.75191979183	-0.598171591960334	0.253783164823521	-2.35701841127365	0.0184223334527508	0.0364790840030593
SPAC1039.11c	220.92967555455	-1.76555933826874	0.518003988468853	-3.40838946720754	0.000653475533773966	0.00182285280473791
SPAC105.01c	224.754814771842	-2.56744299125103	0.555965361611692	-4.61799091908937	3.87473205128412e-06	1.69972981299885e-05
SPAC105.02c	829.478811836823	-2.95110000872759	0.372076851301902	-7.93142599009225	2.16643693822961e-15	5.34663406205828e-14
SPAC105.03c	81.2145544783263	-2.32291161072101	0.792244710845012	-2.93206326141753	0.00336718149878399	0.00803995405138009
SPAC1071.01c	495.247723161916	-2.12716923958742	0.398200887935857	-5.34195001576708	9.19520126970023e-08	5.61967593666179e-07
SPAC1071.02	302.519960576223	-1.4646849581448	0.464572280172488	-3.15276012077385	0.00161734652513334	0.00413186986626322
SPAC1071.03c	374.776598723775	-2.79933321922917	0.481316339899505	-5.81599456983665	6.02744229411201e-09	4.72405356045191e-08
SPAC1071.04c	451.083723770823	-0.383784815397401	0.36720058882645	-1.0451639432931	0.295947204929332	0.403711946639887
SPAC1071.05	402.48501093967	-1.70418679901794	0.422375342238263	-4.03476867278064	5.46561179144402e-05	0.000189799386914485
SPAC1071.06	206.822197665249	-1.96411119411665	0.545231334575854	-3.60234467383386	0.000315359838178256	0.000937956170037077
SPAC1071.07c	1252.09501683262	0.591336151221577	0.289513131295633	2.04251927563776	0.041100049377937	0.0740671458410648
SPAC1071.08	1925.81384839045	1.364758786272	0.26289792850743	5.19121163875366	2.08929973348971e-07	1.18920880957258e-06
SPAC1071.09c	2862.14976864457	0.788475227998083	0.298707430865101	2.63962374727184	0.00829981158503101	0.0179366917475971
SPAC1071.10c	4099.26845556222	-1.90976422299055	0.246245115100179	-7.75554155546847	8.79672661169378e-15	1.95462660725814e-13
SPAC1071.11	247.15638768105	-2.71749038844653	0.548014130611342	-4.95879620004507	7.09313287256693e-07	3.64870303532361e-06
SPAC1071.12c	95.07655125836	-0.241550501125091	0.669559128892868	-0.360760522411964	0.718278476677212	0.794591724584235
SPAC1071.13	392.198167685616	0.130176082848991	0.413435839001107	0.314864050401403	0.752864877905433	0.820776310999247
SPAC1093.01	400.604804527902	-0.924162792636796	0.403220938790796	-2.29195139371539	0.0219084481265305	0.0426173362172522
SPAC1093.02	302.708860780474	-2.81684084004261	0.520775412113091	-5.40893593384725	6.34003027594626e-08	4.00729577363329e-07
SPAC1093.03	247.537346611633	-1.13443535486448	0.4741339833014	-2.39264721538287	0.0167273160668004	0.0334649831955233
SPAC1093.04c	32.8986844138399	-0.412522993793072	0.944304810115412	-0.436853640237895	0.662217494923114	0.75347052189221
SPAC1093.05	350.233653131823	-3.23094192785956	0.531818821763647	-6.07526810943796	1.23780733833296e-09	1.08303954663882e-08
SPAC1093.06c	413.651626554107	0.26371329276041	0.376825914766235	0.699827911050133	0.48403478182194	0.595692595976525
SPAC1093.07	358.981963258791	-0.935166923198268	0.416005373547013	-2.24796837412145	0.0245782066292505	0.0470324605104273
SPAC10F6.01c	1667.13202449544	-1.4170906217418	0.272742329457592	-5.19571210145484	2.03937665790283e-07	1.16489482950527e-06
SPAC10F6.02c	238.848610335808	-0.954003409361669	0.503599173866546	-1.8943704812639	0.0581758517186797	0.100740508091318
SPAC10F6.03c	1562.01558058341	-2.81600875650546	0.305554416018712	-9.216063027978	3.08209033946917e-20	1.74814001184278e-18
SPAC10F6.04	47.2477362011543	-0.252897446730182	0.841581610303021	-0.300502581846012	0.763793827352352	0.828988311867217
SPAC10F6.05c	670.335913046236	-0.766724902876906	0.336565186033397	-2.27808738007984	0.0227213720011673	0.044013298789559
SPAC10F6.06	5111.92515532964	-1.37639089763775	0.242239959823119	-5.68193166248365	1.33181879162678e-08	9.71957145221081e-08
SPAC10F6.07c	309.123099982774	-2.43141597861475	0.486823808710528	-4.99444754983316	5.90044240391792e-07	3.09175531472717e-06
SPAC10F6.08c	407.86998421591	0.572892495206462	0.380637512064402	1.50508680056087	0.132301762076493	0.20693352529913
SPAC10F6.09c	791.997179834807	-0.614507611498909	0.314413382727564	-1.95445755574397	0.0506471297302131	0.0891113852613763
SPAC10F6.10	214.555280227385	-2.49890209842083	0.559386007198503	-4.46722310937978	7.92414754195972e-06	3.28656433651774e-05
SPAC10F6.11c	24.8102266280657	-1.28958170351755	1.0375960566951	-1.24285524718074	0.213921179610621	0.308960095457288
SPAC10F6.12c	197.044105442101	-1.25674824506594	0.520063982692333	-2.41652621002486	0.0156693980797488	0.0315436886624084
SPAC10F6.13c	2252.06814206204	-1.549746902232	0.252897352115006	-6.12796808377514	8.90084342856481e-10	7.96982187217986e-09
SPAC10F6.14c	2196.75103326517	-0.558743202796579	0.248505986398937	-2.24840942825258	0.0245500945422353	0.0470064883950529
SPAC10F6.15	10.2661794849827	0.0991533123866247	1.14324294048532	0.0867298706821955	0.930886232501772	0.951909723848096
SPAC10F6.16	1556.39623130381	-1.67430025863993	0.303943956896225	-5.50858216013679	3.61735399798076e-08	2.39649702366225e-07
SPAC10F6.17c	185.719401717596	-2.76889249396873	0.622780201621877	-4.4460188149171	8.74762902016382e-06	3.59353044754633e-05
SPAC110.01	1795.87205289982	-1.3380786922389	0.256925093148394	-5.20804984768868	1.90835664257888e-07	1.10075236850268e-06
SPAC110.02	2533.55199205106	0.428351374995842	0.27486164833458	1.55842540271178	0.119132438731085	0.188894151259244
SPAC110.03	808.15915893382	-2.91308525666305	0.363108130175886	-8.02263847755757	1.03497618819738e-15	2.64512096161432e-14
SPAC110.04c	691.344339907001	-3.09773788182385	0.390681379176823	-7.92906457008747	2.20802725855353e-15	5.42855675049701e-14
SPAC110.05	1685.59526605161	0.28075365784636	0.255721449900973	1.09788857350481	0.272253148085548	0.377441864391329
SPAC1142.01	122.212338556304	-1.85589557533589	0.649578758564422	-2.85707552912821	0.00427564083449109	0.00993398980805583
SPAC1142.02c	842.638279502943	-1.77316863032051	0.326509021682266	-5.43068801341124	5.6137201038668e-08	3.60459922458815e-07
SPAC1142.03c	2058.36848892044	0.437136340306898	0.265729504150714	1.64504254694641	0.099961037284978	0.162021683502466
SPAC1142.04	515.661052419021	-2.98436747140503	0.434973013670354	-6.86104051886479	6.83607683271011e-12	9.0578018033409e-11
SPAC1142.05	2102.41456315237	-1.23355406997707	0.251145400007855	-4.91171277649713	9.02842414215556e-07	4.52563079353679e-06
SPAC1142.06	581.920237785154	-0.859799710245106	0.352910390617525	-2.43631169017331	0.0148378929017573	0.0300710316410338
SPAC1142.07c	341.823047319863	-0.759665228826984	0.413858499348611	-1.83556754306762	0.0664216411214595	0.11277378092575
SPAC1142.08	614.968314950382	-2.70470174594557	0.391892332540094	-6.90164497073659	5.1403775498583e-12	6.96806734536347e-11
SPAC1142.09	567.086655353096	-1.10344474989443	0.372152884082225	-2.96503076313827	0.00302652663169542	0.00728303729086065
SPAC11D3.01c	156.605084208894	-3.05010289015106	0.686224736531117	-4.44475800387115	8.79908551004716e-06	3.61237377193428e-05
SPAC11D3.02c	1114.05916306494	0.379928664252499	0.280062335799954	1.35658607276588	0.174912769484002	0.262044941492946
SPAC11D3.03c	650.193359683917	-0.380914046352136	0.325440515241941	-1.17045674558668	0.241817211156898	0.342159051886559
SPAC11D3.04c	88.6513812562687	-0.447364296059011	0.672668799444166	-0.665058787368573	0.506012893091571	0.61745222999247
SPAC11D3.05	304.150063221571	-3.06246641945745	0.531306709909381	-5.76402737315284	8.2130085818217e-09	6.2111477766151e-08
SPAC11D3.06	285.633326811953	-1.52428244605782	0.456134279165447	-3.34174061385318	0.000832548223536291	0.00226495245629018
SPAC11D3.07c	164.60844075327	-0.33250428215058	0.558983788391823	-0.594837075878682	0.55195238178396	0.659690221925155
SPAC11D3.08c	1330.08085631502	-0.647505491475712	0.278613469063145	-2.32402795763244	0.0201239956701296	0.0395146541157176
SPAC11D3.09	183.240299664493	0.159096770784451	0.5056816569201	0.314618433568353	0.753051381470173	0.820841239478445
SPAC11D3.10	3.17379713088739	0.447060779793066	1.02612635410922	0.435678099488207	0.663070297588914	0.75347052189221
SPAC11D3.11c	307.895453015855	-2.17977311649918	0.488800588502185	-4.45943226700807	8.21770371774894e-06	3.39742149865503e-05
SPAC11D3.13	209.812034057695	0.126599914593593	0.48332741046475	0.261934067575144	0.793372274166517	0.850596107570999
SPAC11D3.14c	248.426355384795	-1.1041970500259	0.474063416322477	-2.32921801600227	0.0198475189668001	0.0390547953862841
SPAC11D3.15	402.087831149325	-2.64174349537934	0.465240819704648	-5.67822809928074	1.3609715319535e-08	9.90995712343617e-08
SPAC11D3.16c	1152.84895440363	-1.45360741773097	0.321095265525825	-4.52702849838207	5.98188756219175e-06	2.52143969863962e-05
SPAC11D3.17	1313.79961679466	-2.59231646419679	0.315504587157996	-8.21641449827361	2.09677841459901e-16	6.13473720760053e-15
SPAC11D3.18c	230.671646009926	-0.959597326330628	0.487984957513838	-1.966448579111	0.0492468165885701	0.0870502777642685
SPAC11D3.19	9.50103607295337	0.936635160406975	1.14851528352002	0.815518238065002	0.414775729295918	0.52835694752313
SPAC11E3.01c	426.328075211402	-1.85267374892559	0.402075641041318	-4.6077741594279	4.07002372739881e-06	1.78297922908948e-05
SPAC11E3.02c	262.359193238037	-0.798645396349263	0.457629445230081	-1.74517921579048	0.0809536779385109	0.134647145567793
SPAC11E3.03	194.296524608059	-1.20820349331086	0.517762563142105	-2.33350879209715	0.0196214574202	0.0386688033157614
SPAC11E3.04c	335.474359130798	-1.15113778053214	0.421878576737732	-2.72859975359159	0.00636038499310686	0.0141711314346785
SPAC11E3.05	253.757229973755	-1.25889539205292	0.475369647574864	-2.64824520975471	0.00809108139788144	0.0175499400034894
SPAC11E3.06	530.744988397373	0.485632790742098	0.34668495436092	1.40078992362768	0.161276902715865	0.244792594591734
SPAC11E3.07	1225.96865285135	-2.39405746098344	0.303432033321344	-7.88992986263931	3.02356414573102e-15	7.16130614150065e-14
SPAC11E3.08c	142.442346590557	-1.48967085058126	0.614818385503916	-2.4229445405415	0.0153952767941946	0.0310983629338525
SPAC11E3.09	170.564145284671	-1.73238671941706	0.563159385809464	-3.07619257188973	0.00209662386757705	0.00522821825212233
SPAC11E3.10	496.917456691281	-1.88353227406642	0.383525249230775	-4.91110370919297	9.05651692458318e-07	4.53597509173934e-06
SPAC11E3.11c	338.062137939826	-1.58729233159466	0.440001317178249	-3.6074717725257	0.000309195163549519	0.000921316095627277
SPAC11E3.12	6.85080845608227	-0.198342123283461	1.13673610458436	-0.174483877553958	0.861485200265006	0.903586472420514
SPAC11E3.13c	656.932229130139	-3.43273010586834	0.436423528057049	-7.86559359242341	3.67351336534411e-15	8.51359764168997e-14
SPAC11E3.14	485.273603328446	-2.55201816529153	0.416780365438525	-6.1231727233752	9.17301619993728e-10	8.16979652187251e-09
SPAC11E3.15	6998.73148277352	1.40085982036264	0.261845132519517	5.34995555152517	8.79758367502071e-08	5.39050847652902e-07
SPAC11G7.01	2192.29974837118	-1.04807450292882	0.274605840438427	-3.81665044434413	0.000135275605348273	0.000439985947777632
SPAC11G7.02	603.023370155081	-1.94691900781093	0.379839706658329	-5.12563319127194	2.96539443144807e-07	1.64444600289393e-06
SPAC11G7.03	689.226315490091	-2.03896717064631	0.35338192610689	-5.76986829266861	7.93335128305324e-09	6.0278553932106e-08
SPAC11G7.04	4789.96402474214	0.201048291033048	0.227442379481412	0.8839526366698	0.376721781048709	0.488838658691743
SPAC11G7.05c	23.4749351597758	-1.93301922517883	1.0797126381123	-1.79030897383808	0.0734042544296278	0.123537717111393
SPAC11G7.06c	242.053570155039	-0.220497429579139	0.458303149936372	-0.481116984707068	0.630433357284378	0.730141875013575
SPAC11H11.01	89.2321711908927	-0.641324793161742	0.687198676395603	-0.933245093726792	0.35069343695157	0.463908298553366
SPAC11H11.02c	38.4914882205215	-1.19010855363539	0.92028291985463	-1.29319856748333	0.195942390998176	0.287293310701634
SPAC11H11.03c	81.549285460828	-1.0570336564141	0.738874654867853	-1.4305994250177	0.152545052361835	0.233457114454822
SPAC11H11.04	84.229292917326	-0.317113841270825	0.695339662616324	-0.456056023149369	0.648349692664779	0.744349975171782
SPAC11H11.05c	64.6790998050122	0.691595221807636	0.77706420360994	0.890010398876633	0.373460302373424	0.485874107675364
SPAC11H11.06	816.978371892415	-1.97506970080338	0.350435048640958	-5.6360506988756	1.73994174491511e-08	1.24177299366679e-07
SPAC1250.01	419.656330172753	-1.82719358289963	0.433774787099177	-4.21230933019135	2.52773060970466e-05	9.39868092142055e-05
SPAC1250.02	46.8522281809535	-1.92251423392235	0.915713436703871	-2.09947146876263	0.0357753603437099	0.0656236822645187
SPAC1250.03	376.462718688858	-1.2591105062497	0.411023244223787	-3.06335596330449	0.00218869540601386	0.00543278436110731
SPAC1250.04c	62.4191518211057	-0.465728377734082	0.790647257676367	-0.589046977918839	0.555829760235933	0.663221116384119
SPAC1250.05	1895.73360203768	-0.476126794178138	0.257440035689307	-1.849466781277	0.0643904401864257	0.109941533204497
SPAC1250.07	321.194945230136	0.202537826889991	0.414335394789406	0.488825790499832	0.62496503741737	0.72614985299923
SPAC1296.01c	360.016850311051	-1.88286090570072	0.428842526422822	-4.39056481036652	1.13056610929738e-05	4.49031969454353e-05
SPAC1296.02	441.418751212909	-0.805917469793737	0.37960881647991	-2.12302094895203	0.0337520964334183	0.0623545872967094
SPAC1296.03c	155.429594765619	-1.87656961781836	0.595207231455684	-3.15280043427711	0.00161712319777512	0.00413186986626322
SPAC1296.04	427.005124435907	-2.46290772211303	0.463757642504686	-5.31076471066058	1.09166195110293e-07	6.60307406532415e-07
SPAC1296.05c	148.93938992041	-0.0982163545164337	0.55201715524459	-0.17792264893093	0.858783723361706	0.902481334013794
SPAC1296.06	286.757463737448	-1.81145253995078	0.464585254679275	-3.89907454381288	9.65610462067349e-05	0.000322443831884228
SPAC12B10.01c	643.656410806192	-0.360859429951699	0.333051757245023	-1.08349354747953	0.278589413361278	0.384248964759817
SPAC12B10.02c	305.272769797501	-0.919755389579333	0.434311542426108	-2.11773185773854	0.0341977832022127	0.0630698420380796
SPAC12B10.03	676.256300901411	-0.346126272150635	0.325052979718629	-1.06483033150549	0.286952716572159	0.393851892455016
SPAC12B10.04	634.784628057054	-0.54794754243653	0.359530507793816	-1.52406410737964	0.127492697705118	0.200332389638224
SPAC12B10.05	257.27834648519	-2.76801069677658	0.543665952363555	-5.09138136155634	3.55464259071188e-07	1.9478236433511e-06
SPAC12B10.06c	497.278467213008	0.496826328675226	0.37586157524592	1.32183325297395	0.186223682654766	0.275479828882571
SPAC12B10.07	289.97335435647	-1.16195322341304	0.444398553370597	-2.61466472966679	0.00893150796485584	0.0191165609072353
SPAC12B10.08c	184.31234073908	-1.34515752404919	0.529571559174035	-2.54008641655003	0.0110825082005362	0.0232133132570998
SPAC12B10.09	186.536352059105	-1.32154527097458	0.530080513078391	-2.49310291242331	0.0126632137348005	0.0261264645849457
SPAC12B10.10	78.7709963501414	-0.220678041969081	0.710120356535484	-0.3107614645012	0.755981967007853	0.823143799731701
SPAC12B10.11	311.837035910735	-0.0380541851790191	0.428148455681685	-0.0888808184965431	0.929176627833439	0.951200522478204
SPAC12B10.12c	246.226379347042	-3.04420509697343	0.574284408581877	-5.30086669859401	1.15254220727342e-07	6.90670798167742e-07
SPAC12B10.13	462.506481986509	-0.375422254452678	0.388668684916755	-0.96591845194085	0.334084988399571	0.446690143712081
SPAC12B10.14c	405.760646341838	-2.1290788996742	0.434543531600657	-4.89957563476244	9.60438727113024e-07	4.78443513829955e-06
SPAC12B10.15c	260.752651849643	0.380012709816073	0.44507606299948	0.853815204653045	0.393207388547127	0.506570825731365
SPAC12B10.16c	289.941902746698	-1.99318696073055	0.474586242020249	-4.19984142870603	2.67101976150482e-05	9.87467911829054e-05
SPAC12G12.01c	137.105315177343	-1.63810361030044	0.629364905545001	-2.60278829637303	0.00924690336054261	0.0197003219536305
SPAC12G12.02	1995.07121698116	0.174072503245662	0.275104806534177	0.632749770673443	0.526897062587365	0.638357955160185
SPAC12G12.03	3002.43784544793	0.854940181743916	0.234577244474222	3.64459981470141	0.000267808185859781	0.000813744233914166
SPAC12G12.04	2020.99881979095	-2.2608777193737	0.268707777427403	-8.41389014125028	3.96632212696778e-17	1.37883004693407e-15
SPAC12G12.05c	42.11772487079	0.138423439754872	0.871788400350848	0.15878100660569	0.873841413490004	0.912067567332747
SPAC12G12.06c	756.062658329131	-1.20056924323627	0.335418750101994	-3.57931464138841	0.000344496494908105	0.00101481290937394
SPAC12G12.07c	462.850306422701	-1.42041982259703	0.41048778937978	-3.4603217424401	0.000539530318018378	0.0015254057876287
SPAC12G12.08	49.405102580654	-0.74267497915408	0.846078365943831	-0.877785095386051	0.38006035440133	0.49239905527111
SPAC12G12.09	275.663980954019	-2.60871947060332	0.524733864734124	-4.97150964694288	6.64335580602076e-07	3.4309855145152e-06
SPAC12G12.10	679.424126311936	-0.940139761352158	0.347586423880865	-2.70476548207876	0.00683526266584537	0.0150842349479031
SPAC12G12.11c	159.147605651658	-1.6602521467162	0.587588654677248	-2.82553472314428	0.00472017717265437	0.0108344570814282
SPAC12G12.12	178.847887347641	-1.65918276627291	0.554923709311193	-2.9899294955921	0.0027904184683033	0.00676775912079861
SPAC12G12.13c	390.127366682587	-2.6014869320526	0.469321966639833	-5.54307515303036	2.97205224085243e-08	2.00388840347777e-07
SPAC12G12.14c	1265.24850404822	-0.457211909631857	0.282800551982687	-1.61672919810937	0.105936748384105	0.170522035113673
SPAC12G12.15	788.711093014213	-3.1288319388291	0.377667534031399	-8.28461982270621	1.18486968469134e-16	3.66572601971972e-15
SPAC12G12.16c	170.954713839063	-2.19347113713449	0.61302987152801	-3.57808198100876	0.000346124896013565	0.00101914552715105
SPAC12G12.17	179.912279489991	-0.441791330246936	0.524579183643434	-0.842182351153356	0.399685891080261	0.512466581742012
SPAC1327.01c	872.101635663184	-3.48015910128615	0.386142875446548	-9.01262025684556	2.01190938468363e-19	1.03246080010828e-17
SPAC139.01c	603.156845140023	-2.87268536148181	0.416619599007238	-6.895223768462	5.37800801389413e-12	7.24462496204988e-11
SPAC139.02c	515.991463837685	-1.6444032928512	0.384860238314631	-4.27272845865378	1.93095549439787e-05	7.35309671777187e-05
SPAC139.03	163.327831171161	-1.86053220351793	0.586203565247979	-3.17386708955084	0.0015042255434963	0.00387502883037733
SPAC139.04c	124.436638797757	-1.59823362182209	0.641363284843215	-2.49193188882459	0.0127050398523013	0.026196041991384
SPAC139.05	204.274551652785	-1.35123542241357	0.509370624772695	-2.65275490320344	0.00798378201084319	0.0173464833609248
SPAC139.06	417.496439430716	-0.994737796459108	0.385616483227749	-2.57960393220952	0.00989136889265943	0.0209422368238166
SPAC1399.01c	216.064633888881	-3.19091871555629	0.621063518711534	-5.13782989890665	2.77929277797897e-07	1.55189180504421e-06
SPAC1399.02	785.173301231316	-2.95410514077326	0.39403764961831	-7.4970123886253	6.52888106357539e-14	1.26606077051649e-12
SPAC1399.03	720.845546007532	-2.28842818698789	0.363575624316869	-6.2942288589552	3.08931755548731e-10	2.99932842549264e-09
SPAC1399.04c	7308.75582995123	-0.213463218795988	0.218165454391637	-0.978446470323357	0.327853554129272	0.439539929711771
SPAC1399.05c	992.851317175346	-1.35739159872076	0.312699799023123	-4.34087774588044	1.4191467030967e-05	5.54197843655927e-05
SPAC1399.06	778.422008963003	0.353975962621885	0.315499951259395	1.12195251127268	0.26188263188618	0.365178584812603
SPAC13A11.01c	137.635041515614	-1.32032564479578	0.599210577197089	-2.20344182002233	0.0275636233696487	0.0519307659406027
SPAC13A11.02c	2424.59427107321	-2.46802300044037	0.258667069812085	-9.5413111620019	1.41037725421616e-21	1.01327770286241e-19
SPAC13A11.03	281.370126232897	0.918273583830453	0.467145612187116	1.96571167506254	0.0493319254254049	0.0871768870731533
SPAC13A11.04c	202.127538230221	-1.60763147783461	0.521571112164067	-3.08228626996678	0.00205417184835681	0.00513105329833996
SPAC13A11.05	410.895204399047	-3.65022557476184	0.527852602042438	-6.91523648957662	4.67083509816489e-12	6.39066079991304e-11
SPAC13A11.06	137.717845643166	-0.197246049766127	0.572687229314652	-0.344421945644181	0.730528987092573	0.805027717588919
SPAC13C5.01c	580.559073688491	-1.23404205697611	0.367343399813534	-3.35936907428448	0.000781206583545215	0.00213946707717211
SPAC13C5.02	626.28716494395	-1.1957333291956	0.363647040786279	-3.28817010750364	0.00100840889242285	0.00269691441205647
SPAC13C5.03	1751.51028174343	0.338885863254218	0.259048143734046	1.30819645479544	0.190806684243366	0.28059040716798
SPAC13C5.04	2246.19713005062	-0.0328047639448285	0.254061555057123	-0.129121322340378	0.897261650451231	0.931294086201833
SPAC13C5.05c	692.662041838701	-2.00122800002148	0.352339670050915	-5.67982594674135	1.34831876227504e-08	9.82889415656187e-08
SPAC13C5.06c	282.556882898237	-1.72843200803169	0.464731100538312	-3.71920881995974	0.000199847784002371	0.000623957398048929
SPAC13C5.07	248.513066723603	-1.02869288794671	0.465283784570293	-2.21089348492285	0.0270432139513359	0.0510693403648768
SPAC13D6.01	67.317942210393	-1.77550220367167	0.807014172378883	-2.20008800891058	0.0278006514709229	0.0523011383214976
SPAC13D6.02c	2403.07141029692	-1.73899483545073	0.251477408916609	-6.91511354018837	4.67488796529364e-12	6.39066079991304e-11
SPAC13D6.03c	158.931677133326	-1.64649336189972	0.577943301234436	-2.84888389290602	0.0043872888197514	0.0101641739550385
SPAC13D6.04c	175.053167485567	-1.43507475382434	0.548882457739448	-2.61453929450513	0.00893478823504989	0.0191172537153649
SPAC13D6.05	470.232555131999	0.169405089872541	0.370231729234535	0.457565023459203	0.647264976850583	0.743820899749278
SPAC13F5.01c	267.822325453494	-1.90461371616386	0.484133575569293	-3.93406657227652	8.35206340620911e-05	0.000281860344386994
