baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	133.778638325923	-0.842831052386357	0.612265898801986	-1.37657683375069	0.168643117335164	0.691411922869221
SPAC1002.02	278.536496137022	-0.246623278909631	0.606640270872536	-0.406539576666928	0.684346183706288	0.839795787263227
SPAC1002.03c	852.027858550707	-0.531573203100991	0.59339632884193	-0.89581478223569	0.370351693559843	0.700790172523006
SPAC1002.04c	194.710301901839	-0.299980374650451	0.6024585315774	-0.497927008959474	0.618535489667013	0.800092336436706
SPAC1002.05c	399.742666859732	-0.740358483208226	0.591232805427515	-1.25222835473901	0.210486666738937	0.691411922869221
SPAC1002.06c	58.8767057110319	0.0218966427854913	0.622155681012328	0.0351947968229794	0.971924411196323	0.98658972553299
SPAC1002.07c	197.260716517691	-0.695187648108502	0.618142422592665	-1.12463992552507	0.260741647922845	0.691411922869221
SPAC1002.08c	527.016466514823	-0.409716218580438	0.595848998074222	-0.687617533812488	0.491693663671096	0.74074584186545
SPAC1002.09c	1624.16820616753	-0.9427610597582	0.569945661786216	-1.65412445952054	0.0981022272783165	0.691411922869221
SPAC1002.10c	189.591565606544	-0.754574594752614	0.617696478981447	-1.22159445687123	0.22186102587528	0.691411922869221
SPAC1002.11	459.946228897133	-0.699543304552889	0.601477108656575	-1.1630422745686	0.244812350928908	0.691411922869221
SPAC1002.12c	386.941661547739	-0.971403854147481	0.588476935400773	-1.65070845722428	0.0987981200883484	0.691411922869221
SPAC1002.13c	7557.30484897556	-0.673362126917274	0.564870252167099	-1.19206512351102	0.233235710948768	0.691411922869221
SPAC1002.14	502.470375339693	-0.65268672275042	0.584967811263368	-1.11576519285873	0.264522656561633	0.691411922869221
SPAC1002.15c	473.532441388562	-0.508202080492371	0.602997729043042	-0.842792693927535	0.399344394811042	0.707716539273321
SPAC1002.16c	218.217911100848	-0.483844387439233	0.603594062285982	-0.801605611570758	0.422781130549451	0.714647674186177
SPAC1002.17c	297.330893216016	-0.897152609074309	0.615696727675014	-1.45713395694358	0.145079406587867	0.691411922869221
SPAC1002.18	291.911688470275	-1.00271953480719	0.587077005573266	-1.70798638898838	0.0876388680481102	0.691411922869221
SPAC1002.19	499.923086764361	-0.423713799225526	0.610196119276215	-0.694389534512469	0.487437955101778	0.738144624007907
SPAC1002.20	13.4203607238679	0.23166824558915	0.52772657010057	0.438992953386827	0.660666642228292	0.825962541173908
SPAC1006.01	1060.74842509323	-0.736903324667912	0.568909535588234	-1.29529086536751	0.195219909158267	0.691411922869221
SPAC1006.02	368.190515948632	0.0395905366534153	0.593745778700942	0.0666792726342165	0.946837035623137	0.972398440409364
SPAC1006.03c	1331.7579507089	-0.708729456317285	0.594424328600162	-1.19229550712755	0.233145395591655	0.691411922869221
SPAC1006.04c	369.264123379977	-0.279351712367978	0.590243305519411	-0.473282305374306	0.636011784462831	0.81201180867292
SPAC1006.05c	988.591014809006	-0.690079618444993	0.56806741671212	-1.21478472122034	0.224448209671324	0.691411922869221
SPAC1006.06	1677.7729655411	-0.611455687959914	0.580582288783055	-1.05317661212431	0.292260055400653	0.691411922869221
SPAC1006.07	3447.25506007821	-0.818204759696496	0.587446248073182	-1.39281638512494	0.16367532229739	0.691411922869221
SPAC1006.08	240.896325585052	-0.491136209042191	0.611992797075125	-0.802519590736135	0.422252460663443	0.714647674186177
SPAC1006.09	3148.45943229604	-0.432893802657515	0.575899021460718	-0.751683518335415	0.452241404306345	0.72617892119183
SPAC1039.01	987.631424369488	-1.37454694663864	0.576556030544499	-2.3840648155922	0.0171225863158582	0.691411922869221
SPAC1039.02	1158.94094535527	-0.582019505295806	0.591239283267487	-0.984406012535689	0.324915922973271	0.691411922869221
SPAC1039.03	276.952675722731	-0.521985526544882	0.609076922019478	-0.857010843251403	0.391438892040058	0.707267904612994
SPAC1039.04	563.326985616878	-0.768353018744666	0.590896946798369	-1.30031644757652	0.19349253312758	0.691411922869221
SPAC1039.05c	449.311725073095	-0.539409968959038	0.59792094975481	-0.902142614638666	0.366981113944376	0.700041870075984
SPAC1039.06	291.45587398583	-0.481070494794698	0.599542132753106	-0.802396476433801	0.422323650667095	0.714647674186177
