baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	59.5773912937703	0.503671784235424	0.989725221870082	0.508900625250045	0.610821881692505	0.997660995427714
SPAC1002.02	71.364731795418	-1.02067799286951	0.983999391643294	-1.03727502429139	0.29960770209438	0.997660995427714
SPAC1002.03c	12.895099142655	0.392324712014034	0.988214700780223	0.397003517256202	0.691364866908759	0.997660995427714
SPAC1002.04c	41.9522985359774	-0.544619512124173	1.01759602437151	-0.535202083224078	0.592510125928236	0.997660995427714
SPAC1002.05c	7.94688842785727	0.391433901753732	0.901192141942684	0.434351214947263	0.664033418282576	0.997660995427714
SPAC1002.06c	14.2212588971925	0.869029414541627	0.99313766502216	0.875034192286159	0.381555301618616	0.997660995427714
SPAC1002.07c	17.5936848683516	0.695325448807997	1.00714935912858	0.690389605579074	0.489949211628809	0.997660995427714
SPAC1002.08c	111.805623831614	-0.743223854638021	0.928626566321688	-0.800347396458782	0.423509549498091	0.997660995427714
SPAC1002.09c	18.6442080307773	0.737694123075488	1.0115826607219	0.729247496738473	0.465850282164623	0.997660995427714
SPAC1002.10c	16.792786695027	0.302755359991211	0.989605412158942	0.305935432720314	0.759653807154752	0.997660995427714
SPAC1002.11	10.0205446985938	0.166217264994634	0.938199073849072	0.177166306840091	0.859377760225917	0.997660995427714
SPAC1002.12c	71.9694066367669	-0.432392727020433	0.966971085513425	-0.447162002564792	0.654758094267361	0.997660995427714
SPAC1002.13c	504.566051279776	-0.661550257211482	0.871058734338229	-0.759478357925064	0.447566455520995	0.997660995427714
SPAC1002.14	13.7941089819674	0.0995850383169602	0.993345488250444	0.100252167543799	0.920144130874399	0.997660995427714
SPAC1002.15c	4.42294913358485	0.0368640489019665	0.799113098806422	0.0461312034016557	0.963205675756708	0.997660995427714
SPAC1002.16c	20.0651840894702	-0.706992535447472	1.01252543280295	-0.69824669340929	0.485022929844675	0.997660995427714
SPAC1002.17c	2.34929286284828	0.25723143026387	0.715284103181361	0.359621343630852	0.719130320122716	0.997660995427714
SPAC1002.18	22.7915205722505	0.347479256861573	1.01665471241344	0.34178689442819	0.732511273023201	0.997660995427714
SPAC1002.19	8.19861434155675	-0.301968968809322	0.903528024451936	-0.334210960409879	0.738220373851918	0.997660995427714
SPAC1002.20	7.07197328082736	-0.82427204465968	0.881487205764424	-0.935092465630142	0.349740649078698	0.997660995427714
SPAC1006.01	70.4751360778627	0.0175337730580374	0.971300472593306	0.0180518526993233	0.985597487664545	0.997660995427714
SPAC1006.02	224.749758216066	0.0974597281909308	0.906294663089549	0.107536469274454	0.914363394757667	0.997660995427714
SPAC1006.03c	60.8262387127701	-0.0530018909418147	0.981126651944441	-0.0540214566965164	0.956918069228973	0.997660995427714
SPAC1006.04c	45.6633608920012	0.348344232742092	0.998599008417199	0.348832944761506	0.727214728778793	0.997660995427714
