baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	61.5621637989983	0.521121205820506	0.89117355324415	0.584758382835153	0.558710191305428	0.99956437013794
SPAC1002.02	123.599731459392	0.229332993269659	0.842394513667914	0.272239419356031	0.785437933772183	0.99956437013794
SPAC1002.03c	23.2454614282212	0.925386857846524	0.899573961040859	1.02869457979397	0.303623217747517	0.99956437013794
SPAC1002.04c	69.5151868815239	0.268440315218436	0.893634788085935	0.300391523245648	0.763878528777251	0.99956437013794
SPAC1002.05c	9.33502939639462	0.457094452350984	0.802389189935074	0.569666762818639	0.568903737215834	0.99956437013794
SPAC1002.06c	25.3118941885107	1.37667591315784	0.901570327848637	1.52697562312517	0.126767073116293	0.99956437013794
SPAC1002.07c	23.2454614282212	0.925386857846524	0.899573961040859	1.02869457979397	0.303623217747517	0.99956437013794
SPAC1002.08c	148.945317740014	-0.0163976299913812	0.820706102992067	-0.0199799050251972	0.984059402833188	0.99956437013794
SPAC1002.09c	13.2610733804413	0.380557014222691	0.870641604087289	0.437099505050228	0.662039186239792	0.99956437013794
SPAC1002.10c	18.020700141404	0.342703169361211	0.871990874557675	0.393012334601609	0.694310371227092	0.99956437013794
SPAC1002.11	20.050088469798	0.768268051535593	0.892146101317477	0.861146005571344	0.389157633746484	0.99956437013794
SPAC1002.12c	131.857240956156	0.678053571034055	0.837571054155941	0.809547521573988	0.418200279848866	0.99956437013794
SPAC1002.13c	678.226055101895	0.0819155316422698	0.763498045236935	0.107289772584616	0.914559098003742	0.99956437013794
SPAC1002.14	18.020700141404	0.342703169361211	0.871990874557675	0.393012334601609	0.694310371227092	0.99956437013794
SPAC1002.15c	7.99204415128155	0.382573883944616	0.808517444846759	0.473179504515362	0.636085118775398	0.99956437013794
SPAC1002.16c	20.8126282080172	-0.59914372338384	0.894903102492906	-0.669506812206621	0.503172236659187	0.99956437013794
SPAC1002.17c	16.8474920009277	1.40134503815461	0.869886889569374	1.61095086609286	0.10719043200883	0.99956437013794
