baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	219.744999315046	0.234003832318866	0.641279058845568	0.364901721163513	0.715184769471223	0.999496800468998
SPAC1002.02	119.49128672933	0.0012150173738898	0.64377966281985	0.0018873186651592	0.998494138469727	0.999496800468998
SPAC1002.03c	159.918240979475	0.199334521883935	0.629048303797684	0.316882695145213	0.751332613157991	0.999496800468998
SPAC1002.04c	39.539129761264	0.347401912033534	0.659680269138967	0.526621650344299	0.598456354134532	0.999496800468998
SPAC1002.05c	397.761982573437	0.367637056838341	0.611903709764332	0.600808674586942	0.547967425749772	0.999496800468998
SPAC1002.06c	32.4918016825853	0.279219025129697	0.65632956559905	0.42542502999213	0.670526862779379	0.999496800468998
SPAC1002.07c	50.5373002834832	1.00316861865569	0.662555482600323	1.51408998189641	0.130003019177961	0.999496800468998
SPAC1002.08c	113.296939756129	0.123066188034649	0.648900474221724	0.18965341053611	0.849580731110596	0.999496800468998
SPAC1002.09c	104.729625817254	-0.0222280029786973	0.644140627739536	-0.0345079972003962	0.972472065303994	0.999496800468998
SPAC1002.10c	236.781360234482	0.0594148197680271	0.618906963598546	0.0959995981020607	0.923520891757611	0.999496800468998
SPAC1002.11	175.61472629759	0.771738949716075	0.644070833072592	1.19822061501284	0.230831141906287	0.999496800468998
SPAC1002.12c	64.4868245383525	0.358915237679779	0.662864510549913	0.541460935028822	0.588189916707483	0.999496800468998
SPAC1002.13c	2021.39319111228	0.020193290887522	0.592877786481594	0.0340597866001325	0.972829475509868	0.999496800468998
SPAC1002.14	280.436157089582	-0.0366582959941402	0.63357087158373	-0.0578598190641339	0.953860289215779	0.999496800468998
SPAC1002.15c	33.7463221972999	-0.470129803958056	0.656590662386072	-0.716016585203312	0.473981108053729	0.999496800468998
SPAC1002.16c	17.1500729325924	0.222138387719694	0.605502710755062	0.366866049935082	0.713718936599366	0.999496800468998
SPAC1002.17c	457.089793880012	2.33395984878906	0.636434857543449	3.66724075704751	0.000245181922418386	0.524280677437983
