baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	143.701437628912	-0.607347613407136	0.526296641427489	-1.15400244956876	0.248499164656259	0.923538080796862
SPAC1002.02	248.091165112038	-0.497101442015297	0.524266502320285	-0.948184634752057	0.343035467932531	0.923538080796862
SPAC1002.03c	936.541040026842	-0.272561788147096	0.523772197934127	-0.520382313574756	0.602797134749222	0.923538080796862
SPAC1002.04c	217.218525577761	-0.0778492560080034	0.522401729347084	-0.149021819099455	0.881536416051421	0.978689140898875
SPAC1002.05c	441.636775060671	-0.453261719599411	0.512587549522574	-0.884262054397499	0.376554766991999	0.923538080796862
SPAC1002.06c	55.4660893333691	-0.0926556712433309	0.533177569137002	-0.173780137437707	0.862038254894569	0.973966884478119
SPAC1002.07c	202.315522227125	-0.624690496673934	0.52855703731982	-1.18187906425687	0.237253690129649	0.923538080796862
SPAC1002.08c	515.401910232407	-0.456651664958172	0.513924689609612	-0.88855755364673	0.374240911677665	0.923538080796862
SPAC1002.09c	1663.66096034172	-0.789676269734364	0.508637324933765	-1.55253307420409	0.120534725235998	0.923538080796862
SPAC1002.10c	233.331706249625	-0.270560360686996	0.525593123573968	-0.51477150014296	0.606712702998318	0.923881282787809
SPAC1002.11	461.732930544178	-0.653966475903849	0.522029889869982	-1.25273760869656	0.210301214260154	0.923538080796862
SPAC1002.12c	430.49342786715	-0.593458167618371	0.516610436812349	-1.1487537326582	0.250657542444517	0.923538080796862
SPAC1002.13c	8118.23156239342	-0.423125459451541	0.510370909320698	-0.829054814301073	0.407073390813101	0.923538080796862
SPAC1002.14	551.087292642136	-0.384503475774841	0.513139734921241	-0.749315341626888	0.453667163138626	0.923538080796862
SPAC1002.15c	535.419765802511	-0.218812028931294	0.522869839360643	-0.418482789519574	0.675594167195573	0.938767766556664
SPAC1002.16c	241.251396357982	-0.249840282542541	0.522306719294314	-0.478340165487624	0.632408113102093	0.924441137121714
SPAC1002.17c	278.195494452014	-1.04343402619333	0.532078473046369	-1.96105288796827	0.0498728536782265	0.923538080796862
SPAC1002.18	316.857839215701	-0.693155833458845	0.51184425912957	-1.35423191936862	0.175662398559031	0.923538080796862
SPAC1002.19	360.729795909139	-1.38776505648989	0.531334780570953	-2.61184681905944	0.00900545940583179	0.923538080796862
SPAC1002.20	11.13030894523	0.114162989274848	0.395420041889704	0.288713209197152	0.772800853496316	0.950729930387429
SPAC1006.01	1225.73177981263	-0.306121173329358	0.51181083209766	-0.598113900940154	0.549763935484942	0.923538080796862
SPAC1006.02	459.939767533293	0.378296269084279	0.522491912241861	0.724023205375792	0.469051488786822	0.923538080796862
SPAC1006.03c	1472.97983950734	-0.414196737811872	0.517422605477014	-0.800499888152398	0.423421228333375	0.923538080796862
SPAC1006.04c	410.822253578473	-0.0546853889679616	0.519526965638484	-0.10525996259069	0.916169531658491	0.983982915538977
SPAC1006.05c	1095.4297890511	-0.375588140140622	0.506471285016368	-0.741578350544561	0.458342844519085	0.923538080796862
SPAC1006.06	1808.76711195243	-0.381545806889822	0.513080877078675	-0.743636771384321	0.457096250958803	0.923538080796862
SPAC1006.07	3549.63798493156	-0.670660536505793	0.517053569839535	-1.29708133862015	0.194603201695201	0.923538080796862
SPAC1006.08	227.900163432326	-0.590486820459655	0.5302041943572	-1.11369699965414	0.265409196910431	0.923538080796862
SPAC1006.09	3482.46757968497	-0.179163068436579	0.509204986595859	-0.351848613334134	0.724951798541598	0.944809330175917
SPAC1039.01	1010.37367908821	-1.20259727138197	0.505578012062362	-2.3786581747816	0.0173757803954815	0.923538080796862
SPAC1039.02	1059.21103737436	-0.781348268073381	0.520158190639932	-1.50213585431024	0.133062026846098	0.923538080796862
SPAC1039.03	288.77067398809	-0.382427522206177	0.530430101774574	-0.720976281185309	0.470924108080424	0.923538080796862
