baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	172.860065033393	-0.239106263696853	0.524994555621756	-0.45544522535796	0.648788965308549	0.90282103969413
SPAC1002.02	328.437137238777	0.063660221415611	0.525192190465889	0.121213191230317	0.903522176067929	0.979474106000777
SPAC1002.03c	967.617170269008	-0.243567183865447	0.525215912473043	-0.463746771720189	0.642829183043945	0.900351464272053
SPAC1002.04c	206.266882559274	-0.213664887035952	0.521001075191552	-0.410104503061525	0.681729289573778	0.907072548524075
SPAC1002.05c	416.16800081322	-0.704971437298041	0.501423997578039	-1.40593876779566	0.159742308132824	0.865177420061732
SPAC1002.06c	66.2229263334524	0.167743867343149	0.569197471559031	0.294702411245255	0.768221221036732	0.938856231882422
SPAC1002.07c	198.653787851272	-0.783538966033325	0.54160269082403	-1.44670434491601	0.147979747046557	0.865177420061732
SPAC1002.08c	497.152027834937	-0.633188463982656	0.506561003334567	-1.24997475094713	0.211308770912089	0.865177420061732
SPAC1002.09c	1624.4387333707	-0.999187432511277	0.495636752678542	-2.01596719192317	0.0438034065729601	0.865177420061732
SPAC1002.10c	184.000280661377	-0.979269570424503	0.540029063933739	-1.81336456836453	0.0697756105852959	0.865177420061732
SPAC1002.11	486.500288313999	-0.608289593898937	0.522587787574948	-1.16399504229076	0.244426020913218	0.865177420061732
SPAC1002.12c	409.571984752192	-0.855007892847537	0.509053996778448	-1.67960157126446	0.0930348617787363	0.865177420061732
SPAC1002.13c	7817.944755371	-0.599024077828967	0.496310325845509	-1.20695469474361	0.227449592138412	0.865177420061732
SPAC1002.14	519.335211435613	-0.60786519826407	0.508042163524722	-1.19648572875682	0.231507064473792	0.865177420061732
SPAC1002.15c	474.733188277364	-0.583330012780241	0.509879965307493	-1.14405360569218	0.252601406498769	0.865177420061732
SPAC1002.16c	216.563367264108	-0.554873162638295	0.531942945466723	-1.04310653495264	0.296898954407571	0.865177420061732
SPAC1002.17c	491.414346157152	0.191477078300217	0.54855006814401	0.349060349127419	0.727044003357135	0.918733688958518
SPAC1002.18	416.889369952113	-0.0668597261151185	0.523460926758807	-0.127726297603728	0.898365578064047	0.977089895656447
SPAC1002.19	999.148548703669	0.449042917275118	0.561417453463065	0.799837829239593	0.423804762260396	0.86601219133697
SPAC1002.20	24.5677221863574	0.734020528552127	0.555707072282061	1.32087670854683	0.186542477066784	0.865177420061732
SPAC1006.01	1300.04334970948	-0.211760597129708	0.495435549812559	-0.427423097131049	0.669071187280931	0.905111061657588
SPAC1006.02	412.557335549479	0.253483598494335	0.515444728499091	0.491776488300592	0.622877359397366	0.894537266922697
SPAC1006.03c	1548.08416094385	-0.34716292663258	0.517747428671666	-0.670525641282782	0.502522766407116	0.870075703080138
SPAC1006.04c	383.840736935823	-0.215037578658708	0.518441294204404	-0.414777104105303	0.678305082034743	0.906186141781385
SPAC1006.05c	1059.39535467045	-0.530928307094281	0.487135513869648	-1.08989858463974	0.27575782015496	0.865177420061732
SPAC1006.06	1915.90567615748	-0.293252765002045	0.504303583179977	-0.581500458816665	0.560903209098892	0.880966629478307
SPAC1006.07	3536.89427173158	-0.773388232200986	0.520562800840676	-1.48567709976974	0.137364550709581	0.865177420061732
SPAC1006.08	228.379721965327	-0.702281295347351	0.539008474111425	-1.30291327331187	0.192604371866282	0.865177420061732
SPAC1006.09	3244.84094340304	-0.386335217417139	0.493580041669619	-0.782720500833653	0.433791260771531	0.866303952018901
SPAC1039.01	1151.02211214172	-0.854226960538185	0.488487205840521	-1.74871920968401	0.080339567841044	0.865177420061732
SPAC1039.02	962.44135843935	-1.26117773584787	0.528263915473788	-2.38740087843544	0.0169679777075844	0.739941406248308
SPAC1039.03	318.119653764192	-0.236299205490371	0.536899731067381	-0.44011794347633	0.659851686643999	0.904347109160924
SPAC1039.04	576.921513493191	-0.735167956225607	0.523462043723391	-1.40443412285703	0.160189615729813	0.865177420061732
SPAC1039.05c	503.299510823854	-0.306849190185939	0.514496205542399	-0.596407100539155	0.550903298131021	0.877811224386089
SPAC1039.06	300.335887136843	-0.455033291596741	0.522326161759498	-0.871166954502	0.383663000331616	0.865177420061732
SPAC1039.07c	227.234839009273	-0.119668585376448	0.521005803696486	-0.229687624451419	0.818334512091971	0.954783187825444
SPAC1039.08	100.909609658719	-0.545829666443983	0.553275104737228	-0.98654297251133	0.323866738782409	0.865177420061732
SPAC1039.09	142.736658126699	0.0010134404480006	0.550311305838729	0.00184157664443403	0.998530635258406	0.999149879063217
SPAC1039.10	17.0803800553556	0.164890090257643	0.544966568084792	0.302569184816466	0.762218201242616	0.936306865401568
SPAC1039.11c	399.203698526863	-0.363609361102658	0.514107320259008	-0.70726353579146	0.479402721352376	0.870017066613244
SPAC105.01c	791.899596185423	-0.504722348314591	0.481713064689565	-1.04776553785157	0.294746643870803	0.865177420061732
SPAC105.02c	660.358092742377	-0.816707160912813	0.502998727285597	-1.6236763963999	0.104444891137742	0.865177420061732
SPAC105.03c	918.971968427374	-0.386467868574124	0.495034852855635	-0.780688200729228	0.434985902035026	0.866303952018901
SPAC1071.01c	1127.15463414077	-0.673266859289887	0.495179954532378	-1.3596407793318	0.173943626893547	0.865177420061732
SPAC1071.02	1022.71443842942	-0.325486527284972	0.479672996778551	-0.678559204856048	0.497417198689672	0.870075703080138
SPAC1071.03c	822.860110350045	-0.508671129602796	0.519030105400692	-0.980041666774032	0.327065551564761	0.865177420061732
SPAC1071.04c	45.0602560977966	0.738850755514327	0.575466076462852	1.28391713383999	0.199170951499713	0.865177420061732
SPAC1071.05	474.353435514053	-0.482035492377145	0.502647837572813	-0.958992472154659	0.337562537517854	0.865177420061732
SPAC1071.06	418.186132398333	-0.762866295064129	0.519151973038289	-1.46944697253007	0.141711594689961	0.865177420061732
SPAC1071.07c	333.005744613373	-0.678172647963907	0.550641764778281	-1.23160408698199	0.218097013508028	0.865177420061732
SPAC1071.08	191.380559103603	-0.0104566400007761	0.530814051993298	-0.0196992524246666	0.984283287143603	0.998614776906291
SPAC1071.09c	253.540634391607	-0.338012172977199	0.541645631325148	-0.624046707715973	0.532596911066586	0.875684204043256
SPAC1071.10c	38418.4927807012	-0.936847649057505	0.499044634840407	-1.87728227828179	0.0604794157985765	0.865177420061732
SPAC1071.11	1080.86660659929	-0.650432010378223	0.500254986411508	-1.30020095360565	0.193532103894314	0.865177420061732
SPAC1071.12c	115.909826564882	-0.415591297453207	0.563679479599308	-0.737282999460315	0.460950268444058	0.867450545470144
SPAC1071.13	1457.48065079861	-0.636051517543483	0.48895886230096	-1.30082828348857	0.193317238436744	0.865177420061732
SPAC1093.01	6257.84225248194	-0.670851813344952	0.486951919898582	-1.37765513581848	0.168309789199714	0.865177420061732
SPAC1093.02	618.560269165329	-0.682612737185623	0.521364907566096	-1.30928017455621	0.190439462702544	0.865177420061732
SPAC1093.03	759.033611659865	-0.392958595454222	0.510352557769458	-0.769974774245637	0.441314856483494	0.866303952018901
SPAC1093.04c	794.668598194955	-0.554003664816764	0.507727121141358	-1.09114451788862	0.275209296635554	0.865177420061732
SPAC1093.05	982.935300121794	-0.944250034943005	0.508586431959973	-1.85661664489178	0.0633657141270148	0.865177420061732
SPAC1093.06c	3793.22145581664	-0.418100792110394	0.494359447837177	-0.845742493522851	0.397696412179085	0.86601219133697
SPAC1093.07	269.753945078653	-0.356538768385003	0.520118193636477	-0.685495667613958	0.493031193563475	0.870017066613244
SPAC10F6.01c	8640.64420721784	-0.675463303810131	0.498236792858987	-1.35570739353507	0.17519228606074	0.865177420061732
SPAC10F6.02c	725.103216087203	-0.693680088755078	0.508012056193395	-1.36547957927007	0.172102367061442	0.865177420061732
SPAC10F6.03c	3364.31452794334	-0.716656809303664	0.466455103208405	-1.53638968546877	0.124442834969535	0.865177420061732
SPAC10F6.04	365.558148495549	-0.294184480252759	0.504946679764618	-0.582605039387314	0.560159212189937	0.880913147045286
SPAC10F6.05c	274.076450770414	-0.620611777993851	0.531645283806483	-1.16734182903003	0.24307235274799	0.865177420061732
SPAC10F6.06	994.77054089428	-0.476016448797451	0.489975614768654	-0.9715104883785	0.331294132771079	0.865177420061732
SPAC10F6.07c	140.629484336165	0.0188843807234766	0.559992000468641	0.0337225901578467	0.973098364874638	0.994674825293144
SPAC10F6.08c	309.278732138469	-0.866296991502482	0.543263919101078	-1.59461536289014	0.110798275002098	0.865177420061732
SPAC10F6.09c	1110.2781677228	-0.686328527505563	0.509228049931389	-1.34778225118988	0.177728428142425	0.865177420061732
SPAC10F6.10	491.935038024148	-0.76803297017789	0.502890765249029	-1.527236177816	0.126702293225997	0.865177420061732
SPAC10F6.11c	678.056878854926	0.0911858026344267	0.498615054587127	0.182878157800374	0.854893621412309	0.962038535697485
SPAC10F6.12c	281.375430016595	0.38913580634341	0.528946265241878	0.735681168228808	0.461924752777176	0.867450545470144
SPAC10F6.13c	932.21820259477	-0.492617018099103	0.509208429857275	-0.967417248448101	0.333335490877466	0.865177420061732
SPAC10F6.14c	485.737196342637	-0.263482941521267	0.500503698646058	-0.526435553291675	0.598585618646837	0.886478105265417
SPAC10F6.15	32.4390190864473	0.572090583688381	0.572908558201419	0.99857224246116	0.318001952170255	0.865177420061732
SPAC10F6.16	323.34599988785	-1.03339616018299	0.521369019011352	-1.98208202348228	0.0474700611649991	0.865177420061732
SPAC10F6.17c	360.011638567504	-0.623333670312891	0.517787374669437	-1.20384099884791	0.228651039851633	0.865177420061732
SPAC110.01	6451.14830707438	-1.37530829627782	0.50115074338564	-2.74430062098003	0.00606399779157221	0.460435785256553
SPAC110.02	995.2832638225	-0.418362320845438	0.503046286586975	-0.831657706259808	0.405602179742854	0.86601219133697
SPAC110.03	1780.62566166179	-0.432827729619671	0.514107711683871	-0.841900869765246	0.399843443454538	0.86601219133697
SPAC110.04c	4890.81619869679	-0.606657137750632	0.493514739180551	-1.22925839815432	0.218974939786426	0.865177420061732
SPAC110.05	173.337676899306	0.0215665415370045	0.531479115798515	0.0405783423956407	0.96763205019767	0.992230259290715
SPAC1142.01	727.782162969914	-0.690308599886435	0.517250634560664	-1.33457274629109	0.182016222871442	0.865177420061732
SPAC1142.02c	780.074782273011	-0.402146308941947	0.49360168267229	-0.814718269931299	0.415233593044836	0.86601219133697
SPAC1142.03c	498.520724041761	-0.150683230673681	0.520805135012083	-0.289327467307297	0.772330794848442	0.939108910666393
SPAC1142.04	1087.64107861417	-1.06819973131808	0.506204783685476	-2.11021263675334	0.0348400445517417	0.865177420061732
SPAC1142.05	299.730536179182	-0.484243270294272	0.505649603476685	-0.957665677901793	0.338231369117438	0.865177420061732
SPAC1142.06	808.251404967321	0.0733881633016891	0.509378381343354	0.144073965424576	0.885442062792767	0.974706345480825
SPAC1142.07c	184.487269511469	-0.825295852990751	0.528175675285727	-1.5625404417655	0.118160726416253	0.865177420061732
SPAC1142.08	782.210726105508	-1.01235215256192	0.503849579652332	-2.00923488565867	0.0445122296706221	0.865177420061732
SPAC1142.09	0	NA	NA	NA	NA	NA
SPAC11D3.01c	17.9064469067399	-0.265023426405126	0.546052512336287	-0.485344212173336	0.627432198415039	0.895230339652214
SPAC11D3.02c	179.409907850019	-0.811705151838228	0.531387323149757	-1.52752073012752	0.126631576417437	0.865177420061732
SPAC11D3.03c	45.5790774069701	0.281918883809718	0.574966935466186	0.490321906217331	0.623906127999131	0.894621228639501
SPAC11D3.04c	318.10675130168	0.0478937602468844	0.536352697460795	0.0892952724459547	0.928847251104113	0.986795087839661
SPAC11D3.05	1951.07220618908	-0.680311359325515	0.477767995709323	-1.42393665007947	0.154464811242783	0.865177420061732
SPAC11D3.06	451.430235986798	-0.101698783706568	0.496672029051219	-0.204760441011428	0.837759295602198	0.958715497723545
SPAC11D3.07c	1184.62208987474	-0.441250251584258	0.502582906454984	-0.877965099721871	0.379962658731002	0.865177420061732
SPAC11D3.08c	672.161182560649	-0.417835605920357	0.486878935351185	-0.858191997193251	0.390786454317409	0.865177420061732
SPAC11D3.09	38.5889025799794	-0.788972337895456	0.571610169101707	-1.38026294937218	0.167505698307681	0.865177420061732
SPAC11D3.10	310.776550285808	0.13411389517569	0.523418139381546	0.256227067969319	0.79777550888254	0.947334380038277
SPAC11D3.11c	431.424221461543	-0.256479545934867	0.509009407907044	-0.503879775011361	0.614345863827565	0.89424158221687
SPAC11D3.13	161.874991973535	-1.14993972850069	0.561502391335103	-2.04796942318703	0.0405629955525221	0.865177420061732
SPAC11D3.14c	1341.84029031627	-0.365688722813836	0.489244316446557	-0.747456251448927	0.454788201260113	0.867450545470144
SPAC11D3.15	931.108582427716	-0.40543085581618	0.491013252697581	-0.825702470531661	0.408972890491906	0.86601219133697
SPAC11D3.16c	550.43484509481	-0.416890735872738	0.524856783047019	-0.794294271005717	0.427024138451536	0.86601219133697
SPAC11D3.17	623.462342181755	-0.0422393337608214	0.524520612158094	-0.0805294068178396	0.935816208918899	0.989014607006249
SPAC11D3.18c	492.388737089287	-0.0849794510529005	0.48825843330621	-0.174046048682596	0.861829272847351	0.96462615698362
SPAC11D3.19	65.8564589871993	-0.811932106191365	0.572253428464577	-1.4188331005196	0.155947680002247	0.865177420061732
SPAC11E3.01c	1490.58757212677	-0.0903794076513538	0.506355470547176	-0.178490038931916	0.858338143370946	0.962907651137023
SPAC11E3.02c	1196.47186708454	-0.297771662641051	0.486961933092772	-0.61148858340909	0.540876174137525	0.877132266378429
SPAC11E3.03	48.2478202928059	-0.507103478403852	0.575421483305426	-0.881273106959561	0.378170018314841	0.865177420061732
SPAC11E3.04c	286.659792227978	-0.89406426431209	0.51799704568501	-1.72600263217672	0.0843469392008187	0.865177420061732
SPAC11E3.05	737.906617719559	-0.389101867926759	0.504047562840679	-0.771954665813447	0.440141278297032	0.866303952018901
SPAC11E3.06	99.3674907674449	0.231936809047953	0.470634316834056	0.492817460928446	0.622141571987495	0.89424158221687
SPAC11E3.07	675.508585852905	-0.441907338567104	0.528703710604668	-0.835831732789813	0.403249571832279	0.86601219133697
SPAC11E3.08c	205.032780748868	-0.0325266596041638	0.521489668770322	-0.0623725867491526	0.950266125047923	0.989673442988923
SPAC11E3.09	529.570543295698	-0.282371910157507	0.503494258313474	-0.560824489048498	0.574917190534882	0.882831408137337
SPAC11E3.10	504.311116531405	-0.293251528058221	0.497586147548993	-0.589348255578894	0.555627680161428	0.87876223678057
SPAC11E3.11c	1373.84169103694	-0.216731065342005	0.513044599408993	-0.422440983867038	0.672703168651884	0.905111061657588
SPAC11E3.12	175.051433047931	-0.340148769412195	0.549886084473123	-0.618580427868275	0.536192798785679	0.875684204043256
SPAC11E3.13c	5947.59167386987	-0.470884025487468	0.520694733136334	-0.904337984467716	0.365816211190601	0.865177420061732
SPAC11E3.14	1035.17347489257	-0.373345504370757	0.49191931737986	-0.758956786570875	0.447878407440423	0.866482407459692
SPAC11E3.15	1528.40323650563	-1.05446696625809	0.526172930949665	-2.00403119247304	0.0450667191679877	0.865177420061732
SPAC11G7.01	3209.76337232762	-0.851876986853905	0.498472498796276	-1.70897489612975	0.0874555996857683	0.865177420061732
SPAC11G7.02	1545.17467822933	-0.489967296254601	0.489303339117004	-1.00135694381076	0.316654272048586	0.865177420061732
SPAC11G7.03	441.670155025188	-0.727279162303883	0.519560878093578	-1.39979585255242	0.16157446016393	0.865177420061732
SPAC11G7.04	317.614763984917	-0.0842815556159611	0.535889348914605	-0.157274175698147	0.875028771766857	0.971184126050437
SPAC11G7.05c	434.19241699249	-0.160097206380358	0.522868574274071	-0.30619014845677	0.759459872825378	0.934000099976441
