baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	199.033652046183	0.0682779327049014	0.620202613429564	0.11008972104671	0.912338220022724	0.999641170035022
SPAC1002.02	127.463126704472	0.113094111480468	0.590385507407279	0.191559769102615	0.848087058423056	0.999641170035022
SPAC1002.03c	109.032062803074	-0.675599596161178	0.593968965649063	-1.13743248424253	0.255357533983552	0.999641170035022
SPAC1002.04c	32.5886192468906	0.124605550812975	0.653071163427351	0.190799345907479	0.848682801161247	0.999641170035022
SPAC1002.05c	350.939157478234	0.148554894328481	0.581787084185596	0.255342372435842	0.798458675829239	0.999641170035022
SPAC1002.06c	30.87388936772	0.258454242529783	0.653828504145238	0.395293629585123	0.692626200260947	0.999641170035022
SPAC1002.07c	21.8020989373108	0.194952618949325	0.651046957223657	0.299444789329308	0.764600692041779	0.999641170035022
SPAC1002.08c	124.952709978772	0.297291747112189	0.610035979945639	0.48733477513684	0.626021107696316	0.999641170035022
SPAC1002.09c	121.409684524845	0.251257304482473	0.589453412314343	0.426254728929253	0.669922241830419	0.999641170035022
SPAC1002.10c	185.163645442121	-0.522946477714784	0.577650363813238	-0.905299313347025	0.365306840092793	0.999641170035022
SPAC1002.11	121.829285174679	0.282116506736687	0.598224856160048	0.471589409620268	0.637219887342806	0.999641170035022
SPAC1002.12c	44.2594544813517	-0.184947320950813	0.6496689978391	-0.284679308333899	0.775889844546481	0.999641170035022
SPAC1002.13c	1800.61450273402	-0.261659093428921	0.521956381562195	-0.50130452020873	0.616156824547768	0.999641170035022
SPAC1002.14	236.150729327118	-0.487499051575974	0.555993713152743	-0.876806769651454	0.380591601488954	0.999641170035022
SPAC1002.15c	33.612239575051	-0.643452865889251	0.652152757292722	-0.986659733772212	0.323809476115319	0.999641170035022
SPAC1002.16c	15.9151188994338	0.203250168352082	0.630352806136627	0.32243874600604	0.747120335202287	0.999641170035022
SPAC1002.17c	154.116217707426	1.29459477791144	0.62089003525846	2.08506290066732	0.0370635912852144	0.999641170035022
SPAC1002.18	109.778817731078	-0.0084721607324	0.620779839261095	-0.0136476093400267	0.989111121238858	0.999641170035022
SPAC1002.19	198.997467370469	2.01646714467632	0.613000284399648	3.28950441948192	0.00100363980405582	0.594958637839506
SPAC1002.20	90.8903734457865	-0.0421247984120629	0.626213972094695	-0.0672690171238991	0.946367541754296	0.999641170035022
SPAC1006.01	539.35517329043	0.444126367331127	0.539089865821659	0.823844771509864	0.410027764646702	0.999641170035022
SPAC1006.02	47.7411248986418	1.05662342814845	0.64829167645765	1.62985808166161	0.103131494842409	0.999641170035022
