baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	412.951137726451	-0.0558213542624578	0.207129098094092	-0.269500300904608	0.787544710690339	0.978528676097267
SPAC1002.02	1121.06913047009	0.0514449192879026	0.180783707286242	0.284566126340399	0.775976565946904	0.976657868780226
SPAC1002.03c	2967.04311508874	0.0968632733038402	0.144364017964489	0.670965484818155	0.502242517573504	0.938299403886806
SPAC1002.04c	1043.38564802549	0.0093096037598211	0.185765121670207	0.0501149175696643	0.960030812174039	0.99579471033943
SPAC1002.05c	2010.02718005017	0.0891675824855458	0.159889544394336	0.557682385194815	0.577061288111893	0.95452622915447
SPAC1002.06c	243.570308610855	-0.160796125068669	0.204744039061984	-0.785351924311649	0.432247259784245	0.922131504897471
SPAC1002.07c	842.784827971242	0.410567149039906	0.196754844360504	2.08669397886664	0.0369158058982689	0.467393045231616
SPAC1002.08c	1877.35309732421	-0.359601780416458	0.160796129037414	-2.23638331699381	0.0253266730013508	0.390788759659798
SPAC1002.09c	4796.89610359201	0.0911565433385902	0.127029215206364	0.717602979680721	0.473002119882199	0.929087382649881
SPAC1002.10c	773.594827700804	0.254377034721241	0.19478043958483	1.30596806980947	0.191563416237745	0.837413157389228
SPAC1002.11	1192.07704167229	-0.210352358170299	0.180079773561931	-1.16810652306799	0.242763799452896	0.872782803008891
SPAC1002.12c	2979.78168552298	0.185924980802194	0.144622413868889	1.28558897496172	0.19858654647146	0.84535924369502
SPAC1002.13c	28509.6639919711	0.165080791224452	0.100648669802182	1.64016863361342	0.100970109126057	0.701499282227666
SPAC1002.14	1966.12334618049	0.125282581503562	0.159678823956088	0.784591083524103	0.432693359555024	0.922131504897471
SPAC1002.15c	1757.85651954843	0.0485021424745407	0.163275390333796	0.297057274677979	0.766422782639567	0.976636781047977
SPAC1002.16c	634.032397044675	1.03800587352291	0.200646384161964	5.1733096405317	2.29983416344573e-07	4.32020675315682e-05
