baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	385.706332942934	-0.25290828097279	0.302677882234478	-0.835569084551965	0.403397366909099	0.541532726530697
SPAC1002.02	986.46390648729	-0.285948308755772	0.211562278737269	-1.35160346382391	0.176502201653991	0.293251994713245
SPAC1002.03c	2708.25057097902	-0.144781785206782	0.148201490291903	-0.976925298940074	0.328606135980074	0.464270336090013
SPAC1002.04c	909.365872410299	-0.36918903877988	0.222225021072589	-1.66132975034925	0.0966472381262622	0.187653021489443
SPAC1002.05c	1660.72342115236	-0.446870970879062	0.176793365200608	-2.5276455955912	0.0114830201058753	0.0369105195779446
SPAC1002.06c	237.36105889588	-0.332630881949422	0.32231996182641	-1.03198970384765	0.302076940870043	0.436445388755939
SPAC1002.07c	483.290755138697	-0.841670096650181	0.284276074467301	-2.96074897694914	0.00306891957572339	0.0134185150203178
SPAC1002.08c	1771.05620428158	-0.608888218619813	0.175406412592253	-3.47129964988923	0.00051794567329755	0.00344571850073872
SPAC1002.09c	4435.55826409218	-0.123238132950874	0.129793747118598	-0.949492064808529	0.342370405956294	0.479821076165383
SPAC1002.10c	672.141002336543	0.00143227534152649	0.241624393377965	0.00592769348120425	0.995270412587877	0.997518214131537
SPAC1002.11	1093.52827494674	-0.501476906408078	0.21012032943022	-2.38661774311855	0.017004161364197	0.0500262889613643
SPAC1002.12c	2800.39230539253	0.0406790953749575	0.151810874044406	0.267959035418362	0.78873085095614	0.860151490067653
SPAC1002.13c	24921.6355836189	-0.210902539824367	0.0932620440204618	-2.26139735665771	0.0237346623075101	0.0643612540292299
SPAC1002.14	1469.33077992272	-0.724422899928429	0.185301102102902	-3.90943654250982	9.2511652710743e-05	0.000889893571927192
SPAC1002.15c	1619.51142792777	-0.162208801595738	0.177903480882465	-0.911779807742512	0.361884641943159	0.500578819799091
SPAC1002.16c	323.95510303616	0.140687934814402	0.305557465999702	0.460430362433165	0.645207345286968	0.758112792788325
SPAC1002.17c	8957.73700446363	4.03859250712324	0.158534141803458	25.4745915370714	3.7706724805117e-143	6.12074410399061e-140
SPAC1002.18	3132.63603604944	3.26732849628953	0.191015065482568	17.1050827223243	1.36008536763224e-65	6.79310330156626e-63
SPAC1002.19	41983.9618589933	4.63384227227134	0.260736540824497	17.7721245269968	1.16205206632974e-70	6.85927642425366e-68
SPAC1002.20	62.4826105575458	-0.22858222906322	0.340992349108458	-0.670344157752689	0.502638423772749	0.636309472715239
SPAC1006.01	4875.07582366181	-0.158055064309636	0.132752339552355	-1.19060097051851	0.233810270450061	0.360686644341232
SPAC1006.02	2010.01508653407	-0.36156154146451	0.17413200072339	-2.07636471161239	0.037860232413944	0.0932573934232694
SPAC1006.03c	4072.52911386136	-0.475954036463198	0.131883988616825	-3.60888415231384	0.000307516887852108	0.0022627544005133
SPAC1006.04c	1658.70808115279	-0.770890362213861	0.178388071765598	-4.32142325764252	1.55025971178633e-05	0.000205006849462905
SPAC1006.05c	4422.76580905394	-0.108253314077572	0.135088362423104	-0.801351886541615	0.422927960581316	0.559965588918125
SPAC1006.06	7133.45772716421	-0.132578717962611	0.111958644685537	-1.18417580290464	0.236343478441066	0.363471862983856
SPAC1006.07	8604.48489333444	-0.79670481142385	0.110988129422781	-7.17828848514969	7.05894912431762e-13	4.49350555531317e-11
SPAC1006.08	688.328517609302	-0.990767578124483	0.254394566907516	-3.89460981878859	9.83569238551062e-05	0.000930949718062981
SPAC1006.09	11074.1655161008	-0.601480212039469	0.101882062914954	-5.90369094255141	3.55457781767879e-09	1.21473019843097e-07
SPAC1039.01	8605.60519438923	4.19405509311421	0.166950788768463	25.1215051096929	2.89569310630209e-139	3.76034706784389e-136
SPAC1039.02	9437.30120371718	2.79151316728535	0.321182616492245	8.69135819918433	3.58131940044931e-18	3.81205030608482e-16
SPAC1039.03	949.012234657555	0.426699699233161	0.217808720862632	1.95905699984471	0.0501061118404236	0.114920163963218
SPAC1039.04	1047.96259182066	0.925025555184976	0.219196643806517	4.22007170876889	2.44224621962688e-05	0.000297514159550419
SPAC1039.05c	2479.64894726582	0.851062536816936	0.154458825310113	5.5099638049702	3.58907492598925e-08	1.01763596045625e-06
SPAC1039.06	2051.29161123461	2.41624525693354	0.193522588064638	12.4855980952802	8.94684767204386e-36	2.32367527738323e-33
SPAC1039.07c	1294.97102112864	1.31754395118789	0.200197921788055	6.58120693471906	4.66644566120075e-11	2.22788468221886e-09
SPAC1039.08	871.918477988042	1.1099580396593	0.233568961708441	4.75216412121073	2.01250908045699e-06	3.54125242802365e-05
SPAC1039.09	11809.9558152621	4.29611563693019	0.145596379618681	29.5070224148553	2.3396514423692e-191	1.51913568153032e-187
SPAC1039.10	595.056096295167	2.73705794869473	0.299278810815095	9.14551197674259	5.93480723733495e-20	7.00630970763924e-18
SPAC1039.11c	1508.90414172588	0.278459324379837	0.181814215872767	1.53155969154085	0.125631125803376	0.227919223202381
SPAC105.01c	3754.45927977452	-0.432039954327939	0.133511240784633	-3.2359818678104	0.00121225084385704	0.00660307618158264
SPAC105.02c	2150.7544075862	-0.442972777183575	0.171550821266095	-2.58216646189338	0.00981822152045917	0.0326738669001468
SPAC105.03c	2775.15918563907	-0.389838163631674	0.147217635432716	-2.64803983901674	0.00809599838548324	0.0281515699192948
SPAC1071.01c	4141.64786072875	-0.219136266178253	0.132260924730212	-1.6568481327743	0.0975501828902552	0.189129094507742
SPAC1071.02	1969.74823006097	-0.750156657076703	0.171035078484086	-4.38598130702471	1.15464037609343e-05	0.000160881544248382
SPAC1071.03c	1918.30208907933	-0.587616176264814	0.169762630743895	-3.46139885845252	0.000537375999247668	0.00354591703568609
SPAC1071.04c	126.370618572648	-0.115062560419178	0.349840856530689	-0.328899721891358	0.742231484528906	0.830942164280223
SPAC1071.05	1304.76681166393	-0.357001595074281	0.199658412589028	-1.78806187249983	0.0737660260905075	0.1529102404974
SPAC1071.06	1773.11984362117	-0.346799899980001	0.177675200603979	-1.9518756630138	0.0509529683426556	0.116246529672826
SPAC1071.07c	1143.89887766539	-0.659038870834735	0.211073178626748	-3.12232409215834	0.00179429296322759	0.00895491484261088
SPAC1071.08	719.602026538759	-0.563421299951557	0.242144693876612	-2.32679597860052	0.0199761265534702	0.0568832378573671
SPAC1071.09c	1765.4397585817	-0.523462770105748	0.177228471698347	-2.95360426623049	0.00314086486341297	0.0136139089173167
SPAC1071.10c	86382.8100788743	-0.651008718382248	0.0836611305745091	-7.78149558715868	7.16721311911126e-15	5.81708934779867e-13
SPAC1071.11	4750.92826323342	-0.420104465692241	0.129116825516493	-3.25367715641814	0.00113921667592141	0.00631137702795026
SPAC1071.12c	218.99800103938	-0.108779800979264	0.327877183540921	-0.331769962778419	0.740062967045846	0.830348858653651
SPAC1071.13	5113.92792964863	-0.702634438662155	0.133881540522654	-5.24818011444426	1.53609079904646e-07	3.77796877204873e-06
SPAC1093.01	17467.927454044	0.797950108042897	0.102258838293695	7.803238540136	6.03383424044317e-15	4.95920072445538e-13
SPAC1093.02	1562.09086698239	-0.301194121017113	0.181730108237111	-1.65737050364892	0.0974445910767829	0.188980803423402
SPAC1093.03	2256.70709126739	-0.82457834207997	0.159621015484051	-5.16585074702999	2.39347731698825e-07	5.43386301370794e-06
SPAC1093.04c	2978.63751147796	-0.377521875937142	0.143404094965175	-2.63257388869419	0.00847405884302163	0.0290660665967985
SPAC1093.05	2365.49802469379	-0.529836182718295	0.158968267565203	-3.33296821330065	0.000859247585912749	0.00508577445335595
SPAC1093.06c	9634.34377307133	-0.178212555954184	0.104833637069014	-1.69995586280062	0.0891392279543178	0.176619166038262
SPAC1093.07	1212.83239902747	1.17089016088112	0.207223321286094	5.65037831463276	1.60095103822651e-08	4.90329013736071e-07
SPAC10F6.01c	25041.8187755154	-0.348286287444622	0.0980833895528729	-3.55092018161622	0.000383886820007026	0.00270932295902785
SPAC10F6.02c	3025.49888295164	-0.305612978168311	0.157104310557311	-1.94528703308128	0.0517404418874941	0.117465275935489
SPAC10F6.03c	7617.3993201343	-0.361904658120608	0.113129603858595	-3.19902700775798	0.00137892250380665	0.00728506413117705
