V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1002.01	23	23	37	100	481	300	0.23	109.700950439495	0.0478170478170478	22.8068504032215	0.541278134724304	1.84747902390209	4.81	2.6035478280239	8.88637410496905	5	118	0.00867166715749464
SPAC1002.02	7	77	21	100	837	300	0.07	33.3872457859334	0.0919952210274791	43.8781007939387	0.0384317325300413	0.20413067877834	0.760909090909091	0.321673601276446	1.70857378137471	9	98	1
SPAC1002.03c	21	199	74	100	2955	300	0.21	100.1617373578	0.0673434856175973	32.120192948517	0.0654712353174154	0.168414263959186	3.11834170854271	1.93467500362963	4.97664149999394	7	114	0.245286874937536
SPAC1002.04c	22	81	9	100	641	300	0.22	104.931343898648	0.126365054602184	60.2711590965145	0.16474102345696	0.444188217919223	1.74098765432099	1.05598996035912	2.84724647686222	13	109	1
SPAC1002.05c	9	136	90	100	2086	300	0.09	42.9264588676286	0.0651965484180249	31.0961883775301	0.0315565226086365	0.133829720272343	1.38044117647059	0.658269061616158	2.79168796488107	6	103	1
SPAC1002.06c	9	19	12	100	311	300	0.09	42.9264588676286	0.0610932475884244	29.1390753299373	0.198774750790078	1.10201789708992	1.47315789473684	0.618189474957142	3.42727565994964	6	103	1
SPAC1002.07c	11	37	18	100	1084	300	0.11	52.4656719493239	0.0341328413284133	16.2800223257714	0.143045876336035	0.604261955761209	3.2227027027027	1.55061729948262	6.5501996004515	3	108	1
SPAC1002.08c	29	156	29	100	1783	300	0.29	138.318589684581	0.0874929893438026	41.7307134252512	0.122491328598073	0.280508705269024	3.31455128205128	2.18402038890364	5.00147021494669	10	119	0.00749650413747076
SPAC1002.09c	7	307	69	100	2132	300	0.07	33.3872457859334	0.143996247654784	68.6805444671774	0.00990019485974451	0.0497421061819459	0.486123778501629	0.211072154409753	1.06050170379909	13	94	1
SPAC1002.10c	4	49	38	100	1806	300	0.04	19.0784261633905	0.0271317829457364	12.9407929402843	0.0250677867183047	0.23557808869923	1.47428571428571	0.452724228132583	4.2545402819081	2	102	1
SPAC1002.11	6	83	31	100	1871	300	0.06	28.6176392450858	0.0443613041154463	21.1585966269563	0.0284908459883484	0.171641925223942	1.35253012048193	0.533063728441998	3.21142042093996	4	102	1
SPAC1002.12c	24	204	35	100	1692	300	0.24	114.470556980343	0.120567375886525	57.5058944641203	0.0752229398964434	0.18252461854429	1.99058823529412	1.27277214304782	3.08831654576939	13	111	1
SPAC1002.13c	118	1921	382	100	1829	300	1.18	562.81357182002	1.05030071077091	500.952113994986	0.050771809308719	0.0742607251577337	1.12348776678813	0.928616392256471	1.35822866313495	111	107	1
SPAC1002.14	3	131	62	100	1485	300	0.03	14.3088196225429	0.0882154882154882	42.0753169596659	0.00583360109219697	0.0741673467624246	0.340076335877863	0.0866289762191251	1.10138509942201	8	95	1
SPAC1002.15c	4	116	7	100	2754	300	0.04	19.0784261633905	0.0421205519244735	20.0898459963081	0.0108479682130521	0.096795048198957	0.949655172413793	0.298753044587456	2.66573562739928	4	100	1
SPAC1002.16c	0	19	6	100	1906	300	0	0	0.0099685204616999	4.75459203966972	0.00484054272324269	0.264551414760663	0	0.0922607443050057	5.04234996533824	0	100	1
SPAC1002.17c	2	65	17	100	990	300	0.02	9.53921308169525	0.0656565656565657	31.3155985005147	0.00521428186049791	0.127612882496478	0.304615384615385	0.0516213904189293	1.26336753671514	6	96	1
SPAC1002.18	2	39	8	100	1505	300	0.02	9.53921308169525	0.0259136212624585	12.359777747047	0.00856708747598605	0.216666289482467	0.771794871794872	0.12893466651359	3.26082765671113	2	100	1
SPAC1002.19	3	139	21	100	1563	300	0.03	14.3088196225429	0.0889315419065899	42.4168463965336	0.00550218025351207	0.0698338752009312	0.337338129496403	0.0859990773623937	1.09150346939056	8	95	1
SPAC1002.20	0	2	17	100	548	300	0	0	0.00364963503649635	1.74073231417797	0.0514242900386907	4.05388820080272	0	0.281805109412025	22.2153073403989	0	100	1
SPAC1006.01	21	370	81	100	1664	300	0.21	100.1617373578	0.222355769230769	106.054953131828	0.0355952964674485	0.089579222009593	0.944432432432432	0.592305733218344	1.49059825423963	22	99	1
SPAC1006.02	61	179	29	100	1217	300	0.61	290.945998991705	0.14708299096138	70.1527995736832	0.252112415459809	0.459895056556798	4.14731843575419	3.06820809614587	5.59692283829624	20	141	5.61713996127339e-10
SPAC1006.03c	16	344	57	100	2770	300	0.16	76.313704653562	0.124187725631769	59.2326588466276	0.0271922298000977	0.0783356017266833	1.28837209302326	0.753224765462707	2.16989616782913	12	104	1
SPAC1006.04c	21	153	25	100	3993	300	0.21	100.1617373578	0.0383170548459805	18.2757275419406	0.0845700535598554	0.220611884503696	5.48058823529412	3.37688223864503	8.80903254823258	4	117	6.48699908221235e-05
SPAC1006.05c	23	344	42	100	2032	300	0.23	109.700950439495	0.169291338582677	80.7453075812787	0.0427713070489565	0.103595789252812	1.35860465116279	0.869112959234796	2.10506643761715	17	106	1
