V4	Fisher_WT_r2_pr_counts	Fisher_WT_r2gb_counts	Fisher_WT_r2term_counts	Fisher_WT_r2pr_map	Fisher_WT_r2gb_map	Fisher_WT_r2term_map	Fisher_WT_r2pr_density	Fisher_WT_r2pr_densityRPKM	Fisher_WT_r2gb_density	Fisher_WT_r2gb_densityRPKM	Fisher_WT_r2pause_index_CI_low	Fisher_WT_r2pause_index_CI_high	Fisher_WT_r2pause_index_scaled	Fisher_WT_r2pause_index_CI_low_scaled	Fisher_WT_r2pause_index_CI_high_scaled	Fisher_WT_r2_ExpPR	Fisher_WT_r2_ExpGB	Fisher_WT_r2Fexact_Pval
SPAC1002.01	1	16	5	100	481	300	0.01	23.238358163519	0.0332640332640333	77.3001518952816	0.00308778638028139	0.444289421552728	0.300625	0.0148522524891535	2.13703211766862	3	98	1
SPAC1002.02	3	13	7	100	837	300	0.03	69.7150744905571	0.015531660692951	36.0930294057046	0.0523338859955796	0.862462925029247	1.93153846153846	0.438034625783001	7.2188146824948	1	102	1
SPAC1002.03c	0	36	14	100	2955	300	0	0	0.0121827411167513	28.3106901484496	0.00254044356681343	0.136449384104687	0	0.0750701073993368	4.03207930029351	1	99	1
SPAC1002.04c	0	19	3	100	641	300	0	0	0.0296411856474259	68.8812488466243	0.00484054272324269	0.264551414760663	0	0.0310278788559856	1.69577456861585	2	98	1
SPAC1002.05c	0	34	21	100	2086	300	0	0	0.0162991371045062	37.8765185790818	0.00269086889544985	0.144693076160053	0	0.0561315251590838	3.01829756869871	1	99	1
SPAC1002.06c	0	3	3	100	311	300	0	0	0.00964630225080386	22.416422665774	0.0327971598819604	2.22593021867193	0	0.101999167232897	6.92264298006972	0	100	1
SPAC1002.07c	0	10	1	100	1084	300	0	0	0.00922509225092251	21.4375997818441	0.00929728784483565	0.525639636497703	0	0.100782600238018	5.6979336596351	0	100	1
SPAC1002.08c	8	35	9	100	1783	300	0.08	185.906865308152	0.0196298373527762	45.6165191095438	0.09795681106216	0.513268899062203	4.07542857142857	1.74656994123831	9.15158447027907	2	106	1
SPAC1002.09c	0	119	9	100	2132	300	0	0	0.0558161350844278	129.707533839529	0.000765213614500503	0.0405539692697729	0	0.0163143542611507	0.864610624831557	5	95	1
SPAC1002.10c	0	12	13	100	1806	300	0	0	0.00664451827242525	15.4407695438665	0.00771806013949717	0.431135285113533	0	0.139388166119319	7.78630324915041	0	100	1
SPAC1002.11	0	24	5	100	1871	300	0	0	0.0128273650454303	29.8086903219913	0.0038226010111885	0.207313917589234	0	0.0715208649193369	3.87884339809458	1	99	1
SPAC1002.12c	3	33	2	100	1692	300	0.03	69.7150744905571	0.0195035460992908	45.3230389714024	0.0222566461165473	0.308749155677299	1.53818181818182	0.376582452291981	5.2240357140599	1	102	1
SPAC1002.13c	48	460	134	100	1829	300	0.48	1115.44119184891	0.251503553854565	584.452966387029	0.0765989268254719	0.141744412357459	1.90852173913043	1.40099437163788	2.59250530201792	29	119	1
SPAC1002.14	0	34	28	100	1485	300	0	0	0.0228956228956229	53.2056685225352	0.00269086889544985	0.144693076160053	0	0.0399594030974302	2.14869218097679	2	98	1
SPAC1002.15c	0	32	3	100	2754	300	0	0	0.0116194625998548	27.0017233563039	0.00286022979559656	0.15399674612007	0	0.0787707285707294	4.24107038814672	1	99	1
SPAC1002.16c	1	18	0	100	1906	300	0.01	23.238358163519	0.00944386149003148	21.9459835752016	0.00276112751307903	0.390963955466763	1.05888888888889	0.0526270903992863	7.45177299119651	0	101	1
SPAC1002.17c	0	12	1	100	990	300	0	0	0.0121212121212121	28.1677068648716	0.00771806013949717	0.431135285113533	0	0.0764087953810219	4.26823932262398	1	99	1
SPAC1002.18	0	28	3	100	1505	300	0	0	0.0186046511627907	43.2341547228261	0.00327211992868732	0.176722244865318	0	0.0492454049267442	2.65966978522304	1	99	1
SPAC1002.19	2	13	2	100	1563	300	0.02	46.4767163270381	0.00831733845169546	19.3281289907708	0.0240005686740661	0.712651641747209	2.40461538461539	0.375128888375653	11.1387451605089	0	102	1
SPAC1002.20	1	0	3	100	548	300	0.01	23.238358163519	0	0	0.0577765545925511	8.27870929775896	NA	0.31661551916718	45.3673269517191	0	101	1
SPAC1006.01	5	77	31	100	1664	300	0.05	116.191790817595	0.0462740384615385	107.533267944169	0.0231902063366767	0.166587851296784	1.08051948051948	0.3858850334423	2.77202184557848	4	101	1
SPAC1006.02	17	20	2	100	1217	300	0.17	395.052088779824	0.0164338537387017	38.1895779186837	0.425516509139253	1.69292252511444	10.3445	5.17853591622471	20.6028671306427	1	116	6.55182300785865e-06
SPAC1006.03c	3	68	3	100	2770	300	0.03	69.7150744905571	0.0245487364620939	57.0472330367976	0.0110979033367924	0.145026314826846	1.22205882352941	0.307411922429148	4.01722892070362	2	101	1
SPAC1006.04c	5	27	5	100	3993	300	0.05	116.191790817595	0.0067618332081142	15.7133901932135	0.0626901490871644	0.504810555526247	7.39444444444444	2.50321765305047	20.157085482163	0	105	1
SPAC1006.05c	6	79	3	100	2032	300	0.06	139.430148981114	0.0388779527559055	90.3459790806104	0.0298875467795529	0.180636825558078	1.54329113924051	0.607314950560516	3.67054029534014	3	103	1
SPAC1006.06	3	99	2	100	4139	300	0.03	69.7150744905571	0.0239188209712491	55.5834128578977	0.00768528388242849	0.0986530148600178	1.25424242424242	0.318093899893715	4.08324828505614	2	101	1
SPAC1006.07	12	161	79	100	1302	300	0.12	278.860297962228	0.123655913978495	287.356041806956	0.03948769746689	0.137424211423115	0.970434782608696	0.514129821018907	1.78926323272896	12	100	1
SPAC1006.08	1	12	10	100	1457	300	0.01	23.238358163519	0.00823610157858614	19.1393478354309	0.0040448521341888	0.610617545978525	1.21416666666667	0.0589334955951308	8.89669764490711	0	101	1
SPAC1006.09	4	205	12	100	4844	300	0.04	92.9534326540761	0.0423203963666391	98.345652839005	0.00618653796077649	0.0542884735837704	0.945170731707317	0.299675898820013	2.62973366039784	4	100	1
SPAC1039.01	2	92	4	100	2977	300	0.02	46.4767163270381	0.0309035942223715	71.8148791079527	0.00370752009790587	0.0894273321674564	0.647173913043478	0.110372873314658	2.66225167862518	3	99	1
SPAC1039.02	0	51	35	100	2733	300	0	0	0.0186608122941822	43.3646639714406	0.00178997256498559	0.0955981914009031	0	0.0489199502010562	2.61269857098668	1	99	1
SPAC1039.03	0	11	5	100	1499	300	0	0	0.00733822548365577	17.0528312073855	0.00843437698064696	0.473726222726494	0	0.126431310939898	7.10115607867015	0	100	1
SPAC1039.04	0	29	2	100	1844	300	0	0	0.0157266811279826	36.5462248775516	0.00315841214605714	0.170434554760817	0	0.0582411199732936	3.14281318978947	1	99	1
SPAC1039.05c	0	26	10	100	3153	300	0	0	0.00824611481129083	19.1626169442276	0.00352600391483322	0.190799932857011	0	0.111174903434691	6.01592188298155	0	100	1
SPAC1039.06	0	17	2	100	1966	300	0	0	0.008646998982706	20.0942059399707	0.00541762860743838	0.297388981119444	0	0.106510578422239	5.84666736880826	0	100	1
SPAC1039.07c	1	14	5	100	1430	300	0.01	23.238358163519	0.00979020979020979	22.7508401600886	0.00350210863509423	0.514391103811047	1.02142857142857	0.0500801534818475	7.35579278449797	0	101	1
SPAC1039.08	0	8	1	100	995	300	0	0	0.00804020100502513	18.684107066146	0.0116892782926356	0.673070909790981	0	0.116308319011724	6.69705555242026	0	100	1
SPAC1039.09	0	5	0	100	3060	300	0	0	0.00163398692810458	3.79711734698023	0.0190383591688732	1.16008855872718	0	0.58257379056752	35.4987098970518	0	100	1
SPAC1039.10	0	1	2	100	888	300	0	0	0.00112612612612613	2.61693222562151	0.120791776113059	17.3080587281839	0	1.07263097188396	153.695561506273	0	100	1
SPAC1039.11c	0	26	8	100	3471	300	0	0	0.00749063670411985	17.4070098603139	0.00352600391483322	0.190799932857011	0	0.122387595883861	6.62266566946685	0	100	1
